LEFT,RIGHT,DIFF
-217.5984375,-234.7546875,-17.15625
-218.1703125,-235.8984375,-17.728125
-218.45625,-237.328125,-18.871875
-218.45625,-238.471875,-20.015625
-217.884375,-239.615625,-21.73125
-217.3125,-240.4734375,-23.1609375
-216.4546875,-241.33125,-24.8765625
-215.596875,-242.1890625,-26.5921875
-214.7390625,-242.7609375,-28.021875
-214.453125,-243.3328125,-28.8796875
-214.1671875,-243.61875,-29.4515625
-214.7390625,-243.9046875,-29.165625
-215.596875,-243.9046875,-28.3078125
-216.740625,-243.61875,-26.878125
-218.1703125,-242.7609375,-24.590625
-219.3140625,-241.903125,-22.5890625
-220.171875,-240.4734375,-20.3015625
-220.4578125,-239.3296875,-18.871875
-219.8859375,-237.9,-18.0140625
-218.7421875,-236.75625,-18.0140625
-216.740625,-235.8984375,-19.1578125
-214.1671875,-235.6125,-21.4453125
-211.59375,-235.6125,-24.01875
-209.30625,-236.4703125,-27.1640625
-207.3046875,-238.1859375,-30.88125
-206.1609375,-240.1875,-34.0265625
-206.1609375,-242.475,-36.3140625
-207.01875,-245.0484375,-38.0296875
-209.0203125,-247.3359375,-38.315625
-211.3078125,-249.3375,-38.0296875
-213.88125,-250.48125,-36.6
-215.8828125,-250.48125,-34.5984375
-217.0265625,-249.6234375,-32.596875
-217.0265625,-247.621875,-30.5953125
-215.596875,-244.190625,-28.59375
-212.7375,-239.9015625,-27.1640625
-208.4484375,-234.7546875,-26.30625
-203.015625,-229.321875,-26.30625
-197.296875,-223.8890625,-26.5921875
-191.578125,-219.028125,-27.45
-186.43125,-214.7390625,-28.3078125
-182.7140625,-211.8796875,-29.165625
-180.4265625,-210.45,-30.0234375
-180.140625,-210.7359375,-30.5953125
-181.85625,-212.7375,-30.88125
-185.5734375,-216.4546875,-30.88125
-190.7203125,-221.6015625,-30.88125
-197.0109375,-227.60625,-30.5953125
-204.159375,-234.7546875,-30.5953125
-211.3078125,-242.1890625,-30.88125
-218.7421875,-249.6234375,-30.88125
-225.6046875,-256.771875,-31.1671875
-231.8953125,-263.3484375,-31.453125
-237.328125,-269.0671875,-31.7390625
-241.903125,-273.928125,-32.025
-245.6203125,-277.359375,-31.7390625
-248.4796875,-279.9328125,-31.453125
-250.1953125,-281.3625,-31.1671875
-251.053125,-281.3625,-30.309375
-250.7671875,-280.5046875,-29.7375
-249.6234375,-278.2171875,-28.59375
-247.3359375,-274.7859375,-27.45
-243.9046875,-270.496875,-26.5921875
-239.615625,-265.6359375,-26.0203125
-234.7546875,-259.9171875,-25.1625
-229.6078125,-253.6265625,-24.01875
-224.175,-247.621875,-23.446875
-219.3140625,-241.903125,-22.5890625
-215.025,-237.0421875,-22.0171875
-211.3078125,-233.0390625,-21.73125
-208.734375,-230.465625,-21.73125
-207.3046875,-229.321875,-22.0171875
-206.446875,-229.321875,-22.875
-206.446875,-230.465625,-24.01875
-206.7328125,-232.18125,-25.4484375
-207.3046875,-234.7546875,-27.45
-207.590625,-237.0421875,-29.4515625
-207.8765625,-239.04375,-31.1671875
-207.590625,-240.1875,-32.596875
-207.01875,-240.4734375,-33.4546875
-206.1609375,-240.1875,-34.0265625
-205.303125,-239.04375,-33.740625
-204.4453125,-237.328125,-32.8828125
-204.159375,-235.6125,-31.453125
-204.4453125,-234.46875,-30.0234375
-205.5890625,-233.896875,-28.3078125
-207.3046875,-234.46875,-27.1640625
-209.878125,-236.184375,-26.30625
-213.0234375,-239.04375,-26.0203125
-216.4546875,-243.046875,-26.5921875
-220.171875,-247.3359375,-27.1640625
-223.603125,-252.196875,-28.59375
-226.7484375,-256.4859375,-29.7375
-229.0359375,-260.203125,-31.1671875
-230.7515625,-263.0625,-32.3109375
-231.3234375,-264.20625,-32.8828125
-231.0375,-264.20625,-33.16875
