LEFT,RIGHT,DIFF
40.3171875,89.4984375,49.18125
40.3171875,88.06875,47.7515625
39.459375,86.0671875,46.6078125
37.4578125,82.921875,45.4640625
35.45625,79.490625,44.034375
33.16875,76.3453125,43.1765625
31.1671875,74.0578125,42.890625
30.0234375,72.628125,42.6046875
30.0234375,72.628125,42.6046875
30.88125,73.771875,42.890625
32.8828125,76.059375,43.1765625
35.45625,78.91875,43.4625
38.0296875,81.4921875,43.4625
40.603125,83.7796875,43.1765625
42.6046875,85.209375,42.6046875
43.7484375,85.209375,41.4609375
43.7484375,84.3515625,40.603125
43.1765625,82.0640625,38.8875
42.0328125,79.490625,37.4578125
40.8890625,76.9171875,36.028125
39.7453125,74.6296875,34.884375
38.8875,73.4859375,34.5984375
38.8875,73.4859375,34.5984375
39.1734375,74.6296875,35.45625
40.03125,76.9171875,36.8859375
41.175,79.490625,38.315625
42.31875,82.35,40.03125
42.6046875,84.6375,42.0328125
42.6046875,85.78125,43.1765625
41.746875,86.0671875,44.3203125
40.3171875,84.9234375,44.60625
38.315625,82.921875,44.60625
36.6,80.3484375,43.7484375
35.1703125,77.775,42.6046875
34.3125,75.7734375,41.4609375
34.3125,74.34375,40.03125
35.1703125,74.0578125,38.8875
36.6,74.915625,38.315625
38.315625,76.3453125,38.0296875
40.03125,78.346875,38.315625
41.175,80.0625,38.8875
41.175,81.20625,40.03125
40.03125,81.20625,41.175
37.74375,80.0625,42.31875
34.3125,77.203125,42.890625
30.0234375,73.4859375,43.4625
25.4484375,69.196875,43.7484375
21.4453125,64.3359375,42.890625
18.0140625,60.3328125,42.31875
16.0125,56.9015625,40.8890625
15.1546875,54.9,39.7453125
15.440625,54.0421875,38.6015625
16.8703125,54.328125,37.4578125
18.5859375,55.471875,36.8859375
20.5875,57.1875,36.6
22.303125,58.903125,36.6
23.1609375,60.046875,36.8859375
23.1609375,60.61875,37.4578125
22.303125,60.3328125,38.0296875
20.8734375,59.475,38.6015625
19.1578125,57.759375,38.6015625
17.4421875,56.04375,38.6015625
16.2984375,54.328125,38.0296875
16.0125,52.8984375,36.8859375
16.584375,52.040625,35.45625
18.0140625,52.040625,34.0265625
20.3015625,52.3265625,32.025
23.1609375,53.184375,30.0234375
26.0203125,54.328125,28.3078125
28.8796875,55.471875,26.5921875
30.88125,56.615625,25.734375
32.3109375,57.1875,24.8765625
32.8828125,57.4734375,24.590625
32.8828125,57.4734375,24.590625
31.7390625,56.9015625,25.1625
30.5953125,56.3296875,25.734375
28.59375,55.471875,26.878125
26.5921875,54.6140625,28.021875
24.590625,53.4703125,28.8796875
22.303125,52.040625,29.7375
20.015625,50.325,30.309375
17.4421875,48.0375,30.5953125
14.5828125,45.4640625,30.88125
12.009375,42.6046875,30.5953125
9.4359375,39.459375,30.0234375
7.1484375,36.8859375,29.7375
5.71875,34.5984375,28.8796875
5.146875,33.4546875,28.3078125
5.71875,33.740625,28.021875
8.00625,35.45625,27.45
11.4375,38.6015625,27.1640625
16.0125,43.1765625,27.1640625
21.159375,48.609375,27.45
26.5921875,54.328125,27.7359375
31.1671875,59.7609375,28.59375
34.5984375,64.05,29.4515625
36.6,66.909375,30.309375
36.3140625,67.7671875,31.453125
34.3125,66.909375,32.596875
30.309375,64.05,33.740625
25.4484375,60.3328125,34.884375
20.015625,55.7578125,35.7421875
14.86875,51.46875,36.6
11.1515625,48.0375,36.8859375
9.15,46.0359375,36.8859375
9.15,45.4640625,36.3140625
11.1515625,46.89375,35.7421875
15.1546875,49.18125,34.0265625
20.015625,52.6125,32.596875
25.1625,56.04375,30.88125
29.4515625,58.6171875,29.165625
32.596875,60.3328125,27.7359375
33.740625,60.046875,26.30625
32.596875,57.759375,25.1625
29.165625,53.75625,24.590625
24.01875,48.8953125,24.8765625
18.0140625,43.1765625,25.1625
12.009375,38.0296875,26.0203125
7.1484375,34.0265625,26.878125
3.7171875,31.7390625,28.021875
2.859375,32.025,29.165625
4.575,34.3125,29.7375
8.8640625,39.1734375,30.309375
14.86875,45.75,30.88125
22.303125,53.184375,30.88125
30.0234375,60.9046875,30.88125
36.8859375,68.053125,31.1671875
42.6046875,73.771875,31.1671875
46.321875,77.4890625,31.1671875
47.7515625,79.2046875,31.453125
47.1796875,78.6328125,31.453125
44.8921875,76.63125,31.7390625
