LEFT,RIGHT,DIFF
-151.8328125,-119.8078125,32.025
-152.9765625,-118.95,34.0265625
-154.6921875,-119.2359375,35.45625
-156.4078125,-120.09375,36.3140625
-158.1234375,-121.2375,36.8859375
-159.2671875,-122.6671875,36.6
-159.553125,-124.096875,35.45625
-159.2671875,-124.9546875,34.3125
-158.1234375,-125.8125,32.3109375
-156.69375,-126.0984375,30.5953125
-155.2640625,-126.384375,28.8796875
-154.1203125,-126.384375,27.7359375
-153.2625,-126.0984375,27.1640625
-153.2625,-126.0984375,27.1640625
-153.834375,-126.0984375,27.7359375
-155.2640625,-126.6703125,28.59375
-156.9796875,-127.2421875,29.7375
-158.98125,-128.1,30.88125
-161.26875,-129.24375,32.025
-163.2703125,-130.3875,32.8828125
-164.9859375,-131.8171875,33.16875
-166.1296875,-133.246875,32.8828125
-166.415625,-134.390625,32.025
-166.415625,-134.9625,31.453125
-165.5578125,-135.2484375,30.309375
-164.128125,-135.2484375,28.8796875
-162.4125,-134.390625,28.021875
-160.125,-132.9609375,27.1640625
-157.8375,-130.959375,26.878125
-155.55,-128.9578125,26.5921875
-153.2625,-126.6703125,26.5921875
-151.2609375,-124.66875,26.5921875
-149.83125,-123.2390625,26.5921875
-149.259375,-122.0953125,27.1640625
-149.5453125,-122.0953125,27.45
-150.6890625,-122.38125,28.3078125
-152.690625,-123.8109375,28.8796875
-155.55,-125.240625,30.309375
-158.6953125,-127.2421875,31.453125
-161.840625,-128.671875,33.16875
-164.7,-130.1015625,34.5984375
-166.9875,-130.6734375,36.3140625
-168.4171875,-130.3875,38.0296875
-168.9890625,-129.815625,39.1734375
-168.4171875,-128.3859375,40.03125
-166.9875,-126.6703125,40.3171875
-164.9859375,-124.9546875,40.03125
-162.6984375,-123.8109375,38.8875
-160.4109375,-122.953125,37.4578125
-158.409375,-122.953125,35.45625
-156.9796875,-123.8109375,33.16875
-156.4078125,-125.5265625,30.88125
-156.69375,-127.2421875,29.4515625
-157.265625,-129.5296875,27.7359375
-158.409375,-131.2453125,27.1640625
-159.553125,-132.675,26.878125
-160.125,-132.9609375,27.1640625
-159.8390625,-132.3890625,27.45
-158.98125,-130.959375,28.021875
-157.265625,-128.9578125,28.3078125
-154.978125,-126.384375,28.59375
-152.11875,-123.525,28.59375
-149.259375,-121.2375,28.021875
-146.6859375,-119.8078125,26.878125
-144.684375,-118.95,25.734375
-143.8265625,-119.2359375,24.590625
-144.1125,-120.665625,23.446875
-145.5421875,-122.953125,22.5890625
-147.8296875,-125.8125,22.0171875
-150.975,-128.9578125,22.0171875
-154.6921875,-132.3890625,22.303125
-158.409375,-135.534375,22.875
-161.840625,-138.39375,23.446875
-164.4140625,-140.68125,23.7328125
-166.7015625,-142.1109375,24.590625
-167.8453125,-142.6828125,25.1625
-168.4171875,-142.6828125,25.734375
-168.13125,-141.825,26.30625
-167.2734375,-140.68125,26.5921875
-165.84375,-138.6796875,27.1640625
-164.7,-136.3921875,28.3078125
-163.2703125,-133.5328125,29.7375
-161.840625,-130.959375,30.88125
-160.696875,-128.1,32.596875
-159.8390625,-125.8125,34.0265625
-158.98125,-123.8109375,35.1703125
-158.6953125,-122.38125,36.3140625
-158.6953125,-122.0953125,36.6
-158.6953125,-122.6671875,36.028125
-159.2671875,-123.8109375,35.45625
-159.8390625,-125.8125,34.0265625
-160.696875,-128.3859375,32.3109375
-161.5546875,-130.959375,30.5953125
-162.4125,-132.9609375,29.4515625
-162.984375,-134.6765625,28.3078125
-162.984375,-135.2484375,27.7359375
-162.6984375,-134.6765625,28.021875
-161.5546875,-132.675,28.8796875
-159.8390625,-129.815625,30.0234375
-157.5515625,-126.384375,31.1671875
-154.6921875,-122.38125,32.3109375
-151.546875,-118.378125,33.16875
-148.6875,-115.2328125,33.4546875
-146.4,-112.9453125,33.4546875
-144.684375,-112.0875,32.596875
-143.8265625,-112.659375,31.1671875
-144.1125,-114.6609375,29.4515625
-145.5421875,-117.80625,27.7359375
-147.8296875,-121.809375,26.0203125
-150.403125,-125.8125,24.590625
-153.2625,-129.5296875,23.7328125
-155.8359375,-132.103125,23.7328125
-157.5515625,-133.81875,23.7328125
-158.409375,-133.81875,24.590625
-158.1234375,-132.675,25.4484375
-156.4078125,-130.1015625,26.30625
-153.834375,-126.6703125,27.1640625
-150.6890625,-122.6671875,28.021875
-147.2578125,-118.6640625,28.59375
-144.1125,-115.2328125,28.8796875
-141.5390625,-112.659375,28.8796875
-139.8234375,-110.94375,28.8796875
-139.2515625,-110.371875,28.8796875
-139.5375,-110.6578125,28.8796875
-140.3953125,-111.8015625,28.59375
-141.825,-113.23125,28.59375
-143.540625,-114.6609375,28.8796875
-144.684375,-115.8046875,28.8796875
-145.25625,-116.3765625,28.8796875
-145.25625,-116.6625,28.59375
-144.3984375,-116.3765625,28.021875
-142.96875,-115.8046875,27.1640625
-141.825,-115.2328125,26.5921875
-140.68125,-115.2328125,25.4484375
-140.3953125,-115.8046875,24.590625
-140.9671875,-117.234375,23.7328125
-142.96875,-119.8078125,23.1609375
-146.1140625,-123.2390625,22.875
-150.1171875,-127.2421875,22.875
-154.6921875,-131.8171875,22.875
-158.98125,-136.10625,22.875
-162.984375,-139.8234375,23.1609375
-165.84375,-142.6828125,23.1609375
-167.2734375,-144.1125,23.1609375
-167.2734375,-144.3984375,22.875
-165.84375,-143.540625,22.303125
-163.55625,-141.5390625,22.0171875
-160.4109375,-138.965625,21.4453125
-157.265625,-136.10625,21.159375
-154.6921875,-133.5328125,21.159375
-152.9765625,-131.8171875,21.159375
-152.4046875,-130.6734375,21.73125
-153.2625,-130.6734375,22.5890625
-154.978125,-131.53125,23.446875
-157.265625,-132.9609375,24.3046875
-159.8390625,-134.6765625,25.1625
-161.840625,-135.8203125,26.0203125
-162.984375,-136.678125,26.30625
-162.984375,-136.3921875,26.5921875
-161.5546875,-135.2484375,26.30625
-158.6953125,-133.246875,25.4484375
-155.2640625,-130.1015625,25.1625
-150.975,-126.6703125,24.3046875
-146.971875,-122.953125,24.01875
-143.540625,-119.8078125,23.7328125
-141.253125,-116.9484375,24.3046875
-140.109375,-115.2328125,24.8765625
-140.3953125,-114.6609375,25.734375
-142.1109375,-114.946875,27.1640625
-144.3984375,-116.090625,28.3078125
-147.2578125,-118.0921875,29.165625
-150.1171875,-120.3796875,29.7375
-152.690625,-122.6671875,30.0234375
-154.1203125,-124.66875,29.4515625
-154.40625,-126.0984375,28.3078125
-153.834375,-126.6703125,27.1640625
-151.8328125,-126.384375,25.4484375
-149.259375,-125.5265625,23.7328125
-146.1140625,-123.8109375,22.303125
-142.96875,-121.5234375,21.4453125
-139.8234375,-118.95,20.8734375
-137.5359375,-116.3765625,21.159375
-135.8203125,-114.0890625,21.73125
-134.9625,-112.3734375,22.5890625
-134.9625,-111.2296875,23.7328125
-135.534375,-110.6578125,24.8765625
-136.9640625,-111.2296875,25.734375
-138.965625,-112.3734375,26.5921875
-141.253125,-114.0890625,27.1640625
-143.540625,-116.3765625,27.1640625
-145.5421875,-118.95,26.5921875
-147.2578125,-120.9515625,26.30625
-148.4015625,-122.38125,26.0203125
-148.6875,-122.953125,25.734375
-148.115625,-122.38125,25.734375
-146.971875,-120.3796875,26.5921875
-144.684375,-117.234375,27.45
-142.1109375,-113.23125,28.8796875
-138.965625,-108.65625,30.309375
-135.534375,-104.08125,31.453125
-132.3890625,-100.078125,32.3109375
-130.1015625,-97.21875,32.8828125
-128.671875,-95.7890625,32.8828125
-128.1,-96.075,32.025
-128.9578125,-98.3625,30.5953125
-130.959375,-102.365625,28.59375
-133.81875,-107.2265625,26.5921875
-137.25,-112.9453125,24.3046875
-140.9671875,-118.378125,22.5890625
-144.3984375,-122.953125,21.4453125
-147.2578125,-125.8125,21.4453125
-148.9734375,-127.2421875,21.73125
-149.5453125,-126.384375,23.1609375
-148.9734375,-124.096875,24.8765625
-147.54375,-120.3796875,27.1640625
-145.25625,-115.8046875,29.4515625
-142.6828125,-111.2296875,31.453125
-140.3953125,-107.5125,32.8828125
-138.6796875,-104.9390625,33.740625
-137.5359375,-104.08125,33.4546875
-137.25,-104.9390625,32.3109375
-138.1078125,-107.5125,30.5953125
-139.5375,-111.2296875,28.3078125
-141.5390625,-115.8046875,25.734375
-143.540625,-120.3796875,23.1609375
-145.5421875,-124.3828125,21.159375
-146.971875,-127.528125,19.44375
-147.54375,-129.5296875,18.0140625
-147.54375,-130.3875,17.15625
-147.2578125,-130.1015625,17.15625
-146.1140625,-128.9578125,17.15625
-144.9703125,-127.2421875,17.728125
-143.8265625,-125.8125,18.0140625
-142.96875,-124.9546875,18.0140625
-142.6828125,-124.66875,18.0140625
-142.6828125,-125.240625,17.4421875
-142.96875,-126.95625,16.0125
-143.8265625,-129.24375,14.5828125
-144.684375,-131.8171875,12.8671875
-145.5421875,-134.390625,11.1515625
-146.4,-136.9640625,9.43593749999999
-146.971875,-138.6796875,8.29218750000001
-146.971875,-139.8234375,7.1484375
-146.6859375,-139.8234375,6.86249999999998
-146.1140625,-138.965625,7.1484375
-145.25625,-137.5359375,7.72031249999998
-144.1125,-134.9625,9.15000000000001
-142.396875,-132.103125,10.29375
-140.9671875,-128.9578125,12.009375
-138.965625,-125.8125,13.153125
-136.9640625,-122.38125,14.5828125
-134.9625,-119.2359375,15.7265625
-132.675,-116.3765625,16.2984375
-130.6734375,-113.803125,16.8703125
-128.671875,-111.515625,17.15625
-126.95625,-109.8,17.15625
-125.5265625,-108.3703125,17.15625
-124.9546875,-107.7984375,17.15625
-124.9546875,-107.5125,17.4421875
-125.5265625,-108.084375,17.4421875
-126.6703125,-109.228125,17.4421875
-128.3859375,-110.6578125,17.728125
-130.3875,-112.659375,17.728125
-132.103125,-114.375,17.728125
-133.81875,-116.090625,17.728125
-134.9625,-117.5203125,17.4421875
-135.534375,-118.6640625,16.8703125
-135.534375,-119.2359375,16.2984375
-134.6765625,-119.8078125,14.86875
-133.5328125,-119.8078125,13.725
-132.103125,-119.521875,12.58125
-130.6734375,-119.2359375,11.4375
-129.5296875,-119.2359375,10.29375
-128.671875,-119.2359375,9.43593749999999
-128.1,-119.521875,8.57812499999999
-128.1,-119.8078125,8.29218749999998
-128.3859375,-119.8078125,8.578125
-128.9578125,-119.8078125,9.15000000000001
-129.5296875,-119.521875,10.0078125
-130.1015625,-118.95,11.1515625
-130.6734375,-117.80625,12.8671875
-131.2453125,-116.3765625,14.86875
-131.8171875,-114.6609375,17.15625
-132.103125,-113.23125,18.871875
-132.9609375,-111.8015625,21.159375
-134.1046875,-111.2296875,22.875
-135.534375,-111.2296875,24.3046875
-137.25,-112.0875,25.1625
-139.2515625,-113.803125,25.4484375
-140.9671875,-115.8046875,25.1625
-142.396875,-118.0921875,24.3046875
-142.96875,-120.3796875,22.5890625
-142.396875,-121.809375,20.5875
-140.68125,-122.38125,18.3
-137.821875,-121.5234375,16.2984375
-133.81875,-119.521875,14.296875
-128.9578125,-116.090625,12.8671875
-123.525,-111.8015625,11.7234375
-118.0921875,-106.6546875,11.4375
-113.5171875,-101.221875,12.2953125
-109.5140625,-96.3609375,13.153125
-106.940625,-92.071875,14.86875
-105.796875,-89.2125,16.584375
-106.0828125,-88.06875,18.0140625
-107.7984375,-88.3546875,19.44375
-110.6578125,-90.6421875,20.015625
-114.375,-94.359375,20.015625
-118.6640625,-99.7921875,18.871875
-123.8109375,-106.36875,17.4421875
-129.24375,-113.803125,15.440625
-134.9625,-122.0953125,12.8671875
-141.253125,-131.2453125,10.0078125
-148.115625,-140.9671875,7.1484375
-155.55,-150.975,4.57500000000002
-163.8421875,-161.26875,2.57343749999998
-172.70625,-171.5625,1.14375000000001
-181.85625,-181.85625,0.0
-191.00625,-191.2921875,-0.285937500000017
-199.584375,-199.8703125,-0.285937500000017
-207.01875,-207.01875,0.0
-212.4515625,-212.165625,0.285937499999989
-215.8828125,-214.453125,1.4296875
-216.4546875,-213.88125,2.57343750000001
-214.1671875,-210.45,3.71718749999999
-208.734375,-203.8734375,4.86093750000001
-201.0140625,-194.4375,6.57656249999999
-191.00625,-183.0,8.00624999999999
-179.8546875,-169.5609375,10.29375
-167.8453125,-155.8359375,12.009375
-156.121875,-141.825,14.296875
-144.9703125,-128.671875,16.2984375
-135.534375,-116.9484375,18.5859375
-127.528125,-107.2265625,20.3015625
-121.5234375,-99.7921875,21.73125
-117.5203125,-94.359375,23.1609375
-114.946875,-90.928125,24.01875
-114.0890625,-89.2125,24.8765625
-114.0890625,-88.640625,25.4484375
-114.375,-88.9265625,25.4484375
-115.2328125,-89.4984375,25.734375
-115.8046875,-90.35625,25.4484375
-116.090625,-91.2140625,24.8765625
-116.3765625,-91.7859375,24.590625
-116.3765625,-92.64375,23.7328125
-116.090625,-93.5015625,22.5890625
-116.090625,-94.6453125,21.4453125
-116.3765625,-96.3609375,20.015625
-116.9484375,-98.6484375,18.3
-117.80625,-101.5078125,16.2984375
-119.2359375,-104.3671875,14.86875
-120.9515625,-107.5125,13.4390625
-122.953125,-110.371875,12.58125
-124.9546875,-112.9453125,12.009375
-126.95625,-114.6609375,12.2953125
-128.671875,-115.51875,13.153125
-130.1015625,-115.51875,14.5828125
-131.2453125,-114.6609375,16.584375
-132.103125,-113.23125,18.871875
-132.3890625,-111.515625,20.8734375
-132.675,-109.5140625,23.1609375
-132.9609375,-107.7984375,25.1625
-133.5328125,-106.36875,27.1640625
-134.1046875,-105.5109375,28.59375
-134.6765625,-105.5109375,29.165625
-135.8203125,-106.0828125,29.7375
-136.9640625,-106.940625,30.0234375
-138.39375,-108.65625,29.7375
-140.109375,-110.371875,29.7375
-141.825,-112.0875,29.7375
-143.540625,-113.803125,29.7375
-144.9703125,-115.8046875,29.165625
-146.6859375,-117.234375,29.4515625
-147.8296875,-118.6640625,29.165625
-148.6875,-119.8078125,28.8796875
-149.259375,-120.3796875,28.8796875
-148.9734375,-120.9515625,28.021875
-148.115625,-120.665625,27.45
-146.4,-119.8078125,26.5921875
-143.8265625,-118.378125,25.4484375
-140.3953125,-116.090625,24.3046875
-136.10625,-112.9453125,23.1609375
-131.2453125,-109.228125,22.0171875
-126.0984375,-105.225,20.8734375
-120.9515625,-100.9359375,20.015625
-116.3765625,-97.21875,19.1578125
-112.659375,-94.359375,18.3
-110.0859375,-92.64375,17.4421875
-109.228125,-92.3578125,16.8703125
-109.8,-93.7875,16.0125
-112.0875,-96.3609375,15.7265625
-116.090625,-100.65,15.440625
-120.665625,-105.5109375,15.1546875
-126.0984375,-110.94375,15.1546875
-131.2453125,-116.090625,15.1546875
-136.10625,-120.665625,15.440625
-140.109375,-123.8109375,16.2984375
-142.6828125,-125.8125,16.8703125
-144.1125,-126.384375,17.728125
-144.3984375,-125.5265625,18.871875
-143.540625,-123.525,20.015625
-141.825,-120.9515625,20.8734375
-139.8234375,-117.80625,22.0171875
-137.821875,-115.2328125,22.5890625
-136.3921875,-112.9453125,23.446875
-135.2484375,-111.2296875,24.01875
-134.6765625,-110.371875,24.3046875
-134.390625,-110.371875,24.01875
-134.390625,-110.371875,24.01875
-134.6765625,-110.94375,23.7328125
-134.6765625,-111.2296875,23.446875
-134.390625,-111.2296875,23.1609375
-133.81875,-110.6578125,23.1609375
-132.675,-109.8,22.875
-131.53125,-108.65625,22.875
-130.3875,-107.5125,22.875
-129.815625,-106.6546875,23.1609375
-129.24375,-106.36875,22.875
-129.5296875,-106.36875,23.1609375
-130.6734375,-107.5125,23.1609375
-132.103125,-108.9421875,23.1609375
-134.1046875,-110.94375,23.1609375
-136.10625,-112.9453125,23.1609375
-137.821875,-114.946875,22.875
-139.2515625,-116.3765625,22.875
-140.109375,-117.234375,22.875
-140.109375,-116.9484375,23.1609375
-139.5375,-116.090625,23.446875
-138.6796875,-114.6609375,24.01875
-137.25,-112.659375,24.590625
-135.8203125,-110.6578125,25.1625
-134.9625,-109.228125,25.734375
-134.6765625,-108.3703125,26.30625
-134.9625,-108.3703125,26.5921875
-136.10625,-109.228125,26.878125
-137.5359375,-110.94375,26.5921875
-139.5375,-113.23125,26.30625
-141.825,-115.8046875,26.0203125
-143.540625,-118.0921875,25.4484375
-144.9703125,-120.09375,24.8765625
-145.5421875,-121.2375,24.3046875
-145.25625,-121.2375,24.01875
-144.1125,-120.09375,24.01875
-142.1109375,-117.80625,24.3046875
-139.5375,-114.946875,24.590625
-136.3921875,-111.515625,24.8765625
-132.9609375,-107.7984375,25.1625
-129.815625,-104.08125,25.734375
-126.384375,-101.221875,25.1625
-123.2390625,-98.934375,24.3046875
-120.665625,-97.21875,23.446875
-118.378125,-96.3609375,22.0171875
-116.3765625,-96.3609375,20.015625
-115.2328125,-97.21875,18.0140625
-114.6609375,-98.3625,16.2984375
-115.2328125,-100.078125,15.1546875
-116.6625,-102.365625,14.296875
-118.95,-104.9390625,14.0109375
-122.38125,-107.7984375,14.5828125
-126.384375,-110.94375,15.440625
-131.2453125,-114.0890625,17.15625
-136.10625,-117.234375,18.871875
-140.68125,-119.8078125,20.8734375
-144.3984375,-122.0953125,22.303125
-146.971875,-123.525,23.446875
-147.54375,-123.8109375,23.7328125
-146.1140625,-122.6671875,23.446875
-142.96875,-120.3796875,22.5890625
-137.821875,-116.9484375,20.8734375
-131.53125,-112.3734375,19.1578125
-124.9546875,-107.7984375,17.15625
-118.378125,-102.9375,15.440625
-112.9453125,-99.2203125,13.725
-109.228125,-96.9328125,12.2953125
-108.084375,-96.3609375,11.7234375
-109.228125,-98.0765625,11.1515625
-112.9453125,-101.79375,11.1515625
-118.6640625,-107.5125,11.1515625
-125.8125,-114.6609375,11.1515625
-133.81875,-122.0953125,11.7234375
-141.5390625,-129.5296875,12.009375
-148.115625,-135.8203125,12.2953125
-153.2625,-140.3953125,12.8671875
-155.8359375,-142.6828125,13.153125
-156.121875,-142.396875,13.725
-154.1203125,-139.5375,14.5828125
-150.1171875,-134.390625,15.7265625
-144.9703125,-128.1,16.8703125
-138.6796875,-120.665625,18.0140625
-132.3890625,-113.23125,19.1578125
-126.6703125,-106.36875,20.3015625
-121.809375,-100.65,21.159375
-118.0921875,-96.3609375,21.73125
-115.51875,-94.0734375,21.4453125
-114.375,-92.9296875,21.4453125
-114.375,-93.5015625,20.8734375
-114.946875,-94.93125,20.015625
