LEFT,RIGHT,DIFF
-167.8453125,-168.4171875,-0.571875000000006
-170.41875,-170.990625,-0.571874999999977
-172.4203125,-172.70625,-0.285937500000017
-173.85,-173.5640625,0.285937499999989
-175.2796875,-174.1359375,1.14374999999998
-176.4234375,-174.1359375,2.28749999999999
-176.709375,-173.5640625,3.14531249999999
-176.1375,-172.134375,4.00312500000001
-174.421875,-169.5609375,4.86093750000001
-170.7046875,-164.9859375,5.71875
-164.9859375,-158.6953125,6.29062500000001
-157.265625,-150.1171875,7.1484375
-148.115625,-139.8234375,8.29218749999998
-137.25,-128.1,9.15000000000001
-126.0984375,-115.51875,10.5796875
-114.946875,-102.9375,12.009375
-104.9390625,-90.928125,14.0109375
-96.3609375,-80.634375,15.7265625
-90.0703125,-72.628125,17.4421875
-86.353125,-67.1953125,19.1578125
-84.9234375,-64.3359375,20.5875
-85.4953125,-64.3359375,21.159375
-88.06875,-66.6234375,21.4453125
-91.7859375,-70.6265625,21.159375
-95.7890625,-75.4875,20.3015625
-99.7921875,-80.9203125,18.871875
-103.509375,-86.0671875,17.4421875
-106.6546875,-90.928125,15.7265625
-108.65625,-94.93125,13.725
-110.371875,-98.3625,12.009375
-111.8015625,-101.221875,10.5796875
-112.659375,-103.509375,9.15000000000001
-113.5171875,-105.796875,7.72031250000001
-114.375,-107.7984375,6.57656249999999
-115.2328125,-109.8,5.4328125
-116.090625,-111.515625,4.575
-116.6625,-112.9453125,3.71718750000001
-116.3765625,-114.0890625,2.28749999999999
-115.8046875,-114.375,1.4296875
-114.375,-114.0890625,0.285937499999989
-112.0875,-112.659375,-0.571875000000006
-109.228125,-110.6578125,-1.4296875
-106.0828125,-108.084375,-2.00156250000001
-102.9375,-104.9390625,-2.00156250000001
-100.3640625,-102.0796875,-1.715625
-98.6484375,-99.7921875,-1.14375
-97.790625,-98.3625,-0.571874999999991
-98.0765625,-97.790625,0.285937500000003
-99.7921875,-98.6484375,1.14375
-102.365625,-100.65,1.715625
-106.0828125,-103.7953125,2.28749999999999
