LEFT,RIGHT,DIFF
-101.221875,-83.7796875,17.4421875
-101.5078125,-83.2078125,18.3
-101.221875,-81.4921875,19.7296875
-100.078125,-79.490625,20.5875
-98.0765625,-77.203125,20.8734375
-95.503125,-75.2015625,20.3015625
-92.9296875,-73.4859375,19.44375
-90.35625,-72.3421875,18.0140625
-88.3546875,-71.7703125,16.584375
-86.6390625,-72.3421875,14.296875
-85.4953125,-72.9140625,12.58125
-84.6375,-74.0578125,10.5796875
-84.065625,-75.2015625,8.86406249999999
-83.7796875,-76.3453125,7.434375
-83.2078125,-76.9171875,6.29062500000001
-82.35,-76.9171875,5.43281250000001
-81.4921875,-76.9171875,4.575
-80.9203125,-76.3453125,4.575
-80.3484375,-76.059375,4.2890625
-80.3484375,-75.7734375,4.575
-81.20625,-76.059375,5.14687499999999
-82.6359375,-76.9171875,5.71875
-84.9234375,-78.0609375,6.8625
-87.496875,-79.2046875,8.2921875
-90.0703125,-80.634375,9.43593749999999
-92.64375,-81.20625,11.4375
-94.359375,-81.4921875,12.8671875
-94.93125,-80.634375,14.296875
-94.0734375,-78.91875,15.1546875
-92.3578125,-76.3453125,16.0125
-89.4984375,-73.2,16.2984375
-86.0671875,-70.340625,15.7265625
-82.921875,-67.7671875,15.1546875
-80.3484375,-65.765625,14.5828125
-78.91875,-65.19375,13.725
-78.91875,-66.0515625,12.8671875
-80.634375,-67.7671875,12.8671875
-83.7796875,-70.340625,13.4390625
-87.7828125,-73.4859375,14.296875
-92.3578125,-76.3453125,16.0125
-96.646875,-78.6328125,18.0140625
-100.078125,-80.0625,20.015625
-102.365625,-80.3484375,22.0171875
-103.2234375,-79.7765625,23.446875
-102.6515625,-78.346875,24.3046875
-101.5078125,-76.9171875,24.590625
-99.7921875,-75.7734375,24.01875
-98.3625,-75.4875,22.875
-97.790625,-76.3453125,21.4453125
-98.3625,-78.6328125,19.7296875
-100.078125,-82.0640625,18.0140625
-102.6515625,-86.353125,16.2984375
-105.796875,-90.928125,14.86875
-109.228125,-94.93125,14.296875
-111.8015625,-97.790625,14.0109375
-112.9453125,-98.934375,14.0109375
-112.659375,-98.3625,14.296875
-110.371875,-96.075,14.296875
-106.36875,-92.071875,14.296875
-101.5078125,-87.2109375,14.296875
-96.075,-82.35,13.725
-90.928125,-78.0609375,12.8671875
-86.925,-74.915625,12.009375
-84.3515625,-73.2,11.1515625
-84.065625,-73.2,10.865625
-85.4953125,-74.6296875,10.865625
-88.3546875,-76.9171875,11.4375
-92.071875,-79.490625,12.58125
-95.7890625,-81.778125,14.0109375
-98.934375,-83.2078125,15.7265625
-100.9359375,-83.49375,17.4421875
-101.5078125,-82.6359375,18.871875
-100.3640625,-80.634375,19.7296875
-98.0765625,-78.0609375,20.015625
-94.93125,-75.7734375,19.1578125
-91.7859375,-74.0578125,17.728125
-89.2125,-73.771875,15.440625
-87.7828125,-75.2015625,12.58125
-87.7828125,-78.346875,9.43593750000001
-89.4984375,-82.6359375,6.86250000000001
-92.071875,-88.06875,4.003125
-95.503125,-93.5015625,2.00156249999999
-98.6484375,-98.3625,0.285937500000003
-100.9359375,-101.79375,-0.857812499999994
-101.79375,-103.509375,-1.715625
-101.221875,-103.2234375,-2.00156250000001
-98.6484375,-101.221875,-2.5734375
-94.93125,-97.5046875,-2.5734375
-90.0703125,-93.5015625,-3.43125000000001
-85.4953125,-89.4984375,-4.00312500000001
-81.4921875,-86.353125,-4.86093750000001
-79.2046875,-84.6375,-5.4328125
-78.6328125,-84.6375,-6.0046875
-80.3484375,-86.6390625,-6.29062500000001
-83.7796875,-89.784375,-6.00468749999999
-88.640625,-93.5015625,-4.86093750000001
-94.0734375,-97.5046875,-3.43125000000001
-99.2203125,-100.9359375,-1.715625
-103.2234375,-102.6515625,0.571875000000006
-105.225,-102.9375,2.28750000000001
-105.225,-101.5078125,3.71718750000001
-103.2234375,-98.934375,4.2890625
-99.50625,-95.503125,4.00312500000001
-94.93125,-92.071875,2.859375
-90.35625,-89.4984375,0.857812499999994
-86.6390625,-88.3546875,-1.71562499999999
-84.6375,-88.9265625,-4.2890625
-84.3515625,-91.2140625,-6.8625
-86.353125,-95.2171875,-8.8640625
-90.0703125,-100.078125,-10.0078125
-94.6453125,-104.9390625,-10.29375
-99.7921875,-108.65625,-8.8640625
-104.08125,-110.94375,-6.86250000000001
-106.6546875,-110.6578125,-4.003125
-107.5125,-108.3703125,-0.857812499999994
-105.796875,-103.509375,2.28749999999999
-101.79375,-96.9328125,4.86093750000001
-96.3609375,-89.4984375,6.8625
-90.0703125,-82.35,7.72031249999999
-83.7796875,-76.059375,7.72031250000001
-78.6328125,-71.484375,7.1484375
-74.915625,-69.4828125,5.4328125
-72.9140625,-69.4828125,3.43124999999999
-73.2,-71.1984375,2.00156250000001
-74.915625,-74.34375,0.571875000000006
-77.4890625,-77.775,-0.285937500000003
-80.0625,-80.634375,-0.571875000000006
-82.0640625,-81.778125,0.285937500000003
-82.921875,-81.4921875,1.4296875
-81.778125,-78.91875,2.859375
-79.2046875,-74.915625,4.2890625
-75.2015625,-69.76875,5.43281250000001
-70.9125,-64.3359375,6.57656250000001
-66.3375,-59.475,6.8625
-63.1921875,-56.3296875,6.8625
-61.190625,-55.1859375,6.0046875
-61.4765625,-56.3296875,5.14687499999999
-63.7640625,-59.7609375,4.003125
-67.48125,-64.621875,2.859375
-72.3421875,-70.6265625,1.715625
-77.203125,-76.3453125,0.857812499999994
-81.778125,-80.9203125,0.857812499999994
-84.6375,-84.3515625,0.285937500000003
-85.78125,-85.78125,0.0
-85.209375,-85.209375,0.0
-83.2078125,-83.2078125,0.0
-79.7765625,-80.0625,-0.285937500000003
-76.3453125,-76.9171875,-0.571874999999991
-73.4859375,-73.771875,-0.285937500000003
-71.484375,-71.7703125,-0.285937500000003
-71.1984375,-70.9125,0.285937499999989
-72.3421875,-71.1984375,1.14375000000001
-74.6296875,-72.628125,2.00156250000001
-78.0609375,-74.34375,3.71718750000001
-81.20625,-76.059375,5.14687499999999
-84.065625,-76.9171875,7.1484375
-85.4953125,-76.9171875,8.578125
-85.4953125,-76.059375,9.43593749999999
-84.065625,-74.34375,9.721875
-81.778125,-72.05625,9.721875
-78.91875,-69.76875,9.15000000000001
-76.059375,-68.3390625,7.72031250000001
-74.34375,-68.053125,6.29062499999999
-74.34375,-68.9109375,5.4328125
-75.7734375,-71.1984375,4.575
-78.6328125,-74.6296875,4.003125
-82.921875,-78.6328125,4.2890625
-87.2109375,-82.35,4.86093749999999
-91.5,-85.4953125,6.0046875
-94.6453125,-87.2109375,7.434375
-95.7890625,-87.2109375,8.578125
-94.93125,-85.4953125,9.43593750000001
-92.3578125,-82.6359375,9.72187500000001
-88.3546875,-78.91875,9.43593749999999
-83.49375,-75.2015625,8.2921875
-78.6328125,-72.05625,6.57656249999999
-74.6296875,-70.340625,4.2890625
-72.3421875,-70.0546875,2.28750000000001
-71.7703125,-71.484375,0.285937500000003
-72.628125,-74.34375,-1.715625
-74.915625,-78.0609375,-3.1453125
-78.0609375,-81.778125,-3.71718749999999
-80.9203125,-84.9234375,-4.003125
-82.921875,-86.6390625,-3.71718750000001
-83.49375,-86.925,-3.43124999999999
-82.6359375,-85.4953125,-2.859375
-80.3484375,-82.6359375,-2.28749999999999
-76.9171875,-79.2046875,-2.28750000000001
-73.2,-75.7734375,-2.5734375
-70.0546875,-72.9140625,-2.859375
-67.7671875,-71.484375,-3.71718749999999
-66.909375,-71.484375,-4.575
-68.053125,-73.2,-5.14687499999999
-70.340625,-76.059375,-5.71875
-73.4859375,-79.7765625,-6.29062499999999
-76.9171875,-83.49375,-6.57656250000001
-79.490625,-86.353125,-6.8625
-80.9203125,-87.7828125,-6.8625
-80.3484375,-87.496875,-7.1484375
-78.0609375,-85.209375,-7.1484375
-74.0578125,-81.4921875,-7.434375
-68.9109375,-76.63125,-7.72031250000001
-63.7640625,-71.7703125,-8.00625
-59.475,-67.48125,-8.00625
-56.9015625,-64.3359375,-7.434375
-56.04375,-62.90625,-6.8625
-57.759375,-63.1921875,-5.4328125
-61.4765625,-65.19375,-3.71718750000001
-66.6234375,-68.3390625,-1.71562499999999
-72.628125,-72.05625,0.571874999999991
-78.346875,-75.7734375,2.5734375
-82.921875,-78.6328125,4.2890625
-85.78125,-80.3484375,5.4328125
-87.2109375,-80.9203125,6.29062499999999
-86.6390625,-80.3484375,6.29062500000001
-84.9234375,-79.2046875,5.71875
-82.6359375,-77.775,4.86093749999999
-80.634375,-76.63125,4.003125
-79.2046875,-76.059375,3.1453125
-79.490625,-76.63125,2.859375
-80.9203125,-78.346875,2.57343750000001
