LEFT,RIGHT,DIFF
-38.6015625,-38.0296875,0.571874999999999
-31.7390625,-28.021875,3.7171875
-29.165625,-22.875,6.290625
-30.88125,-22.0171875,8.8640625
-36.028125,-25.1625,10.865625
-43.4625,-31.7390625,11.7234375
-52.3265625,-40.3171875,12.009375
-61.190625,-49.753125,11.4375
-68.9109375,-58.6171875,10.29375
-75.2015625,-66.3375,8.8640625
-79.2046875,-72.3421875,6.8625
-81.20625,-76.059375,5.14687499999999
-81.778125,-78.0609375,3.71718749999999
-80.9203125,-78.6328125,2.28750000000001
-80.0625,-78.346875,1.715625
-79.2046875,-78.346875,0.857812500000009
-79.2046875,-78.91875,0.285937500000003
-80.3484375,-80.634375,-0.285937500000003
-82.6359375,-82.921875,-0.285937500000003
-85.209375,-86.353125,-1.14375
-88.06875,-90.0703125,-2.00156249999999
-90.6421875,-93.5015625,-2.859375
-92.3578125,-96.3609375,-4.003125
-92.9296875,-97.790625,-4.86093750000001
-92.3578125,-97.790625,-5.4328125
-90.6421875,-96.646875,-6.0046875
-88.3546875,-94.359375,-6.0046875
-85.78125,-91.5,-5.71875
-84.065625,-88.640625,-4.575
-82.921875,-86.353125,-3.43125000000001
-83.2078125,-85.4953125,-2.28749999999999
-84.6375,-85.78125,-1.14375
-87.496875,-87.496875,0.0
-90.928125,-90.35625,0.571875000000006
-94.6453125,-93.7875,0.857812499999994
-98.0765625,-97.5046875,0.571875000000006
-100.65,-100.65,0.0
-102.365625,-102.9375,-0.571874999999991
-102.365625,-103.7953125,-1.4296875
-101.5078125,-103.7953125,-2.28750000000001
-99.7921875,-102.6515625,-2.859375
-97.790625,-100.65,-2.859375
-95.7890625,-98.3625,-2.5734375
-93.7875,-96.3609375,-2.5734375
-92.64375,-94.359375,-1.715625
-91.7859375,-92.9296875,-1.14375
-91.5,-91.7859375,-0.285937500000003
-91.2140625,-90.6421875,0.571874999999991
-90.35625,-89.4984375,0.857812499999994
-88.9265625,-87.496875,1.4296875
-86.6390625,-84.6375,2.00156250000001
-83.49375,-80.9203125,2.5734375
-79.7765625,-76.63125,3.14531249999999
-75.4875,-72.05625,3.43124999999999
-71.7703125,-67.7671875,4.003125
-69.196875,-64.3359375,4.86093750000001
-67.7671875,-62.6203125,5.146875
-68.3390625,-62.334375,6.0046875
-70.340625,-64.3359375,6.0046875
-74.0578125,-68.053125,6.00468749999999
-78.6328125,-72.9140625,5.71875
-83.49375,-78.346875,5.14687500000001
-87.496875,-83.49375,4.003125
-90.35625,-87.496875,2.859375
-90.928125,-89.4984375,1.4296875
-89.4984375,-89.4984375,0.0
-86.353125,-87.2109375,-0.857812499999994
-81.4921875,-83.2078125,-1.715625
-76.3453125,-78.346875,-2.00156249999999
-71.1984375,-73.771875,-2.57343750000001
-67.7671875,-70.340625,-2.5734375
-66.6234375,-69.196875,-2.5734375
-68.3390625,-70.6265625,-2.28750000000001
-72.9140625,-75.2015625,-2.28750000000001
-80.3484375,-82.6359375,-2.28749999999999
-89.4984375,-92.3578125,-2.859375
-99.7921875,-102.9375,-3.1453125
-109.5140625,-113.5171875,-4.003125
-118.0921875,-122.38125,-4.2890625
-124.3828125,-129.24375,-4.86093750000001
-127.528125,-132.675,-5.14687500000001
-127.8140625,-132.9609375,-5.14687499999999
-124.9546875,-129.815625,-4.86093750000001
-119.521875,-124.3828125,-4.86093749999999
-112.659375,-116.9484375,-4.2890625
-105.225,-108.9421875,-3.71718749999999
-98.3625,-101.5078125,-3.1453125
-92.64375,-95.503125,-2.859375
-88.9265625,-91.5,-2.5734375
-87.496875,-89.4984375,-2.00156250000001
-88.06875,-89.784375,-1.71562499999999
-90.6421875,-91.7859375,-1.14375
-94.6453125,-94.93125,-0.285937500000003
-99.2203125,-98.6484375,0.571875000000006
-103.7953125,-101.79375,2.00156250000001
-108.084375,-104.3671875,3.71718750000001
-111.2296875,-105.796875,5.43281250000001
-113.5171875,-106.0828125,7.434375
-114.6609375,-105.5109375,9.15000000000001
-114.375,-104.3671875,10.0078125
-113.5171875,-102.9375,10.5796875
-112.0875,-101.79375,10.29375
-110.371875,-100.9359375,9.43593749999999
-108.3703125,-100.3640625,8.00624999999999
-106.6546875,-100.65,6.0046875
-104.9390625,-100.9359375,4.003125
-103.509375,-101.5078125,2.00156250000001
-102.365625,-101.79375,0.571875000000006
-101.5078125,-101.79375,-0.285937500000003
