LEFT,RIGHT,DIFF
1657.865625,2272.9171875,615.0515625
1661.86875,2277.4921875,615.6234375
1664.15625,2280.3515625,616.1953125
1664.728125,2281.4953125,616.7671875
1664.15625,2281.209375,617.053125
1662.7265625,2280.3515625,617.625
1660.4390625,2278.921875,618.4828125
1657.865625,2277.4921875,619.6265625
1655.00625,2275.7765625,620.7703125
1652.146875,2274.346875,622.2
1649.2875,2272.63125,623.34375
1646.428125,2270.915625,624.4875
1643.56875,2268.3421875,624.7734375
1640.9953125,2265.76875,624.7734375
1638.421875,2262.3375,623.915625
1635.8484375,2258.334375,622.4859375
1633.846875,2254.33125,620.484375
1632.13125,2250.0421875,617.9109375
1630.7015625,2246.325,615.6234375
1629.84375,2243.1796875,613.3359375
1629.271875,2240.60625,611.334375
1628.9859375,2239.1765625,610.190625
1628.9859375,2238.31875,609.3328125
1628.7,2238.31875,609.61875
1628.4140625,2238.890625,610.4765625
1627.8421875,2239.7484375,611.90625
1626.6984375,2240.3203125,613.621875
1624.9828125,2240.60625,615.6234375
1622.98125,2240.3203125,617.3390625
1620.69375,2239.4625,618.76875
1618.1203125,2238.31875,620.1984375
1615.546875,2236.8890625,621.3421875
1613.259375,2235.1734375,621.9140625
1610.971875,2233.74375,622.771875
1608.9703125,2232.3140625,623.34375
1606.96875,2231.45625,624.4875
1604.9671875,2230.5984375,625.63125
1602.6796875,2229.740625,627.0609375
1599.8203125,2228.8828125,629.0625
1596.3890625,2228.025,631.6359375
1592.1,2226.309375,634.209375
1587.2390625,2224.3078125,637.06875
1582.0921875,2221.4484375,639.35625
1576.3734375,2218.0171875,641.64375
1570.940625,2214.3,643.359375
1566.365625,2210.296875,643.93125
1562.3625,2206.865625,644.503125
1559.503125,2203.434375,643.93125
1558.0734375,2200.8609375,642.7875
1558.0734375,2199.43125,641.3578125
1558.93125,2198.2875,639.35625
1560.9328125,2198.2875,637.3546875
1563.2203125,2198.5734375,635.353125
1565.5078125,2198.859375,633.3515625
1567.2234375,2199.1453125,631.921875
