LEFT,RIGHT,DIFF
-693.1125,-243.61875,449.49375
-690.5390625,-242.1890625,448.35
-687.6796875,-239.3296875,448.35
-685.3921875,-235.040625,450.3515625
-683.1046875,-230.1796875,452.925
-681.9609375,-225.0328125,456.928125
-681.103125,-219.8859375,461.2171875
-681.3890625,-215.3109375,466.078125
-681.9609375,-211.8796875,470.08125
-683.390625,-209.30625,474.084375
-685.10625,-208.1625,476.94375
-687.1078125,-208.1625,478.9453125
-689.3953125,-209.30625,480.0890625
-691.6828125,-211.021875,480.6609375
-694.25625,-213.309375,480.946875
-696.54375,-215.596875,480.946875
-699.1171875,-217.884375,481.2328125
-701.690625,-219.8859375,481.8046875
-703.978125,-221.0296875,482.9484375
-705.9796875,-221.6015625,484.378125
-707.6953125,-221.6015625,486.09375
-708.8390625,-220.74375,488.0953125
-709.125,-219.6,489.525
-708.553125,-217.884375,490.66875
-707.1234375,-216.16875,490.9546875
-704.8359375,-214.7390625,490.096875
-702.2625,-213.309375,488.953125
-699.403125,-212.7375,486.665625
-696.8296875,-212.7375,484.0921875
-694.5421875,-213.5953125,480.946875
-693.3984375,-215.596875,477.8015625
-693.1125,-218.1703125,474.9421875
-694.25625,-221.6015625,472.6546875
-696.54375,-225.6046875,470.9390625
-699.975,-229.89375,470.08125
-703.978125,-233.896875,470.08125
-708.553125,-237.6140625,470.9390625
-712.8421875,-240.4734375,472.36875
-716.559375,-242.475,474.084375
-719.41875,-243.046875,476.371875
-720.8484375,-242.475,478.3734375
-721.134375,-241.0453125,480.0890625
-719.990625,-238.7578125,481.2328125
-717.703125,-235.6125,482.090625
-714.5578125,-232.4671875,482.090625
-711.1265625,-229.6078125,481.51875
-707.6953125,-227.3203125,480.375
-704.55,-225.6046875,478.9453125
-702.5484375,-224.746875,477.8015625
-701.11875,-225.0328125,476.0859375
-701.11875,-226.1765625,474.9421875
-701.9765625,-228.178125,473.7984375
-703.978125,-230.1796875,473.7984375
-706.265625,-232.753125,473.5125
-709.125,-235.040625,474.084375
-711.984375,-237.0421875,474.9421875
-714.271875,-238.7578125,475.5140625
-715.9875,-239.615625,476.371875
-717.13125,-239.9015625,477.2296875
-717.4171875,-239.615625,477.8015625
-717.13125,-238.7578125,478.3734375
-716.2734375,-237.6140625,478.659375
-714.84375,-235.8984375,478.9453125
-713.128125,-233.896875,479.23125
-711.6984375,-231.609375,480.0890625
-709.9828125,-229.321875,480.6609375
-708.8390625,-227.034375,481.8046875
-707.6953125,-224.746875,482.9484375
-706.8375,-222.7453125,484.0921875
-706.265625,-221.0296875,485.2359375
-705.69375,-219.6,486.09375
-705.4078125,-218.7421875,486.665625
-704.8359375,-218.45625,486.3796875
-704.55,-218.7421875,485.8078125
-703.978125,-219.8859375,484.0921875
-703.40625,-221.6015625,481.8046875
-702.5484375,-223.603125,478.9453125
-701.9765625,-225.890625,476.0859375
-701.4046875,-228.178125,473.2265625
-700.8328125,-230.465625,470.3671875
-700.546875,-232.4671875,468.0796875
-700.2609375,-233.896875,466.3640625
-700.2609375,-234.46875,465.7921875
-700.2609375,-234.46875,465.7921875
-700.2609375,-233.896875,466.3640625
-700.2609375,-232.4671875,467.79375
-700.2609375,-230.465625,469.7953125
-699.6890625,-227.8921875,471.796875
-699.1171875,-225.31875,473.7984375
-697.9734375,-222.459375,475.5140625
-696.54375,-219.6,476.94375
-695.1140625,-217.0265625,478.0875
-693.3984375,-214.453125,478.9453125
-691.396875,-211.8796875,479.5171875
-689.68125,-209.878125,479.803125
-688.2515625,-207.8765625,480.375
-687.1078125,-206.1609375,480.946875
-686.25,-204.4453125,481.8046875
-685.678125,-203.015625,482.6625
-685.678125,-201.5859375,484.0921875
-685.9640625,-200.15625,485.8078125
-686.5359375,-198.7265625,487.809375
-686.821875,-197.296875,489.525
-687.1078125,-195.8671875,491.240625
-686.821875,-194.1515625,492.6703125
-686.25,-192.721875,493.528125
-685.3921875,-191.00625,494.3859375
-683.9625,-189.290625,494.671875
-682.246875,-187.8609375,494.3859375
-680.2453125,-186.43125,493.8140625
-678.24375,-185.0015625,493.2421875
-676.528125,-183.8578125,492.6703125
-675.0984375,-183.0,492.0984375
-674.240625,-182.1421875,492.0984375
-674.240625,-181.5703125,492.6703125
-674.8125,-181.284375,493.528125
-676.2421875,-181.284375,494.9578125
-678.24375,-180.9984375,497.2453125
-680.8171875,-180.9984375,499.81875
-683.390625,-180.7125,502.678125
-685.9640625,-180.4265625,505.5375
-688.2515625,-179.8546875,508.396875
-689.68125,-178.996875,510.684375
-690.5390625,-178.1390625,512.4
-690.5390625,-176.9953125,513.54375
-689.3953125,-175.565625,513.8296875
-687.1078125,-174.421875,512.6859375
-684.2484375,-173.278125,510.9703125
-680.8171875,-172.4203125,508.396875
-677.3859375,-171.8484375,505.5375
-673.66875,-171.8484375,501.8203125
-670.5234375,-172.4203125,498.103125
-667.95,-173.85,494.1
-666.234375,-175.565625,490.66875
-665.6625,-178.1390625,487.5234375
-665.9484375,-180.9984375,484.95
-667.0921875,-184.14375,482.9484375
-668.8078125,-187.003125,481.8046875
-670.5234375,-190.1484375,480.375
-672.525,-192.721875,479.803125
-674.240625,-194.7234375,479.5171875
-675.384375,-196.153125,479.23125
-675.95625,-197.296875,478.659375
-675.6703125,-197.86875,477.8015625
-675.0984375,-197.86875,477.2296875
-673.9546875,-197.86875,476.0859375
-673.096875,-197.5828125,475.5140625
-672.2390625,-197.5828125,474.65625
-671.6671875,-197.86875,473.7984375
-671.6671875,-198.1546875,473.5125
-672.525,-198.440625,474.084375
-673.66875,-198.7265625,474.9421875
-675.384375,-199.0125,476.371875
-676.8140625,-198.440625,478.3734375
-677.9578125,-197.296875,480.6609375
-678.5296875,-195.009375,483.5203125
-678.5296875,-192.15,486.3796875
-677.1,-188.146875,488.953125
-675.0984375,-183.2859375,491.8125
-671.953125,-178.1390625,493.8140625
-668.2359375,-172.9921875,495.24375
-664.51875,-167.8453125,496.6734375
-660.515625,-163.55625,496.959375
-657.3703125,-160.125,497.2453125
-655.0828125,-157.8375,497.2453125
-653.653125,-156.69375,496.959375
-653.653125,-156.9796875,496.6734375
-654.5109375,-158.1234375,496.3875
-656.2265625,-159.8390625,496.3875
-658.8,-162.1265625,496.6734375
-661.659375,-164.4140625,497.2453125
-664.51875,-166.7015625,497.8171875
-667.0921875,-168.4171875,498.675
-669.3796875,-169.5609375,499.81875
