LEFT,RIGHT,DIFF
-591.6046875,-197.86875,393.7359375
-591.890625,-200.15625,391.734375
-592.1765625,-202.1578125,390.01875
-592.7484375,-203.5875,389.1609375
-593.8921875,-204.73125,389.1609375
-595.6078125,-205.5890625,390.01875
-597.8953125,-206.1609375,391.734375
-600.46875,-207.01875,393.45
-603.6140625,-207.8765625,395.7375
-606.4734375,-208.4484375,398.025
-609.046875,-209.30625,399.740625
-611.0484375,-209.878125,401.1703125
-612.1921875,-210.45,401.7421875
-612.1921875,-210.7359375,401.45625
-611.334375,-210.7359375,400.5984375
-609.9046875,-210.45,399.4546875
-607.6171875,-210.1640625,397.453125
-605.04375,-209.30625,395.7375
-602.75625,-208.734375,394.021875
-600.1828125,-208.1625,392.0203125
-598.4671875,-207.590625,390.8765625
-597.0375,-207.3046875,389.7328125
-596.1796875,-206.7328125,389.446875
-595.321875,-206.1609375,389.1609375
-595.0359375,-205.0171875,390.01875
-594.178125,-203.5875,390.590625
-593.3203125,-201.3,392.0203125
-591.890625,-198.440625,393.45
-589.8890625,-195.009375,394.8796875
-587.315625,-191.00625,396.309375
-584.45625,-186.7171875,397.7390625
-581.596875,-182.7140625,398.8828125
-578.7375,-179.2828125,399.4546875
-576.1640625,-176.709375,399.4546875
-574.1625,-175.2796875,398.8828125
-572.7328125,-174.99375,397.7390625
-572.1609375,-175.8515625,396.309375
-572.1609375,-177.5671875,394.59375
-572.1609375,-179.56875,392.5921875
-572.446875,-181.5703125,390.8765625
-572.446875,-182.7140625,389.7328125
-571.875,-182.7140625,389.1609375
-570.73125,-181.284375,389.446875
-568.7296875,-178.1390625,390.590625
-566.15625,-173.85,392.30625
-563.296875,-168.4171875,394.8796875
-560.4375,-162.6984375,397.7390625
-557.8640625,-156.9796875,400.884375
-555.8625,-152.4046875,403.4578125
-555.290625,-148.9734375,406.3171875
-555.8625,-147.54375,408.31875
-557.8640625,-148.115625,409.7484375
-561.2953125,-150.6890625,410.60625
-565.8703125,-154.6921875,411.178125
-571.0171875,-159.8390625,411.178125
-576.7359375,-165.5578125,411.178125
-581.8828125,-170.7046875,411.178125
-586.4578125,-175.2796875,411.178125
-589.8890625,-178.1390625,411.75
-592.1765625,-179.8546875,412.321875
-592.7484375,-179.8546875,412.89375
-592.1765625,-178.1390625,414.0375
-590.175,-175.8515625,414.3234375
-587.315625,-172.70625,414.609375
-584.1703125,-169.5609375,414.609375
-581.025,-166.415625,414.609375
-578.165625,-164.128125,414.0375
-575.878125,-162.4125,413.465625
-574.4484375,-161.5546875,412.89375
-573.590625,-161.26875,412.321875
-573.590625,-161.26875,412.321875
-574.1625,-161.5546875,412.6078125
-575.0203125,-161.5546875,413.465625
-575.878125,-161.5546875,414.3234375
-576.7359375,-160.9828125,415.753125
-577.3078125,-160.4109375,416.896875
-577.3078125,-159.553125,417.7546875
-577.021875,-158.6953125,418.3265625
-576.45,-158.1234375,418.3265625
-575.878125,-158.1234375,417.7546875
-575.0203125,-158.409375,416.6109375
-574.734375,-159.553125,415.18125
-574.4484375,-160.9828125,413.465625
-575.0203125,-162.6984375,412.321875
-575.878125,-164.7,411.178125
-577.021875,-166.1296875,410.8921875
-578.7375,-167.2734375,411.4640625
-580.453125,-167.559375,412.89375
-582.4546875,-166.9875,415.4671875
-583.884375,-165.271875,418.6125
-584.7421875,-162.984375,421.7578125
-585.3140625,-160.125,425.1890625
-585.028125,-156.69375,428.334375
-584.1703125,-153.5484375,430.621875
-583.0265625,-150.403125,432.6234375
-581.3109375,-147.54375,433.7671875
-579.5953125,-145.5421875,434.053125
-578.165625,-144.684375,433.48125
-577.021875,-144.3984375,432.6234375
-576.45,-145.25625,431.19375
-576.45,-146.6859375,429.7640625
-577.021875,-148.6875,428.334375
-578.4515625,-150.975,427.4765625
-580.1671875,-153.2625,426.9046875
-582.16875,-155.55,426.61875
-584.45625,-157.5515625,426.9046875
-586.171875,-158.98125,427.190625
-587.6015625,-159.8390625,427.7625
-588.459375,-160.4109375,428.0484375
-588.7453125,-160.125,428.6203125
-588.459375,-159.8390625,428.6203125
-587.6015625,-158.98125,428.6203125
-586.4578125,-158.409375,428.0484375
-585.6,-157.8375,427.7625
-584.7421875,-157.8375,426.9046875
-584.1703125,-158.409375,425.7609375
-584.45625,-159.553125,424.903125
-585.028125,-160.9828125,424.0453125
-586.171875,-162.984375,423.1875
-587.6015625,-165.271875,422.3296875
-589.3171875,-167.8453125,421.471875
-590.746875,-170.1328125,420.6140625
-592.1765625,-172.134375,420.0421875
-593.034375,-173.5640625,419.4703125
-593.034375,-174.7078125,418.3265625
-592.7484375,-174.99375,417.7546875
-591.890625,-174.7078125,417.1828125
-590.746875,-173.85,416.896875
-589.3171875,-172.70625,416.6109375
-587.8875,-171.2765625,416.6109375
-586.4578125,-169.5609375,416.896875
-585.6,-168.13125,417.46875
-584.7421875,-166.7015625,418.040625
