LEFT,RIGHT,DIFF
-388.875,-141.825,247.05
-388.5890625,-138.1078125,250.48125
-389.1609375,-135.8203125,253.340625
-391.1625,-135.2484375,255.9140625
-394.3078125,-136.10625,258.2015625
-398.025,-138.39375,259.63125
-402.6,-141.825,260.775
-406.603125,-145.828125,260.775
-410.60625,-149.83125,260.775
-413.465625,-152.9765625,260.4890625
-415.18125,-155.55,259.63125
-415.4671875,-156.4078125,259.059375
-414.8953125,-156.121875,258.7734375
-413.1796875,-154.6921875,258.4875
-410.8921875,-152.11875,258.7734375
-408.31875,-148.6875,259.63125
-405.7453125,-145.25625,260.4890625
-404.0296875,-142.1109375,261.91875
-402.6,-139.2515625,263.3484375
-402.3140625,-137.25,265.0640625
-402.6,-135.534375,267.065625
-403.74375,-134.9625,268.78125
-405.1734375,-134.390625,270.7828125
-407.175,-134.390625,272.784375
-408.6046875,-134.390625,274.2140625
-410.034375,-134.390625,275.64375
-410.8921875,-134.1046875,276.7875
-411.4640625,-133.5328125,277.93125
-411.178125,-132.9609375,278.2171875
-410.8921875,-132.3890625,278.503125
-410.034375,-131.53125,278.503125
-409.1765625,-130.959375,278.2171875
-408.6046875,-130.959375,277.6453125
-408.31875,-130.959375,277.359375
-408.31875,-131.53125,276.7875
-408.890625,-132.675,276.215625
-409.7484375,-134.1046875,275.64375
-411.178125,-136.10625,275.071875
-412.89375,-138.1078125,274.7859375
-414.3234375,-140.3953125,273.928125
-416.0390625,-142.6828125,273.35625
-417.46875,-144.9703125,272.4984375
-418.3265625,-146.971875,271.3546875
-418.8984375,-148.4015625,270.496875
-418.6125,-149.259375,269.353125
-417.7546875,-149.259375,268.4953125
-416.325,-148.9734375,267.3515625
-414.3234375,-147.54375,266.7796875
-412.0359375,-145.828125,266.2078125
-409.4625,-143.540625,265.921875
-406.8890625,-140.9671875,265.921875
-404.315625,-138.6796875,265.6359375
-402.3140625,-136.9640625,265.35
-401.1703125,-135.8203125,265.35
-400.3125,-135.534375,264.778125
-400.3125,-136.678125,263.634375
-401.1703125,-138.6796875,262.490625
-402.6,-141.5390625,261.0609375
-404.315625,-145.25625,259.059375
-406.603125,-149.259375,257.34375
-408.6046875,-153.5484375,255.05625
-410.60625,-157.5515625,253.0546875
-412.0359375,-160.9828125,251.053125
-412.89375,-163.55625,249.3375
-413.1796875,-164.9859375,248.19375
-412.89375,-165.84375,247.05
-411.75,-165.5578125,246.1921875
-410.60625,-164.7,245.90625
-408.890625,-163.2703125,245.6203125
-407.4609375,-161.26875,246.1921875
-406.3171875,-158.98125,247.3359375
-405.1734375,-156.69375,248.4796875
-404.8875,-154.1203125,250.7671875
-404.8875,-151.8328125,253.0546875
-405.7453125,-149.259375,256.4859375
-406.603125,-146.6859375,259.9171875
-408.0328125,-144.1125,263.9203125
-409.7484375,-141.5390625,268.209375
-411.4640625,-139.5375,271.9265625
-413.1796875,-137.5359375,275.64375
-414.609375,-136.10625,278.503125
-415.753125,-135.2484375,280.5046875
-416.325,-134.6765625,281.6484375
-416.896875,-134.9625,281.934375
-417.1828125,-135.534375,281.6484375
-417.1828125,-136.3921875,280.790625
-416.896875,-137.25,279.646875
-416.325,-138.1078125,278.2171875
-415.753125,-138.6796875,277.0734375
-415.18125,-138.6796875,276.5015625
-414.3234375,-138.1078125,276.215625
-413.465625,-137.25,276.215625
-412.6078125,-136.3921875,276.215625
-411.75,-135.2484375,276.5015625
-410.60625,-134.1046875,276.5015625
-409.4625,-133.5328125,275.9296875
-408.31875,-133.5328125,274.7859375
-406.8890625,-134.390625,272.4984375
-405.7453125,-135.534375,270.2109375
-404.315625,-136.9640625,267.3515625
-403.171875,-138.6796875,264.4921875
-402.028125,-140.3953125,261.6328125
-400.884375,-141.825,259.059375
-400.3125,-142.396875,257.915625
-399.740625,-142.6828125,257.0578125
-399.4546875,-142.1109375,257.34375
-399.740625,-140.9671875,258.7734375
-400.0265625,-139.5375,260.4890625
-400.884375,-137.821875,263.0625
-401.7421875,-136.3921875,265.35
-403.171875,-135.2484375,267.9234375
-404.6015625,-134.6765625,269.925
-406.3171875,-134.6765625,271.640625
-408.31875,-135.534375,272.784375
-410.3203125,-136.9640625,273.35625
-412.321875,-138.6796875,273.6421875
-414.3234375,-140.3953125,273.928125
-416.6109375,-142.396875,274.2140625
-418.3265625,-143.8265625,274.5
-420.0421875,-145.25625,274.7859375
-421.7578125,-146.4,275.3578125
-422.9015625,-146.971875,275.9296875
-423.759375,-147.54375,276.215625
-424.0453125,-148.115625,275.9296875
-424.0453125,-148.6875,275.3578125
-423.1875,-148.9734375,274.2140625
-421.7578125,-149.259375,272.4984375
-419.75625,-149.5453125,270.2109375
-417.1828125,-149.259375,267.9234375
-414.3234375,-148.6875,265.6359375
-411.178125,-147.54375,263.634375
-407.746875,-145.828125,261.91875
-404.6015625,-143.540625,261.0609375
-402.028125,-140.68125,261.346875
-400.0265625,-137.5359375,262.490625
-398.8828125,-134.390625,264.4921875
-398.8828125,-131.8171875,267.065625
-399.4546875,-129.24375,270.2109375
-401.1703125,-127.528125,273.6421875
-403.171875,-126.6703125,276.5015625
-405.7453125,-126.384375,279.3609375
-408.6046875,-126.6703125,281.934375
-411.178125,-127.2421875,283.9359375
-413.465625,-128.1,285.365625
-414.8953125,-128.9578125,285.9375
-416.0390625,-129.5296875,286.509375
-416.0390625,-129.5296875,286.509375
-415.753125,-129.5296875,286.2234375
-414.8953125,-128.9578125,285.9375
-414.0375,-128.671875,285.365625
-412.89375,-128.1,284.79375
