LEFT,RIGHT,DIFF
-1176.0609375,-1820.85,-644.7890625
-1170.628125,-1816.5609375,-645.9328125
-1165.7671875,-1813.415625,-647.6484375
-1162.3359375,-1811.9859375,-649.65
-1160.334375,-1812.5578125,-652.2234375
-1160.334375,-1814.559375,-654.225
-1161.7640625,-1817.7046875,-655.940625
-1164.3375,-1821.7078125,-657.3703125
-1167.76875,-1825.7109375,-657.9421875
-1171.2,-1829.428125,-658.228125
-1174.3453125,-1832.2875,-657.9421875
-1176.6328125,-1834.2890625,-657.65625
-1178.634375,-1835.4328125,-656.7984375
-1179.4921875,-1835.71875,-656.2265625
-1179.4921875,-1835.71875,-656.2265625
-1178.634375,-1835.146875,-656.5125
-1177.490625,-1834.2890625,-656.7984375
-1175.775,-1833.43125,-657.65625
-1173.4875,-1832.0015625,-658.5140625
-1170.9140625,-1830.0,-659.0859375
-1168.340625,-1827.7125,-659.371875
-1165.1953125,-1824.5671875,-659.371875
-1162.05,-1821.1359375,-659.0859375
-1159.190625,-1817.1328125,-657.9421875
-1156.6171875,-1813.1296875,-656.5125
-1154.615625,-1809.6984375,-655.0828125
-1153.471875,-1806.8390625,-653.3671875
-1153.1859375,-1804.8375,-651.6515625
-1153.471875,-1803.69375,-650.221875
-1154.615625,-1803.69375,-649.078125
-1155.759375,-1804.265625,-648.50625
-1156.6171875,-1805.1234375,-648.50625
-1156.903125,-1805.6953125,-648.7921875
-1156.33125,-1805.409375,-649.078125
-1154.04375,-1804.265625,-650.221875
-1150.8984375,-1801.978125,-651.0796875
-1146.8953125,-1798.8328125,-651.9375
-1142.3203125,-1795.4015625,-653.08125
-1138.03125,-1792.25625,-654.225
-1135.171875,-1789.96875,-654.796875
-1121.7328125,-1792.25625,-670.5234375
-1120.875,-1793.971875,-673.096875
-1120.303125,-1795.115625,-674.8125
-1119.73125,-1795.115625,-675.384375
-1118.8734375,-1793.971875,-675.0984375
-1118.015625,-1791.9703125,-673.9546875
-1116.871875,-1788.825,-671.953125
-1115.728125,-1785.1078125,-669.3796875
-1114.0125,-1781.390625,-667.378125
-1112.5828125,-1777.959375,-665.3765625
-1111.4390625,-1775.671875,-664.2328125
-1111.153125,-1774.528125,-663.375
-1111.725,-1774.528125,-662.803125
-1113.1546875,-1776.5296875,-663.375
-1116.0140625,-1779.675,-663.6609375
-1120.0171875,-1783.9640625,-663.946875
-1125.1640625,-1789.1109375,-663.946875
-1130.596875,-1793.971875,-663.375
-1136.0296875,-1798.2609375,-662.23125
-1141.1765625,-1801.6921875,-660.515625
-1118.015625,-1783.10625,-665.090625
-1119.159375,-1784.821875,-665.6625
-1120.303125,-1785.965625,-665.6625
-1121.446875,-1787.109375,-665.6625
-1122.590625,-1788.5390625,-665.9484375
-1123.734375,-1789.96875,-666.234375
-1125.1640625,-1791.9703125,-666.80625
-1127.165625,-1794.54375,-667.378125
-1129.453125,-1797.6890625,-668.2359375
-1132.3125,-1800.834375,-668.521875
-1135.74375,-1804.5515625,-668.8078125
-1139.4609375,-1807.696875,-668.2359375
-1143.178125,-1810.55625,-667.378125
-1146.609375,-1812.5578125,-665.9484375
-1149.1828125,-1813.1296875,-663.946875
-1150.6125,-1811.9859375,-661.3734375
-1150.6125,-1809.6984375,-659.0859375
-1148.896875,-1805.6953125,-656.7984375
-1145.465625,-1800.834375,-655.36875
-1140.890625,-1795.115625,-654.225
-1122.8765625,-1793.6859375,-670.809375
-1125.7359375,-1794.8296875,-669.09375
-1126.8796875,-1793.971875,-667.0921875
-1125.45,-1791.3984375,-665.9484375
-1121.7328125,-1786.8234375,-665.090625
-1116.0140625,-1780.5328125,-664.51875
-1108.865625,-1773.95625,-665.090625
-1101.1453125,-1767.09375,-665.9484375
-1093.996875,-1761.6609375,-667.6640625
-1088.5640625,-1758.2296875,-669.665625
-1085.41875,-1757.371875,-671.953125
-1084.846875,-1759.3734375,-674.5265625
-1087.134375,-1764.234375,-677.1
-1091.9953125,-1771.3828125,-679.3875
-1098.2859375,-1779.675,-681.3890625
-1104.8625,-1787.9671875,-683.1046875
-1110.8671875,-1795.115625,-684.2484375
-1114.8703125,-1799.4046875,-684.534375
-1116.3,-1800.5484375,-684.2484375
