LEFT,RIGHT,DIFF
-140.3953125,-265.0640625,-124.66875
-146.6859375,-272.784375,-126.0984375
-152.690625,-280.21875,-127.528125
-157.265625,-286.2234375,-128.9578125
-159.8390625,-290.2265625,-130.3875
-160.125,-291.65625,-131.53125
-157.8375,-290.7984375,-132.9609375
-153.2625,-288.225,-134.9625
-147.54375,-284.221875,-136.678125
-141.5390625,-280.21875,-138.6796875
-136.10625,-276.7875,-140.68125
-132.103125,-274.7859375,-142.6828125
-130.1015625,-275.3578125,-145.25625
-130.6734375,-277.93125,-147.2578125
-133.246875,-282.7921875,-149.5453125
-137.5359375,-289.0828125,-151.546875
-142.6828125,-296.23125,-153.5484375
-147.8296875,-302.8078125,-154.978125
-151.8328125,-308.240625,-156.4078125
-154.1203125,-311.9578125,-157.8375
-154.1203125,-313.3875,-159.2671875
-152.4046875,-312.5296875,-160.125
-148.6875,-309.95625,-161.26875
-144.1125,-306.525,-162.4125
-139.5375,-302.8078125,-163.2703125
-135.534375,-299.3765625,-163.8421875
-132.9609375,-297.0890625,-164.128125
-132.103125,-296.5171875,-164.4140625
-133.5328125,-297.375,-163.8421875
-136.3921875,-299.3765625,-162.984375
-140.68125,-302.521875,-161.840625
-145.5421875,-305.953125,-160.4109375
-150.403125,-309.384375,-158.98125
-154.6921875,-311.9578125,-157.265625
-157.8375,-313.6734375,-155.8359375
-159.8390625,-314.53125,-154.6921875
-160.4109375,-314.8171875,-154.40625
-160.125,-314.2453125,-154.1203125
-158.6953125,-313.6734375,-154.978125
-157.265625,-312.815625,-155.55
-155.2640625,-312.24375,-156.9796875
-153.5484375,-311.3859375,-157.8375
-151.546875,-310.528125,-158.98125
-149.5453125,-309.384375,-159.8390625
-146.971875,-307.66875,-160.696875
-144.3984375,-305.0953125,-160.696875
-141.253125,-302.521875,-161.26875
-138.1078125,-299.6625,-161.5546875
-134.9625,-297.6609375,-162.6984375
-132.675,-296.23125,-163.55625
-130.959375,-296.803125,-165.84375
-130.959375,-299.3765625,-168.4171875
-132.3890625,-303.9515625,-171.5625
-135.534375,-310.8140625,-175.2796875
-140.109375,-318.8203125,-178.7109375
-145.828125,-327.684375,-181.85625
-151.8328125,-335.9765625,-184.14375
-157.5515625,-342.8390625,-185.2875
-162.6984375,-347.128125,-184.4296875
-166.415625,-348.84375,-182.428125
-168.4171875,-347.128125,-178.7109375
-168.9890625,-342.553125,-173.5640625
-168.13125,-335.9765625,-167.8453125
-166.415625,-327.684375,-161.26875
-164.4140625,-319.10625,-154.6921875
-162.4125,-311.1,-148.6875
-160.696875,-304.809375,-144.1125
-159.8390625,-300.234375,-140.3953125
-159.2671875,-297.946875,-138.6796875
-159.2671875,-297.375,-138.1078125
-159.2671875,-298.51875,-139.2515625
-158.6953125,-300.234375,-141.5390625
-157.8375,-302.2359375,-144.3984375
-156.121875,-303.9515625,-147.8296875
-153.5484375,-305.0953125,-151.546875
-150.6890625,-305.6671875,-154.978125
-147.54375,-305.6671875,-158.1234375
-144.3984375,-305.38125,-160.9828125
-142.1109375,-305.0953125,-162.984375
-140.3953125,-305.0953125,-164.7
-139.2515625,-305.38125,-166.1296875
-138.6796875,-305.6671875,-166.9875
-138.1078125,-305.38125,-167.2734375
-136.678125,-304.2375,-167.559375
-134.6765625,-301.6640625,-166.9875
-131.53125,-297.6609375,-166.1296875
-127.2421875,-291.65625,-164.4140625
-122.0953125,-284.5078125,-162.4125
-116.9484375,-276.5015625,-159.553125
-112.659375,-268.78125,-156.121875
-110.371875,-261.91875,-151.546875
-110.6578125,-257.6296875,-146.971875
-114.375,-256.2,-141.825
-121.5234375,-257.915625,-136.3921875
-131.8171875,-262.7765625,-130.959375
-144.1125,-270.2109375,-126.0984375
-157.5515625,-278.7890625,-121.2375
-170.7046875,-287.3671875,-116.6625
-181.5703125,-294.515625,-112.9453125
-189.5765625,-298.8046875,-109.228125
-193.5796875,-299.3765625,-105.796875
-193.5796875,-296.23125,-102.6515625
-189.8625,-289.6546875,-99.7921875
-183.571875,-280.5046875,-96.9328125
-176.4234375,-270.2109375,-93.7875
-169.5609375,-260.203125,-90.6421875
-164.9859375,-251.9109375,-86.925
-163.2703125,-247.05,-83.7796875
-165.271875,-245.90625,-80.634375
-170.7046875,-248.4796875,-77.775
-178.996875,-254.1984375,-75.2015625
-189.0046875,-261.91875,-72.9140625
-198.7265625,-270.2109375,-71.484375
-206.7328125,-277.0734375,-70.340625
-211.59375,-281.3625,-69.76875
-212.7375,-281.934375,-69.196875
-209.30625,-278.7890625,-69.4828125
-202.1578125,-271.9265625,-69.76875
-192.15,-262.490625,-70.340625
-180.7125,-251.9109375,-71.1984375
-169.846875,-241.903125,-72.05625
-161.26875,-233.896875,-72.628125
-155.8359375,-229.321875,-73.4859375
-154.40625,-228.75,-74.34375
-157.265625,-232.4671875,-75.2015625
-163.55625,-239.615625,-76.059375
-172.134375,-249.3375,-77.203125
-181.5703125,-259.9171875,-78.346875
-190.1484375,-269.6390625,-79.490625
-196.4390625,-277.0734375,-80.634375
-199.2984375,-281.0765625,-81.778125
-197.86875,-281.0765625,-83.2078125
-193.0078125,-277.6453125,-84.6375
-184.715625,-270.7828125,-86.0671875
-174.99375,-262.2046875,-87.2109375
-164.9859375,-253.0546875,-88.06875
-156.121875,-245.0484375,-88.9265625
-150.1171875,-239.3296875,-89.2125
-147.54375,-236.75625,-89.2125
-148.6875,-237.328125,-88.640625
-153.5484375,-241.0453125,-87.496875
-160.9828125,-246.7640625,-85.78125
-169.846875,-253.6265625,-83.7796875
-178.425,-260.4890625,-82.0640625
-185.859375,-265.35,-79.490625
-191.00625,-267.9234375,-76.9171875
-192.721875,-267.6375,-74.915625
-191.2921875,-264.4921875,-73.2
-187.003125,-259.059375,-72.05625
-180.9984375,-251.9109375,-70.9125
-173.85,-244.4765625,-70.6265625
-167.2734375,-237.9,-70.6265625
-161.840625,-232.753125,-70.9125
-158.98125,-229.89375,-70.9125
-158.409375,-229.6078125,-71.1984375
-160.125,-231.0375,-70.9125
-163.8421875,-233.896875,-70.0546875
-168.4171875,-237.328125,-68.9109375
-172.9921875,-239.9015625,-66.909375
-176.709375,-241.0453125,-64.3359375
-178.425,-240.1875,-61.7625
-178.1390625,-237.0421875,-58.903125
-175.8515625,-231.609375,-55.7578125
-171.8484375,-225.0328125,-53.184375
-166.9875,-217.884375,-50.896875
-162.1265625,-211.3078125,-49.18125
-158.1234375,-206.446875,-48.3234375
-155.8359375,-203.8734375,-48.0375
-155.55,-204.159375,-48.609375
-157.5515625,-207.3046875,-49.753125
-161.26875,-212.4515625,-51.1828125
-166.1296875,-219.3140625,-53.184375
-171.2765625,-226.4625,-55.1859375
-175.565625,-232.753125,-57.1875
-178.425,-237.328125,-58.903125
-178.996875,-239.3296875,-60.3328125
-176.709375,-238.471875,-61.7625
-172.4203125,-234.7546875,-62.334375
-165.84375,-229.0359375,-63.1921875
-158.1234375,-221.6015625,-63.478125
-150.403125,-214.1671875,-63.7640625
-143.2546875,-207.01875,-63.7640625
-137.821875,-201.5859375,-63.7640625
-135.2484375,-198.440625,-63.1921875
-135.2484375,-198.1546875,-62.90625
-138.6796875,-200.4421875,-61.7625
-144.684375,-205.0171875,-60.3328125
-153.2625,-211.8796875,-58.6171875
-163.55625,-219.6,-56.04375
-174.99375,-227.8921875,-52.8984375
-187.003125,-236.184375,-49.18125
-198.7265625,-243.61875,-44.8921875
-210.1640625,-250.48125,-40.3171875
-220.171875,-256.2,-36.028125
-229.321875,-261.0609375,-31.7390625
-237.0421875,-265.0640625,-28.021875
-243.046875,-268.209375,-25.1625
-247.9078125,-270.7828125,-22.875
-250.7671875,-272.784375,-22.0171875
-251.9109375,-273.928125,-22.0171875
-251.053125,-274.2140625,-23.1609375
-248.19375,-272.784375,-24.590625
-243.61875,-270.2109375,-26.5921875
-237.0421875,-265.921875,-28.8796875
-229.0359375,-259.9171875,-30.88125
-219.8859375,-252.76875,-32.8828125
-210.1640625,-245.0484375,-34.884375
-200.728125,-237.0421875,-36.3140625
