LEFT,RIGHT,DIFF
1974.1125,0.0,-1974.1125
1971.825,0.0,-1971.825
1969.8234375,0.0,-1969.8234375
1968.39375,0.0,-1968.39375
1966.9640625,0.2859375,-1966.678125
1964.9625,0.571875,-1964.390625
1962.675,0.8578125,-1961.8171875
1959.815625,0.8578125,-1958.9578125
1956.0984375,0.8578125,-1955.240625
1952.0953125,0.8578125,-1951.2375
1948.378125,0.571875,-1947.80625
1945.51875,0.571875,-1944.946875
1944.0890625,0.2859375,-1943.803125
1945.2328125,0.2859375,-1944.946875
1948.95,0.2859375,-1948.6640625
1955.5265625,0.2859375,-1955.240625
1964.6765625,0.571875,-1964.1046875
1975.5421875,0.571875,-1974.9703125
1986.69375,0.8578125,-1985.8359375
1996.9875,1.14375,-1995.84375
2005.2796875,1.14375,-2004.1359375
2009.56875,1.14375,-2008.425
2009.8546875,0.8578125,-2008.996875
2005.2796875,0.8578125,-2004.421875
1996.415625,0.571875,-1995.84375
1984.1203125,0.2859375,-1983.834375
1969.8234375,0.0,-1969.8234375
1954.66875,0.0,-1954.66875
1940.94375,0.2859375,-1940.6578125
1930.078125,0.571875,-1929.50625
1922.64375,1.14375,-1921.5
1919.4984375,1.715625,-1917.7828125
1920.35625,2.5734375,-1917.7828125
1924.6453125,3.43125,-1921.2140625
1931.5078125,4.003125,-1927.5046875
1939.5140625,4.575,-1934.9390625
1947.234375,4.575,-1942.659375
1953.525,4.575,-1948.95
1958.1,4.2890625,-1953.8109375
1960.3875,3.7171875,-1956.6703125
1960.959375,3.1453125,-1957.8140625
1959.815625,2.2875,-1957.528125
1958.1,1.4296875,-1956.6703125
1956.95625,0.571875,-1956.384375
1956.384375,0.0,-1956.384375
1956.95625,0.0,-1956.95625
1958.9578125,-0.2859375,-1959.24375
1961.8171875,-0.2859375,-1962.103125
1964.6765625,0.0,-1964.6765625
1966.9640625,0.0,-1966.9640625
1967.5359375,0.2859375,-1967.25
1965.8203125,0.571875,-1965.2484375
1961.53125,0.8578125,-1960.6734375
1954.9546875,0.8578125,-1954.096875
1946.3765625,0.8578125,-1945.51875
1936.6546875,0.571875,-1936.0828125
1927.21875,0.571875,-1926.646875
1919.2125,0.2859375,-1918.9265625
1913.7796875,0.0,-1913.7796875
1912.0640625,0.0,-1912.0640625
1913.7796875,0.0,-1913.7796875
1919.4984375,0.2859375,-1919.2125
1928.0765625,0.571875,-1927.5046875
1938.9421875,0.8578125,-1938.084375
1950.09375,1.14375,-1948.95
1960.959375,1.14375,-1959.815625
1969.5375,1.4296875,-1968.1078125
1974.9703125,1.4296875,-1973.540625
1976.6859375,1.14375,-1975.5421875
1974.684375,0.8578125,-1973.8265625
1968.965625,0.571875,-1968.39375
1960.3875,0.2859375,-1960.1015625
1949.8078125,0.0,-1949.8078125
1938.65625,0.0,-1938.65625
1927.790625,0.0,-1927.790625
1918.3546875,0.0,-1918.3546875
1910.9203125,0.571875,-1910.3484375
1905.7734375,1.4296875,-1904.34375
1902.628125,2.2875,-1900.340625
1901.484375,3.43125,-1898.053125
1901.7703125,4.2890625,-1897.48125
1902.3421875,4.8609375,-1897.48125
1902.628125,5.4328125,-1897.1953125
1902.3421875,5.4328125,-1896.909375
1901.1984375,5.146875,-1896.0515625
1898.9109375,4.575,-1894.3359375
1896.3375,3.7171875,-1892.6203125
1893.7640625,2.859375,-1890.9046875
1891.7625,2.0015625,-1889.7609375
1891.190625,1.14375,-1890.046875
1892.90625,0.2859375,-1892.6203125
1896.6234375,0.0,-1896.6234375
1902.628125,0.0,-1902.628125
1910.634375,0.0,-1910.634375
1919.4984375,0.0,-1919.4984375
1928.6484375,0.0,-1928.6484375
1936.6546875,0.2859375,-1936.36875
1942.659375,0.571875,-1942.0875
1945.51875,0.571875,-1944.946875
1944.946875,0.571875,-1944.375
1940.6578125,0.571875,-1940.0859375
1932.9375,0.571875,-1932.365625
1922.9296875,0.2859375,-1922.64375
1911.4921875,0.2859375,-1911.20625
1900.340625,0.2859375,-1900.0546875
1890.3328125,0.2859375,-1890.046875
1882.6125,0.2859375,-1882.3265625
1878.3234375,0.571875,-1877.7515625
1877.1796875,0.8578125,-1876.321875
1879.4671875,1.14375,-1878.3234375
1884.328125,1.14375,-1883.184375
1890.61875,1.14375,-1889.475
1897.1953125,0.8578125,-1896.3375
1902.628125,0.8578125,-1901.7703125
1905.7734375,0.571875,-1905.2015625
1906.059375,0.2859375,-1905.7734375
1903.2,0.0,-1903.2
1896.909375,0.2859375,-1896.6234375
1888.0453125,0.2859375,-1887.759375
1877.1796875,0.8578125,-1876.321875
1866.028125,1.715625,-1864.3125
1855.4484375,2.5734375,-1852.875
1846.2984375,3.43125,-1842.8671875
1839.4359375,4.2890625,-1835.146875
1835.146875,4.8609375,-1830.2859375
1833.1453125,5.4328125,-1827.7125
1833.43125,5.4328125,-1827.9984375
1834.8609375,5.146875,-1829.7140625
1836.8625,4.575,-1832.2875
1838.2921875,3.7171875,-1834.575
1838.8640625,2.859375,-1836.0046875
