LEFT,RIGHT,DIFF
321.39375,0.0,-321.39375
324.253125,0.0,-324.253125
327.3984375,0.0,-327.3984375
329.971875,0.0,-329.971875
331.6875,0.2859375,-331.4015625
332.5453125,0.571875,-331.9734375
331.9734375,0.571875,-331.4015625
330.54375,0.571875,-329.971875
328.25625,0.571875,-327.684375
325.1109375,0.571875,-324.5390625
321.6796875,0.571875,-321.1078125
318.534375,0.571875,-317.9625
315.675,0.571875,-315.103125
313.3875,0.571875,-312.815625
311.9578125,0.8578125,-311.1
311.671875,0.8578125,-310.8140625
312.24375,0.8578125,-311.3859375
313.6734375,0.8578125,-312.815625
315.9609375,0.8578125,-315.103125
318.534375,0.571875,-317.9625
321.39375,0.571875,-320.821875
324.253125,0.2859375,-323.9671875
326.8265625,0.2859375,-326.540625
328.828125,0.2859375,-328.5421875
329.971875,0.571875,-329.4
330.54375,0.8578125,-329.6859375
330.2578125,1.4296875,-328.828125
329.1140625,2.0015625,-327.1125
327.3984375,2.859375,-324.5390625
325.396875,3.7171875,-321.6796875
323.109375,4.2890625,-318.8203125
321.1078125,4.8609375,-316.246875
319.678125,4.8609375,-314.8171875
318.534375,4.8609375,-313.6734375
318.2484375,4.575,-313.6734375
318.8203125,4.003125,-314.8171875
319.9640625,3.1453125,-316.81875
321.39375,2.2875,-319.10625
323.3953125,1.4296875,-321.965625
324.825,0.8578125,-323.9671875
326.2546875,0.2859375,-325.96875
326.8265625,0.0,-326.8265625
326.8265625,0.0,-326.8265625
325.96875,0.0,-325.96875
324.5390625,0.2859375,-324.253125
322.8234375,0.2859375,-322.5375
320.821875,0.571875,-320.25
319.10625,0.571875,-318.534375
317.6765625,0.8578125,-316.81875
316.5328125,0.8578125,-315.675
316.246875,0.571875,-315.675
316.246875,0.571875,-315.675
316.5328125,0.571875,-315.9609375
317.390625,0.571875,-316.81875
317.9625,0.571875,-317.390625
318.2484375,0.571875,-317.6765625
318.534375,0.571875,-317.9625
318.534375,0.8578125,-317.6765625
317.9625,0.8578125,-317.1046875
317.390625,0.8578125,-316.5328125
316.81875,0.8578125,-315.9609375
316.5328125,0.571875,-315.9609375
316.246875,0.571875,-315.675
316.246875,0.571875,-315.675
316.5328125,0.571875,-315.9609375
316.81875,0.571875,-316.246875
317.390625,0.8578125,-316.5328125
317.9625,1.14375,-316.81875
318.2484375,1.715625,-316.5328125
318.534375,2.2875,-316.246875
318.2484375,3.1453125,-315.103125
318.2484375,3.7171875,-314.53125
317.9625,4.2890625,-313.6734375
317.6765625,4.575,-313.1015625
317.6765625,4.575,-313.1015625
317.9625,4.575,-313.3875
318.534375,4.003125,-314.53125
319.10625,3.43125,-315.675
319.9640625,2.859375,-317.1046875
320.821875,2.0015625,-318.8203125
321.1078125,1.4296875,-319.678125
321.39375,0.8578125,-320.5359375
321.1078125,0.2859375,-320.821875
320.5359375,0.0,-320.5359375
319.9640625,0.0,-319.9640625
319.9640625,0.0,-319.9640625
320.25,0.0,-320.25
321.39375,0.2859375,-321.1078125
323.9671875,0.2859375,-323.68125
327.3984375,0.571875,-326.8265625
331.6875,0.571875,-331.115625
336.5484375,0.571875,-335.9765625
341.1234375,0.571875,-340.5515625
345.1265625,0.571875,-344.5546875
347.9859375,0.8578125,-347.128125
348.271875,0.8578125,-347.4140625
346.55625,0.8578125,-345.6984375
341.98125,0.8578125,-341.1234375
335.11875,0.8578125,-334.2609375
326.2546875,0.8578125,-325.396875
316.246875,0.571875,-315.675
305.953125,0.571875,-305.38125
296.5171875,0.2859375,-296.23125
288.796875,0.2859375,-288.5109375
283.65,0.2859375,-283.3640625
281.6484375,0.2859375,-281.3625
283.078125,0.571875,-282.50625
287.3671875,0.8578125,-286.509375
294.515625,1.715625,-292.8
303.09375,2.2875,-300.80625
312.815625,3.1453125,-309.6703125
322.5375,4.003125,-318.534375
331.115625,4.575,-326.540625
338.2640625,4.8609375,-333.403125
343.125,5.146875,-337.978125
345.6984375,4.8609375,-340.8375
345.6984375,4.2890625,-341.409375
343.9828125,3.7171875,-340.265625
340.8375,2.859375,-337.978125
336.834375,2.0015625,-334.8328125
332.5453125,1.14375,-331.4015625
328.5421875,0.2859375,-328.25625
325.1109375,0.0,-325.1109375
322.8234375,0.0,-322.8234375
321.6796875,0.0,-321.6796875
321.39375,0.0,-321.39375
322.2515625,0.0,-322.2515625
323.3953125,0.2859375,-323.109375
325.1109375,0.571875,-324.5390625
326.8265625,0.8578125,-325.96875
328.25625,0.8578125,-327.3984375
329.4,0.8578125,-328.5421875
329.971875,0.8578125,-329.1140625
329.971875,0.571875,-329.4
329.6859375,0.571875,-329.1140625
328.828125,0.2859375,-328.5421875
327.3984375,0.2859375,-327.1125
325.96875,0.2859375,-325.6828125
323.9671875,0.571875,-323.3953125
321.965625,0.571875,-321.39375
319.678125,0.8578125,-318.8203125
317.1046875,0.8578125,-316.246875
314.53125,1.14375,-313.3875
