LEFT,RIGHT,DIFF
-2914.275,-4021.996875,-1107.721875
-2913.9890625,-4021.996875,-1108.0078125
-2913.4171875,-4021.425,-1108.0078125
-2912.8453125,-4020.28125,-1107.4359375
-2912.2734375,-4018.2796875,-1106.00625
-2911.9875,-4016.278125,-1104.290625
-2912.2734375,-4013.990625,-1101.7171875
-2913.13125,-4012.275,-1099.14375
-2914.5609375,-4010.8453125,-1096.284375
-2916.8484375,-4010.559375,-1093.7109375
-2919.421875,-4011.13125,-1091.709375
-2922.28125,-4012.5609375,-1090.2796875
-2925.4265625,-4014.5625,-1089.1359375
-2928.2859375,-4017.421875,-1089.1359375
-2931.1453125,-4020.5671875,-1089.421875
-2933.4328125,-4023.4265625,-1089.99375
-2935.7203125,-4026.0,-1090.2796875
-2937.721875,-4028.2875,-1090.565625
-2939.7234375,-4030.003125,-1090.2796875
-2941.725,-4030.8609375,-1089.1359375
-2944.0125,-4031.146875,-1087.134375
-2946.871875,-4031.146875,-1084.275
-2949.4453125,-4030.575,-1081.1296875
-2952.590625,-4029.43125,-1076.840625
-2955.45,-4028.2875,-1072.8375
-2957.7375,-4026.8578125,-1069.1203125
-2960.025,-4025.7140625,-1065.6890625
-2961.4546875,-4024.5703125,-1063.115625
-2962.5984375,-4023.7125,-1061.1140625
-2963.1703125,-4023.4265625,-1060.25625
-2963.1703125,-4023.4265625,-1060.25625
-2963.1703125,-4023.9984375,-1060.828125
-2963.1703125,-4024.85625,-1061.6859375
-2963.1703125,-4026.2859375,-1063.115625
-2963.1703125,-4027.715625,-1064.5453125
-2963.45625,-4028.859375,-1065.403125
-2963.7421875,-4030.003125,-1066.2609375
-2964.028125,-4030.575,-1066.546875
-2964.3140625,-4030.575,-1066.2609375
-2964.3140625,-4030.003125,-1065.6890625
-2964.3140625,-4029.1453125,-1064.83125
-2964.3140625,-4028.5734375,-1064.259375
-2964.6,-4028.2875,-1063.6875
-2965.4578125,-4028.859375,-1063.4015625
-2966.8875,-4030.575,-1063.6875
-2968.8890625,-4033.7203125,-1064.83125
-2971.7484375,-4038.009375,-1066.2609375
-2974.89375,-4043.4421875,-1068.5484375
-2978.6109375,-4048.5890625,-1069.978125
-2982.0421875,-4053.45,-1071.4078125
-2984.615625,-4056.309375,-1071.69375
-2986.33125,-4056.309375,-1069.978125
-2986.6171875,-4053.1640625,-1066.546875
-2985.4734375,-4046.015625,-1060.5421875
-2982.9,-4035.15,-1052.25
-2979.1828125,-4021.425,-1042.2421875
-2974.89375,-4005.4125,-1030.51875
-2970.31875,-3988.828125,-1018.509375
-2966.315625,-3973.1015625,-1006.7859375
-2963.1703125,-3959.6625,-996.4921875
-2961.4546875,-3949.940625,-988.4859375
-2960.8828125,-3944.5078125,-983.625
-2961.4546875,-3943.65,-982.1953125
-2962.884375,-3947.08125,-984.196875
-2964.3140625,-3953.94375,-989.6296875
-2965.4578125,-3963.09375,-997.6359375
-2965.4578125,-3972.815625,-1007.3578125
-2964.028125,-3981.965625,-1017.9375
-2961.16875,-3989.6859375,-1028.5171875
-2957.165625,-3994.546875,-1037.38125
-2952.01875,-3997.1203125,-1045.1015625
-2946.5859375,-3997.1203125,-1050.534375
-2941.4390625,-3995.4046875,-1053.965625
-2937.15,-3993.1171875,-1055.9671875
-2934.5765625,-3990.8296875,-1056.253125
-2933.71875,-3989.971875,-1056.253125
-2934.8625,-3990.54375,-1055.68125
-2937.4359375,-3992.83125,-1055.3953125
-2941.153125,-3997.1203125,-1055.9671875
-2945.15625,-4002.2671875,-1057.1109375
-2948.8734375,-4007.4140625,-1058.540625
-2951.7328125,-4012.275,-1060.5421875
-2952.8765625,-4015.70625,-1062.8296875
-2952.8765625,-4016.85,-1063.9734375
-2951.1609375,-4015.9921875,-1064.83125
-2948.3015625,-4013.41875,-1065.1171875
-2945.15625,-4009.415625,-1064.259375
-2942.0109375,-4005.1265625,-1063.115625
-2940.009375,-4001.409375,-1061.4
-2939.4375,-3999.4078125,-1059.9703125
-2941.153125,-3999.9796875,-1058.8265625
-2944.8703125,-4003.4109375,-1058.540625
-2950.5890625,-4009.7015625,-1059.1125
-2958.0234375,-4018.8515625,-1060.828125
-2966.315625,-4029.43125,-1063.115625
-2974.6078125,-4040.86875,-1066.2609375
-2982.328125,-4051.4484375,-1069.1203125
-2988.61875,-4060.5984375,-1071.9796875
-2992.3359375,-4066.8890625,-1074.553125
-2993.765625,-4069.7484375,-1075.9828125
-2992.05,-4068.890625,-1076.840625
-2987.7609375,-4064.315625,-1076.5546875
-2981.184375,-4056.88125,-1075.696875
-2973.178125,-4047.159375,-1073.98125
-2964.6,-4036.5796875,-1071.9796875
-2956.3078125,-4026.0,-1069.6921875
-2948.8734375,-4016.85,-1067.9765625
-2943.7265625,-4009.7015625,-1065.975
-2940.8671875,-4005.4125,-1064.5453125
-2940.58125,-4004.26875,-1063.6875
-2943.1546875,-4005.984375,-1062.8296875
-2947.7296875,-4010.2734375,-1062.54375
-2954.0203125,-4016.5640625,-1062.54375
