LEFT,RIGHT,DIFF
-807.4875,-892.4109375,-84.9234375
-811.7765625,-896.4140625,-84.6374999999999
-817.78125,-902.1328125,-84.3515625
-824.9296875,-909.5671875,-84.6375
-832.3640625,-917.0015625,-84.6375
-838.940625,-924.15,-85.209375
-844.0875,-929.5828125,-85.4953125000001
-846.946875,-933.0140625,-86.0671875
-847.51875,-933.871875,-86.353125
-845.803125,-932.4421875,-86.6390625
-842.371875,-928.725,-86.353125
-837.796875,-923.8640625,-86.0671875
-832.9359375,-918.1453125,-85.209375
-828.3609375,-912.7125,-84.3515625000001
-824.3578125,-907.8515625,-83.49375
-821.784375,-904.134375,-82.35
-820.06875,-902.1328125,-82.0640625
-819.496875,-901.5609375,-82.0640625
-819.496875,-902.1328125,-82.6359375
-819.7828125,-903.2765625,-83.4937500000001
-820.06875,-904.9921875,-84.9234375
-820.06875,-906.1359375,-86.0671875
-819.2109375,-906.99375,-87.7828125000001
-818.0671875,-906.7078125,-88.640625
-816.3515625,-905.5640625,-89.2125000000001
-814.35,-903.2765625,-88.9265625
-812.634375,-900.703125,-88.06875
-811.2046875,-897.84375,-86.6390625
-810.0609375,-894.6984375,-84.6375
-809.775,-891.8390625,-82.0640625000001
-809.775,-889.265625,-79.490625
-809.775,-887.2640625,-77.4890625
-809.775,-885.2625,-75.4875000000001
-809.4890625,-883.546875,-74.0578125
-808.3453125,-881.83125,-73.4859375000001
-806.915625,-879.8296875,-72.9140625000001
-804.628125,-877.5421875,-72.9140625
-802.0546875,-874.96875,-72.9140625
-799.48125,-872.3953125,-72.9140625
-797.19375,-869.821875,-72.628125
-833.221875,-917.2875,-84.065625
-833.5078125,-915.2859375,-81.778125
-833.5078125,-914.1421875,-80.6343750000001
-833.221875,-913.5703125,-80.3484374999999
-832.3640625,-913.284375,-80.9203125
-831.50625,-913.85625,-82.35
-830.3625,-915.0,-84.6374999999999
-829.21875,-916.715625,-87.496875
-828.646875,-919.003125,-90.35625
-828.9328125,-921.8625,-92.9296875
-830.0765625,-925.29375,-95.2171875
-832.65,-928.725,-96.075
-836.3671875,-932.4421875,-96.075
-840.9421875,-936.159375,-95.2171875
-846.375,-939.590625,-93.215625
-851.8078125,-942.1640625,-90.3562499999999
-856.66875,-944.165625,-87.496875
-860.671875,-945.0234375,-84.3515625
-862.959375,-944.4515625,-81.4921875
-862.959375,-942.45,-79.490625
-866.390625,-957.31875,-90.928125
-865.246875,-955.3171875,-90.0703125
-863.8171875,-953.0296875,-89.2125
-862.3875,-950.45625,-88.06875
-860.9578125,-948.16875,-87.2109375
-860.1,-946.1671875,-86.0671875
-859.528125,-944.7375,-85.209375
-859.2421875,-943.59375,-84.3515625
-858.95625,-942.7359375,-83.7796875
-858.384375,-941.5921875,-83.2078125
-857.5265625,-939.8765625,-82.35
-855.8109375,-937.875,-82.0640625
-853.809375,-935.015625,-81.20625
-850.95,-931.8703125,-80.9203125
-847.8046875,-928.4390625,-80.6343750000001
-844.659375,-925.0078125,-80.3484374999999
-841.8,-921.8625,-80.0625
-839.2265625,-919.8609375,-80.6343750000001
-838.0828125,-919.003125,-80.9203125
-837.796875,-919.575,-81.778125
-839.2265625,-922.1484375,-82.921875
-842.0859375,-925.865625,-83.7796875
-846.0890625,-931.0125,-84.9234375
-851.2359375,-936.73125,-85.4953125000001
-856.3828125,-942.7359375,-86.3531250000001
-861.815625,-948.16875,-86.353125
-866.1046875,-952.4578125,-86.353125
-869.25,-955.03125,-85.78125
-870.39375,-955.8890625,-85.4953125
-869.5359375,-954.7453125,-85.209375
-866.6765625,-951.8859375,-85.209375
-862.1015625,-947.596875,-85.4953125000001
-856.096875,-942.45,-86.353125
-849.5203125,-937.303125,-87.7828125
-842.94375,-932.728125,-89.7843750000001
-837.225,-929.0109375,-91.7859375
-832.9359375,-927.2953125,-94.359375
-831.2203125,-927.009375,-95.7890625000001
-831.7921875,-929.0109375,-97.21875
-834.6515625,-932.728125,-98.0765625
-872.9671875,-968.184375,-95.2171875
-878.1140625,-971.04375,-92.9296875
-882.403125,-973.6171875,-91.2140625
-885.5484375,-975.61875,-90.0703125
-887.55,-977.0484375,-89.4984375
-888.9796875,-978.1921875,-89.2125
-889.8375,-979.05,-89.2125
-890.6953125,-979.621875,-88.9265625
-891.2671875,-980.19375,-88.9265624999999
-892.4109375,-980.765625,-88.3546875
-893.5546875,-981.6234375,-88.06875
-895.2703125,-982.48125,-87.2109375
-896.9859375,-983.625,-86.6390624999999
-898.9875,-984.76875,-85.78125
-900.703125,-985.9125,-85.209375
-902.1328125,-987.3421875,-85.209375
-903.2765625,-988.2,-84.9234375
-904.134375,-989.0578125,-84.9234375
-904.70625,-989.6296875,-84.9234375
-904.9921875,-989.6296875,-84.6375
-903.2765625,-987.9140625,-84.6374999999999
-905.278125,-988.771875,-83.49375
-906.7078125,-989.34375,-82.6359375
-907.565625,-989.34375,-81.7781249999999
-907.2796875,-989.0578125,-81.778125
-906.421875,-988.4859375,-82.0640625000001
-905.278125,-987.628125,-82.35
-903.5625,-986.484375,-82.921875
-901.5609375,-985.340625,-83.7796875
-900.13125,-984.196875,-84.0656250000001
-898.415625,-983.3390625,-84.9234375
-897.271875,-982.1953125,-84.9234375
-896.4140625,-981.3375,-84.9234375000001
-895.8421875,-980.4796875,-84.6375
-894.984375,-979.621875,-84.6375
-894.4125,-978.7640625,-84.3515625
-893.26875,-977.90625,-84.6374999999999
-892.125,-976.7625,-84.6375
-890.6953125,-975.9046875,-85.209375
-888.9796875,-974.7609375,-85.78125
-886.978125,-973.6171875,-86.6390624999999
-884.9765625,-972.1875,-87.2109375
-882.6890625,-970.7578125,-88.0687499999999
-880.6875,-969.328125,-88.640625
-878.971875,-967.6125,-88.640625
-876.9703125,-965.6109375,-88.6406250000001
-875.2546875,-963.609375,-88.3546875
-873.5390625,-961.0359375,-87.496875
-871.8234375,-958.4625,-86.6390625
-870.1078125,-955.603125,-85.4953125000001
-868.10625,-952.74375,-84.6375
-866.390625,-949.884375,-83.4937500000001
-864.675,-947.596875,-82.921875
-863.2453125,-945.5953125,-82.35
-862.1015625,-944.7375,-82.6359375000001
-861.815625,-944.4515625,-82.6359375
-861.815625,-945.5953125,-83.7796875
-862.6734375,-947.596875,-84.9234375000001
-863.53125,-950.45625,-86.9250000000001
-864.675,-953.6015625,-88.9265624999999
-865.81875,-957.0328125,-91.2140625000001
-866.1046875,-959.8921875,-93.7875
-865.5328125,-961.6078125,-96.075
-863.8171875,-962.1796875,-98.3625
-860.671875,-961.0359375,-100.3640625
-856.096875,-958.1765625,-102.0796875
-850.6640625,-953.8875,-103.2234375
-844.659375,-948.16875,-103.509375
-838.36875,-941.878125,-103.509375
-832.65,-935.8734375,-103.2234375
-828.3609375,-930.440625,-102.0796875
-825.5015625,-926.7234375,-101.221875
-824.9296875,-925.0078125,-100.078125
-826.359375,-925.5796875,-99.2203125000001
-830.0765625,-928.4390625,-98.3625000000001
-835.509375,-933.3,-97.7906250000001
-842.371875,-939.590625,-97.21875
-849.5203125,-946.1671875,-96.646875
-856.3828125,-952.74375,-96.3609375000001
-862.3875,-958.1765625,-95.7890625
-866.6765625,-961.89375,-95.2171875
-868.9640625,-963.3234375,-94.359375
-868.9640625,-962.465625,-93.5015625
-867.2484375,-959.3203125,-92.071875
-864.103125,-954.1734375,-90.0703125000001
-859.528125,-947.596875,-88.06875
-854.38125,-940.734375,-86.353125
-849.234375,-933.5859375,-84.3515625
-844.3734375,-927.2953125,-82.921875
-840.3703125,-921.8625,-81.4921875
