LEFT,RIGHT,DIFF
-434.9109375,-456.928125,-22.0171875
-436.340625,-456.928125,-20.5875
-437.7703125,-456.928125,-19.1578125
-438.9140625,-456.928125,-18.0140625
-439.2,-456.6421875,-17.4421875
-438.9140625,-456.0703125,-17.15625
-437.7703125,-455.2125,-17.4421875
-436.0546875,-454.06875,-18.0140625
-433.7671875,-452.6390625,-18.871875
-431.19375,-451.209375,-20.015625
-428.6203125,-449.7796875,-21.159375
-426.3328125,-448.35,-22.0171875
-424.903125,-447.20625,-22.303125
-424.0453125,-446.634375,-22.5890625
-424.33125,-446.634375,-22.303125
-425.475,-447.20625,-21.73125
-427.190625,-448.35,-21.159375
-429.7640625,-450.3515625,-20.5875
-432.3375,-452.6390625,-20.3015625
-434.625,-454.9265625,-20.3015625
-436.340625,-457.2140625,-20.8734375
-436.9125,-458.9296875,-22.0171875
-436.340625,-459.5015625,-23.1609375
-434.053125,-459.215625,-25.1625
-430.05,-457.7859375,-27.7359375
-425.1890625,-455.2125,-30.0234375
-419.184375,-451.78125,-32.596875
-413.1796875,-448.0640625,-34.884375
-407.175,-444.346875,-37.171875
-402.6,-441.4875,-38.8875
-399.16875,-439.4859375,-40.3171875
-398.3109375,-439.2,-40.8890625
-399.4546875,-440.6296875,-41.175
-403.171875,-443.775,-40.603125
-409.1765625,-448.6359375,-39.459375
-417.1828125,-454.3546875,-37.171875
-426.046875,-460.93125,-34.884375
-435.4828125,-467.5078125,-32.025
-444.91875,-473.5125,-28.59375
-453.2109375,-478.659375,-25.4484375
-460.0734375,-482.3765625,-22.303125
-465.2203125,-484.6640625,-19.44375
-468.6515625,-485.521875,-16.8703125
-470.08125,-485.2359375,-15.1546875
-470.08125,-484.378125,-14.296875
-468.6515625,-483.234375,-14.5828125
-466.65,-482.090625,-15.440625
-464.6484375,-481.51875,-16.8703125
-462.646875,-481.2328125,-18.5859375
-460.93125,-481.8046875,-20.8734375
-460.0734375,-482.9484375,-22.875
-460.0734375,-484.378125,-24.3046875
-460.6453125,-485.8078125,-25.1625
-461.503125,-486.9515625,-25.4484375
-462.9328125,-488.0953125,-25.1625
-464.6484375,-488.38125,-23.7328125
-466.3640625,-488.0953125,-21.73125
-468.365625,-487.5234375,-19.1578125
-469.7953125,-486.665625,-16.8703125
-471.225,-485.521875,-14.296875
-491.240625,-504.39375,-13.153125
-492.384375,-506.3953125,-14.0109375
-492.384375,-507.253125,-14.86875
-491.8125,-507.253125,-15.440625
-490.66875,-506.3953125,-15.7265625
-489.525,-504.965625,-15.440625
-488.6671875,-503.5359375,-14.86875
-488.38125,-502.3921875,-14.0109375
-488.953125,-501.8203125,-12.8671875
-489.8109375,-501.534375,-11.7234375
-491.240625,-502.10625,-10.865625
-492.6703125,-503.25,-10.5796875
-493.8140625,-504.6796875,-10.865625
-494.3859375,-505.8234375,-11.4375
-493.8140625,-506.68125,-12.8671875
-492.0984375,-506.9671875,-14.86875
-489.2390625,-506.3953125,-17.15625
-485.521875,-504.965625,-19.44375
-480.946875,-502.3921875,-21.4453125
-476.0859375,-498.9609375,-22.875
-444.0609375,-453.7828125,-9.72187500000001
-444.91875,-454.640625,-9.72187499999995
-446.9203125,-456.35625,-9.43593750000002
-449.49375,-458.64375,-9.14999999999998
-452.6390625,-460.6453125,-8.00625000000002
-455.784375,-462.9328125,-7.1484375
-458.64375,-464.934375,-6.29062500000003
-461.2171875,-466.9359375,-5.71875
-463.5046875,-468.6515625,-5.14687499999997
-465.50625,-470.08125,-4.57499999999999
-466.9359375,-471.796875,-4.86093749999998
-468.365625,-473.5125,-5.14687500000002
-469.2234375,-475.5140625,-6.29062499999998
-470.08125,-477.2296875,-7.1484375
-470.3671875,-478.9453125,-8.578125
-470.08125,-480.375,-10.29375
-469.509375,-480.946875,-11.4375
-468.0796875,-480.946875,-12.8671875
-465.7921875,-479.803125,-14.0109375
-463.21875,-477.515625,-14.296875
-445.490625,-459.7875,-14.296875
-446.3484375,-459.215625,-12.8671875
-447.20625,-459.215625,-12.009375
-447.778125,-459.215625,-11.4375
-448.0640625,-459.5015625,-11.4375
-448.0640625,-459.5015625,-11.4375
-447.20625,-459.215625,-12.009375
-446.0625,-458.3578125,-12.2953125
-444.0609375,-457.2140625,-13.153125
-441.7734375,-455.784375,-14.0109375
-439.2,-454.06875,-14.86875
-436.6265625,-452.353125,-15.7265625
-434.3390625,-451.209375,-16.8703125
-432.0515625,-450.6375,-18.5859375000001
-430.3359375,-450.3515625,-20.015625
-428.334375,-450.9234375,-22.5890625
-426.9046875,-451.4953125,-24.590625
-425.1890625,-452.0671875,-26.878125
-423.1875,-452.0671875,-28.8796875
-420.6140625,-451.4953125,-30.88125
-418.040625,-449.7796875,-31.7390625
-414.8953125,-447.20625,-32.3109375
-411.75,-443.4890625,-31.7390625
-408.890625,-439.2,-30.309375
-406.3171875,-434.625,-28.3078125
-404.315625,-430.3359375,-26.0203125
-403.4578125,-427.190625,-23.7328125
-403.74375,-425.1890625,-21.4453125
-405.1734375,-424.903125,-19.7296875
-407.4609375,-426.3328125,-18.871875
-410.60625,-429.1921875,-18.5859375
-413.7515625,-432.909375,-19.1578125
-416.6109375,-437.1984375,-20.5875
-419.184375,-441.4875,-22.303125
-420.6140625,-444.91875,-24.3046875000001
-421.1859375,-446.9203125,-25.734375
-420.328125,-447.778125,-27.45
-418.8984375,-446.9203125,-28.021875
-416.325,-444.91875,-28.5937500000001
-413.465625,-442.059375,-28.5937500000001
-410.60625,-438.9140625,-28.3078125
-408.0328125,-435.4828125,-27.45
-405.7453125,-432.6234375,-26.878125
-404.0296875,-430.3359375,-26.30625
-402.8859375,-428.90625,-26.0203125
-402.3140625,-428.0484375,-25.734375
-401.7421875,-427.4765625,-25.734375
-400.884375,-426.9046875,-26.0203125
-400.3125,-426.3328125,-26.0203125
-399.16875,-424.903125,-25.734375
-397.7390625,-423.1875,-25.4484375
-396.0234375,-420.9,-24.8765625
-394.59375,-418.3265625,-23.7328125
-393.45,-416.0390625,-22.5890625
-393.1640625,-414.3234375,-21.159375
-393.7359375,-413.7515625,-20.015625
-395.4515625,-414.8953125,-19.44375
-398.596875,-417.46875,-18.871875
-402.8859375,-421.471875,-18.5859375
-408.0328125,-426.9046875,-18.871875
-413.7515625,-433.48125,-19.7296875
-419.4703125,-440.0578125,-20.5875
-424.903125,-446.3484375,-21.4453125000001
-429.478125,-451.78125,-22.303125
-433.1953125,-455.784375,-22.5890625
-435.4828125,-458.3578125,-22.875
-436.6265625,-459.215625,-22.5890625
-436.6265625,-458.3578125,-21.73125
-435.76875,-456.35625,-20.5875
-434.3390625,-454.06875,-19.7296875
-432.909375,-451.209375,-18.3
-431.19375,-448.921875,-17.728125
-430.05,-447.20625,-17.15625
-429.1921875,-446.3484375,-17.1562500000001
-429.1921875,-446.0625,-16.8703125
-429.1921875,-446.634375,-17.4421875
-429.7640625,-447.778125,-18.0140625
-430.3359375,-448.6359375,-18.3
-430.621875,-448.921875,-18.3
-430.621875,-448.6359375,-18.0140625
-430.3359375,-447.4921875,-17.15625
-429.1921875,-445.2046875,-16.0125
-428.0484375,-442.3453125,-14.296875
-426.61875,-438.628125,-12.009375
-424.903125,-434.9109375,-10.0078125
-423.4734375,-431.19375,-7.72031250000003
-422.3296875,-428.0484375,-5.71875
-421.471875,-425.475,-4.00312500000001
-420.9,-424.0453125,-3.14531249999999
-420.9,-423.4734375,-2.57343749999995
-420.9,-423.759375,-2.859375
-420.9,-424.6171875,-3.71718749999997
-421.1859375,-425.475,-4.2890625
-420.9,-426.3328125,-5.43281249999995
-420.6140625,-426.9046875,-6.29062500000003
-420.0421875,-427.190625,-7.1484375
-419.4703125,-426.9046875,-7.43437499999999
-419.184375,-426.3328125,-7.1484375
-419.184375,-425.7609375,-6.57656250000002
-420.0421875,-425.475,-5.43281250000001
-421.7578125,-426.046875,-4.2890625
-424.33125,-427.190625,-2.859375
-428.0484375,-429.7640625,-1.71562499999999
-432.6234375,-432.909375,-0.285937499999989
-437.484375,-437.1984375,0.285937499999989
-442.059375,-441.7734375,0.285937500000045
-446.3484375,-446.0625,0.285937500000045
-449.49375,-449.7796875,-0.285937499999989
-450.9234375,-452.353125,-1.4296875
-450.6375,-452.925,-2.28749999999997
-448.6359375,-452.0671875,-3.43125000000003
-445.2046875,-449.49375,-4.2890625
-440.34375,-445.2046875,-4.86093750000003
-435.196875,-440.34375,-5.14687499999997
-430.05,-435.196875,-5.14687500000002
-425.7609375,-430.621875,-4.86093749999998
-422.615625,-427.4765625,-4.86093749999998
-421.1859375,-425.7609375,-4.57499999999999
-421.7578125,-426.3328125,-4.57499999999999
-423.759375,-428.90625,-5.14687499999997
-427.190625,-432.909375,-5.71875
-431.4796875,-438.3421875,-6.86250000000001
-436.0546875,-444.346875,-8.29218750000001
-440.0578125,-450.065625,-10.0078125
-442.9171875,-454.640625,-11.7234375
-444.346875,-457.7859375,-13.4390625
-444.0609375,-459.215625,-15.1546875
-442.3453125,-458.64375,-16.2984375
-438.9140625,-456.35625,-17.4421875
-434.9109375,-452.925,-18.0140625
-430.3359375,-448.921875,-18.5859375
-426.046875,-444.6328125,-18.5859375
-422.3296875,-441.2015625,-18.871875
-419.75625,-438.628125,-18.871875
-418.6125,-437.1984375,-18.5859375
-418.6125,-437.484375,-18.871875
-420.0421875,-439.2,-19.1578125
-422.9015625,-441.7734375,-18.871875
-426.046875,-445.2046875,-19.1578125
-430.05,-449.2078125,-19.1578125
-434.053125,-453.2109375,-19.1578125
-437.7703125,-456.928125,-19.1578125
-441.4875,-460.359375,-18.871875
-445.2046875,-463.5046875,-18.3
-448.35,-466.3640625,-18.0140625
-451.4953125,-468.9375,-17.4421875
-454.640625,-471.5109375,-16.8703125
-457.7859375,-473.7984375,-16.0125
-461.503125,-476.6578125,-15.1546875
-465.2203125,-479.5171875,-14.296875
-469.2234375,-482.3765625,-13.153125
-473.2265625,-485.2359375,-12.009375
-476.94375,-488.0953125,-11.1515625
-480.6609375,-490.3828125,-9.72187499999995
-484.0921875,-492.384375,-8.29218750000001
-486.665625,-493.528125,-6.86250000000001
-488.38125,-494.1,-5.71875
-489.2390625,-494.1,-4.86093749999998
-489.525,-493.2421875,-3.71718749999997
-488.6671875,-491.8125,-3.14531249999999
-487.2375,-490.096875,-2.859375
-485.2359375,-488.0953125,-2.859375
-482.6625,-486.09375,-3.43124999999998
-480.0890625,-484.0921875,-4.00312500000001
-477.8015625,-482.3765625,-4.57499999999999
-475.8,-480.946875,-5.14687500000002
-474.3703125,-480.375,-6.00468749999999
-473.5125,-480.375,-6.86249999999995
-473.5125,-480.946875,-7.43437499999999
-474.084375,-482.3765625,-8.29218750000001
-475.5140625,-484.0921875,-8.578125
-477.2296875,-486.3796875,-9.15000000000003
-479.5171875,-489.2390625,-9.72187500000001
-481.8046875,-492.0984375,-10.29375
-483.80625,-494.9578125,-11.1515625
-485.8078125,-497.53125,-11.7234375
-487.2375,-500.1046875,-12.8671875
-488.38125,-502.10625,-13.725
-489.2390625,-503.821875,-14.5828125
-489.525,-504.965625,-15.440625
-489.8109375,-506.109375,-16.2984375
-489.8109375,-506.9671875,-17.15625
-490.096875,-508.1109375,-18.0140625
-490.66875,-508.96875,-18.3
-491.5265625,-510.1125,-18.5859375
-492.6703125,-510.9703125,-18.3
-493.8140625,-512.1140625,-18.3
-495.24375,-513.2578125,-18.0140625
-496.959375,-514.115625,-17.15625
-498.3890625,-514.4015625,-16.0125
-499.5328125,-514.6875,-15.1546875
-500.9625,-514.4015625,-13.4390625
-502.10625,-514.115625,-12.009375
-503.25,-513.54375,-10.29375
-504.6796875,-513.2578125,-8.578125
-506.109375,-513.54375,-7.43437500000005
-508.1109375,-514.4015625,-6.29062500000003
-510.684375,-515.83125,-5.14687500000002
-513.8296875,-518.4046875,-4.57500000000005
-516.975,-521.55,-4.57500000000005
-520.6921875,-525.2671875,-4.57499999999993
