LEFT,RIGHT,DIFF
-482.3765625,-498.3890625,-16.0125
-476.6578125,-491.5265625,-14.86875
-471.796875,-484.95,-13.153125
-467.79375,-479.5171875,-11.7234375
-465.2203125,-475.8,-10.5796875
-463.790625,-473.7984375,-10.0078125
-463.5046875,-473.5125,-10.0078125
-463.790625,-474.65625,-10.865625
-464.3625,-476.94375,-12.58125
-464.6484375,-479.23125,-14.5828125
-464.3625,-481.51875,-17.15625
-463.5046875,-482.9484375,-19.44375
-462.075,-483.5203125,-21.4453125
-460.0734375,-482.9484375,-22.875
-457.7859375,-481.2328125,-23.446875
-455.4984375,-478.9453125,-23.446875
-453.7828125,-476.371875,-22.5890625
-452.925,-474.084375,-21.159375
-452.6390625,-472.0828125,-19.44375
-453.2109375,-471.225,-18.0140625
-454.640625,-471.5109375,-16.8703125
-456.35625,-473.2265625,-16.8703125
-458.3578125,-475.8,-17.4421875
-460.6453125,-479.5171875,-18.871875
-462.646875,-483.5203125,-20.8734375
-464.0765625,-487.809375,-23.7328125
-465.2203125,-491.8125,-26.5921875
-466.078125,-494.9578125,-28.8796875
-466.3640625,-497.2453125,-30.88125
-466.3640625,-498.3890625,-32.025
-466.078125,-498.103125,-32.025
-465.50625,-496.959375,-31.453125
-464.6484375,-494.671875,-30.0234375
-463.5046875,-491.8125,-28.3078125
-462.075,-488.6671875,-26.5921875
-460.359375,-485.521875,-25.1625
-458.3578125,-482.9484375,-24.590625
-456.35625,-481.2328125,-24.8765625
-454.3546875,-480.6609375,-26.30625
-452.925,-481.2328125,-28.3078125
-452.0671875,-483.5203125,-31.453125
-452.353125,-486.9515625,-34.5984375
-453.7828125,-491.8125,-38.0296875
-456.35625,-497.2453125,-40.8890625
-460.0734375,-503.5359375,-43.4625
-464.934375,-509.540625,-44.60625
-470.08125,-515.259375,-45.178125
-474.9421875,-520.1203125,-45.178125
-479.5171875,-523.5515625,-44.034375
-482.9484375,-525.2671875,-42.31875
-485.2359375,-525.553125,-40.3171875
-485.8078125,-524.1234375,-38.315625
-484.95,-521.55,-36.6
-482.9484375,-518.4046875,-35.45625
-480.0890625,-514.9734375,-34.884375
-476.94375,-511.828125,-34.884375
-473.7984375,-509.2546875,-35.45625
-471.5109375,-508.1109375,-36.6
-470.08125,-508.1109375,-38.0296875
-469.509375,-509.2546875,-39.7453125
-470.653125,-488.953125,-18.3
-468.6515625,-486.3796875,-17.728125
-466.078125,-483.80625,-17.728125
-463.790625,-481.51875,-17.728125
-462.075,-480.0890625,-18.0140625
-461.503125,-479.5171875,-18.0140625
-462.075,-480.0890625,-18.0140625
-464.0765625,-482.3765625,-18.3
-467.221875,-485.8078125,-18.5859375
-471.796875,-490.3828125,-18.5859375
-477.2296875,-495.5296875,-18.3
-482.9484375,-500.9625,-18.0140625
-488.0953125,-506.109375,-18.0140625
-492.6703125,-510.1125,-17.4421875
-496.1015625,-513.2578125,-17.15625
-498.3890625,-514.9734375,-16.584375
-498.9609375,-515.259375,-16.2984375
-498.3890625,-514.4015625,-16.0125
-496.6734375,-512.6859375,-16.0125
-494.3859375,-510.684375,-16.2984375
-491.8125,-508.96875,-17.15625
-489.525,-507.5390625,-18.0140625
-487.809375,-506.9671875,-19.1578125
-486.665625,-507.253125,-20.5875
-486.3796875,-508.396875,-22.0171875
-486.665625,-510.3984375,-23.7328125
-487.2375,-512.6859375,-25.4484375
-487.809375,-514.9734375,-27.1640625
-488.38125,-516.975,-28.59375
-488.38125,-518.11875,-29.7375
-487.809375,-518.690625,-30.88125
-486.9515625,-518.4046875,-31.453125
-485.2359375,-517.2609375,-32.025
-483.234375,-515.5453125,-32.3109375
-481.2328125,-513.54375,-32.3109375
-479.23125,-511.25625,-32.025
-476.94375,-509.2546875,-32.3109375
-475.228125,-507.253125,-32.025
-473.5125,-505.5375,-32.025
-471.796875,-504.1078125,-32.3109375
-470.08125,-502.3921875,-32.3109375
-468.365625,-500.6765625,-32.3109375
-466.078125,-498.675,-32.596875
-463.790625,-496.3875,-32.596875
-461.2171875,-494.1,-32.8828125
-458.9296875,-491.5265625,-32.596875
-456.6421875,-489.2390625,-32.596875
-455.2125,-487.5234375,-32.3109375
-454.640625,-486.09375,-31.453125
-455.2125,-485.8078125,-30.5953125
-456.6421875,-486.3796875,-29.7375
-458.9296875,-487.5234375,-28.59375
-461.503125,-489.525,-28.021875
-464.3625,-491.240625,-26.878125
-466.65,-492.95625,-26.30625
-468.0796875,-493.8140625,-25.734375
-467.79375,-493.8140625,-26.0203125
-466.3640625,-492.0984375,-25.734375
-462.9328125,-489.2390625,-26.30625
-458.3578125,-484.95,-26.5921875
-452.6390625,-480.0890625,-27.45
-446.634375,-474.3703125,-27.7359375
-440.915625,-468.9375,-28.021875
-436.340625,-464.0765625,-27.7359375
-432.6234375,-460.359375,-27.7359375
-430.9078125,-457.7859375,-26.878125
-430.9078125,-456.6421875,-25.734375
-432.0515625,-456.6421875,-24.590625
-434.625,-457.7859375,-23.1609375
-437.7703125,-459.7875,-22.0171875
-441.2015625,-462.075,-20.8734375
-444.6328125,-464.3625,-19.7296875
-447.4921875,-466.3640625,-18.871875
-449.7796875,-468.0796875,-18.3
-451.209375,-469.2234375,-18.0140625
-452.353125,-470.08125,-17.728125
-453.2109375,-470.653125,-17.4421875
-453.7828125,-470.9390625,-17.15625
-454.640625,-471.5109375,-16.8703125
-455.4984375,-471.796875,-16.2984375
-444.0609375,-471.225,-27.1640625
-442.3453125,-470.653125,-28.3078125
-439.771875,-469.2234375,-29.4515625
-436.9125,-467.5078125,-30.5953125
-433.7671875,-465.50625,-31.7390625
-430.9078125,-463.5046875,-32.596875
-428.6203125,-461.7890625,-33.16875
-426.9046875,-460.359375,-33.4546875
-425.7609375,-458.9296875,-33.16875
-424.6171875,-457.5,-32.8828125
-423.759375,-455.4984375,-31.7390625
-422.9015625,-453.2109375,-30.309375
-421.1859375,-450.065625,-28.8796875
-418.8984375,-446.0625,-27.1640625
-416.325,-441.7734375,-25.4484375
-413.465625,-437.1984375,-23.7328125
-410.8921875,-432.909375,-22.0171875
-408.890625,-429.478125,-20.5875
-408.0328125,-427.4765625,-19.44375
-408.890625,-427.190625,-18.3
-411.178125,-428.6203125,-17.4421875
-415.18125,-431.765625,-16.584375
-420.6140625,-436.340625,-15.7265625
-426.61875,-441.4875,-14.86875
-432.6234375,-446.9203125,-14.296875
-438.05625,-451.4953125,-13.4390625
-442.63125,-455.2125,-12.58125
-445.2046875,-457.2140625,-12.009375
-446.0625,-457.2140625,-11.1515625
-445.2046875,-456.0703125,-10.865625
-443.203125,-453.496875,-10.29375
-440.34375,-450.3515625,-10.0078125
-437.484375,-447.20625,-9.72187500000001
-435.196875,-445.2046875,-10.0078125
-434.3390625,-444.6328125,-10.29375
-434.9109375,-445.490625,-10.5796875
-437.1984375,-448.6359375,-11.4375
-440.915625,-452.925,-12.009375
-445.7765625,-458.64375,-12.8671875
-451.209375,-464.3625,-13.153125
-456.35625,-469.509375,-13.153125
-460.359375,-473.7984375,-13.4390625
-463.21875,-476.0859375,-12.8671875
-463.790625,-476.371875,-12.58125
-462.646875,-474.9421875,-12.2953125
-459.7875,-471.796875,-12.009375
-455.4984375,-467.5078125,-12.009375
-450.6375,-462.9328125,-12.2953125
-445.490625,-458.64375,-13.153125
-440.915625,-455.4984375,-14.5828125
-437.484375,-453.496875,-16.0125
-435.196875,-453.496875,-18.3
-434.625,-454.640625,-20.015625
-435.196875,-457.2140625,-22.0171875
-436.9125,-460.6453125,-23.7328125
-439.4859375,-463.790625,-24.3046875
-442.059375,-466.65,-24.590625
-444.346875,-468.365625,-24.01875
-446.0625,-468.6515625,-22.5890625
-446.634375,-467.5078125,-20.8734375
-446.0625,-464.934375,-18.871875
-444.91875,-461.503125,-16.584375
-442.63125,-457.2140625,-14.5828125
-440.0578125,-452.925,-12.8671875
-437.484375,-449.2078125,-11.7234375
-435.196875,-446.3484375,-11.1515625
-433.48125,-444.6328125,-11.1515625
-432.6234375,-444.0609375,-11.4375
-432.6234375,-444.346875,-11.7234375
-433.48125,-445.490625,-12.009375
-435.196875,-446.9203125,-11.7234375
-437.1984375,-448.6359375,-11.4375
-439.771875,-450.065625,-10.29375
-442.059375,-450.9234375,-8.86406249999999
-444.346875,-450.9234375,-6.57656250000002
-446.0625,-450.3515625,-4.2890625
-446.9203125,-449.2078125,-2.28750000000002
-447.4921875,-447.778125,-0.285937500000045
-446.9203125,-445.7765625,1.14375000000001
-445.7765625,-443.775,2.00156249999998
-443.775,-442.059375,1.71562499999999
