LEFT,RIGHT,DIFF
-1546.0640625,-1685.315625,-139.2515625
-1545.20625,-1685.8875,-140.68125
-1544.634375,-1686.7453125,-142.1109375
-1545.20625,-1687.8890625,-142.6828125
-1546.35,-1689.6046875,-143.2546875
-1548.3515625,-1691.60625,-143.2546875
-1551.2109375,-1694.1796875,-142.96875
-1554.35625,-1696.4671875,-142.1109375
-1557.7875,-1698.7546875,-140.9671875
-1560.9328125,-1700.75625,-139.8234375
-1563.50625,-1702.471875,-138.965625
-1565.5078125,-1703.3296875,-137.821875
-1566.6515625,-1703.615625,-136.9640625
-1567.2234375,-1703.04375,-135.8203125
-1566.9375,-1702.1859375,-135.2484375
-1566.0796875,-1701.0421875,-134.9625
-1564.9359375,-1699.6125,-134.6765625
-1563.7921875,-1698.46875,-134.6765625
-1562.934375,-1697.896875,-134.9625
-1562.3625,-1697.6109375,-135.2484375
-1562.0765625,-1698.1828125,-136.10625
-1562.3625,-1699.3265625,-136.9640625
-1562.6484375,-1701.0421875,-138.39375
-1562.934375,-1703.04375,-140.109375
-1563.2203125,-1704.759375,-141.5390625
-1562.934375,-1706.1890625,-143.2546875
-1561.790625,-1707.046875,-145.25625
-1560.075,-1707.046875,-146.971875
-1557.5015625,-1705.903125,-148.4015625
-1554.0703125,-1704.1875,-150.1171875
-1550.353125,-1701.6140625,-151.2609375
-1546.6359375,-1699.040625,-152.4046875
-1543.2046875,-1696.753125,-153.5484375
-1540.63125,-1695.0375,-154.40625
-1539.2015625,-1694.7515625,-155.55
-1539.4875,-1695.8953125,-156.4078125
-1541.203125,-1698.7546875,-157.5515625
-1544.634375,-1702.7578125,-158.1234375
-1549.209375,-1708.190625,-158.98125
-1554.35625,-1714.48125,-160.125
-1559.503125,-1720.4859375,-160.9828125
-1564.078125,-1725.6328125,-161.5546875
-1567.2234375,-1729.6359375,-162.4125
-1568.3671875,-1731.9234375,-163.55625
-1567.7953125,-1731.9234375,-164.128125
-1564.9359375,-1730.2078125,-165.271875
-1560.646875,-1727.0625,-166.415625
-1555.2140625,-1722.7734375,-167.559375
-1549.209375,-1718.484375,-169.275
-1543.7765625,-1715.053125,-171.2765625
-1539.7734375,-1712.765625,-172.9921875
-1537.2,-1712.19375,-174.99375
-1536.9140625,-1713.6234375,-176.709375
-1538.6296875,-1716.76875,-178.1390625
-1541.4890625,-1721.0578125,-179.56875
-1545.778125,-1725.6328125,-179.8546875
-1549.78125,-1729.921875,-180.140625
-1553.2125,-1733.0671875,-179.8546875
-1554.928125,-1734.496875,-179.56875
-1554.6421875,-1733.925,-179.2828125
-1552.3546875,-1731.3515625,-178.996875
-1548.065625,-1726.7765625,-178.7109375
-1542.346875,-1721.34375,-178.996875
-1535.7703125,-1715.9109375,-180.140625
-1529.4796875,-1711.05,-181.5703125
-1524.046875,-1707.3328125,-183.2859375
-1520.04375,-1705.903125,-185.859375
-1518.6140625,-1706.7609375,-188.146875
-1519.471875,-1709.90625,-190.434375
-1522.6171875,-1714.7671875,-192.15
-1527.478125,-1721.0578125,-193.5796875
-1533.76875,-1728.20625,-194.4375
-1540.63125,-1735.06875,-194.4375
-1547.2078125,-1741.0734375,-193.865625
-1553.2125,-1745.934375,-192.721875
-1557.7875,-1749.6515625,-191.8640625
-1560.9328125,-1751.653125,-190.7203125
-1562.3625,-1751.9390625,-189.5765625
-1562.3625,-1751.3671875,-189.0046875
-1560.646875,-1749.365625,-188.71875
-1558.0734375,-1746.7921875,-188.71875
-1554.6421875,-1743.646875,-189.0046875
-1550.6390625,-1739.9296875,-189.290625
-1546.0640625,-1735.9265625,-189.8625
-1541.4890625,-1731.6375,-190.1484375
-1537.2,-1727.3484375,-190.1484375
-1533.196875,-1723.059375,-189.8625
-1529.765625,-1719.3421875,-189.5765625
-1527.1921875,-1716.196875,-189.0046875
-1525.7625,-1713.909375,-188.146875
-1525.4765625,-1712.765625,-187.2890625
-1526.0484375,-1713.0515625,-187.003125
-1528.05,-1714.7671875,-186.7171875
-1530.6234375,-1717.340625,-186.7171875
-1533.76875,-1720.771875,-187.003125
-1536.9140625,-1724.4890625,-187.575
-1539.4875,-1727.9203125,-188.4328125
-1541.4890625,-1730.7796875,-189.290625
-1542.0609375,-1732.209375,-190.1484375
-1541.4890625,-1732.209375,-190.7203125
-1539.4875,-1730.49375,-191.00625
-1536.628125,-1727.634375,-191.00625
-1532.9109375,-1723.63125,-190.7203125
-1528.9078125,-1719.05625,-190.1484375
-1524.9046875,-1713.909375,-189.0046875
-1520.9015625,-1709.0484375,-188.146875
-1517.75625,-1704.4734375,-186.7171875
-1514.896875,-1700.4703125,-185.5734375
-1512.3234375,-1696.753125,-184.4296875
-1510.321875,-1693.321875,-183.0
-1508.60625,-1690.1765625,-181.5703125
-1506.890625,-1687.3171875,-180.4265625
-1505.175,-1684.74375,-179.56875
