LEFT,RIGHT,DIFF
-404.8875,-469.2234375,-64.3359375000001
-410.8921875,-475.5140625,-64.621875
-418.6125,-482.9484375,-64.3359375
-427.190625,-490.9546875,-63.7640625
-435.76875,-498.675,-62.90625
-443.203125,-505.5375,-62.334375
-448.921875,-510.9703125,-62.0484375
-452.6390625,-514.6875,-62.0484375
-454.06875,-516.975,-62.90625
-453.496875,-517.546875,-64.05
-451.4953125,-516.975,-65.4796875
-448.6359375,-515.5453125,-66.909375
-444.91875,-513.2578125,-68.3390625
-441.2015625,-509.8265625,-68.625
-437.484375,-506.109375,-68.625
-433.48125,-501.2484375,-67.7671875
-429.478125,-495.815625,-66.3375
-425.475,-489.525,-64.05
-420.9,-482.6625,-61.7625
-416.0390625,-476.0859375,-60.046875
-411.4640625,-470.08125,-58.6171875
-407.4609375,-465.50625,-58.0453125
-404.8875,-463.5046875,-58.6171875000001
-404.0296875,-464.3625,-60.3328125
-405.7453125,-468.365625,-62.6203125
-410.034375,-475.8,-65.765625
-417.1828125,-485.8078125,-68.625
-426.3328125,-497.53125,-71.1984375
-437.1984375,-510.1125,-72.9140625
-448.0640625,-521.55,-73.4859375
-458.071875,-530.7,-72.628125
-465.7921875,-536.41875,-70.6265625
-470.08125,-538.4203125,-68.3390625
-470.3671875,-535.846875,-65.4796875000001
-466.65,-529.8421875,-63.1921875
-459.5015625,-520.6921875,-61.190625
-449.7796875,-510.1125,-60.3328125
-438.628125,-499.246875,-60.61875
-427.7625,-489.525,-61.7625
-418.040625,-482.090625,-64.05
-411.178125,-477.515625,-66.3375
-407.175,-475.8,-68.625
-406.603125,-476.94375,-70.340625
-408.6046875,-480.0890625,-71.484375
-412.6078125,-484.0921875,-71.484375
-417.46875,-488.0953125,-70.6265625
-422.04375,-490.66875,-68.6250000000001
-425.475,-491.8125,-66.3375
-427.190625,-490.66875,-63.478125
-426.9046875,-488.0953125,-61.190625
-424.903125,-484.0921875,-59.1890625
-421.471875,-479.803125,-58.33125
-417.46875,-475.8,-58.33125
-413.7515625,-472.940625,-59.1890625
-411.178125,-472.0828125,-60.9046875
-410.034375,-472.940625,-62.90625
-411.178125,-476.0859375,-64.9078125
-413.7515625,-480.6609375,-66.909375
-418.3265625,-486.665625,-68.3390625
-423.4734375,-492.95625,-69.4828125
-429.1921875,-498.9609375,-69.76875
-434.9109375,-504.39375,-69.4828125
-439.4859375,-508.6828125,-69.196875
-442.9171875,-511.828125,-68.9109375
-445.2046875,-513.2578125,-68.053125
-445.7765625,-513.54375,-67.7671875
-444.6328125,-512.4,-67.7671875
-442.3453125,-510.3984375,-68.053125
-438.628125,-507.253125,-68.625
-434.053125,-503.5359375,-69.4828125
-428.334375,-498.9609375,-70.6265625
-422.04375,-494.1,-72.05625
-415.4671875,-488.953125,-73.4859375
-408.6046875,-484.0921875,-75.4875
-402.3140625,-480.0890625,-77.775
-397.1671875,-476.94375,-79.7765625
-393.45,-475.228125,-81.778125
-391.734375,-475.5140625,-83.7796875
-392.0203125,-477.8015625,-85.7812500000001
-394.59375,-481.8046875,-87.2109375
-399.4546875,-486.9515625,-87.496875
-405.459375,-492.95625,-87.496875
-412.321875,-498.675,-86.353125
-418.6125,-503.5359375,-84.9234375
-424.0453125,-506.3953125,-82.35
-427.7625,-507.5390625,-79.7765625
-429.1921875,-506.109375,-76.9171875
-428.0484375,-502.9640625,-74.915625
-425.1890625,-498.103125,-72.9140625
-420.9,-492.95625,-72.05625
-416.0390625,-488.38125,-72.3421875
-411.75,-484.95,-73.2
-408.890625,-483.5203125,-74.6296875
-407.746875,-484.378125,-76.63125
-408.890625,-487.5234375,-78.6328125
-412.0359375,-492.384375,-80.3484375
-416.6109375,-498.3890625,-81.778125
-421.7578125,-504.1078125,-82.35
-426.3328125,-508.6828125,-82.35
-429.478125,-511.5421875,-82.0640625
-430.621875,-512.1140625,-81.4921875000001
-429.478125,-510.1125,-80.634375
-426.046875,-506.109375,-80.0625
-420.6140625,-500.6765625,-80.0625000000001
-414.3234375,-494.671875,-80.3484375
-408.31875,-489.2390625,-80.9203125
-403.171875,-485.2359375,-82.0640625
-399.740625,-483.234375,-83.49375
-398.8828125,-483.5203125,-84.6375
-400.3125,-485.8078125,-85.4953125
-404.0296875,-490.096875,-86.0671875
-409.1765625,-495.24375,-86.0671875
-414.8953125,-500.6765625,-85.7812500000001
-420.6140625,-505.2515625,-84.6375
-425.1890625,-508.96875,-83.7796875
-428.0484375,-510.9703125,-82.921875
-429.1921875,-510.9703125,-81.778125
-428.0484375,-509.540625,-81.4921875
-425.475,-506.9671875,-81.4921875
-422.04375,-503.821875,-81.778125
-417.7546875,-500.390625,-82.6359375
-413.465625,-497.8171875,-84.3515625000001
-410.034375,-495.815625,-85.78125
-407.4609375,-494.9578125,-87.496875
-406.3171875,-495.5296875,-89.2125
-406.603125,-497.2453125,-90.6421875
-407.746875,-500.1046875,-92.3578125
-410.034375,-503.5359375,-93.5015625
-412.89375,-507.253125,-94.359375
-416.325,-510.9703125,-94.6453125
-419.75625,-514.4015625,-94.6453125
-423.1875,-516.975,-93.7875
-426.046875,-518.9765625,-92.9296875
-428.0484375,-519.5484375,-91.4999999999999
-429.1921875,-518.9765625,-89.784375
-429.478125,-516.975,-87.496875
-428.6203125,-513.8296875,-85.209375
-426.61875,-510.1125,-83.49375
-424.0453125,-505.5375,-81.4921875
-420.9,-500.9625,-80.0625
-417.46875,-496.959375,-79.490625
-414.609375,-493.8140625,-79.2046875
-412.321875,-491.8125,-79.490625
-411.4640625,-491.240625,-79.7765625
-411.75,-492.0984375,-80.3484375
-413.7515625,-494.1,-80.3484375
-416.6109375,-496.6734375,-80.0625
-420.328125,-499.246875,-78.91875
-424.0453125,-501.2484375,-77.203125
-427.190625,-502.10625,-74.915625
-428.90625,-501.8203125,-72.9140625
-429.478125,-499.81875,-70.340625
-428.0484375,-496.6734375,-68.625
-425.1890625,-492.6703125,-67.48125
-421.1859375,-488.38125,-67.1953125
-416.6109375,-484.95,-68.3390625
-412.0359375,-482.3765625,-70.340625
-408.6046875,-481.51875,-72.9140625
-406.3171875,-482.3765625,-76.059375
-405.7453125,-484.6640625,-78.91875
-406.603125,-488.0953125,-81.4921875
-408.31875,-491.5265625,-83.2078125
-410.60625,-494.671875,-84.065625
-412.89375,-496.3875,-83.49375
-414.0375,-496.3875,-82.35
-414.0375,-494.671875,-80.634375
-412.89375,-491.5265625,-78.6328125
-410.3203125,-487.5234375,-77.203125
-407.4609375,-483.5203125,-76.059375
-404.315625,-480.375,-76.059375
-402.3140625,-478.9453125,-76.63125
-401.45625,-479.5171875,-78.0609375
-402.8859375,-482.6625,-79.7765625
-405.7453125,-487.809375,-82.0640625
-410.60625,-494.1,-83.49375
-416.325,-500.9625,-84.6375
-422.04375,-507.253125,-85.209375
-427.4765625,-511.828125,-84.3515625
-431.19375,-514.4015625,-83.2078125
-433.1953125,-514.4015625,-81.2062500000001
-433.1953125,-512.4,-79.2046875
-431.765625,-509.2546875,-77.4890625
-429.7640625,-505.8234375,-76.059375
-428.0484375,-503.25,-75.2015625
-427.190625,-502.678125,-75.4875
-428.334375,-504.39375,-76.059375
-431.765625,-509.2546875,-77.4890625
-437.484375,-516.403125,-78.91875
-444.91875,-524.98125,-80.0625
-453.2109375,-534.13125,-80.9203125
-461.2171875,-541.8515625,-80.634375
-467.79375,-547.284375,-79.490625
-471.796875,-549.571875,-77.775
-472.6546875,-548.1421875,-75.4875
-470.08125,-542.709375,-72.628125
-464.934375,-534.703125,-69.76875
-457.7859375,-524.6953125,-66.909375
-449.7796875,-514.115625,-64.3359375
-441.7734375,-504.39375,-62.6203125
-435.4828125,-496.6734375,-61.190625
-431.4796875,-491.5265625,-60.046875
-429.478125,-488.6671875,-59.1890625
-429.7640625,-488.0953125,-58.33125
-431.4796875,-488.6671875,-57.1875
-433.1953125,-489.2390625,-56.04375
-434.3390625,-488.6671875,-54.328125
-433.1953125,-486.3796875,-53.184375
-429.7640625,-481.8046875,-52.040625
-423.759375,-475.228125,-51.46875
-415.4671875,-466.9359375,-51.46875
-406.03125,-458.3578125,-52.3265625
-397.1671875,-450.9234375,-53.75625
-389.7328125,-445.490625,-55.7578125
-385.44375,-443.775,-58.33125
-385.1578125,-445.7765625,-60.61875
-389.446875,-451.4953125,-62.0484375
-397.453125,-460.6453125,-63.1921875
-408.890625,-472.0828125,-63.1921875
-422.04375,-484.0921875,-62.0484375
-435.4828125,-495.5296875,-60.046875
-447.20625,-504.6796875,-57.4734375
-455.784375,-510.684375,-54.9
-460.93125,-513.2578125,-52.3265625
-461.7890625,-512.6859375,-50.896875
-458.9296875,-509.540625,-50.6109375
-452.925,-504.6796875,-51.7546875
-445.7765625,-499.5328125,-53.75625
-438.3421875,-495.24375,-56.9015625
-432.0515625,-492.6703125,-60.61875
-428.0484375,-492.384375,-64.3359375
-426.61875,-494.3859375,-67.7671875
-427.7625,-497.8171875,-70.0546875000001
-430.9078125,-501.8203125,-70.9125
-435.196875,-505.8234375,-70.6265625
-439.2,-508.396875,-69.196875
-442.059375,-508.6828125,-66.6234375
-442.9171875,-506.9671875,-64.05
-441.4875,-502.9640625,-61.4765625
-437.7703125,-497.53125,-59.7609375
