LEFT,RIGHT,DIFF
-1425.684375,-1545.778125,-120.09375
-1421.109375,-1544.634375,-123.525
-1417.3921875,-1544.0625,-126.6703125
-1414.81875,-1544.634375,-129.815625
-1413.675,-1545.4921875,-131.8171875
-1413.675,-1546.6359375,-132.9609375
-1414.5328125,-1547.2078125,-132.675
-1415.6765625,-1546.921875,-131.2453125
-1416.534375,-1545.4921875,-128.9578125
-1416.2484375,-1542.346875,-126.0984375
-1414.81875,-1538.0578125,-123.2390625
-1411.959375,-1532.9109375,-120.9515625
-1408.2421875,-1527.7640625,-119.521875
-1403.953125,-1522.903125,-118.95
-1399.95,-1519.7578125,-119.8078125
-1396.8046875,-1518.328125,-121.5234375
-1395.375,-1519.471875,-124.096875
-1395.946875,-1522.6171875,-126.6703125
-1398.5203125,-1528.05,-129.5296875
-1402.809375,-1534.6265625,-131.8171875
-1408.528125,-1541.775,-133.246875
-1414.5328125,-1548.065625,-133.5328125
-1419.965625,-1553.2125,-133.246875
-1424.2546875,-1556.071875,-131.8171875
-1426.25625,-1556.64375,-130.3875
-1425.9703125,-1554.928125,-128.9578125
-1423.6828125,-1551.2109375,-127.528125
-1419.39375,-1546.0640625,-126.6703125
-1414.246875,-1540.9171875,-126.6703125
-1408.8140625,-1536.05625,-127.2421875
-1404.2390625,-1532.3390625,-128.1
-1401.09375,-1530.0515625,-128.9578125
-1399.6640625,-1529.765625,-130.1015625
-1400.2359375,-1530.909375,-130.6734375
-1402.2375,-1532.9109375,-130.6734375
-1405.096875,-1535.484375,-130.3875
-1408.2421875,-1537.4859375,-129.24375
-1411.1015625,-1538.915625,-127.8140625
-1412.53125,-1538.915625,-126.384375
-1412.8171875,-1537.771875,-124.9546875
-1411.3875,-1535.484375,-124.096875
-1409.1,-1532.625,-123.525
-1406.240625,-1529.765625,-123.525
-1403.0953125,-1527.7640625,-124.66875
-1400.8078125,-1526.90625,-126.0984375
-1399.6640625,-1527.1921875,-127.528125
-1399.6640625,-1528.9078125,-129.24375
-1401.09375,-1531.48125,-130.3875
-1403.38125,-1534.340625,-130.959375
-1405.9546875,-1537.2,-131.2453125
-1407.95625,-1539.2015625,-131.2453125
-1409.3859375,-1539.7734375,-130.3875
-1409.3859375,-1538.915625,-129.5296875
-1408.2421875,-1536.3421875,-128.1
-1405.66875,-1533.196875,-127.528125
-1402.2375,-1529.4796875,-127.2421875
-1399.0921875,-1526.334375,-127.2421875
-1396.2328125,-1524.046875,-127.8140625
-1394.23125,-1523.475,-129.24375
-1393.9453125,-1524.61875,-130.6734375
-1395.0890625,-1527.1921875,-132.103125
-1397.3765625,-1530.909375,-133.5328125
-1400.2359375,-1534.6265625,-134.390625
-1402.5234375,-1537.4859375,-134.9625
-1403.953125,-1538.915625,-134.9625
-1403.38125,-1538.0578125,-134.6765625
-1400.8078125,-1534.6265625,-133.81875
-1395.6609375,-1528.621875,-132.9609375
-1389.084375,-1520.9015625,-131.8171875
-1381.3640625,-1512.0375,-130.6734375
-1373.64375,-1503.7453125,-130.1015625
-1367.0671875,-1496.596875,-129.5296875
-1363.0640625,-1492.3078125,-129.24375
-1361.9203125,-1491.45,-129.5296875
-1364.2078125,-1494.0234375,-129.815625
-1369.640625,-1500.3140625,-130.6734375
-1378.21875,-1508.8921875,-130.6734375
-1388.2265625,-1519.1859375,-130.959375
-1398.80625,-1529.4796875,-130.6734375
-1408.2421875,-1538.915625,-130.6734375
-1415.390625,-1545.778125,-130.3875
-1419.39375,-1549.4953125,-130.1015625
-1419.965625,-1549.78125,-129.815625
-1416.534375,-1546.6359375,-130.1015625
-1409.9578125,-1540.63125,-130.6734375
-1400.8078125,-1532.3390625,-131.53125
-1390.228125,-1523.1890625,-132.9609375
-1379.3625,-1513.753125,-134.390625
-1369.06875,-1505.4609375,-136.3921875
-1360.490625,-1498.5984375,-138.1078125
-1353.9140625,-1493.4515625,-139.5375
-1349.625,-1490.30625,-140.68125
-1347.6234375,-1488.8765625,-141.253125
-1347.6234375,-1488.8765625,-141.253125
-1348.7671875,-1489.4484375,-140.68125
-1351.0546875,-1490.30625,-139.2515625
-1353.9140625,-1491.7359375,-137.821875
-1356.7734375,-1492.8796875,-136.10625
-1359.346875,-1493.7375,-134.390625
-1361.9203125,-1494.88125,-132.9609375
-1363.921875,-1496.025,-132.103125
-1365.9234375,-1497.16875,-131.2453125
-1367.6390625,-1498.3125,-130.6734375
-1368.7828125,-1499.45625,-130.6734375
-1369.3546875,-1499.7421875,-130.3875
-1369.3546875,-1499.1703125,-129.815625
-1368.2109375,-1497.16875,-128.9578125
-1365.6375,-1493.7375,-128.1
-1362.20625,-1488.3046875,-126.0984375
-1357.63125,-1481.4421875,-123.8109375
-1352.1984375,-1473.15,-120.9515625
-1346.19375,-1464.571875,-118.378125
-1340.475,-1456.565625,-116.090625
-1335.6140625,-1449.703125,-114.0890625
-1332.1828125,-1445.128125,-112.9453125
-1330.4671875,-1443.1265625,-112.659375
-1330.753125,-1444.55625,-113.803125
-1333.3265625,-1449.13125,-115.8046875
-1338.1875,-1456.565625,-118.378125
-1344.1921875,-1466.2875,-122.0953125
-1351.6265625,-1477.153125,-125.5265625
-1359.6328125,-1488.590625,-128.9578125
-1367.6390625,-1499.45625,-131.8171875
-1375.359375,-1509.4640625,-134.1046875
-1382.79375,-1517.75625,-134.9625
-1389.3703125,-1524.61875,-135.2484375
-1395.6609375,-1529.765625,-134.1046875
-1401.665625,-1533.76875,-132.103125
-1407.384375,-1536.3421875,-128.9578125
-1412.53125,-1538.34375,-125.8125
-1417.3921875,-1539.4875,-122.0953125
-1421.3953125,-1540.059375,-118.6640625
-1423.96875,-1539.4875,-115.51875
-1424.8265625,-1537.4859375,-112.659375
-1422.825,-1533.4828125,-110.6578125
-1418.25,-1527.478125,-109.228125
-1410.5296875,-1519.471875,-108.9421875
-1399.95,-1509.178125,-109.228125
-1387.36875,-1497.4546875,-110.0859375
-1373.3578125,-1485.159375,-111.8015625
-1359.346875,-1473.15,-113.803125
-1346.765625,-1462.284375,-115.51875
-1336.471875,-1454.278125,-117.80625
