LEFT,RIGHT,DIFF
-1847.4421875,-2084.7703125,-237.328125
-1856.30625,-2092.7765625,-236.4703125
-1865.45625,-2100.2109375,-234.7546875
-1873.4625,-2105.9296875,-232.4671875
-1878.8953125,-2109.075,-230.1796875
-1881.7546875,-2109.075,-227.3203125
-1881.1828125,-2106.5015625,-225.31875
-1877.7515625,-2101.640625,-223.8890625
-1871.746875,-2095.0640625,-223.3171875
-1864.5984375,-2087.915625,-223.3171875
-1857.45,-2081.3390625,-223.8890625
-1851.4453125,-2076.478125,-225.0328125
-1847.15625,-2073.3328125,-226.1765625
-1845.1546875,-2072.7609375,-227.60625
-1846.0125,-2074.4765625,-228.4640625
-1848.5859375,-2077.9078125,-229.321875
-1852.875,-2082.196875,-229.321875
-1857.7359375,-2086.771875,-229.0359375
-1862.3109375,-2090.775,-228.4640625
-1865.7421875,-2093.634375,-227.8921875
-1867.74375,-2095.0640625,-227.3203125
-1868.315625,-2095.0640625,-226.7484375
-1867.171875,-2093.9203125,-226.7484375
-1865.1703125,-2092.2046875,-227.034375
-1862.8828125,-2090.4890625,-227.60625
-1861.1671875,-2089.059375,-227.8921875
-1860.0234375,-2088.4875,-228.4640625
-1860.309375,-2089.059375,-228.75
-1861.7390625,-2090.4890625,-228.75
-1864.3125,-2092.490625,-228.178125
-1867.4578125,-2094.4921875,-227.034375
-1870.3171875,-2096.2078125,-225.890625
-1872.6046875,-2096.7796875,-224.175
-1873.4625,-2096.49375,-223.03125
-1872.890625,-2094.778125,-221.8875
-1870.603125,-2091.6328125,-221.0296875
-1867.171875,-2087.915625,-220.74375
-1862.596875,-2084.1984375,-221.6015625
-1858.021875,-2080.48125,-222.459375
-1854.3046875,-2077.9078125,-223.603125
-1851.4453125,-2076.7640625,-225.31875
-1850.3015625,-2077.05,-226.7484375
-1850.8734375,-2079.0515625,-228.178125
-1852.875,-2081.9109375,-229.0359375
-1856.30625,-2085.628125,-229.321875
-1860.0234375,-2089.3453125,-229.321875
-1863.740625,-2092.490625,-228.75
-1866.3140625,-2094.4921875,-228.178125
-1867.4578125,-2095.0640625,-227.60625
-1866.8859375,-2093.634375,-226.7484375
-1864.3125,-2091.0609375,-226.7484375
-1860.309375,-2087.0578125,-226.7484375
-1855.1625,-2082.196875,-227.034375
-1849.44375,-2077.05,-227.60625
-1844.296875,-2072.7609375,-228.4640625
-1839.721875,-2069.04375,-229.321875
-1836.8625,-2066.75625,-229.89375
-1835.71875,-2065.8984375,-230.1796875
-1836.0046875,-2066.4703125,-230.465625
-1838.00625,-2068.1859375,-230.1796875
-1841.1515625,-2070.759375,-229.6078125
-1844.86875,-2073.61875,-228.75
-1848.5859375,-2076.1921875,-227.60625
-1852.0171875,-2078.19375,-226.1765625
-1854.3046875,-2079.6234375,-225.31875
-1855.734375,-2079.6234375,-223.8890625
-1856.30625,-2079.0515625,-222.7453125
-1855.734375,-2077.3359375,-221.6015625
-1854.590625,-2074.7625,-220.171875
-1853.1609375,-2072.1890625,-219.028125
-1851.73125,-2069.615625,-217.884375
-1850.5875,-2067.0421875,-216.4546875
-1850.015625,-2065.040625,-215.025
-1850.015625,-2063.896875,-213.88125
-1850.3015625,-2063.0390625,-212.7375
-1850.5875,-2062.4671875,-211.8796875
-1850.8734375,-2062.18125,-211.3078125
-1850.5875,-2062.18125,-211.59375
-1850.015625,-2061.609375,-211.59375
-1848.3,-2060.7515625,-212.4515625
-1846.0125,-2059.321875,-213.309375
-1842.8671875,-2057.60625,-214.7390625
-1839.721875,-2055.6046875,-215.8828125
-1836.290625,-2053.603125,-217.3125
-1833.43125,-2051.8875,-218.45625
-1831.4296875,-2050.4578125,-219.028125
-1830.571875,-2049.8859375,-219.3140625
-1830.571875,-2050.171875,-219.6
-1831.715625,-2051.315625,-219.6
-1834.003125,-2053.3171875,-219.3140625
-1836.290625,-2055.6046875,-219.3140625
-1838.8640625,-2058.4640625,-219.6
-1841.1515625,-2061.0375,-219.8859375
-1842.58125,-2063.325,-220.74375
-1842.8671875,-2064.7546875,-221.8875
-1842.2953125,-2065.6125,-223.3171875
-1840.5796875,-2065.6125,-225.0328125
-1838.2921875,-2064.7546875,-226.4625
-1835.71875,-2063.896875,-228.178125
-1834.003125,-2062.753125,-228.75
-1832.859375,-2061.8953125,-229.0359375
-1833.43125,-2061.609375,-228.178125
-1835.4328125,-2062.18125,-226.7484375
-1839.15,-2063.6109375,-224.4609375
-1844.296875,-2065.8984375,-221.6015625
-1850.3015625,-2068.471875,-218.1703125
-1856.30625,-2071.0453125,-214.7390625
-1862.025,-2073.046875,-211.021875
-1866.028125,-2074.4765625,-208.4484375
-1868.315625,-2074.7625,-206.446875
