LEFT,RIGHT,DIFF
-1354.4859375,-1576.659375,-222.1734375
-1354.4859375,-1577.5171875,-223.03125
-1353.05625,-1576.9453125,-223.8890625
-1350.76875,-1575.515625,-224.746875
-1348.48125,-1573.8,-225.31875
-1345.9078125,-1572.3703125,-226.4625
-1343.90625,-1571.2265625,-227.3203125
-1342.190625,-1570.6546875,-228.4640625
-1341.3328125,-1570.940625,-229.6078125
-1341.046875,-1571.7984375,-230.7515625
-1340.7609375,-1572.9421875,-232.18125
-1340.475,-1574.0859375,-233.6109375
-1339.6171875,-1574.94375,-235.3265625
-1338.4734375,-1574.94375,-236.4703125
-1336.7578125,-1574.371875,-237.6140625
-1334.75625,-1572.9421875,-238.1859375
-1332.46875,-1570.6546875,-238.1859375
-1330.18125,-1568.3671875,-238.1859375
-1328.465625,-1566.0796875,-237.6140625
-1327.321875,-1564.078125,-236.75625
-1327.321875,-1562.3625,-235.040625
-1327.89375,-1561.5046875,-233.6109375
-1329.0375,-1561.21875,-232.18125
-1330.4671875,-1561.21875,-230.7515625
-1331.896875,-1560.9328125,-229.0359375
-1332.1828125,-1560.646875,-228.4640625
-1331.896875,-1559.2171875,-227.3203125
-1329.8953125,-1556.9296875,-227.034375
-1327.0359375,-1553.784375,-226.7484375
-1323.0328125,-1550.0671875,-227.034375
-1318.4578125,-1545.778125,-227.3203125
-1313.8828125,-1541.4890625,-227.60625
-1310.165625,-1537.771875,-227.60625
-1307.5921875,-1535.484375,-227.8921875
-1306.4484375,-1534.6265625,-228.178125
-1307.0203125,-1535.484375,-228.4640625
-1309.59375,-1537.771875,-228.178125
-1313.3109375,-1541.775,-228.4640625
-1317.8859375,-1546.6359375,-228.75
-1322.746875,-1551.7828125,-229.0359375
-1327.0359375,-1556.3578125,-229.321875
-1330.4671875,-1559.7890625,-229.321875
-1332.1828125,-1562.0765625,-229.89375
-1332.1828125,-1562.3625,-230.1796875
-1330.753125,-1560.9328125,-230.1796875
-1327.89375,-1558.0734375,-230.1796875
