LEFT,RIGHT,DIFF
-717.9890625,-877.25625,-159.2671875
-719.1328125,-877.25625,-158.1234375
-719.41875,-876.684375,-157.265625
-719.41875,-875.2546875,-155.8359375
-718.275,-873.253125,-154.978125
-716.2734375,-870.6796875,-154.40625
-713.9859375,-867.534375,-153.5484375
-711.1265625,-864.103125,-152.9765625
-707.98125,-860.671875,-152.690625
-704.8359375,-857.5265625,-152.690625
-702.2625,-854.953125,-152.690625
-700.2609375,-853.2375,-152.9765625
-698.83125,-852.665625,-153.834375
-697.9734375,-853.2375,-155.2640625
-697.9734375,-854.953125,-156.9796875
-698.5453125,-857.240625,-158.6953125
-699.403125,-860.1,-160.696875
-700.8328125,-863.2453125,-162.4125
-702.2625,-866.390625,-164.128125
-703.6921875,-868.678125,-164.9859375
-704.8359375,-870.39375,-165.5578125
-705.69375,-871.2515625,-165.5578125
-705.9796875,-870.965625,-164.9859375
-705.69375,-869.821875,-164.128125
-705.121875,-868.10625,-162.984375
-704.2640625,-865.81875,-161.5546875
-703.1203125,-863.53125,-160.4109375
-701.9765625,-861.815625,-159.8390625
-701.690625,-860.9578125,-159.2671875
-701.690625,-860.9578125,-159.2671875
-702.5484375,-862.1015625,-159.553125
-704.55,-864.675,-160.125
-707.1234375,-868.10625,-160.9828125
-710.5546875,-871.8234375,-161.26875
-713.9859375,-875.8265625,-161.840625
-717.4171875,-879.2578125,-161.840625
-720.2765625,-882.1171875,-161.840625
-721.9921875,-883.546875,-161.5546875
-722.5640625,-883.2609375,-160.696875
-721.70625,-881.83125,-160.125
-719.41875,-879.2578125,-159.8390625
-715.9875,-875.540625,-159.553125
-711.984375,-871.8234375,-159.8390625
-707.6953125,-868.10625,-160.4109375
-703.6921875,-865.246875,-161.5546875
-700.546875,-863.53125,-162.984375
-698.5453125,-863.53125,-164.9859375
-697.6875,-864.675,-166.9875
-698.5453125,-866.9625,-168.4171875
-700.2609375,-870.1078125,-169.846875
-702.834375,-873.253125,-170.41875
-705.4078125,-876.3984375,-170.990625
-707.409375,-878.4,-170.990625
-708.8390625,-879.2578125,-170.41875
-708.8390625,-878.6859375,-169.846875
-707.6953125,-876.3984375,-168.703125
-705.121875,-872.68125,-167.559375
-701.4046875,-868.3921875,-166.9875
-696.8296875,-863.53125,-166.7015625
-692.2546875,-858.6703125,-166.415625
-687.6796875,-854.6671875,-166.9875
-684.2484375,-851.8078125,-167.559375
-681.675,-850.378125,-168.703125
-680.8171875,-850.378125,-169.5609375
-681.103125,-851.8078125,-170.7046875
-683.1046875,-854.0953125,-170.990625
-685.678125,-857.240625,-171.5625
-689.3953125,-860.9578125,-171.5625
-693.3984375,-864.3890625,-170.990625
-697.115625,-867.534375,-170.41875
-700.546875,-870.1078125,-169.5609375
-703.1203125,-871.5375,-168.4171875
-705.121875,-872.3953125,-167.2734375
-705.9796875,-872.3953125,-166.415625
-705.69375,-871.5375,-165.84375
-704.8359375,-870.39375,-165.5578125
-702.834375,-868.3921875,-165.5578125
-700.546875,-866.390625,-165.84375
-697.6875,-864.3890625,-166.7015625
-694.828125,-862.1015625,-167.2734375
-691.96875,-860.1,-168.13125
-689.68125,-858.0984375,-168.4171875
-687.6796875,-856.3828125,-168.703125
-686.25,-854.953125,-168.703125
-685.678125,-854.0953125,-168.4171875
-685.9640625,-853.5234375,-167.559375
-686.821875,-853.809375,-166.9875
-688.5375,-854.953125,-166.415625
-690.5390625,-856.66875,-166.1296875
-693.1125,-858.95625,-165.84375
-695.6859375,-861.815625,-166.1296875
-697.9734375,-864.9609375,-166.9875
-699.975,-868.3921875,-168.4171875
-701.690625,-871.5375,-169.846875
-702.834375,-874.396875,-171.5625
-703.978125,-876.3984375,-172.4203125
-704.55,-877.828125,-173.278125
-704.8359375,-878.4,-173.5640625
-705.4078125,-878.4,-172.9921875
-706.265625,-877.828125,-171.5625
-707.1234375,-876.684375,-169.5609375
-708.553125,-875.540625,-166.9875
-709.9828125,-874.1109375,-164.128125
-711.6984375,-873.253125,-161.5546875
-713.128125,-872.3953125,-159.2671875
-714.271875,-872.109375,-157.8375
-714.84375,-871.8234375,-156.9796875
-714.5578125,-871.8234375,-157.265625
-713.4140625,-871.8234375,-158.409375
-711.4125,-871.5375,-160.125
-708.553125,-870.6796875,-162.1265625
-705.4078125,-869.821875,-164.4140625
-701.9765625,-868.3921875,-166.415625
-698.5453125,-866.6765625,-168.13125
-695.6859375,-864.675,-168.9890625
-693.684375,-862.959375,-169.275
-692.8265625,-861.24375,-168.4171875
