LEFT,RIGHT,DIFF
-551.0015625,-654.796875,-103.7953125
-552.7171875,-658.5140625,-105.796875
-552.43125,-660.515625,-108.084375
-550.14375,-660.515625,-110.371875
-546.140625,-658.8,-112.659375
-541.2796875,-655.6546875,-114.375
-535.5609375,-651.365625,-115.8046875
-530.4140625,-646.5046875,-116.090625
-525.8390625,-641.9296875,-116.090625
-522.4078125,-637.640625,-115.2328125
-520.6921875,-634.4953125,-113.803125
-520.6921875,-632.7796875,-112.0875
-522.121875,-632.2078125,-110.0859375
-524.98125,-633.065625,-108.084375
-528.6984375,-635.0671875,-106.36875
-532.9875,-637.640625,-104.653125
-536.7046875,-640.5,-103.7953125
-539.85,-643.6453125,-103.7953125
-542.1375,-646.21875,-104.08125
-543.28125,-648.2203125,-104.9390625
-542.9953125,-649.3640625,-106.36875
-541.8515625,-649.9359375,-108.084375
-539.85,-650.221875,-110.371875
-537.5625,-649.65,-112.0875
-535.5609375,-649.078125,-113.5171875
-533.8453125,-648.50625,-114.6609375
-532.7015625,-648.2203125,-115.51875
-532.7015625,-647.934375,-115.2328125
-533.2734375,-648.2203125,-114.946875
-534.703125,-648.50625,-113.803125
-536.41875,-649.078125,-112.659375
-538.4203125,-649.3640625,-110.94375
-540.1359375,-649.9359375,-109.8
-541.565625,-649.9359375,-108.3703125
-542.1375,-649.65,-107.5125
-542.1375,-649.078125,-106.940625
-541.8515625,-648.2203125,-106.36875
-540.7078125,-647.3625,-106.6546875
-539.5640625,-646.5046875,-106.940625
-538.4203125,-645.9328125,-107.5125
-537.5625,-645.9328125,-108.3703125
-536.990625,-646.21875,-109.228125
-536.990625,-647.0765625,-110.0859375
-537.5625,-648.50625,-110.94375
-538.4203125,-649.9359375,-111.515625
-539.278125,-651.6515625,-112.3734375
-539.85,-653.08125,-113.23125
-540.421875,-654.225,-113.803125
-540.1359375,-654.796875,-114.6609375
-539.278125,-654.5109375,-115.2328125
-537.5625,-653.3671875,-115.8046875
-535.275,-651.6515625,-116.3765625
-532.415625,-648.7921875,-116.3765625
-528.984375,-645.646875,-116.6625
-525.8390625,-641.9296875,-116.090625
-522.69375,-638.2125,-115.51875
-520.40625,-634.78125,-114.375
-518.4046875,-631.6359375,-113.23125
-517.546875,-629.3484375,-111.8015625
-517.2609375,-628.2046875,-110.94375
-517.8328125,-627.6328125,-109.8
-518.9765625,-628.2046875,-109.228125
-520.6921875,-629.634375,-108.9421875
-522.4078125,-631.6359375,-109.228125
-523.8375,-634.209375,-110.371875
-525.553125,-637.06875,-111.515625
-526.696875,-639.6421875,-112.9453125
-527.26875,-641.9296875,-114.6609375
-527.5546875,-643.6453125,-116.090625
-527.5546875,-644.503125,-116.9484375
-526.9828125,-644.7890625,-117.80625
-526.125,-643.93125,-117.80625
-524.98125,-642.5015625,-117.5203125
-523.8375,-640.5,-116.6625
-522.4078125,-638.2125,-115.8046875
-521.2640625,-635.6390625,-114.375
-519.834375,-633.065625,-113.23125
-518.9765625,-631.0640625,-112.0875
-518.11875,-629.3484375,-111.2296875
-517.546875,-628.490625,-110.94375
-517.546875,-628.2046875,-110.6578125
-518.11875,-628.7765625,-110.6578125
-518.9765625,-629.9203125,-110.94375
-520.1203125,-631.35,-111.2296875
-521.8359375,-633.065625,-111.2296875
-523.5515625,-634.4953125,-110.94375
-524.98125,-635.6390625,-110.6578125
-526.4109375,-636.2109375,-109.8
-526.9828125,-635.925,-108.9421875
-526.696875,-635.0671875,-108.3703125
-525.553125,-633.3515625,-107.7984375
-523.5515625,-630.778125,-107.2265625
-520.6921875,-627.91875,-107.2265625
-517.546875,-625.059375,-107.5125
-514.115625,-622.4859375,-108.3703125
-511.25625,-620.484375,-109.228125
-509.2546875,-619.6265625,-110.371875
-508.396875,-619.6265625,-111.2296875
-509.2546875,-621.05625,-111.8015625
-511.5421875,-623.915625,-112.3734375
-515.259375,-627.346875,-112.0875
-520.1203125,-631.921875,-111.8015625
-525.2671875,-636.496875,-111.2296875
-530.4140625,-640.5,-110.0859375
-534.703125,-643.93125,-109.228125
