LEFT,RIGHT,DIFF
-279.646875,-330.8296875,-51.1828125
-281.934375,-332.83125,-50.896875
-283.9359375,-335.690625,-51.7546875
-286.2234375,-338.55,-52.3265625
-287.9390625,-341.1234375,-53.184375
-289.0828125,-343.4109375,-54.328125
-289.6546875,-345.1265625,-55.471875
-289.36875,-345.984375,-56.615625
-288.225,-345.984375,-57.759375
-286.7953125,-345.1265625,-58.33125
-284.5078125,-343.9828125,-59.475
-282.2203125,-342.2671875,-60.046875
-279.646875,-340.265625,-60.61875
-277.0734375,-338.2640625,-61.190625
-274.5,-336.2625,-61.7625
-272.2125,-334.8328125,-62.6203125
-270.496875,-333.403125,-62.90625
-269.0671875,-332.5453125,-63.478125
-267.9234375,-332.259375,-64.3359375
-267.3515625,-332.259375,-64.9078125
-267.3515625,-332.259375,-64.9078125
-267.6375,-332.83125,-65.19375
-268.209375,-333.1171875,-64.9078125
-268.78125,-333.6890625,-64.9078125
-269.6390625,-333.975,-64.3359375
-270.496875,-333.975,-63.478125
-271.06875,-333.6890625,-62.6203125
-271.06875,-333.403125,-62.334375
-271.06875,-332.83125,-61.7625
-270.7828125,-331.9734375,-61.190625
-269.925,-331.115625,-61.190625
-269.0671875,-330.54375,-61.4765625
-268.209375,-330.2578125,-62.0484375
-267.3515625,-330.2578125,-62.90625
-266.7796875,-330.8296875,-64.05
-266.7796875,-332.259375,-65.4796875
-267.3515625,-334.2609375,-66.909375
-268.78125,-337.1203125,-68.3390625
-270.496875,-340.265625,-69.76875
-272.784375,-343.696875,-70.9125
-275.64375,-347.128125,-71.484375
-278.2171875,-350.559375,-72.3421875
-280.790625,-353.41875,-72.628125
-283.078125,-355.4203125,-72.3421875
-284.79375,-356.5640625,-71.7703125
-285.9375,-356.85,-70.9125
-286.509375,-355.9921875,-69.4828125
-286.2234375,-354.8484375,-68.625
-285.9375,-352.846875,-66.909375
-285.0796875,-350.559375,-65.4796875
-284.221875,-348.5578125,-64.3359375
-283.65,-346.55625,-62.90625
-282.7921875,-345.1265625,-62.334375
-282.50625,-344.26875,-61.7625
-281.934375,-343.696875,-61.7625
-281.3625,-343.696875,-62.334375
-280.5046875,-343.4109375,-62.90625
-279.075,-343.125,-64.05
-277.359375,-342.2671875,-64.9078125
-274.7859375,-341.1234375,-66.3375
-271.9265625,-339.69375,-67.7671875
-268.4953125,-337.6921875,-69.196875
-265.35,-335.690625,-70.340625
-262.490625,-333.6890625,-71.1984375
-260.4890625,-332.5453125,-72.05625
-259.3453125,-332.259375,-72.9140625
-259.9171875,-333.1171875,-73.2
-261.91875,-335.4046875,-73.4859375
-265.0640625,-338.8359375,-73.771875
-269.6390625,-343.125,-73.4859375
-274.7859375,-347.9859375,-73.2
-280.21875,-352.846875,-72.628125
-285.0796875,-357.1359375,-72.05625
-288.796875,-360.5671875,-71.7703125
-291.3703125,-361.996875,-70.6265625
-292.228125,-361.996875,-69.76875
-291.65625,-359.9953125,-68.3390625
-289.0828125,-356.5640625,-67.48125
-285.6515625,-351.9890625,-66.3375
-281.934375,-347.128125,-65.19375
-277.93125,-342.2671875,-64.3359375
-274.5,-338.2640625,-63.7640625
-272.4984375,-335.690625,-63.1921875
-271.9265625,-335.11875,-63.1921875
-272.784375,-336.2625,-63.478125
-275.3578125,-339.121875,-63.7640625
-279.075,-343.696875,-64.621875
-283.65,-348.84375,-65.19375
-288.225,-354.2765625,-66.0515625
-292.228125,-359.4234375,-67.1953125
-295.3734375,-363.4265625,-68.053125
-297.375,-365.7140625,-68.3390625
-297.6609375,-366.571875,-68.9109375
-296.23125,-365.428125,-69.196875
-293.6578125,-362.56875,-68.9109375
-290.2265625,-358.8515625,-68.625
-286.2234375,-354.5625,-68.3390625
-282.50625,-350.2734375,-67.7671875
-279.075,-346.55625,-67.48125
-276.7875,-343.9828125,-67.1953125
-275.64375,-342.553125,-66.909375
-275.64375,-342.553125,-66.909375
-276.7875,-343.9828125,-67.1953125
-278.503125,-346.2703125,-67.7671875
-280.21875,-349.1296875,-68.9109375
-282.2203125,-351.703125,-69.4828125
-283.3640625,-353.7046875,-70.340625
-283.9359375,-354.8484375,-70.9125
-283.078125,-354.5625,-71.484375
-281.3625,-352.846875,-71.484375
-278.7890625,-349.9875,-71.1984375
-275.64375,-346.2703125,-70.6265625
-272.2125,-342.2671875,-70.0546875
-269.0671875,-338.2640625,-69.196875
-266.7796875,-334.546875,-67.7671875
-265.35,-332.259375,-66.909375
-265.0640625,-331.4015625,-66.3375
-265.6359375,-331.9734375,-66.3375
-267.6375,-333.6890625,-66.0515625
-269.925,-336.5484375,-66.6234375
-272.784375,-339.9796875,-67.1953125
-275.071875,-343.4109375,-68.3390625
-277.0734375,-346.55625,-69.4828125
-277.93125,-348.5578125,-70.6265625
-277.93125,-349.1296875,-71.1984375
-276.7875,-348.271875,-71.484375
-274.5,-346.2703125,-71.7703125
-271.640625,-343.125,-71.484375
-268.78125,-339.4078125,-70.6265625
-265.921875,-335.690625,-69.76875
-263.9203125,-332.5453125,-68.625
-262.7765625,-329.971875,-67.1953125
-262.490625,-328.828125,-66.3375
-263.3484375,-328.5421875,-65.19375
-264.778125,-329.4,-64.621875
-266.7796875,-330.8296875,-64.05
-268.78125,-332.5453125,-63.7640625
-270.496875,-334.2609375,-63.7640625
