LEFT,RIGHT,DIFF
-221.0296875,-265.0640625,-44.034375
-219.6,-264.778125,-45.178125
-218.1703125,-264.20625,-46.0359375
-216.740625,-263.634375,-46.89375
-215.596875,-263.0625,-47.465625
-214.453125,-262.490625,-48.0375
-213.88125,-262.2046875,-48.3234375
-213.88125,-261.6328125,-47.7515625
-213.88125,-261.6328125,-47.7515625
-213.88125,-261.346875,-47.465625
-214.1671875,-261.346875,-47.1796875
-214.453125,-261.346875,-46.89375
-214.1671875,-261.0609375,-46.89375
-213.5953125,-260.775,-47.1796875
-212.7375,-259.9171875,-47.1796875
-211.59375,-258.7734375,-47.1796875
-210.1640625,-257.6296875,-47.465625
-208.734375,-256.2,-47.465625
-207.590625,-255.05625,-47.465625
-207.01875,-253.9125,-46.89375
-207.01875,-253.6265625,-46.6078125
-207.8765625,-253.9125,-46.0359375
-209.5921875,-254.7703125,-45.178125
-212.165625,-256.4859375,-44.3203125
-215.3109375,-258.7734375,-43.4625
-218.7421875,-261.346875,-42.6046875
-222.1734375,-263.9203125,-41.746875
-225.0328125,-266.2078125,-41.175
-227.3203125,-267.9234375,-40.603125
-228.75,-268.4953125,-39.7453125
-229.321875,-268.4953125,-39.1734375
-228.75,-267.3515625,-38.6015625
-227.3203125,-265.35,-38.0296875
-225.31875,-262.7765625,-37.4578125
-223.03125,-260.203125,-37.171875
-220.74375,-257.915625,-37.171875
-219.028125,-255.9140625,-36.8859375
-217.3125,-254.7703125,-37.4578125
-216.16875,-254.484375,-38.315625
-215.596875,-254.7703125,-39.1734375
-215.025,-255.628125,-40.603125
-214.7390625,-256.4859375,-41.746875
-213.88125,-257.0578125,-43.1765625
-212.4515625,-257.34375,-44.8921875
-210.7359375,-256.771875,-46.0359375
-208.1625,-255.628125,-47.465625
-205.303125,-253.340625,-48.0375
-202.1578125,-250.7671875,-48.609375
-199.2984375,-247.9078125,-48.609375
-196.725,-245.334375,-48.609375
-195.58125,-243.3328125,-47.7515625
