LEFT,RIGHT,DIFF
-468.0796875,-545.56875,-77.4890625
-464.3625,-541.8515625,-77.4890625
-462.3609375,-539.85,-77.4890625
-461.7890625,-539.5640625,-77.775
-462.9328125,-541.2796875,-78.346875
-465.7921875,-544.996875,-79.2046875
-469.7953125,-550.14375,-80.3484375
-474.65625,-555.5765625,-80.9203125
-479.23125,-561.009375,-81.7781249999999
-483.5203125,-565.584375,-82.0640625
-486.09375,-568.44375,-82.35
-487.2375,-569.5875,-82.35
-486.9515625,-569.015625,-82.0640625
-484.95,-566.728125,-81.7781249999999
-481.8046875,-563.5828125,-81.778125
-478.3734375,-560.1515625,-81.778125
-475.228125,-557.2921875,-82.0640625
-473.2265625,-555.290625,-82.0640625
-472.0828125,-555.0046875,-82.921875
-472.6546875,-556.1484375,-83.49375
-474.65625,-558.721875,-84.0656250000001
-477.8015625,-562.4390625,-84.6374999999999
-481.51875,-566.15625,-84.6375
-484.95,-569.8734375,-84.9234375
-488.0953125,-572.7328125,-84.6375
-489.8109375,-574.1625,-84.3515625
-490.3828125,-574.1625,-83.7796875
-489.525,-572.7328125,-83.2078125
-487.809375,-570.159375,-82.35
-485.2359375,-567.0140625,-81.778125
-482.6625,-563.86875,-81.20625
-480.375,-561.2953125,-80.9203125
-479.23125,-559.865625,-80.634375
-479.23125,-560.1515625,-80.9203125
-480.6609375,-561.8671875,-81.20625
-483.234375,-564.7265625,-81.4921875
-486.3796875,-568.7296875,-82.35
-490.096875,-573.01875,-82.9218750000001
-493.8140625,-577.021875,-83.2078125
-496.6734375,-580.453125,-83.7796875
-498.675,-582.740625,-84.065625
-499.246875,-583.3125,-84.065625
-498.675,-582.740625,-84.065625
-496.6734375,-580.7390625,-84.065625
-494.1,-577.8796875,-83.7796875
-491.240625,-574.4484375,-83.2078125
-488.0953125,-571.0171875,-82.9218749999999
-485.521875,-567.871875,-82.35
-483.5203125,-565.2984375,-81.7781249999999
-482.090625,-563.86875,-81.7781249999999
-481.51875,-563.0109375,-81.4921875000001
-481.8046875,-563.0109375,-81.2062500000001
-482.6625,-563.5828125,-80.9203125
-484.0921875,-564.7265625,-80.634375
-485.521875,-566.15625,-80.634375
-487.2375,-567.5859375,-80.3484375
-488.6671875,-568.7296875,-80.0625000000001
-490.3828125,-570.159375,-79.7765625000001
-491.8125,-571.303125,-79.490625
-493.2421875,-572.1609375,-78.91875
-494.671875,-573.3046875,-78.6328125
-495.5296875,-574.1625,-78.6328125
-496.3875,-575.30625,-78.9187499999999
-496.959375,-576.1640625,-79.2046875
-496.959375,-577.021875,-80.0625
-496.6734375,-577.59375,-80.9203125
-495.815625,-577.8796875,-82.0640625
-494.671875,-577.8796875,-83.2078125
-493.2421875,-577.59375,-84.3515625
-491.5265625,-577.021875,-85.4953125
-490.096875,-576.1640625,-86.0671875
-488.953125,-575.0203125,-86.0671875
-488.38125,-574.1625,-85.78125
-488.38125,-573.3046875,-84.9234375
-488.6671875,-572.446875,-83.7796875
-489.8109375,-571.875,-82.0640625
-490.9546875,-571.303125,-80.3484375
-492.0984375,-570.73125,-78.6328125
-493.2421875,-570.159375,-76.9171875000001
-494.1,-569.5875,-75.4875
-494.3859375,-568.7296875,-74.3437500000001
-494.1,-567.871875,-73.771875
-493.528125,-567.3,-73.771875
-492.95625,-566.728125,-73.771875
-492.384375,-566.4421875,-74.0578125
-492.384375,-566.728125,-74.3437499999999
-492.6703125,-567.5859375,-74.915625
-493.8140625,-569.3015625,-75.4875
-495.5296875,-571.5890625,-76.059375
-497.8171875,-574.1625,-76.3453125
-500.1046875,-577.021875,-76.9171875
-502.678125,-579.88125,-77.203125
-504.39375,-581.8828125,-77.4890625
-505.2515625,-583.3125,-78.0609375
-504.965625,-583.5984375,-78.6328125
