LEFT,RIGHT,DIFF
-151.546875,-159.8390625,-8.29218750000001
-155.2640625,-163.8421875,-8.578125
-158.409375,-166.9875,-8.578125
-160.125,-169.275,-9.15000000000001
-160.696875,-170.1328125,-9.43593749999999
-160.4109375,-169.846875,-9.43593749999999
-159.2671875,-168.4171875,-9.15000000000001
-157.265625,-166.1296875,-8.86406250000002
-154.978125,-163.2703125,-8.29218750000001
-152.9765625,-160.125,-7.1484375
-150.975,-157.265625,-6.29062500000001
-149.259375,-154.978125,-5.71875
-147.54375,-152.9765625,-5.43281249999998
-146.4,-151.546875,-5.14687499999999
-144.9703125,-150.403125,-5.43281250000001
-142.96875,-149.259375,-6.29062500000001
-140.68125,-148.115625,-7.43437499999999
-137.821875,-146.4,-8.578125
-134.1046875,-144.3984375,-10.29375
-129.815625,-142.1109375,-12.2953125
-125.5265625,-139.5375,-14.0109375
-121.809375,-137.25,-15.440625
-118.6640625,-135.534375,-16.8703125
-116.9484375,-134.9625,-18.0140625
-117.234375,-136.10625,-18.871875
-119.8078125,-139.2515625,-19.44375
-124.66875,-144.9703125,-20.3015625
-131.8171875,-153.2625,-21.4453125
-141.253125,-163.55625,-22.303125
-152.11875,-175.8515625,-23.7328125
-163.8421875,-189.5765625,-25.734375
-176.1375,-203.3015625,-27.1640625
-187.8609375,-217.0265625,-29.165625
-198.7265625,-229.321875,-30.5953125
-208.1625,-239.3296875,-31.1671875
-215.3109375,-246.7640625,-31.453125
-220.171875,-251.053125,-30.88125
-222.7453125,-251.9109375,-29.165625
-223.03125,-249.6234375,-26.5921875
-220.74375,-244.4765625,-23.7328125
-216.4546875,-236.75625,-20.3015625
-210.1640625,-227.034375,-16.8703125
-202.44375,-216.16875,-13.725
-193.5796875,-204.73125,-11.1515625
-184.14375,-193.5796875,-9.43593749999999
-174.421875,-183.0,-8.578125
-165.271875,-173.85,-8.578125
-156.69375,-166.1296875,-9.43593750000002
-149.5453125,-160.125,-10.5796875
-144.1125,-155.8359375,-11.7234375
-140.3953125,-153.2625,-12.8671875
-138.6796875,-151.8328125,-13.153125
-138.6796875,-151.546875,-12.8671875
-139.8234375,-151.546875,-11.7234375
-142.1109375,-152.11875,-10.0078125
-144.3984375,-152.11875,-7.72031250000001
-146.6859375,-151.8328125,-5.14687500000002
-148.115625,-150.6890625,-2.57343750000001
-148.4015625,-148.9734375,-0.571875000000006
-147.2578125,-146.6859375,0.571875000000006
-144.9703125,-144.1125,0.857812499999994
-141.825,-141.253125,0.571875000000006
-138.1078125,-138.965625,-0.857812500000023
-134.390625,-137.25,-2.859375
-131.53125,-136.678125,-5.14687499999999
-129.815625,-137.25,-7.43437499999999
-129.815625,-138.965625,-9.15000000000001
-131.2453125,-141.825,-10.5796875
-134.390625,-145.5421875,-11.1515625
-138.965625,-149.83125,-10.865625
-144.1125,-154.40625,-10.29375
-149.5453125,-158.409375,-8.86406250000002
-154.978125,-162.1265625,-7.1484375
-159.2671875,-164.7,-5.43281250000001
-162.4125,-166.415625,-4.00312500000001
-164.4140625,-167.2734375,-2.859375
-164.9859375,-167.2734375,-2.28749999999999
-164.128125,-166.7015625,-2.57343749999998
-162.984375,-166.1296875,-3.14531250000002
-160.9828125,-165.271875,-4.2890625
-159.2671875,-164.7,-5.43281250000001
-157.8375,-164.7,-6.86250000000001
-156.69375,-165.271875,-8.578125
-156.69375,-166.415625,-9.72187500000001
-156.9796875,-167.8453125,-10.865625
-157.8375,-169.5609375,-11.7234375
-159.2671875,-171.5625,-12.2953125
-160.696875,-173.278125,-12.58125
-162.4125,-174.99375,-12.58125
-163.55625,-176.4234375,-12.8671875
-164.9859375,-177.5671875,-12.58125
-165.84375,-178.7109375,-12.8671875
-166.7015625,-179.56875,-12.8671875
-167.2734375,-180.140625,-12.8671875
-168.13125,-180.9984375,-12.8671875
-168.9890625,-181.5703125,-12.58125
-169.5609375,-181.85625,-12.2953125
-170.41875,-182.1421875,-11.7234375
-170.990625,-182.1421875,-11.1515625
-171.2765625,-181.85625,-10.5796875
-171.2765625,-181.284375,-10.0078125
-170.7046875,-180.140625,-9.43593749999999
-169.846875,-178.7109375,-8.86406249999999
-168.4171875,-176.9953125,-8.578125
-166.7015625,-175.2796875,-8.578125
-164.9859375,-173.5640625,-8.578125
-163.2703125,-171.8484375,-8.578125
-161.840625,-170.7046875,-8.86406249999999
-160.696875,-170.1328125,-9.43593749999999
-159.8390625,-169.846875,-10.0078125
-159.553125,-170.1328125,-10.5796875
-159.553125,-170.7046875,-11.1515625
-159.8390625,-171.2765625,-11.4375
-160.4109375,-172.134375,-11.7234375
-160.696875,-172.70625,-12.009375
-160.696875,-173.278125,-12.58125
-160.696875,-173.5640625,-12.8671875
-160.125,-173.85,-13.725
-159.553125,-173.5640625,-14.0109375
-158.409375,-173.5640625,-15.1546875
-157.265625,-173.278125,-16.0125
-156.121875,-173.278125,-17.15625
-155.2640625,-173.278125,-18.0140625
-154.6921875,-173.85,-19.1578125
-154.6921875,-174.421875,-19.7296875
-155.2640625,-175.565625,-20.3015625
-156.4078125,-176.709375,-20.3015625
-158.1234375,-178.1390625,-20.015625
-159.8390625,-179.2828125,-19.44375
-161.5546875,-180.4265625,-18.871875
-163.2703125,-181.284375,-18.0140625
-164.4140625,-181.85625,-17.4421875
-165.271875,-182.428125,-17.15625
-165.271875,-182.428125,-17.15625
-164.9859375,-182.7140625,-17.728125
-164.4140625,-182.7140625,-18.3
-163.55625,-183.0,-19.44375
-162.984375,-183.8578125,-20.8734375
-162.6984375,-185.2875,-22.5890625
-163.2703125,-187.003125,-23.7328125
-164.9859375,-189.5765625,-24.590625
-167.559375,-192.4359375,-24.8765625
-171.2765625,-195.8671875,-24.590625
-175.2796875,-199.2984375,-24.01875
-179.8546875,-202.44375,-22.5890625
-184.14375,-205.0171875,-20.8734375
-188.146875,-207.01875,-18.871875
-190.7203125,-207.8765625,-17.15625
-192.4359375,-208.1625,-15.7265625
-192.721875,-207.3046875,-14.5828125
-191.2921875,-205.5890625,-14.296875
-189.290625,-203.5875,-14.296875
-186.43125,-201.5859375,-15.1546875
-183.2859375,-199.584375,-16.2984375
-180.7125,-198.1546875,-17.4421875
-178.7109375,-197.86875,-19.1578125
-178.1390625,-198.440625,-20.3015625
-178.996875,-199.8703125,-20.8734375
-180.9984375,-202.1578125,-21.159375
-184.14375,-205.303125,-21.159375
-187.8609375,-208.734375,-20.8734375
-191.8640625,-212.165625,-20.3015625
-195.8671875,-215.3109375,-19.44375
-199.0125,-217.884375,-18.871875
-201.3,-219.8859375,-18.5859375
-202.44375,-221.0296875,-18.5859375
-202.7296875,-221.8875,-19.1578125
-202.44375,-221.8875,-19.44375
-201.3,-222.1734375,-20.8734375
-200.4421875,-222.1734375,-21.73125
-199.584375,-222.7453125,-23.1609375
-199.0125,-223.603125,-24.590625
-199.2984375,-225.0328125,-25.734375
-200.15625,-226.7484375,-26.5921875
-201.5859375,-228.75,-27.1640625
-203.015625,-230.7515625,-27.7359375
