LEFT,RIGHT,DIFF
-181.284375,-180.7125,0.571875000000006
-178.7109375,-180.9984375,-2.28749999999999
-175.565625,-180.7125,-5.14687499999999
-172.9921875,-180.7125,-7.72031250000001
-171.2765625,-180.9984375,-9.72187499999998
-170.990625,-182.7140625,-11.7234375
-172.4203125,-185.2875,-12.8671875
-175.8515625,-189.5765625,-13.725
-181.284375,-195.009375,-13.725
-187.8609375,-201.3,-13.4390625
-195.2953125,-207.590625,-12.2953125
-202.44375,-213.309375,-10.865625
-208.4484375,-218.1703125,-9.72187499999998
-212.7375,-220.74375,-8.00624999999999
-214.7390625,-221.315625,-6.57656249999999
-214.1671875,-219.6,-5.43281250000001
-211.021875,-215.596875,-4.57500000000002
-206.1609375,-209.5921875,-3.43124999999998
-199.8703125,-203.015625,-3.14531249999999
-192.721875,-195.58125,-2.859375
-186.1453125,-188.71875,-2.57343749999998
-180.4265625,-183.0,-2.57343749999998
-176.4234375,-178.7109375,-2.28749999999999
-174.1359375,-176.1375,-2.00156250000001
-174.1359375,-175.2796875,-1.14374999999998
-175.8515625,-176.1375,-0.285937500000017
-178.996875,-178.1390625,0.857812500000023
-183.2859375,-180.7125,2.57343750000001
-187.575,-183.8578125,3.71718750000002
-191.8640625,-186.7171875,5.14687500000002
-195.58125,-189.5765625,6.00468750000002
-198.440625,-192.15,6.29062500000001
-200.4421875,-194.4375,6.00468750000002
-201.871875,-196.4390625,5.43281250000001
-202.1578125,-198.1546875,4.00312500000001
-202.1578125,-199.8703125,2.28749999999999
-201.871875,-201.3,0.571875000000006
-201.3,-202.7296875,-1.4296875
-200.15625,-203.5875,-3.43125000000001
-198.7265625,-203.5875,-4.86093750000001
-196.725,-202.7296875,-6.00468750000002
-194.4375,-200.728125,-6.29062500000001
-191.2921875,-197.86875,-6.57656249999999
-187.575,-193.865625,-6.29062499999998
-183.571875,-189.0046875,-5.43281250000001
-179.56875,-184.14375,-4.57500000000002
-176.1375,-179.2828125,-3.14531249999999
-173.278125,-175.565625,-2.28749999999999
-171.8484375,-173.278125,-1.4296875
-171.8484375,-172.70625,-0.857812499999994
-173.278125,-173.5640625,-0.285937499999989
-176.1375,-176.1375,0.0
-179.8546875,-179.8546875,0.0
-184.14375,-184.14375,0.0
-188.146875,-187.8609375,0.285937499999989
-191.2921875,-191.00625,0.285937500000017
-193.0078125,-192.4359375,0.571875000000006
-193.29375,-192.4359375,0.857812500000023
-191.8640625,-190.7203125,1.14375000000001
-189.290625,-187.8609375,1.4296875
-185.859375,-184.4296875,1.4296875
-183.0,-181.5703125,1.4296875
-180.9984375,-180.140625,0.857812499999994
-180.9984375,-180.9984375,0.0
-183.571875,-185.2875,-1.71562499999999
-189.290625,-192.721875,-3.43125000000001
-198.1546875,-203.3015625,-5.14687500000002
-209.30625,-216.740625,-7.43437499999999
-222.459375,-231.8953125,-9.43593749999999
-236.4703125,-247.621875,-11.1515625
-249.909375,-262.2046875,-12.2953125
-261.91875,-274.5,-12.58125
-271.06875,-283.3640625,-12.2953125
-276.7875,-287.9390625,-11.1515625
-278.503125,-287.9390625,-9.43593750000002
-276.5015625,-283.65,-7.1484375
-270.7828125,-275.3578125,-4.57499999999999
-262.490625,-264.20625,-1.71562499999999
-252.4828125,-251.3390625,1.14375000000001
-241.903125,-237.9,4.00312500000001
-231.3234375,-225.31875,6.00468749999999
-221.8875,-214.453125,7.43437500000002
-213.88125,-205.875,8.00624999999999
-207.8765625,-199.584375,8.29218750000001
-203.8734375,-195.58125,8.29218749999998
-201.3,-193.5796875,7.72031250000001
-199.8703125,-193.0078125,6.86250000000001
-199.2984375,-193.29375,6.00468749999999
-199.0125,-193.5796875,5.43281250000001
-198.7265625,-194.1515625,4.57499999999999
-198.440625,-194.1515625,4.2890625
-197.86875,-193.865625,4.00312500000001
-197.296875,-193.5796875,3.71718749999999
-197.0109375,-193.29375,3.71718749999999
-197.0109375,-193.29375,3.71718749999999
-197.5828125,-194.1515625,3.43125000000001
-198.7265625,-195.58125,3.14531249999999
-200.4421875,-197.5828125,2.859375
-202.1578125,-200.15625,2.00156250000001
-204.159375,-202.44375,1.71562500000002
-205.303125,-204.159375,1.14374999999998
-205.875,-205.0171875,0.857812499999994
-205.0171875,-204.4453125,0.571875000000006
-202.7296875,-202.44375,0.285937500000017
-199.0125,-199.0125,0.0
-194.4375,-194.4375,0.0
-189.0046875,-189.290625,-0.285937499999989
-183.571875,-184.14375,-0.571875000000006
-178.425,-179.56875,-1.14374999999998
-174.421875,-175.8515625,-1.4296875
-171.8484375,-173.85,-2.00156249999998
-170.990625,-173.278125,-2.28750000000002
-171.2765625,-174.1359375,-2.859375
-172.70625,-176.1375,-3.43125000000001
-174.99375,-178.7109375,-3.71718749999999
-177.28125,-181.284375,-4.00312500000001
-178.996875,-183.0,-4.00312499999998
-179.8546875,-183.2859375,-3.43125000000001
-179.2828125,-182.1421875,-2.859375
-177.28125,-179.2828125,-2.00156250000001
-173.85,-174.7078125,-0.857812500000023
-169.5609375,-168.9890625,0.571874999999977
-164.9859375,-162.984375,2.00156250000001
-160.4109375,-157.265625,3.14531250000002
-156.9796875,-152.4046875,4.57500000000002
-154.40625,-148.6875,5.71875
-153.834375,-147.2578125,6.57656249999999
-154.6921875,-147.2578125,7.43437500000002
-156.69375,-149.259375,7.43437499999999
-159.8390625,-152.4046875,7.43437500000002
-163.55625,-156.4078125,7.1484375
-166.9875,-160.4109375,6.57656249999999
-169.5609375,-163.8421875,5.71875
-170.990625,-166.415625,4.57499999999999
-171.2765625,-167.2734375,4.00312500000001
-170.1328125,-166.9875,3.14531249999999
-167.8453125,-165.271875,2.57343750000001
-164.7,-162.4125,2.28750000000002
-160.9828125,-158.6953125,2.28749999999999
-157.5515625,-154.978125,2.57343750000001
-154.6921875,-151.2609375,3.43125000000001
-152.4046875,-148.115625,4.2890625
-150.975,-145.828125,5.14687499999999
-150.1171875,-144.3984375,5.71875
-149.83125,-144.1125,5.71875
-150.1171875,-144.3984375,5.71875
-150.1171875,-145.25625,4.86093750000001
-150.403125,-146.6859375,3.71718750000002
-150.403125,-148.115625,2.28750000000002
-150.403125,-149.83125,0.571875000000006
-150.403125,-151.546875,-1.14374999999998
-150.403125,-153.5484375,-3.14531249999999
-150.6890625,-155.55,-4.86093750000001
-151.8328125,-157.5515625,-5.71875
-153.5484375,-159.8390625,-6.29062500000001
-156.121875,-162.4125,-6.29062499999998
-159.2671875,-165.271875,-6.00468749999999
-162.4125,-167.8453125,-5.43281250000001
-165.84375,-170.41875,-4.57500000000002
-168.9890625,-172.70625,-3.71718749999999
-171.5625,-174.7078125,-3.14531250000002
-173.5640625,-176.1375,-2.57343750000001
-174.421875,-176.9953125,-2.57343750000001
-174.7078125,-177.28125,-2.57343749999998
-174.1359375,-176.9953125,-2.859375
-173.278125,-176.1375,-2.859375
-172.134375,-174.99375,-2.859375
-171.2765625,-173.5640625,-2.28749999999999
-170.41875,-171.8484375,-1.4296875
