LEFT,RIGHT,DIFF
-126.384375,-134.1046875,-7.72031250000001
-127.2421875,-132.9609375,-5.71875
-129.5296875,-133.246875,-3.71718750000002
-132.675,-134.390625,-1.71562499999999
-136.678125,-136.678125,0.0
-140.9671875,-139.8234375,1.14374999999998
-145.5421875,-143.540625,2.00156250000001
-149.5453125,-147.2578125,2.28749999999999
-152.690625,-150.403125,2.28749999999999
-154.40625,-152.690625,1.71562499999999
-154.978125,-153.834375,1.14375000000001
-154.1203125,-154.1203125,0.0
-151.8328125,-152.9765625,-1.14374999999998
-148.6875,-151.2609375,-2.57343750000001
-145.25625,-148.9734375,-3.71718750000002
-142.1109375,-146.6859375,-4.57499999999999
-139.2515625,-144.9703125,-5.71875
-137.5359375,-144.1125,-6.57656249999999
-137.25,-144.1125,-6.86250000000001
-138.1078125,-145.25625,-7.1484375
-140.3953125,-147.54375,-7.1484375
-143.540625,-150.6890625,-7.1484375
-147.54375,-154.1203125,-6.57656249999999
-151.8328125,-157.8375,-6.00468749999999
-156.121875,-161.26875,-5.14687499999999
-160.125,-164.4140625,-4.2890625
-163.55625,-166.9875,-3.43125000000001
-166.7015625,-169.275,-2.57343750000001
-169.275,-170.990625,-1.71562499999999
-171.5625,-172.9921875,-1.4296875
-173.5640625,-174.7078125,-1.14375000000001
-175.8515625,-176.9953125,-1.14375000000001
-178.425,-179.2828125,-0.857812499999994
-180.9984375,-182.1421875,-1.14375000000001
-183.8578125,-185.2875,-1.4296875
-186.43125,-188.4328125,-2.00156250000001
-189.0046875,-191.578125,-2.57343749999998
-191.2921875,-194.1515625,-2.859375
-192.721875,-196.4390625,-3.71718749999999
-193.5796875,-198.1546875,-4.57499999999999
-193.5796875,-199.2984375,-5.71875
-193.29375,-200.15625,-6.86249999999998
-192.15,-200.728125,-8.578125
-191.00625,-201.0140625,-10.0078125
-189.8625,-201.871875,-12.009375
-189.290625,-202.7296875,-13.4390625
-189.0046875,-204.159375,-15.1546875
-189.0046875,-205.875,-16.8703125
-189.8625,-207.590625,-17.728125
-191.00625,-209.30625,-18.3
-192.15,-211.021875,-18.871875
-193.29375,-212.165625,-18.871875
-194.4375,-213.0234375,-18.5859375
-195.58125,-213.309375,-17.728125
-196.4390625,-213.5953125,-17.15625
-197.0109375,-213.5953125,-16.584375
-197.5828125,-213.5953125,-16.0125
-198.440625,-214.1671875,-15.7265625
-199.584375,-215.3109375,-15.7265625
-201.3,-217.0265625,-15.7265625
-203.3015625,-219.3140625,-16.0125
-205.5890625,-221.8875,-16.2984375
-207.8765625,-224.4609375,-16.584375
-210.1640625,-226.4625,-16.2984375
-211.59375,-227.60625,-16.0125
-212.4515625,-227.8921875,-15.440625
-212.4515625,-226.4625,-14.0109375
-211.3078125,-223.8890625,-12.58125
-209.0203125,-219.8859375,-10.865625
-205.875,-214.7390625,-8.86406250000002
-201.871875,-209.0203125,-7.1484375
-197.5828125,-203.015625,-5.43281249999998
-193.29375,-197.0109375,-3.71718749999999
-189.290625,-191.578125,-2.28749999999999
-185.2875,-187.003125,-1.71562500000002
-181.85625,-183.0,-1.14374999999998
-178.996875,-180.140625,-1.14374999999998
-176.709375,-178.1390625,-1.4296875
-174.7078125,-176.709375,-2.00156249999998
-172.9921875,-176.1375,-3.14531250000002
-171.8484375,-176.1375,-4.2890625
-170.990625,-176.709375,-5.71875
-170.41875,-177.5671875,-7.1484375
-170.41875,-178.7109375,-8.29218749999998
-170.990625,-180.4265625,-9.43593750000002
-171.8484375,-181.85625,-10.0078125
-172.9921875,-183.571875,-10.5796875
-174.1359375,-185.0015625,-10.865625
-174.99375,-185.859375,-10.865625
-175.2796875,-185.859375,-10.5796875
-174.421875,-185.0015625,-10.5796875
-172.70625,-183.0,-10.29375
-169.846875,-179.8546875,-10.0078125
-165.84375,-175.565625,-9.72187500000001
-160.9828125,-170.41875,-9.43593750000002
-155.55,-164.9859375,-9.43593749999999
-149.83125,-160.125,-10.29375
-144.9703125,-155.55,-10.5796875
-141.253125,-152.4046875,-11.1515625
-139.2515625,-150.975,-11.7234375
-138.6796875,-151.2609375,-12.58125
-140.109375,-152.9765625,-12.8671875
-142.96875,-156.4078125,-13.4390625
-146.971875,-160.696875,-13.725
-151.546875,-165.5578125,-14.0109375
-156.4078125,-170.1328125,-13.725
-160.696875,-174.1359375,-13.4390625
-164.128125,-176.9953125,-12.8671875
-166.415625,-178.425,-12.009375
-167.559375,-178.425,-10.865625
-167.559375,-177.28125,-9.72187499999998
-166.7015625,-175.2796875,-8.578125
-165.271875,-172.70625,-7.43437500000002
-164.128125,-170.41875,-6.29062500000001
-162.984375,-168.4171875,-5.43281250000001
-162.4125,-166.9875,-4.57500000000002
-162.6984375,-166.9875,-4.2890625
-163.55625,-167.559375,-4.00312500000001
-164.9859375,-169.5609375,-4.57499999999999
