LEFT,RIGHT,DIFF
-2039.0203125,-1619.2640625,419.75625
-2037.590625,-1621.5515625,416.0390625
-2037.8765625,-1625.840625,412.0359375
-2039.878125,-1632.4171875,407.4609375
-2043.5953125,-1640.9953125,402.6
-2049.028125,-1651.003125,398.025
-2055.0328125,-1661.86875,393.1640625
-2061.0375,-1672.734375,388.303125
-2066.4703125,-1682.7421875,383.728125
-2070.759375,-1691.3203125,379.4390625
-2073.3328125,-1697.896875,375.4359375
-2074.190625,-1702.7578125,371.4328125
-2073.9046875,-1705.33125,368.5734375
-2072.475,-1705.903125,366.571875
-2071.0453125,-1705.33125,365.7140625
-2070.1875,-1703.3296875,366.8578125
-2070.1875,-1700.75625,369.43125
-2071.6171875,-1697.896875,373.7203125
-2075.0484375,-1695.609375,379.4390625
-2079.909375,-1693.89375,386.015625
-2086.2,-1693.0359375,393.1640625
-2093.634375,-1693.89375,399.740625
-2101.3546875,-1696.18125,405.1734375
-2109.3609375,-1700.184375,409.1765625
-2117.08125,-1706.475,410.60625
-2124.2296875,-1714.48125,409.7484375
-2130.80625,-1724.4890625,406.3171875
-2136.525,-1735.9265625,400.5984375
-2141.3859375,-1747.9359375,393.45
-2145.675,-1759.9453125,385.7296875
-2148.8203125,-1770.8109375,378.009375
-2151.1078125,-1779.9609375,371.146875
-2151.965625,-1786.2515625,365.7140625
-2151.39375,-1789.396875,361.996875
-2149.10625,-1788.5390625,360.5671875
-2145.675,-1784.25,361.425
-2140.8140625,-1777.1015625,363.7125
-2135.0953125,-1767.665625,367.4296875
-2129.090625,-1757.0859375,372.0046875
-2123.371875,-1747.078125,376.29375
-2118.796875,-1738.2140625,380.5828125
-2116.2234375,-1731.9234375,384.3
-2115.365625,-1728.20625,387.159375
-2116.7953125,-1727.9203125,388.875
-2120.5125,-1729.921875,390.590625
-2125.659375,-1734.2109375,391.4484375
-2131.378125,-1739.64375,391.734375
-2137.3828125,-1745.0765625,392.30625
-2142.815625,-1749.6515625,393.1640625
-2146.81875,-1752.5109375,394.3078125
-2149.10625,-1753.6546875,395.4515625
-2149.678125,-1752.796875,396.88125
-2148.2484375,-1749.9375,398.3109375
-2145.3890625,-1746.2203125,399.16875
-2141.671875,-1741.93125,399.740625
-2137.3828125,-1737.35625,400.0265625
-2133.09375,-1733.353125,399.740625
-2129.090625,-1729.921875,399.16875
-2125.3734375,-1727.0625,398.3109375
-2121.9421875,-1724.203125,397.7390625
-2118.225,-1721.34375,396.88125
-2114.221875,-1718.1984375,396.0234375
-2109.646875,-1713.909375,395.7375
-2104.2140625,-1708.4765625,395.7375
-2097.6375,-1702.471875,395.165625
-2090.4890625,-1695.609375,394.8796875
-2082.76875,-1688.175,394.59375
-2074.7625,-1681.0265625,393.7359375
-2066.75625,-1674.1640625,392.5921875
-2059.0359375,-1667.8734375,391.1625
-2051.6015625,-1662.440625,389.1609375
-2044.1671875,-1657.5796875,386.5875
-2037.01875,-1653.0046875,384.0140625
-2029.8703125,-1648.14375,381.7265625
-2022.4359375,-1642.996875,379.4390625
-2014.4296875,-1637.5640625,376.865625
-2006.1375,-1631.559375,374.578125
-1997.8453125,-1625.26875,372.5765625
-1989.8390625,-1618.978125,370.8609375
-1982.4046875,-1613.5453125,368.859375
-1976.4,-1609.25625,367.14375
-1971.825,-1606.396875,365.428125
-1968.965625,-1604.9671875,363.9984375
-1967.821875,-1604.68125,363.140625
-1967.5359375,-1604.68125,362.8546875
-1967.5359375,-1604.109375,363.4265625
-1967.25,-1602.1078125,365.1421875
-1965.8203125,-1597.81875,368.0015625
-1962.3890625,-1590.6703125,371.71875
-1956.6703125,-1580.6625,376.0078125
-1948.95,-1567.7953125,381.1546875
-1938.9421875,-1552.9265625,386.015625
-1927.790625,-1537.2,390.590625
-1916.0671875,-1521.759375,394.3078125
-1904.6296875,-1508.034375,396.5953125
-1893.7640625,-1496.8828125,396.88125
-1884.0421875,-1488.590625,395.4515625
-1875.75,-1483.44375,392.30625
-1868.315625,-1480.584375,387.73125
-1860.88125,-1478.86875,382.0125
-1853.1609375,-1477.4390625,375.721875
-1844.5828125,-1474.865625,369.7171875
-1834.2890625,-1470.0046875,364.284375
-1822.2796875,-1462.284375,359.9953125
-1809.1265625,-1452.2765625,356.85
-1795.4015625,-1439.98125,355.4203125
-1782.534375,-1426.5421875,355.9921875
-1771.096875,-1413.675,357.421875
-1762.2328125,-1402.5234375,359.709375
-1757.0859375,-1394.23125,362.8546875
-1755.3703125,-1389.3703125,366.0
-1757.0859375,-1387.940625,369.1453125
-1761.375,-1389.3703125,372.0046875
-1766.8078125,-1392.515625,374.2921875
-1771.9546875,-1395.946875,376.0078125
-1775.3859375,-1397.9484375,377.4375
-1775.9578125,-1396.8046875,379.153125
-1772.5265625,-1392.2296875,380.296875
-1765.378125,-1383.365625,382.0125
-1755.084375,-1370.784375,384.3
-1742.2171875,-1355.6296875,386.5875
-1728.4921875,-1338.759375,389.7328125
-1715.053125,-1322.175,392.878125
-1703.04375,-1307.5921875,395.4515625
-1693.6078125,-1295.5828125,398.025
-1686.459375,-1287.0046875,399.4546875
-1681.5984375,-1282.14375,399.4546875
-1678.1671875,-1280.1421875,398.025
-1675.021875,-1280.1421875,394.8796875
-1671.01875,-1280.7140625,390.3046875
-1665.0140625,-1281.0,384.0140625
-1656.721875,-1280.1421875,376.5796875
-1645.5703125,-1277.2828125,368.2875
-1632.703125,-1272.421875,360.28125
-1618.978125,-1265.8453125,353.1328125
-1605.5390625,-1258.696875,346.8421875
-1593.815625,-1251.2625,342.553125
-1585.2375,-1244.971875,340.265625
-1580.3765625,-1240.1109375,340.265625
-1579.51875,-1236.965625,342.553125
-1582.378125,-1235.5359375,346.8421875
-1587.8109375,-1235.25,352.5609375
-1594.3875,-1234.9640625,359.4234375
-1600.678125,-1234.3921875,366.2859375
-1605.253125,-1232.1046875,373.1484375
-1606.96875,-1228.1015625,378.8671875
-1605.825,-1222.3828125,383.4421875
-1601.25,-1214.9484375,386.3015625
-1594.6734375,-1206.3703125,388.303125
-1586.953125,-1198.078125,388.875
-1579.2328125,-1190.64375,388.5890625
-1572.9421875,-1184.925,388.0171875
-1568.9390625,-1181.7796875,387.159375
-1567.2234375,-1181.49375,385.7296875
-1568.3671875,-1183.209375,385.1578125
-1570.940625,-1186.3546875,384.5859375
-1574.0859375,-1190.3578125,383.728125
-1576.9453125,-1193.7890625,383.15625
-1577.5171875,-1195.790625,381.7265625
-1575.8015625,-1195.790625,380.0109375
-1570.6546875,-1193.2171875,377.4375
-1562.934375,-1188.35625,374.578125
-1553.4984375,-1181.7796875,371.71875
-1543.2046875,-1174.3453125,368.859375
-1534.340625,-1166.625,367.715625
-1527.478125,-1160.0484375,367.4296875
-1524.61875,-1155.1875,369.43125
-1525.7625,-1152.9,372.8625
-1530.909375,-1152.9,378.009375
-1539.4875,-1155.759375,383.728125
-1550.0671875,-1160.334375,389.7328125
-1560.3609375,-1166.3390625,394.021875
-1568.3671875,-1173.2015625,395.165625
-1572.65625,-1180.0640625,392.5921875
-1571.5125,-1186.3546875,385.1578125
-1564.078125,-1192.0734375,372.0046875
-1550.6390625,-1196.934375,353.7046875
-1532.053125,-1200.6515625,331.4015625
-1509.178125,-1203.796875,305.38125
-1484.3015625,-1206.65625,277.6453125
-1459.7109375,-1208.6578125,251.053125
-1436.8359375,-1210.659375,226.1765625
-1417.678125,-1212.375,205.303125
-1403.0953125,-1213.8046875,189.290625
-1393.3734375,-1214.3765625,178.996875
-1388.5125,-1214.090625,174.421875
-1387.36875,-1212.946875,174.421875
-1389.084375,-1210.659375,178.425
-1391.6578125,-1207.5140625,184.14375
-1394.23125,-1203.5109375,190.7203125
-1395.375,-1199.221875,196.153125
-1394.5171875,-1194.3609375,200.15625
-1391.0859375,-1189.7859375,201.3
-1385.08125,-1186.06875,199.0125
-1377.646875,-1182.9234375,194.7234375
-1369.3546875,-1180.921875,188.4328125
-1361.3484375,-1180.35,180.9984375
-1354.4859375,-1181.2078125,173.278125
-1349.625,-1183.209375,166.415625
-1347.909375,-1186.9265625,160.9828125
-1349.053125,-1191.7875,157.265625
-1353.3421875,-1197.7921875,155.55
-1359.91875,-1204.6546875,155.2640625
-1368.496875,-1212.375,156.121875
-1377.646875,-1220.6671875,156.9796875
-1387.0828125,-1228.959375,158.1234375
-1395.946875,-1236.6796875,159.2671875
-1403.0953125,-1243.828125,159.2671875
-1408.528125,-1249.8328125,158.6953125
-1411.959375,-1254.121875,157.8375
-1413.675,-1256.98125,156.69375
-1413.9609375,-1258.125,155.8359375
-1413.3890625,-1257.8390625,155.55
-1412.53125,-1256.1234375,156.4078125
-1412.2453125,-1253.55,158.6953125
-1412.53125,-1250.4046875,162.1265625
-1413.9609375,-1247.83125,166.1296875
-1416.534375,-1245.54375,170.990625
-1420.2515625,-1244.6859375,175.565625
-1424.540625,-1244.971875,179.56875
-1429.115625,-1246.9734375,182.1421875
-1433.690625,-1250.4046875,183.2859375
-1437.9796875,-1255.265625,182.7140625
-1441.9828125,-1260.984375,180.9984375
-1445.128125,-1267.275,177.853125
-1447.9875,-1273.565625,174.421875
-1450.275,-1280.1421875,170.1328125
-1452.5625,-1285.8609375,166.7015625
-1455.1359375,-1291.0078125,164.128125
-1457.709375,-1295.0109375,162.6984375
-1460.8546875,-1297.8703125,162.984375
-1464.0,-1299.5859375,164.4140625
-1467.1453125,-1300.1578125,166.9875
-1469.71875,-1299.3,170.41875
-1471.434375,-1297.584375,173.85
-1472.00625,-1295.0109375,176.9953125
-1471.434375,-1291.5796875,179.8546875
-1469.4328125,-1287.8625,181.5703125
-1466.2875,-1284.1453125,182.1421875
-1462.284375,-1280.428125,181.85625
-1457.9953125,-1276.996875,180.9984375
-1453.70625,-1274.4234375,179.2828125
-1450.275,-1272.421875,177.853125
-1447.7015625,-1271.278125,176.4234375
-1446.271875,-1270.70625,175.565625
-1445.9859375,-1270.9921875,174.99375
-1446.271875,-1271.5640625,174.7078125
-1446.84375,-1272.421875,174.421875
-1447.1296875,-1273.565625,173.5640625
-1446.5578125,-1274.4234375,172.134375
-1445.128125,-1275.28125,169.846875
-1442.5546875,-1275.853125,166.7015625
-1439.1234375,-1276.425,162.6984375
-1434.834375,-1276.7109375,158.1234375
-1430.83125,-1276.996875,153.834375
-1427.1140625,-1277.2828125,149.83125
-1424.8265625,-1277.56875,147.2578125
-1423.6828125,-1277.2828125,146.4
-1424.540625,-1276.7109375,147.8296875
-1426.5421875,-1275.28125,151.2609375
-1429.9734375,-1272.99375,156.9796875
-1433.9765625,-1269.8484375,164.128125
-1437.9796875,-1266.13125,171.8484375
-1441.696875,-1261.8421875,179.8546875
-1444.2703125,-1257.8390625,186.43125
-1445.7,-1254.4078125,191.2921875
-1446.5578125,-1252.40625,194.1515625
-1446.5578125,-1252.6921875,193.865625
-1446.5578125,-1255.265625,191.2921875
-1447.1296875,-1260.6984375,186.43125
-1448.8453125,-1268.7046875,180.140625
-1451.990625,-1278.7125,173.278125
-1456.8515625,-1290.4359375,166.415625
-1463.1421875,-1302.4453125,160.696875
-1470.5765625,-1314.4546875,156.121875
-1478.86875,-1325.034375,153.834375
-1486.875,-1333.8984375,152.9765625
-1494.5953125,-1340.7609375,153.834375
-1501.4578125,-1345.621875,155.8359375
-1507.4625,-1349.053125,158.409375
-1512.3234375,-1351.9125,160.4109375
-1516.8984375,-1354.4859375,162.4125
-1521.1875,-1358.4890625,162.6984375
-1526.0484375,-1363.921875,162.1265625
-1532.053125,-1371.0703125,160.9828125
-1538.915625,-1380.50625,158.409375
-1546.6359375,-1391.371875,155.2640625
-1554.928125,-1402.809375,152.11875
-1562.934375,-1413.675,149.259375
-1569.5109375,-1422.825,146.6859375
-1574.371875,-1429.4015625,144.9703125
-1576.3734375,-1432.546875,143.8265625
-1575.2296875,-1431.6890625,143.540625
-1570.36875,-1427.1140625,143.2546875
-1562.934375,-1419.39375,143.540625
-1552.9265625,-1409.671875,143.2546875
-1541.775,-1398.80625,142.96875
-1530.3375,-1388.5125,141.825
-1519.7578125,-1379.934375,139.8234375
-1511.1796875,-1373.9296875,137.25
-1505.175,-1371.0703125,134.1046875
-1502.0296875,-1371.0703125,130.959375
-1501.4578125,-1373.9296875,127.528125
-1503.1734375,-1378.790625,124.3828125
-1506.31875,-1384.509375,121.809375
-1510.321875,-1390.228125,120.09375
-1514.325,-1394.803125,119.521875
-1517.4703125,-1397.6625,119.8078125
-1519.7578125,-1398.5203125,121.2375
-1520.9015625,-1397.3765625,123.525
-1521.1875,-1394.5171875,126.6703125
-1520.9015625,-1390.8,130.1015625
-1520.615625,-1387.0828125,133.5328125
-1520.615625,-1383.9375,136.678125
-1521.4734375,-1381.9359375,139.5375
-1523.1890625,-1381.9359375,141.253125
-1526.0484375,-1383.9375,142.1109375
-1529.765625,-1387.36875,142.396875
-1533.76875,-1391.94375,141.825
-1537.771875,-1397.090625,140.68125
-1541.4890625,-1401.9515625,139.5375
-1544.9203125,-1405.66875,139.2515625
-1547.2078125,-1408.2421875,138.965625
-1548.6375,-1408.8140625,139.8234375
-1549.209375,-1407.6703125,141.5390625
-1549.209375,-1405.096875,144.1125
-1549.209375,-1401.665625,147.54375
-1549.209375,-1397.9484375,151.2609375
-1549.78125,-1394.5171875,155.2640625
-1551.2109375,-1392.515625,158.6953125
-1553.2125,-1392.2296875,160.9828125
-1556.071875,-1394.23125,161.840625
-1559.2171875,-1398.234375,160.9828125
-1562.934375,-1404.2390625,158.6953125
-1566.365625,-1411.6734375,154.6921875
-1569.5109375,-1420.2515625,149.259375
-1571.7984375,-1428.54375,143.2546875
-1573.228125,-1436.55,136.678125
-1573.5140625,-1443.4125,130.1015625
-1572.9421875,-1448.8453125,124.096875
-1571.7984375,-1452.5625,119.2359375
-1570.36875,-1454.5640625,115.8046875
-1568.9390625,-1455.421875,113.5171875
-1568.3671875,-1455.7078125,112.659375
-1568.653125,-1455.7078125,112.9453125
-1570.36875,-1455.99375,114.375
-1573.8,-1457.1375,116.6625
-1578.6609375,-1459.425,119.2359375
-1584.9515625,-1463.1421875,121.809375
-1591.8140625,-1468.003125,123.8109375
-1598.9625,-1473.4359375,125.5265625
-1605.825,-1479.1546875,126.6703125
-1611.54375,-1484.3015625,127.2421875
-1615.546875,-1488.590625,126.95625
-1617.834375,-1491.1640625,126.6703125
-1618.1203125,-1492.021875,126.0984375
-1616.690625,-1490.878125,125.8125
-1613.5453125,-1487.7328125,125.8125
-1609.828125,-1483.44375,126.384375
-1605.5390625,-1478.0109375,127.528125
-1602.1078125,-1472.00625,130.1015625
-1599.2484375,-1466.5734375,132.675
-1597.81875,-1461.4265625,136.3921875
-1597.5328125,-1457.709375,139.8234375
-1598.390625,-1454.85,143.540625
-1600.10625,-1453.4203125,146.6859375
-1602.39375,-1452.8484375,149.5453125
-1604.109375,-1452.8484375,151.2609375
-1605.5390625,-1453.4203125,152.11875
-1605.825,-1453.9921875,151.8328125
-1605.253125,-1454.5640625,150.6890625
-1603.8234375,-1454.5640625,149.259375
-1601.5359375,-1454.5640625,146.971875
-1598.9625,-1454.5640625,144.3984375
-1596.3890625,-1454.5640625,141.825
-1594.3875,-1455.1359375,139.2515625
-1593.24375,-1455.7078125,137.5359375
-1592.3859375,-1457.1375,135.2484375
-1592.3859375,-1458.853125,133.5328125
-1592.1,-1460.56875,131.53125
-1591.8140625,-1462.284375,129.5296875
-1590.95625,-1463.7140625,127.2421875
-1589.240625,-1464.0,125.240625
-1586.6671875,-1463.428125,123.2390625
-1582.95,-1461.4265625,121.5234375
-1578.6609375,-1458.5671875,120.09375
-1573.8,-1454.278125,119.521875
-1569.225,-1449.4171875,119.8078125
-1565.221875,-1443.984375,121.2375
-1562.0765625,-1438.265625,123.8109375
-1559.7890625,-1432.8328125,126.95625
-1558.359375,-1427.4,130.959375
-1557.5015625,-1422.825,134.6765625
-1557.215625,-1418.5359375,138.6796875
-1556.3578125,-1414.5328125,141.825
-1555.2140625,-1410.5296875,144.684375
-1553.2125,-1406.5265625,146.6859375
-1550.0671875,-1402.5234375,147.54375
-1545.778125,-1397.9484375,147.8296875
-1541.203125,-1393.0875,148.115625
-1536.05625,-1387.6546875,148.4015625
-1530.909375,-1381.9359375,148.9734375
-1526.0484375,-1376.2171875,149.83125
-1521.759375,-1369.9265625,151.8328125
-1518.328125,-1363.921875,154.40625
-1515.7546875,-1357.9171875,157.8375
-1513.18125,-1352.484375,160.696875
-1511.1796875,-1347.0515625,164.128125
-1508.8921875,-1342.190625,166.7015625
-1506.31875,-1337.9015625,168.4171875
-1502.8875,-1333.8984375,168.9890625
-1498.884375,-1330.18125,168.703125
-1494.0234375,-1326.75,167.2734375
-1488.590625,-1323.31875,165.271875
-1482.5859375,-1319.6015625,162.984375
-1475.7234375,-1315.5984375,160.125
-1468.575,-1311.0234375,157.5515625
-1460.8546875,-1305.3046875,155.55
-1452.8484375,-1298.728125,154.1203125
-1444.2703125,-1291.0078125,153.2625
-1435.6921875,-1282.4296875,153.2625
-1427.4,-1272.99375,154.40625
-1419.39375,-1263.5578125,155.8359375
-1412.53125,-1254.4078125,158.1234375
-1406.8125,-1246.115625,160.696875
-1403.0953125,-1238.9671875,164.128125
-1401.09375,-1233.8203125,167.2734375
-1400.8078125,-1230.3890625,170.41875
-1401.9515625,-1228.6734375,173.278125
-1403.6671875,-1228.6734375,174.99375
-1405.66875,-1229.2453125,176.4234375
