LEFT,RIGHT,DIFF
-162.6984375,-328.828125,-166.1296875
-162.4125,-327.684375,-165.271875
-162.984375,-327.1125,-164.128125
-163.8421875,-327.1125,-163.2703125
-164.9859375,-327.3984375,-162.4125
-166.415625,-328.25625,-161.840625
-167.8453125,-329.6859375,-161.840625
-169.5609375,-331.115625,-161.5546875
-170.990625,-332.5453125,-161.5546875
-172.4203125,-333.975,-161.5546875
-173.85,-335.4046875,-161.5546875
-175.2796875,-336.2625,-160.9828125
-176.709375,-337.1203125,-160.4109375
-178.7109375,-337.978125,-159.2671875
-180.7125,-338.55,-157.8375
-183.0,-339.121875,-156.121875
-185.0015625,-339.4078125,-154.40625
-186.7171875,-339.9796875,-153.2625
-187.8609375,-340.265625,-152.4046875
-188.4328125,-340.265625,-151.8328125
-187.8609375,-340.265625,-152.4046875
-186.43125,-340.265625,-153.834375
-183.8578125,-339.69375,-155.8359375
-180.9984375,-339.4078125,-158.409375
-177.853125,-338.8359375,-160.9828125
-174.99375,-338.8359375,-163.8421875
-172.70625,-339.121875,-166.415625
-171.2765625,-340.265625,-168.9890625
-171.2765625,-342.2671875,-170.990625
-172.70625,-344.840625,-172.134375
-175.565625,-348.271875,-172.70625
-179.2828125,-351.9890625,-172.70625
-183.8578125,-356.278125,-172.4203125
-188.71875,-360.28125,-171.5625
-193.29375,-364.284375,-170.990625
-197.296875,-367.14375,-169.846875
-200.4421875,-369.43125,-168.9890625
-202.1578125,-370.575,-168.4171875
-203.015625,-370.575,-167.559375
-202.7296875,-369.7171875,-166.9875
-201.3,-367.715625,-166.415625
-199.2984375,-365.1421875,-165.84375
-196.725,-362.2828125,-165.5578125
-193.865625,-359.1375,-165.271875
-190.7203125,-355.9921875,-165.271875
-187.575,-353.1328125,-165.5578125
-184.715625,-350.8453125,-166.1296875
-182.1421875,-348.84375,-166.7015625
-179.8546875,-347.7,-167.8453125
-178.1390625,-347.4140625,-169.275
-177.28125,-347.7,-170.41875
-176.9953125,-348.5578125,-171.5625
-177.28125,-349.9875,-172.70625
-178.7109375,-351.9890625,-173.278125
-180.7125,-354.2765625,-173.5640625
-183.0,-356.5640625,-173.5640625
-185.859375,-358.565625,-172.70625
-189.0046875,-360.5671875,-171.5625
-191.578125,-361.7109375,-170.1328125
-193.865625,-362.56875,-168.703125
-195.2953125,-362.56875,-167.2734375
-196.153125,-361.996875,-165.84375
-196.153125,-361.1390625,-164.9859375
-195.58125,-360.28125,-164.7
-195.009375,-359.1375,-164.128125
-194.1515625,-358.8515625,-164.7
-193.865625,-358.8515625,-164.9859375
-193.865625,-359.709375,-165.84375
-194.7234375,-361.1390625,-166.415625
-196.153125,-363.4265625,-167.2734375
-198.440625,-366.0,-167.559375
-200.728125,-368.5734375,-167.8453125
-203.015625,-370.8609375,-167.8453125
-204.73125,-372.290625,-167.559375
-205.5890625,-372.8625,-167.2734375
-205.303125,-372.5765625,-167.2734375
-203.8734375,-370.8609375,-166.9875
-201.5859375,-368.2875,-166.7015625
-198.1546875,-364.85625,-166.7015625
-194.1515625,-361.425,-167.2734375
-190.434375,-357.7078125,-167.2734375
-187.003125,-354.5625,-167.559375
-184.14375,-352.275,-168.13125
-182.7140625,-350.559375,-167.8453125
-182.1421875,-349.9875,-167.8453125
-182.7140625,-349.9875,-167.2734375
-183.8578125,-350.2734375,-166.415625
-185.859375,-350.8453125,-164.9859375
-187.575,-351.4171875,-163.8421875
-189.290625,-351.13125,-161.840625
-190.1484375,-350.2734375,-160.125
-190.1484375,-348.84375,-158.6953125
-189.290625,-346.8421875,-157.5515625
-187.575,-344.26875,-156.69375
-185.0015625,-341.6953125,-156.69375
-182.1421875,-339.4078125,-157.265625
-178.996875,-337.6921875,-158.6953125
-176.1375,-336.5484375,-160.4109375
-173.85,-335.9765625,-162.1265625
-171.8484375,-336.5484375,-164.7
-170.990625,-337.40625,-166.415625
-170.7046875,-339.121875,-168.4171875
-171.2765625,-340.8375,-169.5609375
-172.4203125,-342.8390625,-170.41875
-173.85,-344.26875,-170.41875
-175.565625,-345.6984375,-170.1328125
-176.9953125,-346.55625,-169.5609375
-178.425,-346.8421875,-168.4171875
-179.56875,-346.8421875,-167.2734375
-180.140625,-346.55625,-166.415625
-180.140625,-345.984375,-165.84375
-179.56875,-345.1265625,-165.5578125
-178.425,-344.26875,-165.84375
-176.709375,-343.125,-166.415625
-174.7078125,-341.98125,-167.2734375
-172.4203125,-340.8375,-168.4171875
-170.41875,-339.4078125,-168.9890625
-168.4171875,-338.2640625,-169.846875
-166.9875,-336.834375,-169.846875
-166.1296875,-335.690625,-169.5609375
-165.84375,-334.546875,-168.703125
-166.415625,-333.975,-167.559375
-167.559375,-333.403125,-165.84375
-168.9890625,-333.1171875,-164.128125
-170.7046875,-333.403125,-162.6984375
-171.8484375,-333.403125,-161.5546875
-172.9921875,-333.975,-160.9828125
-172.9921875,-333.975,-160.9828125
-172.4203125,-334.2609375,-161.840625
-170.990625,-333.975,-162.984375
-168.703125,-333.6890625,-164.9859375
-165.84375,-333.1171875,-167.2734375
-163.2703125,-332.5453125,-169.275
-160.696875,-332.259375,-171.5625
-158.98125,-332.259375,-173.278125
-158.1234375,-332.83125,-174.7078125
-158.1234375,-333.975,-175.8515625
-159.553125,-335.690625,-176.1375
-161.5546875,-338.2640625,-176.709375
-164.4140625,-341.1234375,-176.709375
-167.559375,-343.9828125,-176.4234375
-170.41875,-346.55625,-176.1375
-172.70625,-348.84375,-176.1375
-174.421875,-350.2734375,-175.8515625
-174.99375,-350.8453125,-175.8515625
-174.7078125,-350.559375,-175.8515625
-173.5640625,-349.415625,-175.8515625
-171.5625,-347.4140625,-175.8515625
-169.275,-344.840625,-175.565625
-166.9875,-341.98125,-174.99375
-164.4140625,-339.4078125,-174.99375
-162.4125,-336.834375,-174.421875
-160.4109375,-334.546875,-174.1359375
-158.98125,-332.83125,-173.85
-157.5515625,-331.6875,-174.1359375
-156.4078125,-331.115625,-174.7078125
-155.2640625,-331.115625,-175.8515625
-154.40625,-331.4015625,-176.9953125
-153.834375,-331.9734375,-178.1390625
-153.2625,-332.83125,-179.56875
-153.5484375,-333.975,-180.4265625
-154.1203125,-335.11875,-180.9984375
-155.2640625,-336.2625,-180.9984375
-156.69375,-337.1203125,-180.4265625
-158.6953125,-337.978125,-179.2828125
-160.9828125,-338.55,-177.5671875
-162.984375,-338.55,-175.565625
-164.4140625,-337.978125,-173.5640625
-164.9859375,-336.834375,-171.8484375
-164.7,-335.11875,-170.41875
-163.55625,-333.1171875,-169.5609375
-161.5546875,-330.8296875,-169.275
-158.6953125,-328.5421875,-169.846875
-155.8359375,-326.540625,-170.7046875
-152.9765625,-325.1109375,-172.134375
-150.6890625,-324.825,-174.1359375
-149.5453125,-325.396875,-175.8515625
-149.5453125,-326.8265625,-177.28125
-150.6890625,-329.4,-178.7109375
-152.690625,-332.5453125,-179.8546875
-155.55,-335.690625,-180.140625
-158.6953125,-338.55,-179.8546875
-161.5546875,-341.1234375,-179.56875
-163.8421875,-342.553125,-178.7109375
-165.5578125,-342.8390625,-177.28125
-166.415625,-342.2671875,-175.8515625
-166.7015625,-340.5515625,-173.85
-166.415625,-337.978125,-171.5625
-165.84375,-335.11875,-169.275
-165.271875,-331.9734375,-166.7015625
-165.271875,-329.4,-164.128125
-165.84375,-327.1125,-161.26875
-166.9875,-325.396875,-158.409375
-168.4171875,-323.9671875,-155.55
-170.1328125,-323.109375,-152.9765625
-171.8484375,-322.2515625,-150.403125
-172.9921875,-321.1078125,-148.115625
-173.5640625,-319.678125,-146.1140625
-172.9921875,-317.9625,-144.9703125
-171.8484375,-315.9609375,-144.1125
-170.1328125,-313.959375,-143.8265625
-168.4171875,-311.9578125,-143.540625
-166.415625,-310.528125,-144.1125
-164.9859375,-309.6703125,-144.684375
-164.4140625,-310.2421875,-145.828125
-164.7,-311.671875,-146.971875
-165.5578125,-314.2453125,-148.6875
-167.2734375,-317.6765625,-150.403125
-168.703125,-321.1078125,-152.4046875
-169.846875,-324.5390625,-154.6921875
-170.41875,-327.1125,-156.69375
-169.5609375,-328.5421875,-158.98125
-167.8453125,-328.5421875,-160.696875
-164.7,-326.8265625,-162.1265625
-160.696875,-323.9671875,-163.2703125
-156.4078125,-319.9640625,-163.55625
-152.4046875,-315.675,-163.2703125
-149.259375,-311.3859375,-162.1265625
-147.2578125,-308.240625,-160.9828125
-147.2578125,-306.2390625,-158.98125
-148.6875,-305.953125,-157.265625
-151.8328125,-307.3828125,-155.55
-155.8359375,-309.95625,-154.1203125
-160.4109375,-313.6734375,-153.2625
-164.7,-317.9625,-153.2625
-168.4171875,-321.6796875,-153.2625
-170.7046875,-324.5390625,-153.834375
-171.2765625,-326.2546875,-154.978125
-170.41875,-325.96875,-155.55
-168.13125,-324.253125,-156.121875
-165.271875,-321.1078125,-155.8359375
-161.840625,-317.1046875,-155.2640625
-159.2671875,-312.815625,-153.5484375
-157.265625,-308.8125,-151.546875
-156.69375,-305.6671875,-148.9734375
-157.5515625,-303.665625,-146.1140625
-159.8390625,-303.665625,-143.8265625
-163.2703125,-304.809375,-141.5390625
-167.2734375,-307.3828125,-140.109375
-171.2765625,-310.8140625,-139.5375
-174.7078125,-314.53125,-139.8234375
-176.9953125,-317.9625,-140.9671875
-178.1390625,-320.821875,-142.6828125
-177.853125,-322.5375,-144.684375
-176.4234375,-322.8234375,-146.4
-173.85,-322.2515625,-148.4015625
-170.990625,-320.5359375,-149.5453125
-168.13125,-318.534375,-150.403125
-165.84375,-316.246875,-150.403125
-164.4140625,-314.53125,-150.1171875
-164.128125,-313.3875,-149.259375
-164.7,-313.1015625,-148.4015625
-166.1296875,-313.6734375,-147.54375
-167.8453125,-315.103125,-147.2578125
-169.846875,-316.81875,-146.971875
-171.5625,-318.534375,-146.971875
-172.4203125,-319.9640625,-147.54375
-172.4203125,-320.821875,-148.4015625
-171.5625,-320.5359375,-148.9734375
-169.5609375,-319.10625,-149.5453125
-166.9875,-316.81875,-149.83125
-163.8421875,-313.959375,-150.1171875
-160.696875,-310.528125,-149.83125
-157.8375,-307.096875,-149.259375
-155.55,-303.9515625,-148.4015625
-154.1203125,-301.378125,-147.2578125
-153.5484375,-299.9484375,-146.4
-153.5484375,-299.090625,-145.5421875
-154.1203125,-299.090625,-144.9703125
-154.978125,-299.6625,-144.684375
-155.55,-300.5203125,-144.9703125
-156.121875,-301.378125,-145.25625
-155.8359375,-301.95,-146.1140625
-154.6921875,-301.95,-147.2578125
-152.690625,-301.378125,-148.6875
-150.403125,-300.234375,-149.83125
-147.2578125,-298.8046875,-151.546875
-144.1125,-297.0890625,-152.9765625
-140.68125,-295.659375,-154.978125
-137.821875,-294.515625,-156.69375
-135.534375,-294.2296875,-158.6953125
-134.1046875,-294.8015625,-160.696875
-133.246875,-296.23125,-162.984375
-133.246875,-298.51875,-165.271875
-134.1046875,-301.378125,-167.2734375
-135.2484375,-305.0953125,-169.846875
-136.678125,-308.8125,-172.134375
-138.39375,-312.24375,-173.85
-139.8234375,-315.675,-175.8515625
-141.253125,-318.2484375,-176.9953125
-142.6828125,-319.9640625,-177.28125
-143.8265625,-320.5359375,-176.709375
-144.9703125,-320.25,-175.2796875
-146.1140625,-319.3921875,-173.278125
-147.2578125,-317.6765625,-170.41875
-148.9734375,-315.675,-166.7015625
-150.975,-313.6734375,-162.6984375
-153.5484375,-311.671875,-158.1234375
-156.4078125,-310.2421875,-153.834375
-159.553125,-309.384375,-149.83125
-162.6984375,-309.0984375,-146.4
-165.5578125,-309.6703125,-144.1125
-167.8453125,-310.8140625,-142.96875
-169.5609375,-312.5296875,-142.96875
-170.41875,-314.53125,-144.1125
-170.41875,-316.5328125,-146.1140625
-169.275,-318.2484375,-148.9734375
-167.559375,-319.678125,-152.11875
-165.271875,-320.5359375,-155.2640625
-162.6984375,-320.5359375,-157.8375
-160.4109375,-320.25,-159.8390625
-158.1234375,-319.678125,-161.5546875
-156.69375,-318.534375,-161.840625
-156.121875,-317.6765625,-161.5546875
-156.69375,-317.1046875,-160.4109375
-158.1234375,-316.81875,-158.6953125
-160.4109375,-317.390625,-156.9796875
-163.55625,-318.2484375,-154.6921875
-166.9875,-319.3921875,-152.4046875
-170.7046875,-320.821875,-150.1171875
-173.85,-322.2515625,-148.4015625
-176.709375,-323.3953125,-146.6859375
-178.996875,-324.253125,-145.25625
-180.140625,-323.9671875,-143.8265625
-180.140625,-323.109375,-142.96875
-179.56875,-321.39375,-141.825
-177.5671875,-318.8203125,-141.253125
-175.2796875,-316.246875,-140.9671875
-172.134375,-313.1015625,-140.9671875
-168.9890625,-310.2421875,-141.253125
-165.5578125,-307.66875,-142.1109375
-162.1265625,-305.38125,-143.2546875
-159.2671875,-303.9515625,-144.684375
-157.265625,-303.09375,-145.828125
-155.55,-302.8078125,-147.2578125
-154.6921875,-303.09375,-148.4015625
-154.978125,-303.665625,-148.6875
-155.8359375,-304.5234375,-148.6875
-157.265625,-305.38125,-148.115625
-159.553125,-306.2390625,-146.6859375
-162.1265625,-307.096875,-144.9703125
-164.9859375,-307.66875,-142.6828125
-167.8453125,-308.240625,-140.3953125
-170.1328125,-308.5265625,-138.39375
-172.4203125,-308.8125,-136.3921875
