LEFT,RIGHT,DIFF
19.7296875,-92.3578125,-112.0875
18.0140625,-93.5015625,-111.515625
18.5859375,-92.64375,-111.2296875
21.159375,-90.35625,-111.515625
24.8765625,-86.925,-111.8015625
29.4515625,-83.2078125,-112.659375
34.3125,-79.7765625,-114.0890625
38.6015625,-76.3453125,-114.946875
42.31875,-73.771875,-116.090625
45.4640625,-71.7703125,-117.234375
47.1796875,-70.340625,-117.5203125
48.3234375,-69.4828125,-117.80625
48.0375,-69.196875,-117.234375
46.6078125,-69.76875,-116.3765625
44.034375,-71.1984375,-115.2328125
40.3171875,-73.771875,-114.0890625
35.45625,-77.4890625,-112.9453125
29.4515625,-82.6359375,-112.0875
22.0171875,-88.9265625,-110.94375
14.0109375,-96.3609375,-110.371875
5.146875,-104.653125,-109.8
-3.7171875,-113.23125,-109.5140625
-12.58125,-121.809375,-109.228125
-21.159375,-129.5296875,-108.3703125
-29.165625,-136.3921875,-107.2265625
-36.3140625,-141.825,-105.5109375
-42.31875,-145.828125,-103.509375
-47.1796875,-148.4015625,-101.221875
-51.1828125,-149.83125,-98.6484375
-54.328125,-150.1171875,-95.7890625
-56.9015625,-149.83125,-92.9296875
-58.6171875,-148.9734375,-90.35625
-59.7609375,-148.115625,-88.3546875
-60.3328125,-146.971875,-86.6390625
-60.046875,-145.25625,-85.209375
-59.1890625,-143.2546875,-84.065625
-57.4734375,-140.68125,-83.2078125
-54.6140625,-137.5359375,-82.921875
-51.46875,-133.246875,-81.778125
-47.465625,-128.671875,-81.20625
-43.4625,-123.525,-80.0625
-40.03125,-118.378125,-78.346875
-36.8859375,-113.5171875,-76.63125
-34.884375,-109.228125,-74.34375
-34.0265625,-106.0828125,-72.05625
-34.5984375,-104.08125,-69.4828125
-36.028125,-103.509375,-67.48125
-38.0296875,-103.7953125,-65.765625
-40.603125,-105.225,-64.621875
-42.890625,-106.940625,-64.05
-44.3203125,-108.65625,-64.3359375
-44.60625,-110.0859375,-65.4796875
-43.4625,-110.6578125,-67.1953125
-40.8890625,-110.6578125,-69.76875
-36.8859375,-109.8,-72.9140625
-32.3109375,-108.3703125,-76.059375
-27.45,-106.6546875,-79.2046875
-22.875,-105.225,-82.35
-19.1578125,-104.08125,-84.9234375
-16.8703125,-103.7953125,-86.925
-16.0125,-104.653125,-88.640625
-16.584375,-106.0828125,-89.4984375
-18.5859375,-108.3703125,-89.784375
-21.4453125,-110.94375,-89.4984375
-24.8765625,-113.803125,-88.9265625
-28.3078125,-116.090625,-87.7828125
-31.453125,-118.0921875,-86.6390625
-33.740625,-119.2359375,-85.4953125
-35.1703125,-119.8078125,-84.6375
-35.45625,-119.8078125,-84.3515625
-35.1703125,-119.2359375,-84.065625
-34.5984375,-118.95,-84.3515625
-34.0265625,-118.95,-84.9234375
-33.4546875,-119.521875,-86.0671875
-33.4546875,-120.665625,-87.2109375
-34.3125,-122.38125,-88.06875
-35.45625,-124.66875,-89.2125
-37.4578125,-126.95625,-89.4984375
-39.1734375,-129.24375,-90.0703125
-41.175,-130.959375,-89.784375
-42.890625,-132.103125,-89.2125
-43.7484375,-132.103125,-88.3546875
-44.034375,-131.2453125,-87.2109375
-43.7484375,-129.815625,-86.0671875
-43.1765625,-127.8140625,-84.6375
-42.6046875,-125.8125,-83.2078125
-42.0328125,-123.8109375,-81.778125
-42.0328125,-122.6671875,-80.634375
-42.6046875,-122.38125,-79.7765625
-44.3203125,-123.2390625,-78.91875
-46.6078125,-125.240625,-78.6328125
-49.753125,-127.8140625,-78.0609375
-53.184375,-131.2453125,-78.0609375
-56.3296875,-134.6765625,-78.346875
-59.1890625,-138.39375,-79.2046875
-60.9046875,-141.5390625,-80.634375
-61.7625,-143.8265625,-82.0640625
-61.190625,-145.5421875,-84.3515625
-59.7609375,-146.6859375,-86.925
-57.4734375,-147.2578125,-89.784375
-54.9,-147.2578125,-92.3578125
-52.040625,-146.971875,-94.93125
-49.753125,-146.971875,-97.21875
-48.0375,-146.6859375,-98.6484375
-47.465625,-146.971875,-99.50625
-47.465625,-146.971875,-99.50625
-48.609375,-147.2578125,-98.6484375
-50.325,-147.2578125,-96.9328125
-51.7546875,-147.2578125,-95.503125
-53.4703125,-146.4,-92.9296875
-54.328125,-145.25625,-90.928125
-54.6140625,-143.8265625,-89.2125
-54.0421875,-142.396875,-88.3546875
-53.184375,-140.9671875,-87.7828125
-51.7546875,-139.8234375,-88.06875
-50.6109375,-139.8234375,-89.2125
-50.0390625,-140.3953125,-90.35625
-50.325,-142.6828125,-92.3578125
-51.7546875,-145.828125,-94.0734375
-54.0421875,-150.1171875,-96.075
-57.4734375,-154.978125,-97.5046875
-61.4765625,-160.125,-98.6484375
-65.4796875,-164.9859375,-99.50625
-68.9109375,-168.9890625,-100.078125
-71.484375,-172.134375,-100.65
-72.628125,-173.5640625,-100.9359375
-72.3421875,-173.278125,-100.9359375
-70.340625,-171.8484375,-101.5078125
-66.909375,-168.9890625,-102.0796875
-62.334375,-165.271875,-102.9375
-57.4734375,-161.26875,-103.7953125
-52.8984375,-157.5515625,-104.653125
-48.609375,-154.40625,-105.796875
-45.75,-152.11875,-106.36875
-44.034375,-151.2609375,-107.2265625
-43.7484375,-151.8328125,-108.084375
-44.8921875,-153.5484375,-108.65625
-47.1796875,-156.121875,-108.9421875
-50.0390625,-159.2671875,-109.228125
-53.184375,-162.984375,-109.8
-56.04375,-166.1296875,-110.0859375
-58.33125,-169.275,-110.94375
-60.046875,-171.2765625,-111.2296875
-61.190625,-172.70625,-111.515625
-61.4765625,-173.5640625,-112.0875
-61.190625,-173.5640625,-112.3734375
-60.9046875,-173.278125,-112.3734375
-60.9046875,-172.70625,-111.8015625
-60.9046875,-172.134375,-111.2296875
-61.4765625,-172.134375,-110.6578125
-62.6203125,-172.70625,-110.0859375
-64.3359375,-173.5640625,-109.228125
-66.6234375,-175.2796875,-108.65625
-69.196875,-177.5671875,-108.3703125
-71.7703125,-179.8546875,-108.084375
-74.34375,-182.428125,-108.084375
-76.63125,-185.0015625,-108.3703125
-78.0609375,-187.003125,-108.9421875
-78.91875,-188.71875,-109.8
-79.490625,-189.8625,-110.371875
-79.2046875,-190.434375,-111.2296875
-78.346875,-190.434375,-112.0875
-77.4890625,-190.434375,-112.9453125
-76.63125,-190.1484375,-113.5171875
-76.059375,-190.434375,-114.375
-75.7734375,-190.7203125,-114.946875
-76.3453125,-191.578125,-115.2328125
-77.4890625,-192.721875,-115.2328125
-79.2046875,-194.4375,-115.2328125
-81.4921875,-195.8671875,-114.375
-83.7796875,-197.296875,-113.5171875
-85.78125,-198.1546875,-112.3734375
-87.2109375,-197.86875,-110.6578125
-87.2109375,-196.153125,-108.9421875
-86.0671875,-193.0078125,-106.940625
-83.2078125,-188.146875,-104.9390625
-78.91875,-182.1421875,-103.2234375
-73.771875,-175.2796875,-101.5078125
-67.48125,-167.8453125,-100.3640625
-61.4765625,-160.9828125,-99.50625
-55.7578125,-155.2640625,-99.50625
-51.7546875,-150.975,-99.2203125
-49.753125,-148.9734375,-99.2203125
-50.0390625,-148.9734375,-98.934375
-52.8984375,-151.8328125,-98.934375
-58.0453125,-156.4078125,-98.3625
-64.621875,-162.6984375,-98.0765625
-72.628125,-169.846875,-97.21875
-80.634375,-176.9953125,-96.3609375
-87.496875,-183.571875,-96.075
-92.9296875,-189.0046875,-96.075
-95.7890625,-192.721875,-96.9328125
-96.3609375,-194.4375,-98.0765625
-94.0734375,-194.4375,-100.3640625
-89.2125,-192.721875,-103.509375
-82.921875,-189.8625,-106.940625
-75.7734375,-186.43125,-110.6578125
-68.3390625,-182.7140625,-114.375
-62.0484375,-179.2828125,-117.234375
-56.9015625,-176.4234375,-119.521875
-53.75625,-174.421875,-120.665625
-52.6125,-173.5640625,-120.9515625
-53.184375,-173.278125,-120.09375
-55.471875,-173.85,-118.378125
-58.33125,-174.99375,-116.6625
-61.7625,-176.1375,-114.375
-64.9078125,-177.5671875,-112.659375
-67.48125,-178.7109375,-111.2296875
-69.196875,-180.140625,-110.94375
-70.0546875,-180.9984375,-110.94375
-69.76875,-181.85625,-112.0875
-69.196875,-182.7140625,-113.5171875
-67.7671875,-183.2859375,-115.51875
-66.3375,-183.8578125,-117.5203125
-64.9078125,-183.8578125,-118.95
-63.1921875,-183.8578125,-120.665625
-61.7625,-183.0,-121.2375
-60.046875,-181.5703125,-121.5234375
-58.0453125,-179.8546875,-121.809375
-56.04375,-177.28125,-121.2375
-53.4703125,-174.421875,-120.9515625
-50.6109375,-171.2765625,-120.665625
-47.7515625,-168.13125,-120.3796875
-44.8921875,-165.271875,-120.3796875
-42.6046875,-162.4125,-119.8078125
-40.603125,-160.4109375,-119.8078125
-39.459375,-158.6953125,-119.2359375
-39.1734375,-157.5515625,-118.378125
-39.7453125,-156.69375,-116.9484375
-40.8890625,-155.8359375,-114.946875
-42.6046875,-155.2640625,-112.659375
-44.60625,-154.1203125,-109.5140625
-46.6078125,-153.2625,-106.6546875
-48.0375,-151.8328125,-103.7953125
-48.609375,-150.1171875,-101.5078125
-48.8953125,-148.6875,-99.7921875
-48.0375,-146.971875,-98.934375
-46.6078125,-145.828125,-99.2203125
-44.8921875,-145.25625,-100.3640625
-43.1765625,-145.25625,-102.0796875
-41.4609375,-145.5421875,-104.08125
-40.03125,-146.6859375,-106.6546875
-39.459375,-148.4015625,-108.9421875
-39.459375,-150.403125,-110.94375
-40.03125,-152.690625,-112.659375
-41.746875,-155.2640625,-113.5171875
-44.034375,-158.1234375,-114.0890625
-46.89375,-160.9828125,-114.0890625
-50.6109375,-164.4140625,-113.803125
-54.6140625,-168.13125,-113.5171875
-58.903125,-172.4203125,-113.5171875
-63.478125,-176.709375,-113.23125
-68.053125,-181.284375,-113.23125
-72.05625,-185.859375,-113.803125
-75.7734375,-189.8625,-114.0890625
-78.346875,-193.29375,-114.946875
-80.0625,-195.58125,-115.51875
-80.634375,-196.153125,-115.51875
-80.0625,-195.58125,-115.51875
-78.0609375,-193.5796875,-115.51875
-75.2015625,-190.1484375,-114.946875
-71.7703125,-186.1453125,-114.375
-68.053125,-181.85625,-113.803125
-64.621875,-178.1390625,-113.5171875
-61.4765625,-175.2796875,-113.803125
-59.475,-173.5640625,-114.0890625
-58.6171875,-173.278125,-114.6609375
-58.6171875,-174.421875,-115.8046875
-59.1890625,-176.709375,-117.5203125
-60.3328125,-179.56875,-119.2359375
-61.4765625,-182.1421875,-120.665625
-62.0484375,-184.4296875,-122.38125
-61.7625,-185.859375,-124.096875
-60.3328125,-185.5734375,-125.240625
-58.0453125,-184.14375,-126.0984375
-54.6140625,-181.284375,-126.6703125
-50.6109375,-177.853125,-127.2421875
-46.89375,-174.421875,-127.528125
-43.7484375,-171.2765625,-127.528125
-41.4609375,-169.275,-127.8140625
-40.8890625,-168.703125,-127.8140625
-42.0328125,-169.846875,-127.8140625
-44.8921875,-172.70625,-127.8140625
-48.8953125,-176.709375,-127.8140625
