LEFT,RIGHT,DIFF
-199.2984375,-164.9859375,34.3125
-187.2890625,-152.4046875,34.884375
-176.709375,-141.253125,35.45625
-167.559375,-131.8171875,35.7421875
-160.4109375,-123.8109375,36.6
-154.978125,-117.80625,37.171875
-151.546875,-113.5171875,38.0296875
-149.259375,-110.6578125,38.6015625
-148.6875,-109.228125,39.459375
-148.6875,-108.3703125,40.3171875
-149.5453125,-108.084375,41.4609375
-150.1171875,-108.084375,42.0328125
-150.6890625,-108.084375,42.6046875
-150.403125,-107.5125,42.890625
-149.259375,-106.0828125,43.1765625
-146.971875,-104.3671875,42.6046875
-143.8265625,-101.5078125,42.31875
-139.5375,-98.0765625,41.4609375
-134.6765625,-94.359375,40.3171875
-129.24375,-90.0703125,39.1734375
-124.096875,-86.0671875,38.0296875
-119.2359375,-82.35,36.8859375
-115.51875,-79.490625,36.028125
-112.9453125,-77.775,35.1703125
-111.8015625,-77.203125,34.5984375
-111.8015625,-77.775,34.0265625
-113.5171875,-79.2046875,34.3125
-115.8046875,-81.778125,34.0265625
-118.95,-84.3515625,34.5984375
-121.809375,-87.2109375,34.5984375
-124.3828125,-89.2125,35.1703125
-126.384375,-90.6421875,35.7421875
-127.2421875,-90.6421875,36.6
-126.6703125,-89.4984375,37.171875
-125.240625,-87.2109375,38.0296875
-122.6671875,-84.065625,38.6015625
-119.521875,-80.3484375,39.1734375
-115.8046875,-76.3453125,39.459375
-112.0875,-72.3421875,39.7453125
-108.65625,-68.9109375,39.7453125
-105.225,-65.765625,39.459375
-102.365625,-63.478125,38.8875
-99.50625,-61.4765625,38.0296875
-97.21875,-59.7609375,37.4578125
-94.6453125,-58.0453125,36.6
-92.3578125,-56.3296875,36.028125
-89.784375,-54.328125,35.45625
-87.496875,-52.3265625,35.1703125
-85.209375,-49.753125,35.45625
-83.2078125,-47.7515625,35.45625
-81.778125,-45.75,36.028125
-80.9203125,-44.60625,36.3140625
-80.9203125,-44.3203125,36.6
-81.4921875,-45.178125,36.3140625
-82.921875,-46.89375,36.028125
-84.9234375,-49.4671875,35.45625
-87.2109375,-52.3265625,34.884375
-89.2125,-55.471875,33.740625
-90.928125,-58.33125,32.596875
-92.3578125,-60.3328125,32.025
-92.9296875,-61.4765625,31.453125
-93.215625,-62.0484375,31.1671875
-93.5015625,-62.0484375,31.453125
-93.5015625,-61.7625,31.7390625
-94.359375,-61.7625,32.596875
-95.7890625,-62.334375,33.4546875
-98.3625,-64.05,34.3125
-101.79375,-66.909375,34.884375
-105.796875,-70.9125,34.884375
-110.6578125,-75.4875,35.1703125
-114.946875,-80.634375,34.3125
-118.95,-85.4953125,33.4546875
-121.5234375,-89.2125,32.3109375
-122.0953125,-91.2140625,30.88125
-120.9515625,-91.2140625,29.7375
-117.5203125,-88.640625,28.8796875
-112.3734375,-84.065625,28.3078125
-106.0828125,-77.775,28.3078125
-99.50625,-70.6265625,28.8796875
-93.215625,-63.478125,29.7375
-88.3546875,-57.4734375,30.88125
-85.78125,-53.4703125,32.3109375
-85.78125,-52.040625,33.740625
-88.640625,-53.75625,34.884375
-94.0734375,-58.33125,35.7421875
-101.79375,-65.4796875,36.3140625
-110.6578125,-74.34375,36.3140625
-119.8078125,-83.7796875,36.028125
-128.3859375,-92.9296875,35.45625
-134.9625,-100.3640625,34.5984375
-139.2515625,-105.5109375,33.740625
-140.3953125,-107.7984375,32.596875
-138.6796875,-107.2265625,31.453125
-134.6765625,-103.7953125,30.88125
-128.3859375,-98.6484375,29.7375
-121.2375,-92.3578125,28.8796875
-114.375,-86.0671875,28.3078125
-108.3703125,-80.634375,27.7359375
-104.08125,-76.9171875,27.1640625
-102.365625,-75.2015625,27.1640625
-102.9375,-75.7734375,27.1640625
-105.796875,-78.346875,27.45
-110.371875,-82.6359375,27.7359375
-116.090625,-87.7828125,28.3078125
-121.5234375,-92.64375,28.8796875
-126.384375,-96.646875,29.7375
-129.815625,-99.2203125,30.5953125
-131.2453125,-99.7921875,31.453125
-130.3875,-98.6484375,31.7390625
-127.2421875,-95.2171875,32.025
-122.6671875,-90.928125,31.7390625
-117.234375,-85.78125,31.453125
-111.515625,-80.634375,30.88125
-106.36875,-76.3453125,30.0234375
-102.9375,-73.4859375,29.4515625
-101.221875,-72.3421875,28.8796875
-101.5078125,-73.4859375,28.021875
-103.7953125,-76.059375,27.7359375
-107.7984375,-80.634375,27.1640625
-113.23125,-86.0671875,27.1640625
-119.2359375,-91.7859375,27.45
-124.9546875,-97.790625,27.1640625
-130.1015625,-102.6515625,27.45
-133.81875,-106.940625,26.878125
-136.10625,-109.5140625,26.5921875
-136.678125,-110.94375,25.734375
-135.534375,-110.94375,24.590625
-133.246875,-109.8,23.446875
-129.815625,-107.7984375,22.0171875
-125.8125,-105.225,20.5875
-121.809375,-102.365625,19.44375
-117.80625,-99.50625,18.3
-114.6609375,-96.9328125,17.728125
-112.0875,-94.6453125,17.4421875
-110.371875,-92.9296875,17.4421875
-109.8,-91.7859375,18.0140625
-109.8,-91.7859375,18.0140625
-110.6578125,-92.071875,18.5859375
-112.3734375,-93.5015625,18.871875
-114.375,-95.503125,18.871875
-116.6625,-98.3625,18.3
-119.2359375,-101.221875,18.0140625
-121.2375,-104.3671875,16.8703125
-122.953125,-106.940625,16.0125
-124.096875,-108.9421875,15.1546875
-124.096875,-109.8,14.296875
-123.525,-109.5140625,14.0109375
-121.5234375,-107.7984375,13.725
-119.2359375,-104.653125,14.5828125
-116.090625,-100.9359375,15.1546875
-112.659375,-96.646875,16.0125
-109.8,-92.071875,17.728125
-107.5125,-88.640625,18.871875
-106.6546875,-86.0671875,20.5875
-107.2265625,-85.4953125,21.73125
-109.5140625,-86.6390625,22.875
-113.23125,-89.4984375,23.7328125
-117.80625,-93.7875,24.01875
-123.2390625,-98.934375,24.3046875
-128.3859375,-104.3671875,24.01875
-132.9609375,-108.65625,24.3046875
-135.534375,-111.8015625,23.7328125
-136.3921875,-112.659375,23.7328125
-134.6765625,-111.2296875,23.446875
-130.959375,-107.5125,23.446875
-125.240625,-102.0796875,23.1609375
-118.378125,-95.2171875,23.1609375
-110.94375,-88.06875,22.875
-103.7953125,-81.4921875,22.303125
-97.790625,-76.059375,21.73125
-93.5015625,-72.05625,21.4453125
-90.6421875,-70.340625,20.3015625
-89.784375,-70.0546875,19.7296875
-89.784375,-70.9125,18.871875
-90.6421875,-72.05625,18.5859375
-90.6421875,-72.9140625,17.728125
-89.784375,-72.05625,17.728125
-87.2109375,-69.196875,18.0140625
-82.6359375,-63.7640625,18.871875
-75.7734375,-56.04375,19.7296875
-67.48125,-46.6078125,20.8734375
-58.33125,-35.7421875,22.5890625
-49.18125,-25.1625,24.01875
-41.175,-15.440625,25.734375
-35.1703125,-8.00625,27.1640625
-31.7390625,-3.1453125,28.59375
-31.453125,-1.4296875,30.0234375
-34.0265625,-2.859375,31.1671875
-38.6015625,-6.8625,31.7390625
-44.60625,-12.58125,32.025
-51.1828125,-19.1578125,32.025
-57.1875,-25.1625,32.025
-61.4765625,-29.7375,31.7390625
-64.05,-32.596875,31.453125
-64.05,-32.8828125,31.1671875
-62.0484375,-31.1671875,30.88125
-58.33125,-27.7359375,30.5953125
-54.0421875,-23.446875,30.5953125
-49.4671875,-18.871875,30.5953125
-46.0359375,-15.440625,30.5953125
-44.034375,-13.153125,30.88125
-44.034375,-12.58125,31.453125
-45.75,-14.0109375,31.7390625
-48.609375,-16.584375,32.025
-52.6125,-20.015625,32.596875
-56.615625,-23.7328125,32.8828125
-59.7609375,-26.5921875,33.16875
-61.4765625,-28.3078125,33.16875
-61.7625,-28.3078125,33.4546875
-60.046875,-26.878125,33.16875
-57.1875,-24.01875,33.16875
-53.184375,-20.3015625,32.8828125
-48.8953125,-16.584375,32.3109375
-45.178125,-13.153125,32.025
-42.890625,-11.1515625,31.7390625
-42.31875,-11.1515625,31.1671875
-43.4625,-12.8671875,30.5953125
-46.89375,-16.2984375,30.5953125
-51.46875,-21.4453125,30.0234375
-57.1875,-27.45,29.7375
-63.1921875,-33.740625,29.4515625
-68.9109375,-39.7453125,29.165625
-73.771875,-44.60625,29.165625
-77.203125,-48.0375,29.165625
-79.2046875,-50.0390625,29.165625
-79.7765625,-50.6109375,29.165625
-79.2046875,-49.753125,29.4515625
-77.775,-48.0375,29.7375
-76.059375,-46.0359375,30.0234375
-74.34375,-43.7484375,30.5953125
-72.9140625,-42.0328125,30.88125
-72.3421875,-40.603125,31.7390625
-72.3421875,-39.7453125,32.596875
-73.2,-39.459375,33.740625
-74.34375,-39.459375,34.884375
-76.3453125,-39.7453125,36.6
-78.346875,-40.3171875,38.0296875
-80.3484375,-40.603125,39.7453125
-82.35,-40.8890625,41.4609375
-84.3515625,-41.175,43.1765625
-86.0671875,-41.175,44.8921875
-87.496875,-40.8890625,46.6078125
-88.3546875,-40.603125,47.7515625
-88.9265625,-40.3171875,48.609375
-88.9265625,-39.7453125,49.18125
-88.06875,-38.8875,49.18125
-86.925,-38.0296875,48.8953125
-84.9234375,-36.6,48.3234375
-82.6359375,-34.884375,47.7515625
-79.490625,-33.16875,46.321875
-76.3453125,-31.1671875,45.178125
-73.2,-28.8796875,44.3203125
-70.340625,-27.1640625,43.1765625
-67.7671875,-25.734375,42.0328125
-65.765625,-24.590625,41.175
-64.621875,-24.01875,40.603125
-64.05,-23.7328125,40.3171875
-64.05,-23.7328125,40.3171875
-64.621875,-24.01875,40.603125
-65.19375,-24.3046875,40.8890625
-66.0515625,-24.590625,41.4609375
-66.6234375,-24.590625,42.0328125
-66.909375,-24.3046875,42.6046875
-67.1953125,-23.7328125,43.4625
-67.1953125,-23.446875,43.7484375
-67.48125,-22.875,44.60625
-68.053125,-22.875,45.178125
-68.625,-23.446875,45.178125
-69.76875,-24.3046875,45.4640625
-71.484375,-25.734375,45.75
-73.4859375,-27.7359375,45.75
-75.4875,-29.7375,45.75
-77.4890625,-31.7390625,45.75
-79.490625,-33.4546875,46.0359375
-80.9203125,-34.5984375,46.321875
-81.778125,-35.45625,46.321875
-81.778125,-35.45625,46.321875
-81.4921875,-35.1703125,46.321875
-80.634375,-34.5984375,46.0359375
-79.490625,-33.740625,45.75
-78.0609375,-33.16875,44.8921875
-76.3453125,-32.596875,43.7484375
-74.915625,-32.596875,42.31875
-73.2,-32.8828125,40.3171875
-71.1984375,-33.4546875,37.74375
-69.4828125,-34.0265625,35.45625
-67.1953125,-34.5984375,32.596875
-64.9078125,-35.1703125,29.7375
-62.334375,-34.884375,27.45
-59.475,-34.5984375,24.8765625
-56.3296875,-33.4546875,22.875
-53.184375,-31.7390625,21.4453125
-50.0390625,-29.4515625,20.5875
-47.1796875,-27.1640625,20.015625
-44.3203125,-24.590625,19.7296875
-42.0328125,-21.73125,20.3015625
-40.03125,-19.1578125,20.8734375
-38.0296875,-16.2984375,21.73125
-36.028125,-14.0109375,22.0171875
-34.5984375,-11.7234375,22.875
-32.8828125,-9.721875,23.1609375
-31.453125,-8.2921875,23.1609375
-30.309375,-7.1484375,23.1609375
-29.165625,-6.5765625,22.5890625
-28.8796875,-6.5765625,22.303125
-29.165625,-7.1484375,22.0171875
-30.0234375,-8.2921875,21.73125
-31.1671875,-9.721875,21.4453125
-32.8828125,-11.4375,21.4453125
-34.884375,-13.153125,21.73125
-36.6,-14.296875,22.303125
-37.74375,-14.86875,22.875
-38.0296875,-14.296875,23.7328125
-37.4578125,-13.153125,24.3046875
-36.028125,-10.865625,25.1625
-33.740625,-8.2921875,25.4484375
-30.88125,-5.71875,25.1625
-28.021875,-3.1453125,24.8765625
-25.734375,-1.4296875,24.3046875
-24.01875,-0.8578125,23.1609375
-23.1609375,-1.4296875,21.73125
-23.446875,-3.1453125,20.3015625
-24.590625,-5.4328125,19.1578125
-26.30625,-8.578125,17.728125
-28.3078125,-11.4375,16.8703125
-29.7375,-13.4390625,16.2984375
-30.5953125,-14.5828125,16.0125
-30.0234375,-14.296875,15.7265625
-28.3078125,-12.2953125,16.0125
-25.734375,-9.4359375,16.2984375
-22.303125,-5.4328125,16.8703125
-18.5859375,-1.4296875,17.15625
-15.1546875,1.715625,16.8703125
-12.8671875,4.003125,16.8703125
-11.7234375,4.8609375,16.584375
-12.009375,4.003125,16.0125
-13.725,1.14375,14.86875
-16.584375,-2.2875,14.296875
-19.7296875,-6.8625,12.8671875
-22.5890625,-10.865625,11.7234375
-24.8765625,-14.296875,10.5796875
-25.4484375,-16.0125,9.4359375
-24.8765625,-16.0125,8.8640625
-22.5890625,-13.725,8.8640625
-18.871875,-10.29375,8.578125
-14.86875,-5.4328125,9.4359375
-10.865625,-0.571875,10.29375
-7.434375,3.7171875,11.1515625
-5.4328125,7.1484375,12.58125
-5.146875,9.15,14.296875
-6.5765625,9.15,15.7265625
-9.4359375,7.7203125,17.15625
-13.153125,5.4328125,18.5859375
-16.8703125,2.2875,19.1578125
-20.3015625,0.0,20.3015625
-22.5890625,-2.0015625,20.5875
-23.1609375,-2.5734375,20.5875
-22.0171875,-1.4296875,20.5875
-19.44375,0.8578125,20.3015625
-15.7265625,4.575,20.3015625
-11.4375,8.578125,20.015625
-7.7203125,12.58125,20.3015625
-5.4328125,15.7265625,21.159375
-4.575,17.15625,21.73125
-6.0046875,16.8703125,22.875
-9.4359375,14.296875,23.7328125
-14.86875,10.29375,25.1625
-21.4453125,4.575,26.0203125
-28.59375,-1.4296875,27.1640625
-35.7421875,-8.00625,27.7359375
-42.0328125,-13.725,28.3078125
-46.6078125,-18.5859375,28.021875
-49.4671875,-21.73125,27.7359375
-50.325,-23.446875,26.878125
-49.4671875,-23.1609375,26.30625
-46.6078125,-21.4453125,25.1625
-42.6046875,-18.3,24.3046875
-38.0296875,-14.296875,23.7328125
-32.8828125,-9.4359375,23.446875
-27.7359375,-4.2890625,23.446875
-22.875,0.8578125,23.7328125
-18.871875,5.71875,24.590625
-15.440625,10.29375,25.734375
-13.153125,14.0109375,27.1640625
-11.7234375,16.584375,28.3078125
-11.7234375,17.728125,29.4515625
-12.58125,17.4421875,30.0234375
-14.86875,15.7265625,30.5953125
-18.0140625,12.2953125,30.309375
-22.0171875,7.1484375,29.165625
-26.5921875,1.4296875,28.021875
-31.7390625,-4.8609375,26.878125
-36.3140625,-11.4375,24.8765625
-40.3171875,-17.15625,23.1609375
-43.4625,-21.73125,21.73125
-45.178125,-24.3046875,20.8734375
-45.178125,-24.8765625,20.3015625
-43.7484375,-23.446875,20.3015625
-41.175,-19.7296875,21.4453125
-37.74375,-14.86875,22.875
-33.4546875,-8.8640625,24.590625
-29.4515625,-2.5734375,26.878125
-25.734375,2.5734375,28.3078125
-22.5890625,7.434375,30.0234375
-20.5875,10.5796875,31.1671875
-19.44375,12.58125,32.025
-18.871875,12.8671875,31.7390625
-19.1578125,12.58125,31.7390625
-19.44375,11.4375,30.88125
-19.7296875,10.29375,30.0234375
-20.015625,9.721875,29.7375
-19.7296875,9.721875,29.4515625
-19.44375,10.5796875,30.0234375
-18.871875,12.009375,30.88125
-18.871875,13.725,32.596875
-19.44375,15.440625,34.884375
-20.8734375,16.584375,37.4578125
-23.446875,16.584375,40.03125
-27.45,15.440625,42.890625
-32.025,13.153125,45.178125
-37.4578125,9.4359375,46.89375
-43.1765625,4.8609375,48.0375
-48.0375,0.2859375,48.3234375
-52.3265625,-4.003125,48.3234375
-54.6140625,-7.7203125,46.89375
-55.471875,-10.0078125,45.4640625
-54.0421875,-10.5796875,43.4625
-50.896875,-9.4359375,41.4609375
-46.321875,-6.5765625,39.7453125
-40.603125,-2.859375,37.74375
-34.3125,1.4296875,35.7421875
-28.3078125,6.290625,34.5984375
-22.875,10.5796875,33.4546875
-18.5859375,14.0109375,32.596875
-15.440625,16.2984375,31.7390625
-13.725,17.4421875,31.1671875
-13.153125,17.728125,30.88125
-13.153125,17.15625,30.309375
-14.0109375,16.2984375,30.309375
-14.5828125,15.440625,30.0234375
-14.86875,15.440625,30.309375
-14.5828125,16.2984375,30.88125
-13.4390625,18.0140625,31.453125
-11.4375,20.5875,32.025
-8.578125,24.3046875,32.8828125
-5.71875,28.021875,33.740625
-2.5734375,31.7390625,34.3125
0.0,34.884375,34.884375
1.4296875,37.171875,35.7421875
2.0015625,38.315625,36.3140625
1.4296875,37.74375,36.3140625
-0.2859375,36.028125,36.3140625
-3.1453125,32.8828125,36.028125
-7.1484375,29.165625,36.3140625
-11.4375,25.1625,36.6
-15.7265625,21.4453125,37.171875
-19.44375,18.3,37.74375
-22.5890625,16.0125,38.6015625
-24.3046875,14.86875,39.1734375
-24.8765625,14.86875,39.7453125
-24.3046875,16.0125,40.3171875
-22.875,18.0140625,40.8890625
-20.5875,20.3015625,40.8890625
-18.0140625,22.875,40.8890625
-15.440625,25.1625,40.603125
-13.153125,26.878125,40.03125
-11.7234375,27.7359375,39.459375
-11.1515625,27.7359375,38.8875
-11.7234375,26.5921875,38.315625
-13.153125,24.8765625,38.0296875
-15.440625,22.303125,37.74375
-18.3,19.44375,37.74375
-21.4453125,16.2984375,37.74375
-24.8765625,13.4390625,38.315625
-28.021875,10.5796875,38.6015625
-30.5953125,8.00625,38.6015625
-32.8828125,5.71875,38.6015625
-34.884375,3.7171875,38.6015625
-36.028125,2.0015625,38.0296875
-36.8859375,0.571875,37.4578125
-37.4578125,-0.8578125,36.6
-37.4578125,-2.5734375,34.884375
-37.4578125,-4.2890625,33.16875
-37.171875,-5.71875,31.453125
-36.6,-7.434375,29.165625
-36.028125,-8.578125,27.45
-35.45625,-9.4359375,26.0203125
-34.3125,-10.0078125,24.3046875
-33.16875,-9.4359375,23.7328125
-32.025,-8.578125,23.446875
-30.5953125,-6.8625,23.7328125
-29.165625,-4.575,24.590625
-27.7359375,-1.715625,26.0203125
-26.878125,0.8578125,27.7359375
-26.0203125,3.7171875,29.7375
-25.4484375,6.0046875,31.453125
-25.734375,7.7203125,33.4546875
-26.30625,8.578125,34.884375
-27.45,8.2921875,35.7421875
-28.8796875,7.1484375,36.028125
-30.88125,5.4328125,36.3140625
-32.596875,3.1453125,35.7421875
-34.3125,0.571875,34.884375
-35.45625,-1.14375,34.3125
-36.3140625,-2.5734375,33.740625
-36.6,-2.859375,33.740625
-36.028125,-2.0015625,34.0265625
-34.884375,0.0,34.884375
-33.4546875,2.859375,36.3140625
-31.453125,7.1484375,38.6015625
-29.165625,11.7234375,40.8890625
-27.1640625,16.0125,43.1765625
-25.734375,20.015625,45.75
