LEFT,RIGHT,DIFF
-139.5375,-18.3,121.2375
-142.96875,-24.3046875,118.6640625
-147.8296875,-31.453125,116.3765625
-153.2625,-38.8875,114.375
-158.98125,-46.0359375,112.9453125
-164.7,-52.3265625,112.3734375
-169.5609375,-57.4734375,112.0875
-173.5640625,-61.190625,112.3734375
-176.9953125,-63.478125,113.5171875
-179.2828125,-64.621875,114.6609375
-180.7125,-64.9078125,115.8046875
-181.85625,-64.621875,117.234375
-182.1421875,-64.05,118.0921875
-182.428125,-63.478125,118.95
-182.1421875,-62.6203125,119.521875
-181.5703125,-62.0484375,119.521875
-180.9984375,-61.190625,119.8078125
-180.140625,-60.3328125,119.8078125
-178.996875,-58.903125,120.09375
-177.5671875,-57.4734375,120.09375
-175.8515625,-55.471875,120.3796875
-174.421875,-53.4703125,120.9515625
-172.70625,-51.1828125,121.5234375
-171.2765625,-49.18125,122.0953125
-169.846875,-47.465625,122.38125
-168.703125,-46.0359375,122.6671875
-167.559375,-45.178125,122.38125
-166.7015625,-44.3203125,122.38125
-165.5578125,-43.7484375,121.809375
-164.4140625,-43.1765625,121.2375
-162.6984375,-42.6046875,120.09375
-160.9828125,-41.4609375,119.521875
-158.98125,-40.03125,118.95
-156.69375,-38.6015625,118.0921875
-154.40625,-36.8859375,117.5203125
-152.690625,-35.1703125,117.5203125
-151.546875,-33.740625,117.80625
-150.975,-33.16875,117.80625
-151.2609375,-33.16875,118.0921875
-152.690625,-34.0265625,118.6640625
-154.6921875,-35.7421875,118.95
-157.265625,-37.74375,119.521875
-159.553125,-39.7453125,119.8078125
-161.840625,-41.746875,120.09375
-163.2703125,-42.890625,120.3796875
-163.55625,-43.1765625,120.3796875
-162.6984375,-42.31875,120.3796875
-160.696875,-40.603125,120.09375
-157.8375,-38.315625,119.521875
-154.6921875,-35.45625,119.2359375
-151.2609375,-32.596875,118.6640625
-148.6875,-30.5953125,118.0921875
-146.971875,-29.7375,117.234375
-146.971875,-30.5953125,116.3765625
-148.6875,-32.8828125,115.8046875
-152.11875,-36.6,115.51875
-156.9796875,-42.0328125,114.946875
-163.2703125,-48.0375,115.2328125
-169.846875,-54.328125,115.51875
-176.4234375,-60.3328125,116.090625
-182.1421875,-65.4796875,116.6625
-186.7171875,-69.196875,117.5203125
-189.5765625,-71.484375,118.0921875
-191.00625,-72.05625,118.95
-190.434375,-70.9125,119.521875
-188.4328125,-68.625,119.8078125
-185.2875,-65.4796875,119.8078125
-181.284375,-61.7625,119.521875
-177.28125,-58.0453125,119.2359375
-173.278125,-54.6140625,118.6640625
-169.846875,-51.46875,118.378125
-167.2734375,-49.4671875,117.80625
-165.5578125,-48.0375,117.5203125
-164.4140625,-47.465625,116.9484375
-164.4140625,-47.465625,116.9484375
-164.9859375,-48.3234375,116.6625
-166.415625,-49.753125,116.6625
-168.13125,-51.46875,116.6625
-170.1328125,-53.75625,116.3765625
-172.70625,-56.04375,116.6625
-175.2796875,-58.6171875,116.6625
-177.853125,-61.190625,116.6625
-180.4265625,-63.7640625,116.6625
-183.0,-66.0515625,116.9484375
-185.2875,-68.053125,117.234375
-187.003125,-69.4828125,117.5203125
-188.146875,-70.6265625,117.5203125
-189.0046875,-71.1984375,117.80625
-189.0046875,-71.484375,117.5203125
-188.71875,-71.7703125,116.9484375
-188.146875,-72.05625,116.090625
-187.575,-72.628125,114.946875
-187.003125,-73.2,113.803125
-186.7171875,-74.34375,112.3734375
-186.7171875,-75.7734375,110.94375
-187.003125,-77.203125,109.8
-187.575,-78.346875,109.228125
-187.8609375,-79.2046875,108.65625
-188.146875,-78.6328125,109.5140625
-187.575,-77.203125,110.371875
-185.859375,-74.0578125,111.8015625
-183.0,-69.196875,113.803125
-178.996875,-62.90625,116.090625
-173.5640625,-55.7578125,117.80625
-166.9875,-47.7515625,119.2359375
-159.8390625,-40.03125,119.8078125
-152.690625,-32.8828125,119.8078125
-146.1140625,-26.878125,119.2359375
-140.68125,-23.1609375,117.5203125
-136.9640625,-21.4453125,115.51875
-135.2484375,-22.0171875,113.23125
-135.534375,-24.8765625,110.6578125
-138.39375,-29.4515625,108.9421875
-142.6828125,-35.7421875,106.940625
-148.9734375,-42.6046875,106.36875
-155.8359375,-49.753125,106.0828125
-163.2703125,-56.615625,106.6546875
-170.41875,-62.6203125,107.7984375
-176.9953125,-67.48125,109.5140625
-182.1421875,-70.9125,111.2296875
-185.5734375,-73.2,112.3734375
-187.575,-74.0578125,113.5171875
-187.8609375,-73.4859375,114.375
-186.43125,-72.05625,114.375
-183.8578125,-70.0546875,113.803125
-180.140625,-67.1953125,112.9453125
-175.565625,-63.7640625,111.8015625
-170.41875,-60.046875,110.371875
-165.5578125,-56.3296875,109.228125
-160.9828125,-52.8984375,108.084375
-157.265625,-49.753125,107.5125
-154.6921875,-47.1796875,107.5125
-153.5484375,-46.0359375,107.5125
-154.1203125,-46.0359375,108.084375
-156.4078125,-47.7515625,108.65625
-160.125,-50.896875,109.228125
-165.271875,-55.471875,109.8
-171.5625,-61.190625,110.371875
