LEFT,RIGHT,DIFF
-112.659375,-121.809375,-9.14999999999999
-109.8,-120.09375,-10.29375
-108.084375,-118.95,-10.865625
-107.7984375,-118.378125,-10.5796875
-108.3703125,-118.0921875,-9.72187500000001
-109.5140625,-118.6640625,-9.14999999999999
-110.94375,-119.2359375,-8.2921875
-112.0875,-119.8078125,-7.72031250000001
-112.659375,-120.09375,-7.43437499999999
-112.3734375,-120.09375,-7.72031249999999
-111.2296875,-119.521875,-8.2921875
-109.228125,-118.6640625,-9.43593749999999
-106.6546875,-117.80625,-11.1515625
-104.3671875,-116.6625,-12.2953125
-102.365625,-115.8046875,-13.4390625
-101.221875,-115.2328125,-14.0109375
-101.221875,-114.946875,-13.725
-102.365625,-115.2328125,-12.8671875
-104.653125,-115.8046875,-11.1515625
-107.7984375,-116.6625,-8.8640625
-110.94375,-117.234375,-6.29062499999999
-114.0890625,-117.5203125,-3.43124999999999
-116.6625,-117.234375,-0.571874999999991
-117.80625,-115.8046875,2.00156250000001
-117.80625,-113.23125,4.575
-116.3765625,-110.0859375,6.29062500000001
-113.5171875,-105.796875,7.72031250000001
-109.8,-100.9359375,8.8640625
-105.796875,-96.075,9.721875
-101.79375,-91.2140625,10.5796875
-98.3625,-87.496875,10.865625
-96.075,-84.6375,11.4375
-95.2171875,-83.49375,11.7234375
-96.075,-83.49375,12.58125
-98.0765625,-85.209375,12.8671875
-101.5078125,-88.3546875,13.153125
-105.796875,-92.3578125,13.4390625
-110.371875,-96.9328125,13.4390625
-114.946875,-101.5078125,13.4390625
-118.95,-105.5109375,13.4390625
-122.0953125,-108.65625,13.4390625
-124.096875,-110.6578125,13.4390625
-124.9546875,-111.515625,13.4390625
-124.66875,-110.94375,13.725
-123.2390625,-109.228125,14.0109375
-121.2375,-106.6546875,14.5828125
-118.6640625,-104.08125,14.5828125
-116.090625,-101.221875,14.86875
-113.803125,-98.934375,14.86875
-111.8015625,-97.790625,14.0109375
-110.0859375,-97.5046875,12.58125
-109.228125,-98.3625,10.865625
-108.9421875,-100.3640625,8.578125
-108.9421875,-103.509375,5.4328125
-109.228125,-106.940625,2.28750000000001
-109.8,-110.6578125,-0.857812499999994
-110.371875,-114.0890625,-3.71718750000001
-110.94375,-116.9484375,-6.0046875
-111.2296875,-119.2359375,-8.00624999999999
-111.515625,-120.3796875,-8.8640625
-111.2296875,-120.3796875,-9.14999999999999
-110.94375,-119.8078125,-8.8640625
-110.0859375,-118.378125,-8.29218750000001
-109.5140625,-116.3765625,-6.8625
-108.3703125,-114.375,-6.0046875
-107.5125,-112.3734375,-4.86093750000001
-106.36875,-110.6578125,-4.2890625
-105.225,-109.228125,-4.003125
-104.08125,-108.9421875,-4.86093750000001
-102.9375,-108.9421875,-6.0046875
-102.0796875,-109.8,-7.72031250000001
-101.221875,-111.2296875,-10.0078125
-100.9359375,-112.9453125,-12.009375
-100.9359375,-115.2328125,-14.296875
-101.221875,-117.80625,-16.584375
-102.0796875,-120.3796875,-18.3
-102.9375,-122.6671875,-19.7296875
-104.08125,-124.9546875,-20.8734375
-105.225,-126.6703125,-21.4453125
-105.796875,-127.8140625,-22.0171875
-106.36875,-128.1,-21.73125
-106.0828125,-127.8140625,-21.73125
-104.9390625,-126.95625,-22.0171875
-103.509375,-125.240625,-21.73125
-101.79375,-123.525,-21.73125
-99.50625,-121.5234375,-22.0171875
-97.5046875,-119.8078125,-22.303125
-95.7890625,-118.95,-23.1609375
-95.2171875,-119.2359375,-24.01875
-95.2171875,-120.3796875,-25.1625
-96.646875,-122.953125,-26.30625
-98.934375,-126.6703125,-27.7359375
-102.0796875,-131.53125,-29.4515625
-106.0828125,-136.678125,-30.5953125
-110.371875,-142.1109375,-31.7390625
-114.375,-146.971875,-32.596875
-118.0921875,-150.6890625,-32.596875
-120.665625,-153.2625,-32.596875
-122.38125,-153.834375,-31.453125
-122.6671875,-152.9765625,-30.309375
-122.0953125,-150.403125,-28.3078125
-120.665625,-146.6859375,-26.0203125
-118.6640625,-142.1109375,-23.446875
-116.6625,-137.25,-20.5875
-114.6609375,-132.675,-18.0140625
-112.659375,-128.671875,-16.0125
-111.2296875,-125.8125,-14.5828125
-110.371875,-123.8109375,-13.4390625
-109.8,-123.2390625,-13.4390625
-109.228125,-123.525,-14.296875
-108.3703125,-124.3828125,-16.0125
-107.5125,-125.5265625,-18.0140625
-106.36875,-126.6703125,-20.3015625
-104.653125,-126.95625,-22.303125
-102.6515625,-126.95625,-24.3046875
-100.65,-126.0984375,-25.4484375
-98.934375,-124.66875,-25.734375
-97.5046875,-122.6671875,-25.1625
-96.646875,-120.665625,-24.01875
-96.9328125,-118.6640625,-21.73125
-98.3625,-117.234375,-18.871875
-100.65,-116.3765625,-15.7265625
-103.7953125,-116.3765625,-12.58125
-106.940625,-116.9484375,-10.0078125
-110.0859375,-117.80625,-7.72031250000001
-112.659375,-119.2359375,-6.57656249999999
-114.0890625,-120.3796875,-6.29062499999999
-114.0890625,-120.9515625,-6.8625
-112.3734375,-120.665625,-8.2921875
-108.9421875,-119.521875,-10.5796875
-104.08125,-117.234375,-13.153125
-98.3625,-114.0890625,-15.7265625
-92.64375,-110.0859375,-17.4421875
-87.2109375,-105.796875,-18.5859375
-82.921875,-101.79375,-18.871875
-80.634375,-98.6484375,-18.0140625
-80.634375,-96.646875,-16.0125
-83.2078125,-96.075,-12.8671875
-88.3546875,-97.21875,-8.8640625
-95.2171875,-100.078125,-4.86093749999999
-103.509375,-104.3671875,-0.857812499999994
