LEFT,RIGHT,DIFF
-303.3796875,-375.4359375,-72.05625
-296.23125,-367.715625,-71.484375
-290.7984375,-361.1390625,-70.340625
-288.225,-357.1359375,-68.9109375
-288.796875,-355.9921875,-67.1953125
-292.228125,-357.421875,-65.19375
-297.6609375,-361.1390625,-63.478125
-303.665625,-365.428125,-61.7625
-309.0984375,-369.43125,-60.3328125
-312.5296875,-372.290625,-59.7609375
-313.3875,-372.8625,-59.475
-311.3859375,-370.8609375,-59.475
-306.8109375,-366.571875,-59.7609375
-299.9484375,-360.5671875,-60.61875
-292.5140625,-353.7046875,-61.190625
-284.79375,-347.128125,-62.334375
-278.2171875,-341.409375,-63.1921875
-273.6421875,-337.6921875,-64.05
-271.06875,-335.690625,-64.621875
-270.7828125,-335.690625,-64.9078125
-271.9265625,-337.40625,-65.4796875
-274.5,-339.69375,-65.19375
-277.359375,-342.2671875,-64.9078125
-279.646875,-344.26875,-64.621875
-281.6484375,-345.6984375,-64.05
-282.50625,-346.2703125,-63.7640625
-283.078125,-346.55625,-63.478125
-283.65,-347.4140625,-63.7640625
-284.79375,-348.84375,-64.05
-287.08125,-351.9890625,-64.9078125
-290.5125,-356.85,-66.3375
-295.659375,-363.4265625,-67.7671875
-301.95,-371.4328125,-69.4828125
-308.240625,-379.4390625,-71.1984375
-313.959375,-386.3015625,-72.3421875
-317.9625,-391.4484375,-73.4859375
-319.10625,-393.1640625,-74.0578125
-317.1046875,-391.1625,-74.0578125
-311.671875,-385.44375,-73.771875
-303.3796875,-376.29375,-72.9140625
-292.8,-365.1421875,-72.3421875
-281.3625,-352.846875,-71.484375
-270.7828125,-341.6953125,-70.9125
-261.91875,-333.1171875,-71.1984375
-256.4859375,-328.25625,-71.7703125
-254.7703125,-327.684375,-72.9140625
-257.0578125,-331.4015625,-74.34375
-262.7765625,-338.8359375,-76.059375
-270.7828125,-348.5578125,-77.775
-279.9328125,-358.8515625,-78.91875
-288.5109375,-368.2875,-79.7765625
-295.659375,-375.4359375,-79.7765625
-300.234375,-378.8671875,-78.6328125
-301.378125,-378.58125,-77.203125
-299.6625,-374.578125,-74.915625
-295.3734375,-367.715625,-72.3421875
-289.36875,-359.709375,-70.340625
-282.7921875,-351.13125,-68.3390625
-276.7875,-344.26875,-67.48125
-271.640625,-339.69375,-68.053125
-268.78125,-337.978125,-69.196875
-267.3515625,-339.121875,-71.7703125
-267.9234375,-342.553125,-74.6296875
-269.6390625,-347.7,-78.0609375
-271.640625,-353.41875,-81.778125
-273.928125,-358.565625,-84.6375
-275.9296875,-362.56875,-86.6390625
-277.359375,-364.5703125,-87.2109375
-278.503125,-365.428125,-86.925
-279.9328125,-365.1421875,-85.209375
-282.2203125,-364.5703125,-82.35
-285.6515625,-364.85625,-79.2046875
-290.7984375,-366.571875,-75.7734375
-297.375,-369.7171875,-72.3421875
-305.38125,-374.8640625,-69.4828125
-313.6734375,-381.1546875,-67.48125
-321.39375,-387.73125,-66.3375
-327.1125,-393.1640625,-66.0515625
-330.2578125,-396.309375,-66.0515625
-329.6859375,-396.5953125,-66.909375
-325.1109375,-392.878125,-67.7671875
-316.81875,-385.44375,-68.625
-305.953125,-375.15,-69.196875
-293.371875,-362.8546875,-69.4828125
-280.790625,-350.2734375,-69.4828125
-270.2109375,-339.121875,-68.9109375
-262.2046875,-330.8296875,-68.625
-258.4875,-326.540625,-68.053125
-258.7734375,-326.540625,-67.7671875
-262.7765625,-330.8296875,-68.053125
-269.6390625,-338.55,-68.9109375
-277.93125,-348.271875,-70.340625
-285.9375,-357.99375,-72.05625
-292.228125,-366.571875,-74.34375
-295.659375,-372.290625,-76.63125
-295.0875,-374.2921875,-79.2046875
-291.3703125,-372.8625,-81.4921875
-284.5078125,-368.0015625,-83.49375
-276.215625,-360.853125,-84.6375
-267.9234375,-353.41875,-85.4953125
-260.775,-346.8421875,-86.0671875
-256.771875,-342.8390625,-86.0671875
-256.771875,-342.2671875,-85.4953125
-260.4890625,-345.6984375,-85.209375
-267.9234375,-352.846875,-84.9234375
-277.93125,-362.8546875,-84.9234375
-289.0828125,-374.00625,-84.9234375
-299.6625,-385.1578125,-85.4953125
-307.9546875,-394.3078125,-86.353125
-312.815625,-400.3125,-87.496875
-313.3875,-402.6,-89.2125
-309.95625,-400.5984375,-90.6421875
-303.09375,-395.165625,-92.071875
-293.94375,-386.8734375,-92.9296875
-284.221875,-378.009375,-93.7875
-275.3578125,-369.1453125,-93.7875
-268.78125,-362.56875,-93.7875
-265.6359375,-358.565625,-92.9296875
-266.2078125,-358.2796875,-92.071875
-270.7828125,-361.1390625,-90.35625
-278.2171875,-366.8578125,-88.640625
-287.653125,-374.2921875,-86.6390625
-297.6609375,-382.2984375,-84.6375
-307.096875,-389.7328125,-82.6359375
-314.2453125,-395.165625,-80.9203125
-318.8203125,-398.596875,-79.7765625
-320.25,-399.16875,-78.91875
-319.10625,-397.7390625,-78.6328125
-315.9609375,-394.59375,-78.6328125
-311.3859375,-390.8765625,-79.490625
-306.8109375,-387.73125,-80.9203125
-303.09375,-385.7296875,-82.6359375
-300.80625,-385.7296875,-84.9234375
-300.5203125,-387.73125,-87.2109375
-302.2359375,-391.734375,-89.4984375
-305.0953125,-396.88125,-91.7859375
-308.8125,-402.6,-93.7875
-312.24375,-408.0328125,-95.7890625
-314.8171875,-412.0359375,-97.21875
-315.675,-414.3234375,-98.6484375
-314.2453125,-414.0375,-99.7921875
-310.528125,-411.4640625,-100.9359375
-304.809375,-406.8890625,-102.0796875
-297.0890625,-400.5984375,-103.509375
-288.225,-393.1640625,-104.9390625
-278.7890625,-385.7296875,-106.940625
-269.6390625,-378.58125,-108.9421875
-261.346875,-372.290625,-110.94375
-254.1984375,-367.4296875,-113.23125
-248.4796875,-363.4265625,-114.946875
-243.9046875,-360.5671875,-116.6625
-240.759375,-358.565625,-117.80625
-238.7578125,-357.1359375,-118.378125
-237.328125,-355.9921875,-118.6640625
-237.0421875,-355.134375,-118.0921875
-237.0421875,-354.5625,-117.5203125
-237.6140625,-353.990625,-116.3765625
-238.7578125,-354.2765625,-115.51875
-240.1875,-354.8484375,-114.6609375
-241.903125,-356.5640625,-114.6609375
-243.9046875,-358.8515625,-114.946875
-245.90625,-361.996875,-116.090625
-247.3359375,-365.7140625,-118.378125
-248.4796875,-369.1453125,-120.665625
-248.4796875,-372.0046875,-123.525
-247.3359375,-374.00625,-126.6703125
-244.7625,-374.578125,-129.815625
-241.33125,-373.434375,-132.103125
-236.4703125,-370.575,-134.1046875
-231.3234375,-366.571875,-135.2484375
-225.890625,-361.7109375,-135.8203125
-221.0296875,-356.5640625,-135.534375
-217.5984375,-351.703125,-134.1046875
-215.596875,-348.271875,-132.675
-215.596875,-346.55625,-130.959375
-217.3125,-346.55625,-129.24375
-221.0296875,-348.84375,-127.8140625
-226.1765625,-352.846875,-126.6703125
-231.8953125,-357.99375,-126.0984375
-237.6140625,-363.7125,-126.0984375
-242.475,-369.43125,-126.95625
-245.90625,-374.00625,-128.1
-247.3359375,-377.1515625,-129.815625
-246.7640625,-378.58125,-131.8171875
-244.190625,-378.009375,-133.81875
-239.615625,-376.0078125,-136.3921875
-234.1828125,-372.8625,-138.6796875
-228.75,-368.859375,-140.109375
-223.603125,-365.428125,-141.825
-219.6,-362.56875,-142.96875
-217.0265625,-360.853125,-143.8265625
-216.4546875,-360.28125,-143.8265625
-217.0265625,-360.853125,-143.8265625
-219.028125,-361.996875,-142.96875
