LEFT,RIGHT,DIFF
-6.0046875,-48.0375,-42.0328125
-6.0046875,-47.465625,-41.4609375
-6.290625,-47.7515625,-41.4609375
-7.7203125,-48.609375,-40.8890625
-9.4359375,-50.325,-40.8890625
-11.7234375,-52.3265625,-40.603125
-14.296875,-54.9,-40.603125
-17.15625,-57.1875,-40.03125
-19.7296875,-59.475,-39.7453125
-22.0171875,-61.4765625,-39.459375
-23.7328125,-62.90625,-39.1734375
-24.8765625,-64.05,-39.1734375
-25.1625,-64.3359375,-39.1734375
-25.1625,-64.621875,-39.459375
-24.590625,-64.3359375,-39.7453125
-23.446875,-64.05,-40.603125
-22.303125,-63.7640625,-41.4609375
-20.8734375,-63.478125,-42.6046875
-19.44375,-63.478125,-44.034375
-18.3,-63.478125,-45.178125
-16.8703125,-63.478125,-46.6078125
-15.7265625,-63.1921875,-47.465625
-14.5828125,-62.6203125,-48.0375
-13.4390625,-61.4765625,-48.0375
-12.58125,-60.3328125,-47.7515625
-11.7234375,-58.6171875,-46.89375
-11.1515625,-56.615625,-45.4640625
-10.865625,-54.9,-44.034375
-10.865625,-53.184375,-42.31875
-11.7234375,-52.040625,-40.3171875
-13.153125,-51.7546875,-38.6015625
-14.86875,-52.040625,-37.171875
-17.15625,-53.184375,-36.028125
-19.44375,-54.9,-35.45625
-21.73125,-57.4734375,-35.7421875
-23.446875,-59.7609375,-36.3140625
-24.3046875,-62.0484375,-37.74375
-24.01875,-63.7640625,-39.7453125
-22.875,-64.621875,-41.746875
-20.3015625,-64.3359375,-44.034375
-17.15625,-63.478125,-46.321875
-13.4390625,-61.4765625,-48.0375
-9.721875,-58.903125,-49.18125
-6.0046875,-56.04375,-50.0390625
-3.43125,-53.4703125,-50.0390625
-1.715625,-51.1828125,-49.4671875
-1.4296875,-49.4671875,-48.0375
-2.2875,-48.609375,-46.321875
-4.003125,-48.3234375,-44.3203125
-6.8625,-48.8953125,-42.0328125
-10.0078125,-49.753125,-39.7453125
-13.153125,-51.1828125,-38.0296875
-16.0125,-52.6125,-36.6
-18.3,-53.75625,-35.45625
-20.015625,-54.9,-34.884375
-21.159375,-55.7578125,-34.5984375
-22.0171875,-56.3296875,-34.3125
-22.303125,-57.1875,-34.884375
-22.5890625,-57.759375,-35.1703125
-22.875,-58.6171875,-35.7421875
-23.446875,-59.7609375,-36.3140625
-23.7328125,-60.9046875,-37.171875
-24.01875,-61.7625,-37.74375
-24.3046875,-62.6203125,-38.315625
-24.01875,-62.90625,-38.8875
-23.1609375,-62.6203125,-39.459375
-21.73125,-61.4765625,-39.7453125
-19.7296875,-59.7609375,-40.03125
-17.4421875,-57.4734375,-40.03125
-14.86875,-54.9,-40.03125
-12.58125,-52.3265625,-39.7453125
-10.865625,-50.0390625,-39.1734375
-10.0078125,-48.3234375,-38.315625
-9.721875,-47.1796875,-37.4578125
-10.5796875,-47.1796875,-36.6
-11.7234375,-47.465625,-35.7421875
-13.4390625,-48.609375,-35.1703125
-14.86875,-49.753125,-34.884375
-16.0125,-51.1828125,-35.1703125
-16.584375,-52.040625,-35.45625
-16.0125,-52.3265625,-36.3140625
-14.86875,-52.3265625,-37.4578125
-13.4390625,-51.7546875,-38.315625
-11.7234375,-51.1828125,-39.459375
-10.29375,-50.896875,-40.603125
-9.4359375,-51.1828125,-41.746875
-10.0078125,-52.040625,-42.0328125
-11.4375,-54.328125,-42.890625
-14.0109375,-57.1875,-43.1765625
-17.728125,-60.9046875,-43.1765625
-21.4453125,-65.19375,-43.7484375
-25.1625,-69.196875,-44.034375
-28.021875,-72.3421875,-44.3203125
-29.4515625,-74.34375,-44.8921875
-29.165625,-74.915625,-45.75
-27.1640625,-73.4859375,-46.321875
-23.1609375,-70.6265625,-47.465625
-18.0140625,-65.765625,-47.7515625
-12.009375,-60.046875,-48.0375
-6.0046875,-53.75625,-47.7515625
0.0,-47.465625,-47.465625
4.575,-41.746875,-46.321875
8.00625,-36.8859375,-44.8921875
10.0078125,-33.16875,-43.1765625
10.5796875,-31.1671875,-41.746875
10.0078125,-30.309375,-40.3171875
8.2921875,-30.309375,-38.6015625
6.290625,-31.453125,-37.74375
4.003125,-33.16875,-37.171875
2.0015625,-34.884375,-36.8859375
0.0,-36.6,-36.6
-0.8578125,-38.315625,-37.4578125
-1.715625,-40.03125,-38.315625
-2.2875,-41.175,-38.8875
-2.5734375,-42.0328125,-39.459375
-2.5734375,-42.6046875,-40.03125
-2.2875,-43.1765625,-40.8890625
-2.0015625,-43.4625,-41.4609375
-1.715625,-43.1765625,-41.4609375
-1.14375,-42.890625,-41.746875
-7.1484375,-50.0390625,-42.890625
-7.7203125,-50.325,-42.6046875
-8.8640625,-51.1828125,-42.31875
-10.29375,-52.3265625,-42.0328125
-11.7234375,-53.4703125,-41.746875
-12.58125,-54.328125,-41.746875
-12.8671875,-54.9,-42.0328125
-12.2953125,-54.9,-42.6046875
-10.865625,-54.0421875,-43.1765625
-8.578125,-52.6125,-44.034375
-6.0046875,-50.896875,-44.8921875
-3.43125,-49.18125,-45.75
-1.14375,-48.0375,-46.89375
0.0,-47.7515625,-47.7515625
-0.2859375,-48.8953125,-48.609375
-2.2875,-51.1828125,-48.8953125
-5.71875,-55.471875,-49.753125
-10.5796875,-60.9046875,-50.325
-16.2984375,-67.1953125,-50.896875
-22.0171875,-73.771875,-51.7546875
0.2859375,-52.6125,-52.8984375
0.571875,-52.8984375,-53.4703125
0.0,-54.0421875,-54.0421875
-1.715625,-56.3296875,-54.6140625
-5.146875,-60.046875,-54.9
-9.721875,-64.9078125,-55.1859375
-15.7265625,-70.6265625,-54.9
-22.0171875,-77.203125,-55.1859375
-28.8796875,-83.7796875,-54.9
-35.1703125,-90.0703125,-54.9
-40.3171875,-95.503125,-55.1859375
-44.034375,-99.2203125,-55.1859375
-46.0359375,-101.221875,-55.1859375
-46.0359375,-101.5078125,-55.471875
-44.3203125,-99.7921875,-55.471875
-41.4609375,-96.646875,-55.1859375
-38.0296875,-92.64375,-54.6140625
-34.3125,-88.3546875,-54.0421875
-31.1671875,-84.6375,-53.4703125
-29.165625,-81.4921875,-52.3265625
-28.3078125,-80.0625,-51.7546875
-29.165625,-80.0625,-50.896875
-30.88125,-81.778125,-50.896875
-34.0265625,-84.9234375,-50.896875
-37.171875,-88.9265625,-51.7546875
-40.3171875,-92.9296875,-52.6125
-42.6046875,-96.646875,-54.0421875
-43.7484375,-99.50625,-55.7578125
-42.890625,-100.65,-57.759375
-40.603125,-100.078125,-59.475
-36.6,-98.0765625,-61.4765625
-31.1671875,-94.359375,-63.1921875
-25.4484375,-89.4984375,-64.05
-19.7296875,-84.6375,-64.9078125
-14.86875,-79.7765625,-64.9078125
-11.1515625,-75.7734375,-64.621875
-9.4359375,-73.2,-63.7640625
-9.4359375,-72.05625,-62.6203125
-11.1515625,-72.628125,-61.4765625
-14.0109375,-74.6296875,-60.61875
-17.728125,-77.203125,-59.475
-21.4453125,-80.0625,-58.6171875
-24.590625,-82.35,-57.759375
-26.0203125,-83.7796875,-57.759375
-26.0203125,-83.7796875,-57.759375
-24.01875,-81.778125,-57.759375
-20.015625,-78.6328125,-58.6171875
-14.86875,-74.0578125,-59.1890625
-9.15,-68.625,-59.475
-3.1453125,-62.90625,-59.7609375
2.0015625,-58.0453125,-60.046875
6.0046875,-53.75625,-59.7609375
8.8640625,-50.896875,-59.7609375
9.721875,-49.18125,-58.903125
9.15,-48.8953125,-58.0453125
7.7203125,-49.4671875,-57.1875
5.4328125,-50.325,-55.7578125
3.43125,-51.1828125,-54.6140625
1.715625,-51.7546875,-53.4703125
1.14375,-51.1828125,-52.3265625
1.4296875,-50.0390625,-51.46875
2.859375,-48.0375,-50.896875
