LEFT,RIGHT,DIFF
-88.06875,-144.684375,-56.615625
-90.6421875,-145.5421875,-54.9
-94.6453125,-147.2578125,-52.6125
-100.078125,-149.259375,-49.18125
-105.796875,-151.546875,-45.75
-111.515625,-153.834375,-42.31875
-116.3765625,-155.55,-39.1734375
-119.8078125,-156.69375,-36.8859375
-121.809375,-156.9796875,-35.1703125
-121.5234375,-156.121875,-34.5984375
-119.521875,-154.40625,-34.884375
-116.3765625,-151.8328125,-35.45625
-112.0875,-149.259375,-37.171875
-108.084375,-146.6859375,-38.6015625
-104.653125,-144.9703125,-40.3171875
-102.365625,-144.3984375,-42.0328125
-102.0796875,-144.9703125,-42.890625
-103.509375,-146.971875,-43.4625
-106.6546875,-150.1171875,-43.4625
-110.94375,-153.834375,-42.890625
-116.090625,-158.1234375,-42.0328125
-120.9515625,-162.1265625,-41.175
-124.9546875,-165.5578125,-40.603125
-127.2421875,-167.2734375,-40.03125
-128.1,-167.8453125,-39.7453125
-126.95625,-166.7015625,-39.7453125
-124.096875,-164.4140625,-40.3171875
-120.09375,-160.9828125,-40.8890625
-115.51875,-157.265625,-41.746875
-111.2296875,-153.834375,-42.6046875
-108.084375,-151.546875,-43.4625
-106.36875,-150.975,-44.60625
-106.940625,-151.8328125,-44.8921875
-109.228125,-154.978125,-45.75
-113.5171875,-160.125,-46.6078125
-118.95,-166.415625,-47.465625
-125.240625,-173.5640625,-48.3234375
-131.2453125,-180.7125,-49.4671875
-136.678125,-187.2890625,-50.6109375
-140.68125,-192.15,-51.46875
-142.6828125,-195.2953125,-52.6125
-142.396875,-196.153125,-53.75625
-140.3953125,-194.4375,-54.0421875
-136.678125,-191.00625,-54.328125
-131.8171875,-185.5734375,-53.75625
-126.6703125,-179.2828125,-52.6125
-121.809375,-172.4203125,-50.6109375
-117.5203125,-166.1296875,-48.609375
-114.946875,-160.696875,-45.75
-113.803125,-156.69375,-42.890625
-114.375,-154.6921875,-40.3171875
-116.3765625,-154.1203125,-37.74375
-119.8078125,-155.55,-35.7421875
-123.525,-157.8375,-34.3125
