LEFT,RIGHT,DIFF
-91.7859375,-111.8015625,-20.015625
-88.3546875,-108.9421875,-20.5875
-86.0671875,-107.7984375,-21.73125
-84.9234375,-108.65625,-23.7328125
-84.3515625,-111.2296875,-26.878125
-84.065625,-114.6609375,-30.5953125
-84.065625,-118.6640625,-34.5984375
-83.49375,-122.0953125,-38.6015625
-82.6359375,-124.9546875,-42.31875
-81.20625,-126.6703125,-45.4640625
-79.2046875,-127.2421875,-48.0375
-77.203125,-126.6703125,-49.4671875
-75.4875,-125.5265625,-50.0390625
-74.0578125,-124.096875,-50.0390625
-73.2,-122.6671875,-49.4671875
-73.771875,-121.809375,-48.0375
-74.915625,-121.809375,-46.89375
-76.9171875,-122.38125,-45.4640625
-79.490625,-123.525,-44.034375
-82.0640625,-125.240625,-43.1765625
-84.6375,-126.95625,-42.31875
-86.6390625,-128.9578125,-42.31875
-88.640625,-130.6734375,-42.0328125
-90.0703125,-132.103125,-42.0328125
-91.5,-133.81875,-42.31875
-93.5015625,-135.8203125,-42.31875
-96.075,-138.39375,-42.31875
-99.50625,-141.5390625,-42.0328125
-103.7953125,-145.5421875,-41.746875
-109.228125,-150.403125,-41.175
-115.2328125,-155.55,-40.3171875
-121.2375,-160.9828125,-39.7453125
-126.384375,-165.5578125,-39.1734375
-130.3875,-168.9890625,-38.6015625
-132.675,-170.990625,-38.315625
-132.3890625,-170.7046875,-38.315625
-130.1015625,-168.4171875,-38.315625
-125.5265625,-164.128125,-38.6015625
-119.521875,-158.6953125,-39.1734375
-112.3734375,-152.11875,-39.7453125
-105.225,-145.25625,-40.03125
-98.6484375,-139.2515625,-40.603125
-93.5015625,-134.390625,-40.8890625
-90.0703125,-130.959375,-40.8890625
-88.640625,-129.24375,-40.603125
-88.640625,-128.9578125,-40.3171875
-90.35625,-129.815625,-39.459375
-92.64375,-131.2453125,-38.6015625
-94.93125,-132.675,-37.74375
-96.9328125,-133.5328125,-36.6
-98.0765625,-133.5328125,-35.45625
-97.790625,-132.103125,-34.3125
-96.075,-129.815625,-33.740625
-93.5015625,-126.384375,-32.8828125
-90.0703125,-122.6671875,-32.596875
-86.353125,-118.378125,-32.025
-82.6359375,-114.6609375,-32.025
-79.490625,-111.515625,-32.025
-77.203125,-109.228125,-32.025
-75.7734375,-107.7984375,-32.025
-75.2015625,-107.5125,-32.3109375
-75.2015625,-107.7984375,-32.596875
-75.4875,-108.65625,-33.16875
-76.059375,-109.8,-33.740625
-76.3453125,-110.6578125,-34.3125
-76.3453125,-111.515625,-35.1703125
-76.059375,-112.0875,-36.028125
-75.4875,-112.3734375,-36.8859375
-74.34375,-112.3734375,-38.0296875
-73.2,-111.8015625,-38.6015625
-72.3421875,-110.94375,-38.6015625
-71.1984375,-110.0859375,-38.8875
-70.340625,-108.9421875,-38.6015625
-69.76875,-107.5125,-37.74375
-69.4828125,-105.796875,-36.3140625
-69.196875,-104.08125,-34.884375
-68.9109375,-102.365625,-33.4546875
-68.9109375,-100.65,-31.7390625
-68.9109375,-98.934375,-30.0234375
-68.9109375,-98.0765625,-29.165625
-68.9109375,-97.5046875,-28.59375
-69.196875,-97.5046875,-28.3078125
-69.4828125,-98.3625,-28.8796875
-70.0546875,-99.7921875,-29.7375
-70.6265625,-101.5078125,-30.88125
-71.484375,-103.7953125,-32.3109375
-72.05625,-106.36875,-34.3125
-72.9140625,-108.65625,-35.7421875
-73.4859375,-110.371875,-36.8859375
-74.0578125,-112.0875,-38.0296875
-74.6296875,-113.5171875,-38.8875
