LEFT,RIGHT,DIFF
-216.16875,-220.74375,-4.57499999999999
-215.8828125,-221.8875,-6.00468750000002
-214.1671875,-221.8875,-7.72031250000001
-211.59375,-220.74375,-9.15000000000001
-208.734375,-219.3140625,-10.5796875
-205.303125,-217.3125,-12.009375
-202.44375,-215.3109375,-12.8671875
-200.15625,-213.5953125,-13.4390625
-198.7265625,-212.4515625,-13.725
-198.440625,-212.165625,-13.725
-198.7265625,-212.7375,-14.0109375
-199.8703125,-214.1671875,-14.296875
-201.5859375,-215.8828125,-14.296875
-203.015625,-217.5984375,-14.5828125
-204.4453125,-219.3140625,-14.86875
-205.0171875,-220.4578125,-15.440625
-205.0171875,-220.74375,-15.7265625
-204.159375,-220.74375,-16.584375
-202.44375,-219.6,-17.15625
-200.15625,-218.1703125,-18.0140625
-197.5828125,-216.16875,-18.5859375
-195.009375,-214.1671875,-19.1578125
-192.721875,-212.165625,-19.44375
-191.00625,-210.7359375,-19.7296875
-189.8625,-209.878125,-20.015625
-189.5765625,-209.878125,-20.3015625
-189.8625,-210.45,-20.5875
-190.7203125,-211.8796875,-21.159375
-192.15,-213.5953125,-21.4453125
-193.865625,-215.8828125,-22.0171875
-195.58125,-217.884375,-22.303125
-197.0109375,-219.6,-22.5890625
-198.1546875,-221.0296875,-22.875
-199.0125,-221.8875,-22.875
-199.2984375,-222.1734375,-22.875
-199.2984375,-221.8875,-22.5890625
-199.0125,-221.0296875,-22.0171875
-198.440625,-220.171875,-21.73125
-197.86875,-219.3140625,-21.4453125
-197.296875,-218.45625,-21.159375
-197.0109375,-218.1703125,-21.159375
-197.296875,-218.45625,-21.159375
-197.5828125,-219.3140625,-21.73125
-198.440625,-220.74375,-22.303125
-199.584375,-222.459375,-22.875
-200.4421875,-224.175,-23.7328125
-201.5859375,-225.890625,-24.3046875
-202.1578125,-227.034375,-24.8765625
-202.44375,-227.60625,-25.1625
-202.1578125,-227.3203125,-25.1625
-201.5859375,-226.1765625,-24.590625
-200.15625,-224.175,-24.01875
-198.7265625,-221.8875,-23.1609375
-197.0109375,-219.3140625,-22.303125
-195.2953125,-217.0265625,-21.73125
-193.5796875,-214.7390625,-21.159375
-192.4359375,-213.5953125,-21.159375
-191.8640625,-213.0234375,-21.159375
-191.578125,-213.309375,-21.73125
-191.578125,-214.453125,-22.875
-192.15,-215.8828125,-23.7328125
-192.721875,-217.884375,-25.1625
-193.29375,-219.6,-26.30625
-193.5796875,-221.0296875,-27.45
-193.29375,-221.6015625,-28.3078125
-192.721875,-221.315625,-28.59375
-191.578125,-220.4578125,-28.8796875
-190.1484375,-218.7421875,-28.59375
-188.4328125,-216.4546875,-28.021875
-186.7171875,-214.1671875,-27.45
-185.0015625,-211.8796875,-26.878125
-183.8578125,-209.878125,-26.0203125
-183.0,-208.1625,-25.1625
-182.7140625,-207.3046875,-24.590625
-182.7140625,-207.01875,-24.3046875
-183.2859375,-207.01875,-23.7328125
-183.8578125,-207.3046875,-23.446875
-184.4296875,-207.590625,-23.1609375
-185.0015625,-207.8765625,-22.875
-185.2875,-207.8765625,-22.5890625
-185.5734375,-207.590625,-22.0171875
-185.2875,-207.01875,-21.73125
-185.2875,-206.446875,-21.159375
-184.715625,-205.5890625,-20.8734375
-184.14375,-204.73125,-20.5875
-183.8578125,-203.8734375,-20.015625
-183.2859375,-203.5875,-20.3015625
-182.7140625,-203.3015625,-20.5875
-182.1421875,-203.5875,-21.4453125
-181.284375,-203.8734375,-22.5890625
-180.7125,-204.159375,-23.446875
-179.8546875,-204.4453125,-24.590625
-179.2828125,-205.0171875,-25.734375
-178.996875,-205.5890625,-26.5921875
-178.996875,-206.1609375,-27.1640625
-179.56875,-207.01875,-27.45
-180.7125,-208.4484375,-27.7359375
-182.7140625,-210.1640625,-27.45
-185.5734375,-212.165625,-26.5921875
-189.0046875,-214.453125,-25.4484375
-192.721875,-216.740625,-24.01875
-196.4390625,-219.028125,-22.5890625
-199.584375,-220.4578125,-20.8734375
-201.871875,-221.315625,-19.44375
-203.015625,-220.74375,-17.728125
-202.44375,-218.7421875,-16.2984375
-200.4421875,-215.8828125,-15.440625
-197.296875,-211.59375,-14.296875
-193.0078125,-206.7328125,-13.725
-188.4328125,-201.871875,-13.4390625
-183.8578125,-197.296875,-13.4390625
-180.4265625,-193.865625,-13.4390625
-178.1390625,-192.15,-14.0109375
-177.5671875,-192.4359375,-14.86875
-178.996875,-195.009375,-16.0125
-182.428125,-199.2984375,-16.8703125
-187.2890625,-205.5890625,-18.3
-193.5796875,-213.0234375,-19.44375
-200.15625,-220.74375,-20.5875
-206.7328125,-228.178125,-21.4453125
-212.4515625,-234.46875,-22.0171875
-216.740625,-239.04375,-22.303125
-219.3140625,-241.33125,-22.0171875
-219.8859375,-241.6171875,-21.73125
-218.45625,-239.3296875,-20.8734375
-215.596875,-235.040625,-19.44375
-211.021875,-229.321875,-18.3
-206.1609375,-222.7453125,-16.584375
-200.728125,-215.8828125,-15.1546875
-195.8671875,-209.5921875,-13.725
-191.578125,-204.159375,-12.58125
-188.4328125,-200.15625,-11.7234375
-186.43125,-197.86875,-11.4375
-185.5734375,-197.0109375,-11.4375
-185.859375,-197.5828125,-11.7234375
-186.7171875,-199.2984375,-12.58125
-188.4328125,-201.5859375,-13.153125
-190.1484375,-204.159375,-14.0109375
-191.8640625,-206.446875,-14.5828125
-193.29375,-208.4484375,-15.1546875
-194.1515625,-209.878125,-15.7265625
-195.009375,-210.45,-15.440625
-195.009375,-210.45,-15.440625
-195.009375,-209.878125,-14.86875
-194.7234375,-209.0203125,-14.296875
-194.1515625,-208.1625,-14.0109375
-193.865625,-207.3046875,-13.4390625
-193.5796875,-207.01875,-13.4390625
-193.29375,-207.01875,-13.725
-193.0078125,-207.3046875,-14.296875
-193.0078125,-207.8765625,-14.86875
-192.721875,-208.734375,-16.0125
-192.4359375,-209.0203125,-16.584375
-191.8640625,-209.30625,-17.4421875
-191.2921875,-209.0203125,-17.728125
-190.434375,-207.8765625,-17.4421875
-189.5765625,-206.7328125,-17.15625
-188.71875,-205.0171875,-16.2984375
-188.146875,-203.015625,-14.86875
-187.8609375,-201.3,-13.4390625
-188.146875,-199.8703125,-11.7234375
-189.0046875,-199.0125,-10.0078125
-190.434375,-199.0125,-8.578125
-192.15,-199.2984375,-7.1484375
-193.865625,-200.4421875,-6.57656250000002
-195.8671875,-201.871875,-6.00468750000002
-197.5828125,-203.5875,-6.00468749999999
-199.0125,-205.303125,-6.29062499999998
-199.584375,-206.7328125,-7.1484375
-199.584375,-207.8765625,-8.29218750000001
-199.0125,-208.4484375,-9.43593749999999
-197.86875,-208.4484375,-10.5796875
-196.153125,-208.1625,-12.009375
-194.4375,-207.590625,-13.153125
-192.721875,-207.01875,-14.296875
-191.2921875,-206.1609375,-14.86875
-190.434375,-205.5890625,-15.1546875
-189.8625,-205.303125,-15.440625
-190.1484375,-205.303125,-15.1546875
-191.00625,-205.303125,-14.296875
-192.15,-205.303125,-13.153125
-193.5796875,-205.303125,-11.7234375
-195.009375,-205.303125,-10.29375
-196.153125,-204.73125,-8.578125
-197.0109375,-204.4453125,-7.43437499999999
-197.296875,-203.5875,-6.29062500000001
-197.296875,-203.015625,-5.71875
-196.725,-202.44375,-5.71875
-195.8671875,-202.1578125,-6.29062500000001
-195.009375,-202.1578125,-7.1484375
-193.865625,-202.44375,-8.578125
-193.29375,-203.3015625,-10.0078125
-192.721875,-204.4453125,-11.7234375
-192.721875,-205.5890625,-12.8671875
-192.721875,-206.7328125,-14.0109375
-193.0078125,-207.8765625,-14.86875
-193.5796875,-208.4484375,-14.86875
-193.865625,-208.4484375,-14.5828125
-194.1515625,-208.1625,-14.0109375
-194.1515625,-207.3046875,-13.153125
-193.5796875,-205.875,-12.2953125
-192.721875,-204.4453125,-11.7234375
-191.578125,-202.7296875,-11.1515625
-189.8625,-201.3,-11.4375
-188.146875,-200.4421875,-12.2953125
-186.1453125,-199.584375,-13.4390625
-184.4296875,-199.584375,-15.1546875
-182.7140625,-199.8703125,-17.15625
-181.284375,-200.728125,-19.44375
-180.4265625,-201.871875,-21.4453125
-180.140625,-203.3015625,-23.1609375
-180.140625,-204.73125,-24.590625
-180.7125,-205.875,-25.1625
-181.5703125,-207.3046875,-25.734375
-182.7140625,-208.1625,-25.4484375
-184.14375,-208.734375,-24.590625
-185.5734375,-209.0203125,-23.446875
-187.003125,-209.0203125,-22.0171875
-188.146875,-208.734375,-20.5875
-188.71875,-208.1625,-19.44375
-189.0046875,-207.3046875,-18.3
-189.0046875,-206.1609375,-17.15625
-188.146875,-204.73125,-16.584375
-187.003125,-203.3015625,-16.2984375
-185.5734375,-201.5859375,-16.0125
-183.571875,-199.8703125,-16.2984375
-181.5703125,-198.440625,-16.8703125
