LEFT,RIGHT,DIFF
-130.1015625,-114.375,15.7265625
-129.815625,-113.803125,16.0125
-129.815625,-114.375,15.440625
-130.6734375,-115.8046875,14.86875
-132.103125,-117.80625,14.296875
-134.1046875,-120.09375,14.0109375
-136.10625,-122.0953125,14.0109375
-138.1078125,-123.2390625,14.86875
-139.5375,-123.2390625,16.2984375
-139.8234375,-121.5234375,18.3
-138.6796875,-117.80625,20.8734375
-135.534375,-112.3734375,23.1609375
-130.3875,-105.225,25.1625
-123.525,-97.21875,26.30625
-115.51875,-89.2125,26.30625
-106.940625,-82.0640625,24.8765625
-98.934375,-76.9171875,22.0171875
-92.64375,-75.2015625,17.4421875
-89.2125,-77.203125,12.009375
-89.4984375,-84.065625,5.43281250000001
-94.6453125,-95.7890625,-1.14375
-104.9390625,-112.3734375,-7.434375
-119.8078125,-132.9609375,-13.153125
-139.2515625,-156.69375,-17.4421875
-162.1265625,-181.85625,-19.7296875
-187.2890625,-207.590625,-20.3015625
-212.4515625,-231.609375,-19.1578125
-236.4703125,-252.4828125,-16.0125
-257.34375,-269.0671875,-11.7234375
-273.928125,-279.9328125,-6.00468749999999
-284.79375,-284.79375,0.0
-289.0828125,-283.078125,6.00468749999999
-287.3671875,-275.071875,12.2953125
-279.3609375,-261.6328125,17.728125
-266.2078125,-243.9046875,22.303125
-248.765625,-222.7453125,26.0203125
-228.75,-200.15625,28.59375
-207.3046875,-176.9953125,30.309375
-186.43125,-155.55,30.88125
-166.7015625,-136.3921875,30.309375
-149.83125,-120.665625,29.165625
-136.10625,-108.9421875,27.1640625
-126.384375,-101.5078125,24.8765625
-120.09375,-98.0765625,22.0171875
-116.9484375,-98.3625,18.5859375
-116.9484375,-101.5078125,15.440625
-119.2359375,-106.6546875,12.58125
-122.953125,-112.659375,10.29375
-127.2421875,-118.95,8.2921875
-131.8171875,-124.3828125,7.43437500000002
-135.8203125,-128.3859375,7.43437499999999
-139.2515625,-130.959375,8.29218750000001
-141.5390625,-131.8171875,9.72187499999998
-142.96875,-131.2453125,11.7234375
-143.540625,-130.1015625,13.4390625
-143.8265625,-128.1,15.7265625
-143.540625,-126.384375,17.15625
-142.96875,-125.240625,17.728125
-142.396875,-124.66875,17.728125
-142.1109375,-125.240625,16.8703125
-142.1109375,-126.0984375,16.0125
-142.1109375,-127.8140625,14.296875
-141.825,-129.24375,12.58125
-141.825,-130.6734375,11.1515625
-141.253125,-131.2453125,10.0078125
-140.68125,-131.2453125,9.43593749999999
-139.2515625,-130.1015625,9.15000000000001
-137.821875,-128.1,9.72187500000001
-135.8203125,-125.240625,10.5796875
-133.5328125,-122.38125,11.1515625
-131.53125,-119.521875,12.009375
-129.24375,-117.234375,12.009375
-127.528125,-115.8046875,11.7234375
-125.8125,-114.946875,10.865625
-124.66875,-115.2328125,9.43593749999999
-124.096875,-116.3765625,7.72031250000001
-123.8109375,-117.80625,6.0046875
-124.096875,-119.8078125,4.2890625
-124.3828125,-121.2375,3.14531249999999
-124.9546875,-122.6671875,2.28749999999999
-119.2359375,-113.5171875,5.71875
-118.0921875,-111.515625,6.57656250000001
-116.9484375,-109.8,7.1484375
-115.8046875,-108.65625,7.1484375
-114.6609375,-107.7984375,6.8625
-114.0890625,-107.5125,6.57656250000001
-113.803125,-107.7984375,6.0046875
-114.0890625,-108.3703125,5.71875000000001
-114.6609375,-109.228125,5.4328125
-115.51875,-110.0859375,5.43281250000001
-116.6625,-110.94375,5.71875
-117.80625,-111.515625,6.29062500000001
-118.95,-111.8015625,7.1484375
-119.2359375,-111.515625,7.72031250000001
-118.6640625,-110.6578125,8.00624999999999
-117.5203125,-109.5140625,8.00624999999999
-115.2328125,-108.084375,7.1484375
-112.0875,-106.0828125,6.0046875
-108.3703125,-104.08125,4.2890625
-104.3671875,-102.365625,2.00156249999999
-100.65,-100.9359375,-0.285937500000003
-97.5046875,-100.078125,-2.5734375
-94.93125,-100.078125,-5.14687499999999
-94.0734375,-100.9359375,-6.86250000000001
-94.359375,-102.6515625,-8.2921875
-96.3609375,-105.225,-8.8640625
-99.50625,-108.3703125,-8.86406249999999
-103.7953125,-111.8015625,-8.00624999999999
-108.65625,-115.2328125,-6.57656250000001
-113.803125,-118.6640625,-4.86093749999999
-118.378125,-121.2375,-2.859375
-122.0953125,-122.953125,-0.857812499999994
-124.66875,-123.8109375,0.857812499999994
-126.0984375,-123.525,2.5734375
-126.384375,-122.0953125,4.2890625
-125.240625,-120.09375,5.14687500000001
-123.525,-117.5203125,6.0046875
-120.9515625,-114.6609375,6.29062500000001
-118.378125,-111.8015625,6.57656250000001
-115.8046875,-109.228125,6.57656249999999
-114.0890625,-107.5125,6.57656250000001
-112.9453125,-106.6546875,6.29062499999999
-112.659375,-106.36875,6.29062500000001
-113.23125,-106.940625,6.29062500000001
-114.375,-108.3703125,6.0046875
-116.3765625,-110.0859375,6.29062500000001
-118.95,-112.0875,6.8625
-121.5234375,-113.803125,7.72031249999999
-124.096875,-115.51875,8.578125
-126.384375,-116.6625,9.721875
-128.1,-117.234375,10.865625
-129.815625,-116.9484375,12.8671875
-130.6734375,-116.3765625,14.296875
-131.2453125,-114.946875,16.2984375
-131.53125,-113.5171875,18.0140625
-131.53125,-111.8015625,19.7296875
-131.2453125,-109.8,21.4453125
-131.2453125,-108.3703125,22.875
-131.2453125,-107.2265625,24.01875
-131.53125,-106.36875,25.1625
-131.8171875,-106.0828125,25.734375
-132.675,-106.0828125,26.5921875
-133.246875,-106.6546875,26.5921875
-134.1046875,-107.2265625,26.878125
-134.6765625,-108.084375,26.5921875
-135.2484375,-108.65625,26.5921875
-135.2484375,-108.9421875,26.30625
-134.6765625,-109.228125,25.4484375
-133.81875,-108.9421875,24.8765625
-132.675,-108.65625,24.01875
-130.959375,-108.084375,22.875
-129.24375,-107.7984375,21.4453125
-127.2421875,-107.5125,19.7296875
-125.5265625,-107.5125,18.0140625
-124.096875,-108.084375,16.0125
-122.953125,-109.228125,13.725
-122.0953125,-110.94375,11.1515625
-121.5234375,-112.9453125,8.578125
-121.5234375,-115.2328125,6.29062499999999
-121.5234375,-117.80625,3.71718749999999
-121.809375,-120.09375,1.715625
-122.38125,-122.38125,0.0
-122.6671875,-124.096875,-1.4296875
-122.953125,-125.240625,-2.28750000000001
-123.525,-125.8125,-2.28749999999999
-123.8109375,-126.0984375,-2.28749999999999
-124.66875,-125.8125,-1.14375
-125.5265625,-125.5265625,0.0
-126.95625,-124.9546875,2.00156250000001
-128.9578125,-124.9546875,4.00312500000001
-131.2453125,-124.9546875,6.29062500000001
-134.1046875,-125.5265625,8.578125
-137.25,-126.6703125,10.5796875
-140.68125,-128.3859375,12.2953125
-143.8265625,-130.3875,13.4390625
-146.4,-132.675,13.725
-148.6875,-134.6765625,14.0109375
-150.403125,-136.3921875,14.0109375
-150.975,-137.5359375,13.4390625
-150.975,-138.1078125,12.8671875
-150.1171875,-138.1078125,12.009375
-148.4015625,-136.9640625,11.4375
-146.4,-135.534375,10.865625
-144.1125,-133.246875,10.865625
-141.825,-130.959375,10.865625
-139.8234375,-128.3859375,11.4375
-138.1078125,-126.0984375,12.009375
-136.678125,-124.3828125,12.2953125
-135.534375,-122.6671875,12.8671875
-134.6765625,-121.809375,12.8671875
-134.1046875,-120.9515625,13.153125
-133.5328125,-120.665625,12.8671875
-132.675,-120.09375,12.58125
-131.8171875,-119.2359375,12.58125
-130.3875,-118.0921875,12.2953125
-128.3859375,-116.090625,12.2953125
-126.384375,-114.0890625,12.2953125
-124.096875,-111.2296875,12.8671875
-121.809375,-108.65625,13.153125
-119.8078125,-105.796875,14.0109375
-118.378125,-103.2234375,15.1546875
-117.5203125,-101.5078125,16.0125
-116.9484375,-100.3640625,16.584375
-117.234375,-99.7921875,17.4421875
-117.80625,-100.078125,17.728125
-118.6640625,-100.9359375,17.728125
-119.2359375,-102.0796875,17.15625
-119.521875,-102.9375,16.584375
-119.2359375,-103.509375,15.7265625
-118.378125,-103.2234375,15.1546875
-116.6625,-102.365625,14.296875
-114.0890625,-100.65,13.4390625
-111.2296875,-98.3625,12.8671875
-108.084375,-95.503125,12.58125
-105.225,-92.9296875,12.2953125
-102.6515625,-90.35625,12.2953125
-101.221875,-88.3546875,12.8671875
-100.3640625,-87.2109375,13.153125
-100.65,-86.6390625,14.0109375
-101.79375,-86.925,14.86875
-103.509375,-87.7828125,15.7265625
-105.5109375,-89.2125,16.2984375
-107.5125,-90.35625,17.15625
-109.228125,-91.7859375,17.4421875
-110.371875,-92.64375,17.728125
-110.94375,-93.5015625,17.4421875
-110.94375,-93.7875,17.15625
-110.6578125,-94.6453125,16.0125
-110.0859375,-95.503125,14.5828125
-109.8,-96.9328125,12.8671875
-109.8,-99.50625,10.29375
-110.6578125,-102.9375,7.72031250000001
-112.3734375,-106.940625,5.43281250000001
-114.6609375,-112.0875,2.5734375
-117.234375,-117.234375,0.0
-120.3796875,-122.0953125,-1.715625
-123.2390625,-126.384375,-3.1453125
