LEFT,RIGHT,DIFF
-159.553125,-159.8390625,-0.285937500000017
-158.6953125,-160.4109375,-1.71562500000002
-158.6953125,-162.1265625,-3.43125000000001
-159.553125,-164.7,-5.14687500000002
-161.840625,-168.13125,-6.29062499999998
-164.7,-172.134375,-7.43437499999999
-168.4171875,-176.4234375,-8.00624999999999
-172.4203125,-180.7125,-8.29218750000001
-176.709375,-185.0015625,-8.29218750000001
-180.9984375,-189.290625,-8.29218750000001
-185.0015625,-193.0078125,-8.00624999999999
-188.71875,-196.725,-8.00624999999999
-191.578125,-199.584375,-8.00624999999999
-193.865625,-201.871875,-8.00625000000002
-195.009375,-203.5875,-8.578125
-195.2953125,-204.159375,-8.86406250000002
-194.4375,-203.5875,-9.15000000000001
-192.721875,-202.1578125,-9.43593749999999
-190.1484375,-199.584375,-9.43593749999999
-187.003125,-196.4390625,-9.43593749999999
-183.8578125,-192.721875,-8.86406250000002
-180.7125,-189.0046875,-8.29218750000001
-178.1390625,-185.5734375,-7.43437500000002
-176.4234375,-183.0,-6.57656249999999
-175.565625,-181.5703125,-6.00468749999999
-176.1375,-181.284375,-5.14687499999999
-177.5671875,-182.428125,-4.86093749999998
-179.8546875,-185.0015625,-5.14687499999999
-182.7140625,-188.4328125,-5.71875
-185.859375,-192.4359375,-6.57656249999999
-189.0046875,-196.4390625,-7.43437499999999
-191.2921875,-200.15625,-8.86406249999999
-192.4359375,-202.7296875,-10.29375
-192.721875,-204.4453125,-11.7234375
-191.8640625,-204.73125,-12.8671875
-189.8625,-203.5875,-13.725
-187.003125,-201.871875,-14.86875
-183.571875,-199.2984375,-15.7265625
-180.140625,-196.4390625,-16.2984375
-176.709375,-193.5796875,-16.8703125
-173.85,-191.2921875,-17.4421875
-171.8484375,-189.5765625,-17.728125
-170.41875,-188.71875,-18.3
-169.846875,-188.4328125,-18.5859375
-169.846875,-188.71875,-18.871875
-170.1328125,-189.290625,-19.1578125
-170.7046875,-189.5765625,-18.871875
-170.990625,-189.8625,-18.871875
-171.2765625,-189.290625,-18.0140625
-171.2765625,-188.4328125,-17.15625
-170.7046875,-186.7171875,-16.0125
-169.5609375,-184.715625,-15.1546875
-168.4171875,-182.428125,-14.0109375
-166.9875,-180.140625,-13.153125
-165.5578125,-178.1390625,-12.58125
-164.4140625,-176.4234375,-12.009375
-163.55625,-175.2796875,-11.7234375
-163.2703125,-174.7078125,-11.4375
-163.2703125,-174.99375,-11.7234375
-164.128125,-175.8515625,-11.7234375
-165.271875,-177.28125,-12.009375
-166.9875,-178.996875,-12.009375
-168.9890625,-181.284375,-12.2953125
-170.990625,-183.8578125,-12.8671875
-173.5640625,-186.43125,-12.8671875
-175.8515625,-189.0046875,-13.153125
-177.853125,-191.578125,-13.725
-179.56875,-194.1515625,-14.5828125
-180.9984375,-196.4390625,-15.440625
-181.5703125,-198.7265625,-17.15625
-181.85625,-200.4421875,-18.5859375
-181.5703125,-201.871875,-20.3015625
-180.7125,-202.7296875,-22.0171875
-179.56875,-203.015625,-23.446875
-178.1390625,-203.015625,-24.8765625
-176.709375,-202.44375,-25.734375
-175.565625,-201.5859375,-26.0203125
-174.99375,-200.4421875,-25.4484375
-174.7078125,-199.2984375,-24.590625
-175.2796875,-198.1546875,-22.875
-176.4234375,-197.5828125,-21.159375
-178.1390625,-197.296875,-19.1578125
-180.140625,-197.296875,-17.15625
-182.428125,-197.5828125,-15.1546875
-184.4296875,-198.440625,-14.0109375
-186.1453125,-199.0125,-12.8671875
-187.003125,-199.584375,-12.58125
-187.2890625,-199.8703125,-12.58125
-187.003125,-199.8703125,-12.8671875
-185.859375,-199.2984375,-13.4390625
-184.4296875,-198.1546875,-13.725
-182.7140625,-196.725,-14.0109375
-180.9984375,-195.009375,-14.0109375
-179.56875,-193.29375,-13.725
-178.7109375,-191.8640625,-13.153125
-178.425,-190.7203125,-12.2953125
-178.996875,-189.8625,-10.865625
-180.4265625,-190.1484375,-9.72187499999998
-182.1421875,-190.7203125,-8.578125
-184.4296875,-191.8640625,-7.43437500000002
-186.43125,-193.5796875,-7.1484375
-188.4328125,-195.58125,-7.1484375
-190.1484375,-197.296875,-7.1484375
-191.00625,-198.7265625,-7.72031250000001
-191.2921875,-199.584375,-8.29218749999998
-190.7203125,-199.8703125,-9.15000000000001
-189.8625,-199.584375,-9.72187499999998
-188.4328125,-198.440625,-10.0078125
-186.7171875,-196.725,-10.0078125
-185.2875,-194.7234375,-9.43593750000002
-184.14375,-192.4359375,-8.29218749999998
-183.2859375,-190.434375,-7.1484375
-183.0,-188.4328125,-5.43281250000001
-183.2859375,-187.2890625,-4.00312499999998
-184.14375,-186.43125,-2.28749999999999
-185.5734375,-186.1453125,-0.571875000000006
-187.003125,-186.43125,0.571875000000006
-188.4328125,-187.2890625,1.14375000000001
-189.8625,-187.8609375,2.00156250000001
-190.7203125,-188.71875,2.00156250000001
-191.2921875,-189.0046875,2.28749999999999
-191.2921875,-189.0046875,2.28749999999999
-191.00625,-188.146875,2.859375
-189.8625,-187.003125,2.859375
-188.146875,-185.2875,2.859375
-186.43125,-183.0,3.43125000000001
-184.14375,-180.7125,3.43125000000001
-182.1421875,-178.425,3.71718749999999
-180.140625,-176.4234375,3.71718749999999
-178.425,-174.99375,3.43125000000001
-176.9953125,-173.85,3.14531250000002
-175.8515625,-173.5640625,2.28749999999999
-175.2796875,-173.5640625,1.71562499999999
-175.2796875,-174.1359375,1.14374999999998
-175.8515625,-174.99375,0.857812499999994
-176.4234375,-175.8515625,0.571875000000006
-177.5671875,-176.9953125,0.571875000000006
-178.7109375,-177.853125,0.857812499999994
-180.140625,-178.7109375,1.4296875
-181.5703125,-179.2828125,2.28749999999999
-182.7140625,-179.2828125,3.43125000000001
-183.571875,-179.2828125,4.2890625
-184.14375,-178.996875,5.14687499999999
-184.4296875,-178.7109375,5.71875
-184.14375,-177.853125,6.29062500000001
-183.2859375,-176.9953125,6.29062500000001
-181.85625,-176.1375,5.71875
-180.140625,-174.99375,5.14687499999999
-178.425,-173.85,4.57500000000002
-176.4234375,-172.70625,3.71718749999999
-174.421875,-171.5625,2.859375
-172.9921875,-170.7046875,2.28749999999999
-172.134375,-170.41875,1.71562499999999
-171.8484375,-170.41875,1.4296875
-172.134375,-171.2765625,0.857812499999994
-173.278125,-172.4203125,0.857812500000023
