LEFT,RIGHT,DIFF
-520.6921875,-598.753125,-78.0609375
-525.8390625,-602.75625,-76.9171875
-531.84375,-606.759375,-74.915625
-537.8484375,-610.190625,-72.3421875
-543.28125,-612.478125,-69.196875
-547.5703125,-613.3359375,-65.765625
-550.14375,-612.478125,-62.3343749999999
-550.715625,-609.61875,-58.9031249999999
-549.8578125,-605.615625,-55.7578125
-547.284375,-601.040625,-53.7562499999999
-543.853125,-596.465625,-52.6125000000001
-540.1359375,-592.4625,-52.3265624999999
-536.7046875,-590.175,-53.4703125000001
-534.4171875,-589.603125,-55.1859374999999
-533.559375,-590.746875,-57.1875
-534.13125,-593.8921875,-59.7609375
-536.41875,-598.4671875,-62.0484375
-539.85,-603.9,-64.05
-543.853125,-609.3328125,-65.4796875000001
-547.5703125,-613.9078125,-66.3375
-551.0015625,-617.053125,-66.0515625
-553.2890625,-618.76875,-65.4796875000001
-554.4328125,-618.76875,-64.3359375
-553.8609375,-617.053125,-63.1921875
-552.43125,-614.4796875,-62.0484375000001
-550.14375,-611.6203125,-61.4765625
-547.85625,-608.7609375,-60.9046875
-545.8546875,-606.759375,-60.9046874999999
-544.7109375,-605.9015625,-61.1906250000001
-544.7109375,-606.4734375,-61.7625
-546.140625,-607.6171875,-61.4765625
-548.428125,-609.61875,-61.190625
-551.5734375,-611.90625,-60.3328124999999
-554.71875,-613.3359375,-58.6171875
-557.8640625,-614.19375,-56.3296875
-559.865625,-613.621875,-53.75625
-561.009375,-611.90625,-50.896875
-561.2953125,-609.3328125,-48.0375
-561.009375,-606.759375,-45.75
-560.7234375,-605.04375,-44.3203125
-561.009375,-604.7578125,-43.7484375
-563.0109375,-607.0453125,-44.034375
-567.0140625,-612.478125,-45.4640625
-573.8765625,-620.7703125,-46.8937500000001
-583.5984375,-632.2078125,-48.609375
-595.6078125,-645.646875,-50.0390625
-609.3328125,-660.515625,-51.1828125
-624.2015625,-674.8125,-50.6109375
-638.4984375,-687.965625,-49.4671875
-651.0796875,-698.259375,-47.1796875
-660.8015625,-704.8359375,-44.034375
-666.80625,-707.1234375,-40.3171875
-669.09375,-705.121875,-36.028125
-667.0921875,-699.1171875,-32.025
-661.659375,-690.5390625,-28.8796874999999
-653.9390625,-679.6734375,-25.734375
-644.2171875,-668.521875,-24.3046875
-634.4953125,-657.9421875,-23.446875
-625.059375,-648.50625,-23.446875
-617.3390625,-641.3578125,-24.01875
-611.6203125,-636.2109375,-24.5906249999999
-608.1890625,-633.065625,-24.8765625000001
-606.1875,-631.35,-25.1625
-605.615625,-630.4921875,-24.8765625
-605.615625,-629.3484375,-23.7328125
-605.615625,-627.91875,-22.303125
-605.04375,-625.3453125,-20.3015624999999
-603.6140625,-621.628125,-18.0140625
-601.3265625,-617.053125,-15.7265625
-598.4671875,-612.1921875,-13.725
-595.6078125,-607.903125,-12.2953125
-593.034375,-604.471875,-11.4375
-591.890625,-602.75625,-10.865625
