LEFT,RIGHT,DIFF
-51.7546875,-106.0828125,-54.328125
-53.75625,-108.9421875,-55.1859375
-56.615625,-112.9453125,-56.3296875
-60.61875,-117.80625,-57.1875
-65.4796875,-123.2390625,-57.759375
-70.6265625,-128.3859375,-57.759375
-75.7734375,-133.5328125,-57.759375
-80.3484375,-137.5359375,-57.1875
-84.065625,-140.3953125,-56.3296875
-85.78125,-141.253125,-55.471875
-86.0671875,-140.109375,-54.0421875
-84.3515625,-137.25,-52.8984375
-81.20625,-132.9609375,-51.7546875
-76.63125,-127.2421875,-50.6109375
-71.7703125,-121.5234375,-49.753125
-67.1953125,-116.3765625,-49.18125
-63.7640625,-112.3734375,-48.609375
-61.7625,-110.371875,-48.609375
-62.0484375,-110.371875,-48.3234375
-64.3359375,-112.659375,-48.3234375
-68.053125,-116.9484375,-48.8953125
-73.2,-122.6671875,-49.4671875
-78.346875,-128.671875,-50.325
-83.2078125,-134.6765625,-51.46875
-86.6390625,-139.8234375,-53.184375
-88.3546875,-142.96875,-54.6140625
-88.06875,-144.3984375,-56.3296875
-85.78125,-144.1125,-58.33125
-82.35,-141.825,-59.475
-78.0609375,-138.6796875,-60.61875
-74.0578125,-135.2484375,-61.190625
-71.1984375,-132.3890625,-61.190625
-70.0546875,-130.6734375,-60.61875
-71.1984375,-130.1015625,-58.903125
-74.34375,-131.2453125,-56.9015625
-79.2046875,-133.5328125,-54.328125
-85.209375,-136.9640625,-51.7546875
-91.5,-140.3953125,-48.8953125
-96.9328125,-143.540625,-46.6078125
-100.65,-145.5421875,-44.8921875
-102.365625,-145.828125,-43.4625
-101.79375,-144.684375,-42.890625
-98.934375,-141.825,-42.890625
-94.359375,-138.1078125,-43.7484375
-88.9265625,-133.81875,-44.8921875
-83.49375,-129.5296875,-46.0359375
-78.91875,-126.384375,-47.465625
-76.059375,-124.3828125,-48.3234375
-75.2015625,-124.3828125,-49.18125
-76.3453125,-125.8125,-49.4671875
-79.490625,-128.671875,-49.18125
-83.7796875,-132.3890625,-48.609375
-88.9265625,-136.678125,-47.7515625
-93.7875,-140.68125,-46.89375
-97.790625,-143.8265625,-46.0359375
-100.65,-145.828125,-45.178125
-102.0796875,-146.4,-44.3203125
-102.365625,-146.1140625,-43.7484375
-101.5078125,-145.25625,-43.7484375
-100.3640625,-144.1125,-43.7484375
-99.50625,-142.96875,-43.4625
-99.2203125,-142.96875,-43.7484375
-100.078125,-143.8265625,-43.7484375
-101.79375,-146.1140625,-44.3203125
-104.9390625,-149.5453125,-44.60625
-108.65625,-153.834375,-45.178125
-112.659375,-158.6953125,-46.0359375
-116.3765625,-163.55625,-47.1796875
-119.521875,-167.559375,-48.0375
-121.2375,-170.990625,-49.753125
-121.809375,-172.70625,-50.896875
-121.2375,-173.278125,-52.040625
-119.521875,-172.4203125,-52.8984375
-117.234375,-170.1328125,-52.8984375
-114.6609375,-166.9875,-52.3265625
