LEFT,RIGHT,DIFF
862.6734375,4.575,-858.0984375
859.8140625,4.003125,-855.8109375
857.8125,3.43125,-854.38125
856.9546875,2.859375,-854.0953125
858.0984375,2.0015625,-856.096875
860.9578125,1.4296875,-859.528125
865.246875,0.8578125,-864.3890625
870.6796875,0.2859375,-870.39375
876.1125,0.0,-876.1125
880.6875,0.0,-880.6875
883.8328125,0.0,-883.8328125
884.9765625,0.0,-884.9765625
883.8328125,0.2859375,-883.546875
880.4015625,0.2859375,-880.115625
875.540625,0.571875,-874.96875
869.821875,0.8578125,-868.9640625
863.8171875,0.8578125,-862.959375
858.95625,1.14375,-857.8125
855.8109375,1.14375,-854.6671875
854.6671875,1.14375,-853.5234375
855.8109375,0.8578125,-854.953125
858.95625,0.8578125,-858.0984375
863.8171875,0.571875,-863.2453125
869.25,0.571875,-868.678125
874.396875,0.2859375,-874.1109375
878.4,0.2859375,-878.1140625
880.9734375,0.0,-880.9734375
881.259375,0.2859375,-880.9734375
879.2578125,0.2859375,-878.971875
875.540625,0.571875,-874.96875
870.6796875,0.8578125,-869.821875
865.246875,1.4296875,-863.8171875
860.3859375,2.2875,-858.0984375
856.9546875,2.859375,-854.0953125
854.953125,3.43125,-851.521875
855.2390625,4.003125,-851.2359375
857.240625,4.2890625,-852.9515625
860.9578125,4.575,-856.3828125
865.246875,4.575,-860.671875
869.821875,4.2890625,-865.5328125
873.5390625,4.003125,-869.5359375
876.1125,3.43125,-872.68125
876.684375,2.859375,-873.825
875.540625,2.0015625,-873.5390625
872.3953125,1.4296875,-870.965625
868.10625,0.8578125,-867.2484375
862.959375,0.2859375,-862.6734375
857.8125,0.0,-857.8125
853.2375,0.0,-853.2375
850.0921875,0.0,-850.0921875
848.3765625,0.0,-848.3765625
848.3765625,0.0,-848.3765625
850.0921875,0.2859375,-849.80625
852.9515625,0.2859375,-852.665625
856.3828125,0.571875,-855.8109375
859.8140625,0.8578125,-858.95625
862.6734375,1.14375,-861.5296875
864.675,1.14375,-863.53125
864.9609375,1.14375,-863.8171875
863.8171875,1.14375,-862.6734375
861.24375,1.14375,-860.1
857.5265625,0.8578125,-856.66875
853.2375,0.571875,-852.665625
848.6625,0.571875,-848.090625
844.3734375,0.2859375,-844.0875
840.9421875,0.0,-840.9421875
838.940625,0.0,-838.940625
838.6546875,0.2859375,-838.36875
840.3703125,0.2859375,-840.084375
843.8015625,0.8578125,-842.94375
848.6625,1.4296875,-847.2328125
855.2390625,2.0015625,-853.2375
862.3875,2.859375,-859.528125
