LEFT,RIGHT,DIFF
-154.1203125,-119.521875,34.5984375
-157.5515625,-121.809375,35.7421875
-160.696875,-123.525,37.171875
-163.2703125,-124.3828125,38.8875
-165.271875,-124.66875,40.603125
-166.415625,-124.096875,42.31875
-166.415625,-122.953125,43.4625
-165.84375,-121.5234375,44.3203125
-164.7,-120.09375,44.60625
-163.2703125,-118.6640625,44.60625
-161.840625,-117.80625,44.034375
-160.9828125,-118.0921875,42.890625
-160.696875,-118.95,41.746875
-161.26875,-121.2375,40.03125
-162.6984375,-124.3828125,38.315625
-165.5578125,-128.671875,36.8859375
-169.275,-134.1046875,35.1703125
-173.85,-140.109375,33.740625
-179.2828125,-146.971875,32.3109375
-185.5734375,-154.40625,31.1671875
-233.325,-176.4234375,56.9015625
-229.6078125,-173.85,55.7578125
-225.6046875,-170.990625,54.6140625
-221.6015625,-168.13125,53.4703125
-217.884375,-165.271875,52.6125
-214.7390625,-162.4125,52.3265625
-212.4515625,-160.125,52.3265625
-211.021875,-158.409375,52.6125
-210.45,-157.5515625,52.8984375
-210.7359375,-157.5515625,53.184375
-211.8796875,-158.6953125,53.184375
-213.88125,-160.696875,53.184375
-216.16875,-163.2703125,52.8984375
-218.45625,-165.84375,52.6125
-220.74375,-168.703125,52.040625
-222.7453125,-171.2765625,51.46875
-224.175,-172.9921875,51.1828125
-225.0328125,-174.1359375,50.896875
-225.0328125,-174.421875,50.6109375
-224.746875,-173.85,50.896875
-223.603125,-172.70625,50.896875
-221.8875,-170.7046875,51.1828125
-219.8859375,-168.4171875,51.46875
-217.884375,-165.84375,52.040625
-215.8828125,-163.55625,52.3265625
-213.88125,-161.26875,52.6125
-212.165625,-159.553125,52.6125
-211.021875,-158.1234375,52.8984375
-210.45,-157.5515625,52.8984375
-210.45,-157.8375,52.6125
-211.3078125,-158.98125,52.3265625
-212.7375,-160.4109375,52.3265625
-214.7390625,-162.6984375,52.040625
-217.3125,-165.271875,52.040625
-219.8859375,-167.8453125,52.040625
-222.1734375,-170.1328125,52.040625
-223.8890625,-171.5625,52.3265625
-224.175,-171.8484375,52.3265625
-223.3171875,-170.7046875,52.6125
-220.74375,-167.8453125,52.8984375
-194.1515625,-132.9609375,61.190625
-188.71875,-129.24375,59.475
-184.4296875,-127.2421875,57.1875
-181.5703125,-127.2421875,54.328125
-181.284375,-129.5296875,51.7546875
-183.2859375,-133.81875,49.4671875
-187.003125,-139.5375,47.465625
-192.15,-145.5421875,46.6078125
-198.1546875,-151.2609375,46.89375
-203.5875,-155.8359375,47.7515625
-208.1625,-158.409375,49.753125
-210.7359375,-158.409375,52.3265625
-211.3078125,-156.4078125,54.9
-209.878125,-152.11875,57.759375
-206.1609375,-146.4,59.7609375
-201.5859375,-140.109375,61.4765625
-195.8671875,-134.1046875,61.7625
-190.434375,-128.671875,61.7625
-185.5734375,-124.9546875,60.61875
-181.5703125,-122.953125,58.6171875
-178.996875,-122.6671875,56.3296875
-177.853125,-124.096875,53.75625
-177.853125,-126.384375,51.46875
-178.425,-129.5296875,48.8953125
-178.996875,-132.103125,46.89375
-179.2828125,-134.390625,44.8921875
-178.996875,-135.2484375,43.7484375
-177.28125,-134.6765625,42.6046875
-174.7078125,-132.675,42.0328125
-171.2765625,-129.24375,42.0328125
-166.7015625,-124.9546875,41.746875
-161.840625,-119.8078125,42.0328125
-156.9796875,-114.375,42.6046875
-152.4046875,-109.228125,43.1765625
-148.6875,-104.3671875,44.3203125
-145.5421875,-100.3640625,45.178125
-143.540625,-97.21875,46.321875
-142.396875,-94.6453125,47.7515625
-141.825,-93.215625,48.609375
-142.1109375,-92.64375,49.4671875
-142.6828125,-92.64375,50.0390625
-143.2546875,-92.9296875,50.325
-143.540625,-93.5015625,50.0390625
-143.540625,-93.7875,49.753125
-142.96875,-94.0734375,48.8953125
-142.1109375,-93.5015625,48.609375
-140.3953125,-92.64375,47.7515625
-138.39375,-90.928125,47.465625
-135.8203125,-88.640625,47.1796875
-132.9609375,-86.0671875,46.89375
-130.3875,-83.2078125,47.1796875
-128.3859375,-80.634375,47.7515625
-126.95625,-78.346875,48.609375
-126.384375,-77.203125,49.18125
-126.95625,-76.9171875,50.0390625
-128.671875,-78.346875,50.325
-131.53125,-80.9203125,50.6109375
-135.534375,-84.6375,50.896875
-140.109375,-89.4984375,50.6109375
-145.25625,-94.359375,50.896875
-150.1171875,-99.2203125,50.896875
-154.40625,-103.2234375,51.1828125
-157.8375,-105.5109375,52.3265625
-159.8390625,-106.36875,53.4703125
-160.4109375,-105.225,55.1859375
-159.553125,-102.6515625,56.9015625
-157.5515625,-98.3625,59.1890625
-154.6921875,-93.215625,61.4765625
-151.2609375,-87.7828125,63.478125
-147.8296875,-83.2078125,64.621875
-144.9703125,-79.490625,65.4796875
-142.96875,-77.4890625,65.4796875
-142.1109375,-77.203125,64.9078125
-142.1109375,-78.91875,63.1921875
-143.2546875,-82.35,60.9046875
-145.25625,-86.6390625,58.6171875
-147.54375,-91.5,56.04375
-150.1171875,-96.3609375,53.75625
-152.4046875,-100.3640625,52.040625
-153.834375,-103.2234375,50.6109375
-154.6921875,-104.3671875,50.325
-154.40625,-103.509375,50.896875
-153.2625,-101.5078125,51.7546875
-151.2609375,-97.790625,53.4703125
