LEFT,RIGHT,DIFF
-68.3390625,-72.3421875,-4.00312500000001
-66.0515625,-71.1984375,-5.14687499999999
-65.19375,-71.484375,-6.29062499999999
-66.0515625,-73.771875,-7.72031250000001
-68.3390625,-77.775,-9.43593750000001
-72.628125,-82.921875,-10.29375
-77.775,-88.9265625,-11.1515625
-83.49375,-95.2171875,-11.7234375
-89.4984375,-100.65,-11.1515625
-94.359375,-104.9390625,-10.5796875
-98.0765625,-107.5125,-9.43593749999999
-99.50625,-107.5125,-8.00624999999999
-98.934375,-105.5109375,-6.57656249999999
-96.3609375,-101.221875,-4.86093749999999
-91.7859375,-94.93125,-3.1453125
-85.78125,-87.7828125,-2.00156250000001
-78.91875,-79.7765625,-0.857812499999994
-72.3421875,-71.7703125,0.571875000000006
-66.0515625,-64.621875,1.4296875
-61.4765625,-58.903125,2.5734375
-58.6171875,-55.1859375,3.43125
-58.0453125,-53.184375,4.8609375
-59.475,-53.4703125,6.0046875
-62.6203125,-55.471875,7.1484375
-67.1953125,-59.1890625,8.00624999999999
-72.628125,-64.05,8.578125
-78.0609375,-69.76875,8.29218750000001
-83.2078125,-75.4875,7.72031250000001
-87.2109375,-80.9203125,6.29062499999999
-90.35625,-85.78125,4.575
-92.071875,-89.4984375,2.5734375
-92.64375,-92.3578125,0.285937499999989
-92.64375,-94.0734375,-1.4296875
-91.7859375,-94.6453125,-2.859375
-91.2140625,-94.359375,-3.1453125
-90.6421875,-93.5015625,-2.859375
-90.6421875,-92.071875,-1.4296875
-90.928125,-90.6421875,0.285937500000003
-91.7859375,-88.640625,3.1453125
-92.9296875,-86.925,6.0046875
-93.7875,-85.4953125,8.29218750000001
-94.0734375,-84.065625,10.0078125
-93.7875,-83.2078125,10.5796875
-92.64375,-82.6359375,10.0078125
-90.35625,-82.35,8.00624999999999
-87.7828125,-82.921875,4.86093750000001
-84.9234375,-84.3515625,0.571875000000006
-82.35,-86.0671875,-3.71718749999999
-80.3484375,-88.640625,-8.2921875
-79.490625,-91.5,-12.009375
-79.7765625,-94.359375,-14.5828125
-81.4921875,-96.9328125,-15.440625
-84.065625,-98.6484375,-14.5828125
-86.925,-99.2203125,-12.2953125
-89.784375,-98.0765625,-8.29218750000001
-91.7859375,-94.93125,-3.1453125
-92.071875,-90.0703125,2.00156250000001
-90.6421875,-83.49375,7.1484375
-87.496875,-75.7734375,11.7234375
-82.6359375,-67.7671875,14.86875
-76.9171875,-60.61875,16.2984375
-70.9125,-54.9,16.0125
-65.765625,-52.040625,13.725
-62.334375,-52.040625,10.29375
-61.4765625,-55.471875,6.0046875
-63.7640625,-62.334375,1.4296875
-69.196875,-71.484375,-2.28749999999999
-76.9171875,-82.35,-5.43281250000001
-86.6390625,-93.5015625,-6.8625
-96.646875,-103.509375,-6.8625
-105.796875,-111.2296875,-5.43281250000001
-112.659375,-115.2328125,-2.5734375
-116.6625,-115.2328125,1.4296875
-116.9484375,-111.2296875,5.71875
-113.5171875,-103.509375,10.0078125
-106.940625,-93.215625,13.725
-98.0765625,-82.0640625,16.0125
-88.06875,-70.9125,17.15625
-78.6328125,-61.7625,16.8703125
-70.6265625,-55.7578125,14.86875
-65.4796875,-53.184375,12.2953125
-63.7640625,-54.328125,9.4359375
-65.4796875,-59.1890625,6.29062499999999
-70.340625,-66.6234375,3.71718749999999
-77.203125,-75.2015625,2.00156249999999
-85.209375,-83.7796875,1.4296875
-92.9296875,-91.2140625,1.715625
-99.2203125,-96.075,3.1453125
-103.2234375,-98.0765625,5.14687499999999
-104.3671875,-97.21875,7.1484375
-102.6515625,-93.5015625,9.14999999999999
-98.0765625,-87.7828125,10.29375
-92.071875,-81.20625,10.865625
-84.9234375,-74.6296875,10.29375
-77.775,-68.9109375,8.8640625
-71.484375,-65.19375,6.29062499999999
-66.909375,-63.1921875,3.71718749999999
-64.3359375,-63.1921875,1.14375
-63.7640625,-65.19375,-1.42968750000001
-64.9078125,-68.053125,-3.1453125
