LEFT,RIGHT,DIFF
-48.8953125,-58.0453125,-9.15
-50.0390625,-58.33125,-8.2921875
-50.325,-58.33125,-8.00625
-50.0390625,-58.6171875,-8.578125
-48.8953125,-58.33125,-9.4359375
-46.89375,-58.0453125,-11.1515625
-44.60625,-57.4734375,-12.8671875
-42.31875,-56.615625,-14.296875
-40.03125,-56.04375,-16.0125
-38.315625,-55.471875,-17.15625
-37.171875,-55.1859375,-18.0140625
-36.8859375,-55.471875,-18.5859375
-37.171875,-56.04375,-18.871875
-38.315625,-57.1875,-18.871875
-39.7453125,-58.6171875,-18.871875
-41.4609375,-60.3328125,-18.871875
-42.890625,-62.0484375,-19.1578125
-44.60625,-63.7640625,-19.1578125
-45.75,-65.19375,-19.44375
-46.6078125,-66.3375,-19.7296875
-47.1796875,-66.909375,-19.7296875
-47.465625,-66.909375,-19.44375
-47.7515625,-66.6234375,-18.871875
-47.7515625,-65.4796875,-17.728125
-48.0375,-64.3359375,-16.2984375
-48.0375,-62.334375,-14.296875
-47.7515625,-60.3328125,-12.58125
-47.465625,-57.759375,-10.29375
-46.6078125,-54.9,-8.2921875
-45.4640625,-52.040625,-6.57656249999999
-44.034375,-49.4671875,-5.4328125
-42.6046875,-46.89375,-4.2890625
-41.175,-45.178125,-4.003125
-40.03125,-44.3203125,-4.2890625
-39.459375,-44.034375,-4.575
-39.7453125,-44.8921875,-5.14687499999999
-40.8890625,-46.6078125,-5.71875
-42.6046875,-49.18125,-6.57656249999999
-44.8921875,-51.7546875,-6.8625
-47.7515625,-54.6140625,-6.8625
-50.0390625,-57.1875,-7.1484375
-52.040625,-58.6171875,-6.5765625
-52.6125,-59.1890625,-6.5765625
-52.3265625,-58.6171875,-6.290625
-50.6109375,-56.9015625,-6.29062500000001
-48.0375,-54.328125,-6.290625
-44.60625,-51.1828125,-6.5765625
-40.8890625,-48.0375,-7.1484375
-37.74375,-45.178125,-7.434375
-35.45625,-43.4625,-8.00624999999999
-34.5984375,-42.6046875,-8.00625
-35.1703125,-43.4625,-8.2921875
-37.171875,-45.4640625,-8.2921875
-40.603125,-48.3234375,-7.72031250000001
-44.60625,-52.040625,-7.434375
-49.18125,-55.7578125,-6.5765625
-52.8984375,-58.903125,-6.0046875
-56.04375,-61.190625,-5.146875
-58.0453125,-62.334375,-4.2890625
-58.33125,-62.334375,-4.003125
-57.4734375,-60.9046875,-3.43125
-55.7578125,-58.6171875,-2.859375
-53.4703125,-55.7578125,-2.2875
-50.896875,-52.8984375,-2.0015625
-48.8953125,-50.325,-1.4296875
-47.465625,-48.609375,-1.14375
-47.1796875,-47.465625,-0.285937500000003
-47.7515625,-47.465625,0.285937499999996
-48.8953125,-48.3234375,0.571874999999999
-50.325,-49.753125,0.571874999999999
-52.040625,-51.1828125,0.857812499999994
-53.184375,-52.8984375,0.285937500000003
-53.75625,-54.0421875,-0.285937500000003
-54.0421875,-54.9,-0.857812500000001
-53.4703125,-55.471875,-2.00156250000001
-52.6125,-55.471875,-2.859375
-51.7546875,-55.1859375,-3.43125
-51.1828125,-55.1859375,-4.003125
-51.46875,-55.471875,-4.003125
-52.3265625,-56.615625,-4.2890625
-54.6140625,-58.0453125,-3.43125
-57.4734375,-60.046875,-2.5734375
-60.61875,-62.6203125,-2.0015625
-64.05,-65.19375,-1.14375000000001
-67.1953125,-67.48125,-0.285937500000003
-69.4828125,-68.9109375,0.571875000000006
-70.6265625,-69.76875,0.857812500000009
-70.340625,-69.4828125,0.857812499999994
-68.9109375,-68.3390625,0.571875000000006
-66.3375,-66.3375,0.0
-63.1921875,-63.7640625,-0.571874999999999
-60.046875,-61.190625,-1.14375
-56.9015625,-58.903125,-2.0015625
-54.9,-57.1875,-2.28749999999999
-53.75625,-56.3296875,-2.5734375
-53.4703125,-56.615625,-3.1453125
-54.328125,-57.759375,-3.43125000000001
-56.04375,-59.475,-3.43125
-57.759375,-61.4765625,-3.71718749999999
-59.475,-63.478125,-4.003125
-60.3328125,-64.9078125,-4.575
-60.61875,-65.19375,-4.575
-59.7609375,-64.621875,-4.8609375
-58.0453125,-62.90625,-4.8609375
-55.471875,-60.046875,-4.575
-52.3265625,-56.9015625,-4.575
-49.4671875,-53.75625,-4.2890625
-46.89375,-50.6109375,-3.71718749999999
-44.8921875,-48.609375,-3.7171875
-44.034375,-47.7515625,-3.71718749999999
-44.60625,-48.0375,-3.43125
-45.75,-49.753125,-4.003125
-48.0375,-52.3265625,-4.2890625
-50.6109375,-55.471875,-4.86093750000001
-53.4703125,-58.903125,-5.4328125
-55.7578125,-61.7625,-6.0046875
-57.4734375,-63.7640625,-6.290625
-58.0453125,-64.621875,-6.5765625
-57.759375,-63.7640625,-6.0046875
-56.3296875,-61.190625,-4.8609375
-54.0421875,-57.759375,-3.7171875
-51.1828125,-53.184375,-2.0015625
-47.7515625,-48.3234375,-0.571875000000006
-44.8921875,-43.7484375,1.14375
-42.0328125,-40.03125,2.0015625
-40.03125,-37.4578125,2.5734375
-38.8875,-36.3140625,2.5734375
-38.6015625,-36.8859375,1.715625
-39.1734375,-38.8875,0.285937499999996
-40.603125,-42.0328125,-1.4296875
-42.31875,-46.0359375,-3.7171875
-44.034375,-50.0390625,-6.0046875
-45.75,-53.75625,-8.00625
-46.89375,-56.615625,-9.721875
-47.465625,-58.33125,-10.865625
-47.1796875,-58.903125,-11.7234375
-46.0359375,-58.0453125,-12.009375
-44.034375,-56.3296875,-12.2953125
-41.746875,-53.75625,-12.009375
-38.8875,-50.896875,-12.009375
-35.7421875,-48.0375,-12.2953125
-33.16875,-45.4640625,-12.2953125
-30.88125,-43.7484375,-12.8671875
-29.4515625,-43.1765625,-13.725
-29.165625,-43.7484375,-14.5828125
-29.7375,-45.178125,-15.440625
-31.1671875,-47.7515625,-16.584375
-34.0265625,-51.1828125,-17.15625
-37.4578125,-55.1859375,-17.728125
-42.0328125,-59.7609375,-17.728125
-46.89375,-64.621875,-17.728125
-52.6125,-69.76875,-17.15625
-58.6171875,-74.915625,-16.2984375
-64.9078125,-80.3484375,-15.440625
-71.1984375,-85.4953125,-14.296875
-77.203125,-90.928125,-13.725
-83.2078125,-95.7890625,-12.58125
-88.9265625,-100.078125,-11.1515625
-93.5015625,-103.509375,-10.0078125
-97.21875,-105.5109375,-8.2921875
-99.50625,-106.0828125,-6.57656249999999
-100.078125,-104.653125,-4.575
-98.6484375,-101.221875,-2.5734375
-95.2171875,-95.7890625,-0.571874999999991
-90.0703125,-88.3546875,1.715625
-83.2078125,-79.7765625,3.43125000000001
-75.4875,-70.340625,5.14687499999999
-66.909375,-60.61875,6.29062499999999
-58.33125,-52.040625,6.29062500000001
-50.6109375,-44.60625,6.0046875
-44.60625,-39.1734375,5.4328125
-40.3171875,-36.028125,4.2890625
-38.315625,-35.45625,2.859375
-38.6015625,-37.171875,1.4296875
-40.8890625,-40.603125,0.285937500000003
-44.8921875,-45.178125,-0.285937500000003
