LEFT,RIGHT,DIFF
-42.31875,-52.8984375,-10.5796875
-42.890625,-53.75625,-10.865625
-43.7484375,-54.6140625,-10.865625
-44.034375,-54.9,-10.865625
-43.4625,-54.6140625,-11.1515625
-41.746875,-53.4703125,-11.7234375
-39.1734375,-51.1828125,-12.009375
-36.028125,-48.609375,-12.58125
-32.8828125,-45.75,-12.8671875
-30.309375,-43.4625,-13.153125
-28.8796875,-42.0328125,-13.153125
-28.8796875,-42.31875,-13.4390625
-30.88125,-44.034375,-13.153125
-34.3125,-47.1796875,-12.8671875
-39.1734375,-51.46875,-12.2953125
-44.8921875,-56.615625,-11.7234375
-50.6109375,-61.7625,-11.1515625
-55.7578125,-66.0515625,-10.29375
-59.7609375,-69.196875,-9.4359375
-61.7625,-70.9125,-9.15000000000001
-62.0484375,-70.9125,-8.8640625
-60.61875,-68.9109375,-8.2921875
-57.4734375,-65.765625,-8.2921875
-53.184375,-61.7625,-8.578125
-48.8953125,-57.4734375,-8.578125
-44.8921875,-53.75625,-8.8640625
-41.746875,-50.896875,-9.15
-40.03125,-49.753125,-9.721875
-40.03125,-50.325,-10.29375
-41.746875,-52.6125,-10.865625
-45.178125,-56.615625,-11.4375
-50.0390625,-62.334375,-12.2953125
-55.7578125,-68.625,-12.8671875
-62.334375,-75.2015625,-12.8671875
-68.3390625,-81.778125,-13.4390625
-74.0578125,-87.2109375,-13.153125
-78.6328125,-91.5,-12.8671875
-81.4921875,-93.7875,-12.2953125
-82.6359375,-94.359375,-11.7234375
-82.0640625,-92.64375,-10.5796875
-79.2046875,-89.4984375,-10.29375
-74.915625,-84.3515625,-9.43593749999999
-69.196875,-78.346875,-9.14999999999999
-62.90625,-72.05625,-9.15000000000001
-56.3296875,-65.765625,-9.43593749999999
-50.325,-60.3328125,-10.0078125
-45.75,-56.615625,-10.865625
-42.890625,-54.328125,-11.4375
-42.31875,-54.328125,-12.009375
-43.7484375,-56.04375,-12.2953125
-47.1796875,-59.1890625,-12.009375
-52.040625,-63.1921875,-11.1515625
-57.4734375,-67.1953125,-9.721875
-62.90625,-70.9125,-8.00625000000001
-67.1953125,-73.2,-6.0046875
-69.76875,-73.771875,-4.00312500000001
-70.0546875,-72.3421875,-2.28750000000001
-67.7671875,-68.9109375,-1.14375
-63.7640625,-64.3359375,-0.571874999999999
-58.0453125,-58.903125,-0.857812500000001
-51.46875,-53.4703125,-2.0015625
-45.178125,-49.18125,-4.003125
-40.3171875,-46.321875,-6.0046875
-37.171875,-45.75,-8.578125
-36.3140625,-47.1796875,-10.865625
-38.0296875,-50.896875,-12.8671875
-41.746875,-55.7578125,-14.0109375
-46.89375,-61.4765625,-14.5828125
-52.6125,-67.1953125,-14.5828125
-58.0453125,-71.7703125,-13.725
-62.334375,-74.915625,-12.58125
-64.621875,-76.059375,-11.4375
-64.9078125,-75.4875,-10.5796875
-63.1921875,-73.2,-10.0078125
-60.046875,-70.340625,-10.29375
-56.04375,-66.909375,-10.865625
-52.040625,-64.3359375,-12.2953125
-48.8953125,-62.6203125,-13.725
-46.89375,-62.334375,-15.440625
-46.6078125,-63.478125,-16.8703125
-48.0375,-65.765625,-17.728125
-50.325,-68.625,-18.3
-53.184375,-71.7703125,-18.5859375
-56.04375,-74.0578125,-18.0140625
-58.33125,-75.4875,-17.15625
-59.475,-75.4875,-16.0125
-59.1890625,-74.0578125,-14.86875
-57.4734375,-72.05625,-14.5828125
-55.1859375,-69.4828125,-14.296875
-52.8984375,-66.909375,-14.0109375
-50.6109375,-65.4796875,-14.86875
-49.753125,-65.4796875,-15.7265625
-50.0390625,-66.909375,-16.8703125
-51.7546875,-69.76875,-18.0140625
-54.9,-73.4859375,-18.5859375
-58.6171875,-77.775,-19.1578125
-62.334375,-81.778125,-19.44375
-65.19375,-84.3515625,-19.1578125
-66.909375,-85.209375,-18.3
-66.3375,-83.7796875,-17.4421875
-63.7640625,-80.3484375,-16.584375
-59.475,-75.2015625,-15.7265625
-53.4703125,-68.625,-15.1546875
-46.6078125,-61.4765625,-14.86875
-39.7453125,-55.1859375,-15.440625
-33.740625,-49.753125,-16.0125
-29.4515625,-46.321875,-16.8703125
-26.878125,-44.60625,-17.728125
-26.5921875,-45.178125,-18.5859375
-27.7359375,-47.465625,-19.7296875
-30.309375,-50.6109375,-20.3015625
-33.4546875,-54.328125,-20.8734375
-36.6,-57.759375,-21.159375
-39.1734375,-60.046875,-20.8734375
-40.8890625,-61.4765625,-20.5875
-41.175,-61.4765625,-20.3015625
-40.3171875,-60.046875,-19.7296875
-38.8875,-58.0453125,-19.1578125
-36.6,-55.471875,-18.871875
-34.5984375,-52.8984375,-18.3
-33.16875,-50.896875,-17.728125
-32.3109375,-49.753125,-17.4421875
-32.3109375,-49.4671875,-17.15625
-33.4546875,-50.0390625,-16.584375
-35.1703125,-51.1828125,-16.0125
-37.4578125,-52.8984375,-15.440625
-39.7453125,-54.6140625,-14.86875
-41.746875,-56.04375,-14.296875
-42.890625,-56.9015625,-14.0109375
-43.4625,-57.1875,-13.725
-43.1765625,-56.9015625,-13.725
-42.0328125,-55.7578125,-13.725
-40.03125,-54.0421875,-14.0109375
-37.74375,-52.3265625,-14.5828125
-35.1703125,-50.0390625,-14.86875
-32.596875,-47.7515625,-15.1546875
-30.0234375,-45.75,-15.7265625
-27.7359375,-44.3203125,-16.584375
-25.734375,-42.890625,-17.15625
-24.590625,-42.31875,-17.728125
-24.01875,-42.31875,-18.3
-24.3046875,-43.1765625,-18.871875
-25.734375,-45.178125,-19.44375
-28.021875,-48.0375,-20.015625
-31.453125,-51.7546875,-20.3015625
-36.028125,-56.3296875,-20.3015625
-40.8890625,-61.190625,-20.3015625
-46.321875,-66.3375,-20.015625
-51.46875,-70.9125,-19.44375
-56.04375,-74.915625,-18.871875
-59.1890625,-77.4890625,-18.3
-61.190625,-78.6328125,-17.4421875
-60.9046875,-77.775,-16.8703125
-59.1890625,-75.2015625,-16.0125
-55.7578125,-71.1984375,-15.440625
-50.896875,-65.765625,-14.86875
-45.75,-60.3328125,-14.5828125
-40.3171875,-54.6140625,-14.296875
-35.7421875,-50.0390625,-14.296875
-32.596875,-46.6078125,-14.0109375
-30.88125,-45.178125,-14.296875
-31.1671875,-45.4640625,-14.296875
-33.16875,-47.1796875,-14.0109375
-36.3140625,-50.325,-14.0109375
-40.3171875,-54.328125,-14.0109375
-44.3203125,-58.0453125,-13.725
-47.465625,-61.190625,-13.725
-49.18125,-63.1921875,-14.0109375
-49.4671875,-63.478125,-14.0109375
-48.0375,-62.0484375,-14.0109375
-44.8921875,-59.1890625,-14.296875
-40.603125,-55.1859375,-14.5828125
-35.7421875,-50.6109375,-14.86875
-31.1671875,-46.6078125,-15.440625
-27.1640625,-43.1765625,-16.0125
-24.3046875,-40.8890625,-16.584375
-22.875,-40.603125,-17.728125
-23.1609375,-41.746875,-18.5859375
-24.590625,-44.034375,-19.44375
-27.1640625,-47.465625,-20.3015625
-29.7375,-51.1828125,-21.4453125
-32.596875,-54.6140625,-22.0171875
-34.5984375,-56.9015625,-22.303125
-35.7421875,-58.33125,-22.5890625
-35.7421875,-58.33125,-22.5890625
-34.884375,-57.1875,-22.303125
-33.16875,-54.9,-21.73125
-31.453125,-52.3265625,-20.8734375
-30.0234375,-49.753125,-19.7296875
-29.4515625,-48.0375,-18.5859375
-30.0234375,-47.1796875,-17.15625
-31.7390625,-47.7515625,-16.0125
-34.3125,-49.4671875,-15.1546875
-37.74375,-52.3265625,-14.5828125
-41.4609375,-55.7578125,-14.296875
-44.8921875,-59.1890625,-14.296875
-47.465625,-62.0484375,-14.5828125
-48.609375,-63.7640625,-15.1546875
-48.609375,-64.3359375,-15.7265625
-47.1796875,-63.7640625,-16.584375
-44.3203125,-62.0484375,-17.728125
-41.175,-59.475,-18.3
-37.74375,-56.615625,-18.871875
-34.5984375,-54.328125,-19.7296875
-32.8828125,-52.6125,-19.7296875
-32.596875,-52.3265625,-19.7296875
-33.740625,-53.184375,-19.44375
-36.3140625,-55.1859375,-18.871875
-40.03125,-57.759375,-17.728125
-44.3203125,-60.9046875,-16.584375
-48.3234375,-64.05,-15.7265625
-51.46875,-66.0515625,-14.5828125
-53.4703125,-67.1953125,-13.725
-54.328125,-67.1953125,-12.8671875
-53.4703125,-65.765625,-12.2953125
-51.46875,-63.478125,-12.009375
-48.609375,-60.61875,-12.009375
-45.75,-57.759375,-12.009375
-42.890625,-55.471875,-12.58125
-41.175,-53.75625,-12.58125
-40.603125,-53.184375,-12.58125
-40.8890625,-53.4703125,-12.58125
-42.31875,-54.328125,-12.009375
-44.034375,-55.1859375,-11.1515625
-45.75,-56.3296875,-10.5796875
-46.89375,-56.615625,-9.721875
-46.89375,-55.7578125,-8.8640625
-45.4640625,-54.0421875,-8.578125
-42.890625,-51.46875,-8.578125
-39.459375,-48.3234375,-8.8640625
-35.1703125,-45.178125,-10.0078125
-31.453125,-42.890625,-11.4375
-28.8796875,-41.746875,-12.8671875
-27.7359375,-42.31875,-14.5828125
-28.8796875,-45.178125,-16.2984375
