LEFT,RIGHT,DIFF
43.4625,1.14375,-42.31875
46.0359375,1.715625,-44.3203125
48.3234375,2.5734375,-45.75
50.325,3.7171875,-46.6078125
51.46875,5.146875,-46.321875
52.3265625,6.8625,-45.4640625
52.3265625,8.8640625,-43.4625
52.040625,10.865625,-41.175
51.46875,12.58125,-38.8875
50.6109375,14.0109375,-36.6
49.753125,15.1546875,-34.5984375
49.18125,16.0125,-33.16875
48.8953125,16.0125,-32.8828125
49.18125,16.0125,-33.16875
49.4671875,15.440625,-34.0265625
50.325,14.5828125,-35.7421875
51.1828125,13.4390625,-37.74375
51.7546875,12.58125,-39.1734375
52.3265625,12.009375,-40.3171875
52.3265625,11.1515625,-41.175
52.040625,10.865625,-41.175
51.1828125,10.865625,-40.3171875
50.325,10.865625,-39.459375
49.18125,11.4375,-37.74375
48.3234375,12.009375,-36.3140625
48.0375,12.8671875,-35.1703125
48.3234375,13.4390625,-34.884375
49.18125,14.5828125,-34.5984375
51.1828125,15.440625,-35.7421875
53.4703125,16.0125,-37.4578125
56.615625,16.8703125,-39.7453125
59.475,17.15625,-42.31875
62.6203125,17.4421875,-45.178125
64.9078125,17.4421875,-47.465625
66.3375,16.8703125,-49.4671875
67.1953125,16.2984375,-50.896875
66.909375,15.7265625,-51.1828125
66.0515625,14.86875,-51.1828125
64.621875,14.0109375,-50.6109375
63.1921875,13.153125,-50.0390625
61.7625,12.58125,-49.18125
60.61875,12.2953125,-48.3234375
60.3328125,12.009375,-48.3234375
60.3328125,11.7234375,-48.609375
61.190625,11.7234375,-49.4671875
62.0484375,11.4375,-50.6109375
63.1921875,11.1515625,-52.040625
64.05,10.29375,-53.75625
64.3359375,9.4359375,-54.9
63.7640625,8.578125,-55.1859375
62.90625,7.434375,-55.471875
61.190625,6.290625,-54.9
59.1890625,5.4328125,-53.75625
57.1875,4.8609375,-52.3265625
55.471875,5.146875,-50.325
54.328125,5.71875,-48.609375
53.75625,7.1484375,-46.6078125
53.75625,8.8640625,-44.8921875
54.6140625,10.865625,-43.7484375
55.7578125,13.153125,-42.6046875
56.9015625,15.1546875,-41.746875
57.759375,16.8703125,-40.8890625
58.33125,18.0140625,-40.3171875
57.759375,18.5859375,-39.1734375
56.615625,18.3,-38.315625
54.9,17.728125,-37.171875
52.6125,16.584375,-36.028125
50.6109375,15.1546875,-35.45625
48.609375,14.0109375,-34.5984375
47.465625,12.8671875,-34.5984375
47.465625,12.2953125,-35.1703125
48.8953125,12.2953125,-36.6
51.1828125,12.8671875,-38.315625
54.6140625,13.725,-40.8890625
58.903125,15.1546875,-43.7484375
63.1921875,16.8703125,-46.321875
67.1953125,18.3,-48.8953125
70.6265625,19.44375,-51.1828125
72.628125,20.3015625,-52.3265625
73.2,20.5875,-52.6125
72.3421875,20.3015625,-52.040625
70.0546875,19.44375,-50.6109375
66.6234375,18.3,-48.3234375
62.6203125,16.584375,-46.0359375
58.33125,14.5828125,-43.7484375
54.0421875,12.8671875,-41.175
50.6109375,11.1515625,-39.459375
47.7515625,10.0078125,-37.74375
46.321875,9.4359375,-36.8859375
45.75,9.4359375,-36.3140625
46.321875,10.0078125,-36.3140625
47.7515625,11.4375,-36.3140625
50.0390625,12.8671875,-37.171875
52.3265625,15.1546875,-37.171875
54.6140625,17.15625,-37.4578125
56.9015625,19.44375,-37.4578125
58.6171875,21.73125,-36.8859375
60.3328125,23.7328125,-36.6
61.190625,25.4484375,-35.7421875
62.0484375,27.1640625,-34.884375
62.6203125,28.59375,-34.0265625
63.1921875,29.7375,-33.4546875
63.7640625,30.88125,-32.8828125
64.3359375,32.3109375,-32.025
64.9078125,33.4546875,-31.453125
65.4796875,34.5984375,-30.88125
66.0515625,35.45625,-30.5953125
66.3375,36.028125,-30.309375
66.3375,36.028125,-30.309375
65.765625,35.7421875,-30.0234375
64.9078125,34.5984375,-30.309375
63.478125,33.16875,-30.309375
62.0484375,31.1671875,-30.88125
60.3328125,29.165625,-31.1671875
58.903125,26.878125,-32.025
58.0453125,25.4484375,-32.596875
57.759375,24.3046875,-33.4546875
58.33125,24.01875,-34.3125
59.7609375,24.8765625,-34.884375
62.0484375,26.30625,-35.7421875
64.621875,28.59375,-36.028125
67.1953125,31.1671875,-36.028125
69.76875,33.4546875,-36.3140625
71.1984375,35.45625,-35.7421875
71.7703125,36.6,-35.1703125
71.1984375,36.3140625,-34.884375
69.196875,34.884375,-34.3125
66.0515625,32.3109375,-33.740625
62.334375,28.59375,-33.740625
58.0453125,24.3046875,-33.740625
54.0421875,19.7296875,-34.3125
50.6109375,15.440625,-35.1703125
48.3234375,12.009375,-36.3140625
47.1796875,9.4359375,-37.74375
47.7515625,8.2921875,-39.459375
49.753125,8.578125,-41.175
52.6125,10.0078125,-42.6046875
56.615625,12.58125,-44.034375
60.9046875,16.0125,-44.8921875
64.9078125,19.7296875,-45.178125
68.625,23.446875,-45.178125
71.7703125,27.1640625,-44.60625
74.0578125,30.309375,-43.7484375
75.4875,32.8828125,-42.6046875
76.059375,34.884375,-41.175
76.059375,36.6,-39.459375
75.4875,37.4578125,-38.0296875
74.34375,37.74375,-36.6
73.2,37.74375,-35.45625
72.05625,37.171875,-34.884375
70.6265625,36.3140625,-34.3125
68.9109375,34.884375,-34.0265625
