LEFT,RIGHT,DIFF
-3979.9640625,-4126.9359375,-146.971875
-3979.678125,-4125.50625,-145.828125
-3981.1078125,-4126.3640625,-145.256249999999
-3985.396875,-4130.08125,-144.684375
-3991.9734375,-4136.371875,-144.3984375
-4000.5515625,-4144.95,-144.3984375
-4010.2734375,-4154.671875,-144.3984375
-4019.9953125,-4164.1078125,-144.1125
-4028.0015625,-4171.828125,-143.8265625
-4032.8625,-4176.1171875,-143.2546875
-4033.1484375,-4176.1171875,-142.96875
-4028.5734375,-4170.9703125,-142.396875
-4018.565625,-4160.390625,-141.825
-4003.9828125,-4145.8078125,-141.825
-3986.2546875,-4128.0796875,-141.825
-3967.3828125,-4109.7796875,-142.396875
-3949.36875,-4092.3375,-142.96875
-3934.2140625,-4078.3265625,-144.1125
-3923.9203125,-4069.1765625,-145.25625
-3919.63125,-4066.03125,-146.4
-3921.346875,-4068.890625,-147.54375
-3929.353125,-4077.7546875,-148.4015625
-3941.934375,-4090.9078125,-148.9734375
-3957.946875,-4106.634375,-148.6875
-3974.8171875,-4123.21875,-148.4015625
-3991.4015625,-4138.659375,-147.2578125
-4005.6984375,-4151.5265625,-145.828125
-4016.85,-4160.9625,-144.1125
-4023.9984375,-4166.68125,-142.6828125
-4027.715625,-4168.96875,-141.253125
-4028.5734375,-4168.6828125,-140.109375
-4027.14375,-4166.68125,-139.5375
-4024.5703125,-4164.1078125,-139.5375
-4021.7109375,-4161.2484375,-139.5375
-4018.8515625,-4159.246875,-140.3953125
-4015.9921875,-4157.53125,-141.5390625
-4013.1328125,-4155.815625,-142.6828125
-4009.7015625,-4153.2421875,-143.540625
-4005.1265625,-4149.525,-144.3984375
-3998.8359375,-4143.80625,-144.970312500001
-3990.54375,-4135.8,-145.25625
-3980.25,-4125.50625,-145.25625
-3968.8125,-4113.496875,-144.684375
-3956.5171875,-4100.915625,-144.3984375
-3944.5078125,-4088.0484375,-143.540625
-3933.6421875,-4076.6109375,-142.96875
-3924.4921875,-4066.8890625,-142.396875
-3917.34375,-4059.740625,-142.396875
-3912.196875,-4054.8796875,-142.6828125
-3908.765625,-4052.30625,-143.540625
-3906.7640625,-4051.1625,-144.3984375
-3905.0484375,-4051.1625,-146.1140625
-3903.61875,-4052.0203125,-148.4015625
-3902.475,-4053.1640625,-150.6890625
-3901.6171875,-4054.8796875,-153.2625
-3901.903125,-4058.025,-156.121875
-3904.4765625,-4063.171875,-158.6953125
-3910.1953125,-4071.4640625,-161.26875
-3920.203125,-4083.1875,-162.984375
-3934.5,-4099.2,-164.7
-3953.6578125,-4118.64375,-164.9859375
-3975.9609375,-4140.946875,-164.985937500001
-4000.265625,-4163.821875,-163.556250000001
-4024.284375,-4185.553125,-161.26875
-4045.1578125,-4203.5671875,-158.409375
-4060.3125,-4215.0046875,-154.6921875
-4067.746875,-4218.4359375,-150.6890625
-4065.459375,-4212.1453125,-146.685937499999
-4053.7359375,-4196.7046875,-142.96875
-4032.5765625,-4172.6859375,-140.109375
-4004.26875,-4142.090625,-137.821875
-3971.3859375,-4108.0640625,-136.678125
-3937.359375,-4074.0375,-136.678125
-3905.334375,-4042.8703125,-137.5359375
-3878.7421875,-4018.2796875,-139.5375
-3860.15625,-4001.98125,-141.825
-3851.00625,-3995.4046875,-144.3984375
-3851.578125,-3998.55,-146.971875
-3861.5859375,-4010.559375,-148.9734375
-3878.7421875,-4028.859375,-150.1171875
-3900.4734375,-4051.1625,-150.6890625
-3923.9203125,-4074.609375,-150.6890625
-3945.9375,-4095.4828125,-149.5453125
-3963.665625,-4111.4953125,-147.8296875
-3974.8171875,-4120.93125,-146.1140625
-3978.2484375,-4122.3609375,-144.1125
-3973.3875,-4115.784375,-142.396875
-3960.5203125,-4101.4875,-140.9671875
-3941.3625,-4081.1859375,-139.8234375
-3917.0578125,-4056.88125,-139.8234375
-3890.465625,-4030.2890625,-139.8234375
-3863.5875,-4003.9828125,-140.3953125
-3838.425,-3979.3921875,-140.9671875
-3817.265625,-3958.51875,-141.253125
-3800.68125,-3942.50625,-141.825
-3789.5296875,-3931.3546875,-141.825
-3784.096875,-3925.35,-141.253125
-3783.8109375,-3923.9203125,-140.109375
-3787.2421875,-3926.49375,-139.2515625
-3793.81875,-3931.640625,-137.821875
-3801.825,-3938.7890625,-136.9640625
-3810.1171875,-3946.2234375,-136.10625
-3817.8375,-3953.94375,-136.10625
-3824.128125,-3960.80625,-136.678125
-3828.703125,-3966.525,-137.821875
-3831.8484375,-3971.3859375,-139.5375
-3833.85,-3974.8171875,-140.9671875
-3834.7078125,-3977.9625,-143.2546875
-3835.565625,-3980.25,-144.684375
-3836.4234375,-3982.2515625,-145.828125
-3837.853125,-3983.9671875,-146.1140625
-3839.8546875,-3985.6828125,-145.828125
-3842.1421875,-3987.1125,-144.9703125
-3844.715625,-3987.9703125,-143.2546875
-3846.7171875,-3988.5421875,-141.825
-3848.146875,-3987.9703125,-139.8234375
-3848.71875,-3987.1125,-138.39375
-3847.8609375,-3985.396875,-137.5359375
