LEFT,RIGHT,DIFF
-267.3515625,131.8171875,399.16875
-276.7875,124.3828125,401.1703125
-287.08125,116.3765625,403.4578125
-297.0890625,109.228125,406.3171875
-305.38125,103.7953125,409.1765625
-311.1,100.9359375,412.0359375
-313.3875,100.9359375,414.3234375
-312.24375,103.7953125,416.0390625
-307.9546875,108.9421875,416.896875
-301.0921875,115.51875,416.6109375
-293.0859375,122.6671875,415.753125
-284.5078125,129.24375,413.7515625
-276.7875,134.6765625,411.4640625
-270.7828125,137.821875,408.6046875
-267.065625,138.965625,406.03125
-266.2078125,138.1078125,404.315625
-267.6375,135.534375,403.171875
-271.06875,132.103125,403.171875
-275.9296875,128.3859375,404.315625
-281.3625,124.66875,406.03125
-287.08125,121.5234375,408.6046875
-292.228125,119.2359375,411.4640625
-296.5171875,117.234375,413.7515625
-299.9484375,115.8046875,415.753125
-302.2359375,114.375,416.6109375
-303.9515625,112.659375,416.6109375
-305.0953125,110.6578125,415.753125
-305.953125,108.084375,414.0375
-306.2390625,105.5109375,411.75
-305.6671875,102.9375,408.6046875
-304.809375,101.221875,406.03125
-303.09375,100.3640625,403.4578125
-300.234375,101.221875,401.45625
-296.5171875,103.509375,400.0265625
-291.9421875,107.5125,399.4546875
-286.7953125,112.659375,399.4546875
-281.6484375,118.378125,400.0265625
-277.0734375,123.8109375,400.884375
-273.6421875,128.3859375,402.028125
-271.9265625,131.2453125,403.171875
-272.2125,131.8171875,404.0296875
-275.071875,130.1015625,405.1734375
-279.9328125,126.0984375,406.03125
-287.08125,119.8078125,406.8890625
-295.0875,112.3734375,407.4609375
-304.2375,104.08125,408.31875
-312.815625,95.7890625,408.6046875
-320.821875,88.9265625,409.7484375
-326.8265625,83.49375,410.3203125
-330.8296875,80.0625,410.8921875
-332.259375,79.2046875,411.4640625
-331.4015625,80.9203125,412.321875
-327.9703125,84.6375,412.6078125
-322.8234375,89.784375,412.6078125
-316.246875,96.3609375,412.6078125
-308.8125,103.509375,412.321875
-301.6640625,110.371875,412.0359375
-294.8015625,116.3765625,411.178125
-289.36875,121.5234375,410.8921875
-285.0796875,124.9546875,410.034375
-282.50625,126.95625,409.4625
-281.6484375,127.528125,409.1765625
-281.934375,126.95625,408.890625
-283.3640625,125.240625,408.6046875
-285.365625,123.2390625,408.6046875
-287.653125,120.9515625,408.6046875
-289.36875,118.95,408.31875
-290.7984375,117.5203125,408.31875
-291.3703125,116.9484375,408.31875
-290.7984375,117.5203125,408.31875
-289.6546875,118.95,408.6046875
-287.9390625,120.9515625,408.890625
-285.365625,123.8109375,409.1765625
-282.7921875,127.2421875,410.034375
