LEFT,RIGHT,DIFF
-11.1515625,-15.440625,-4.2890625
-10.5796875,-13.153125,-2.5734375
-10.29375,-11.4375,-1.14375
-10.29375,-10.0078125,0.285937500000001
-11.1515625,-9.721875,1.4296875
-12.58125,-10.29375,2.2875
-14.296875,-11.7234375,2.5734375
-16.2984375,-14.296875,2.0015625
-18.3,-17.728125,0.571874999999999
-20.3015625,-21.4453125,-1.14375
-22.303125,-25.1625,-2.859375
-23.7328125,-28.59375,-4.8609375
-25.1625,-31.7390625,-6.5765625
-26.0203125,-33.740625,-7.7203125
-26.5921875,-34.884375,-8.2921875
-27.1640625,-35.1703125,-8.00625
-27.45,-34.3125,-6.8625
-27.7359375,-32.596875,-4.8609375
-27.7359375,-30.5953125,-2.859375
-27.45,-28.021875,-0.571874999999999
-27.1640625,-25.4484375,1.715625
-26.30625,-23.1609375,3.1453125
-25.1625,-21.159375,4.003125
-24.01875,-19.7296875,4.2890625
-22.303125,-18.5859375,3.7171875
-20.3015625,-18.3,2.0015625
-18.5859375,-18.3,0.285937499999999
-16.8703125,-18.5859375,-1.715625
-15.7265625,-19.44375,-3.7171875
-14.86875,-20.3015625,-5.4328125
-15.1546875,-21.73125,-6.5765625
-16.0125,-23.1609375,-7.1484375
-17.4421875,-24.590625,-7.1484375
-19.44375,-26.30625,-6.8625
-21.73125,-27.7359375,-6.0046875
-24.01875,-29.165625,-5.146875
-25.734375,-30.0234375,-4.2890625
-27.1640625,-30.5953125,-3.43125
-27.45,-30.5953125,-3.1453125
-26.878125,-29.7375,-2.859375
-25.4484375,-28.3078125,-2.859375
-23.446875,-26.5921875,-3.1453125
-20.8734375,-24.3046875,-3.43125
-18.5859375,-22.303125,-3.7171875
-16.584375,-20.3015625,-3.7171875
-15.7265625,-19.44375,-3.7171875
-16.0125,-19.1578125,-3.1453125
-17.4421875,-20.015625,-2.5734375
-20.015625,-22.303125,-2.2875
-24.01875,-25.734375,-1.715625
-28.59375,-30.0234375,-1.4296875
-33.4546875,-34.884375,-1.4296875
-38.0296875,-40.03125,-2.0015625
-42.0328125,-45.178125,-3.1453125
-45.178125,-49.4671875,-4.2890625
-47.1796875,-53.184375,-6.0046875
-48.0375,-55.7578125,-7.7203125
-47.7515625,-57.1875,-9.4359375
-46.89375,-57.4734375,-10.5796875
-45.4640625,-57.1875,-11.7234375
-43.7484375,-56.3296875,-12.58125
-42.0328125,-54.9,-12.8671875
-40.8890625,-53.184375,-12.2953125
-40.03125,-51.7546875,-11.7234375
-39.7453125,-50.325,-10.5796875
-39.7453125,-48.8953125,-9.15
-40.03125,-47.465625,-7.434375
-40.3171875,-46.321875,-6.0046875
-40.603125,-45.4640625,-4.86093750000001
-40.603125,-44.3203125,-3.7171875
-40.603125,-43.7484375,-3.1453125
-40.603125,-43.1765625,-2.5734375
-40.8890625,-43.1765625,-2.2875
-41.175,-43.4625,-2.28749999999999
-42.0328125,-44.60625,-2.5734375
-43.1765625,-46.321875,-3.1453125
-44.8921875,-48.3234375,-3.43125000000001
-46.6078125,-50.6109375,-4.003125
-48.3234375,-52.8984375,-4.575
-49.753125,-54.6140625,-4.8609375
-50.6109375,-55.471875,-4.86093750000001
-50.6109375,-55.471875,-4.86093750000001
-49.753125,-54.6140625,-4.8609375
-48.0375,-52.6125,-4.575
-45.4640625,-49.753125,-4.2890625
-42.31875,-46.89375,-4.575
-39.459375,-43.7484375,-4.2890625
-36.8859375,-41.4609375,-4.575
-35.1703125,-39.7453125,-4.575
-34.3125,-39.459375,-5.146875
-34.5984375,-40.3171875,-5.71875
-36.028125,-42.31875,-6.290625
-37.74375,-44.8921875,-7.1484375
-39.7453125,-47.465625,-7.7203125
-41.4609375,-49.753125,-8.2921875
-42.6046875,-50.896875,-8.2921875
-42.31875,-50.6109375,-8.2921875
-40.603125,-48.609375,-8.00625
-38.0296875,-45.4640625,-7.434375
-34.3125,-40.8890625,-6.5765625
-30.0234375,-36.028125,-6.0046875
-26.0203125,-31.1671875,-5.146875
-22.5890625,-26.878125,-4.2890625
-20.5875,-24.3046875,-3.7171875
-20.015625,-23.1609375,-3.1453125
-21.159375,-24.01875,-2.859375
-23.7328125,-26.5921875,-2.859375
-27.1640625,-30.309375,-3.1453125
-31.1671875,-34.884375,-3.7171875
-34.884375,-38.8875,-4.003125
-38.0296875,-42.31875,-4.2890625
-39.459375,-44.034375,-4.575
-39.459375,-44.034375,-4.575
-38.0296875,-42.0328125,-4.003125
-34.884375,-38.6015625,-3.7171875
-30.5953125,-33.740625,-3.1453125
-26.30625,-28.59375,-2.2875
-22.0171875,-23.446875,-1.4296875
-18.871875,-19.1578125,-0.285937500000003
-16.584375,-16.2984375,0.285937499999999
-16.2984375,-15.1546875,1.14375
-17.15625,-15.440625,1.715625
-19.44375,-17.15625,2.2875
-22.303125,-19.7296875,2.5734375
-25.4484375,-22.875,2.5734375
-28.3078125,-25.4484375,2.859375
-30.309375,-27.45,2.859375
-31.1671875,-28.3078125,2.859375
-30.5953125,-27.7359375,2.859375
-28.59375,-26.0203125,2.5734375
-25.4484375,-23.1609375,2.2875
-21.73125,-19.44375,2.2875
-18.0140625,-15.7265625,2.2875
-14.296875,-12.009375,2.2875
-11.1515625,-9.15,2.0015625
-9.15,-6.8625,2.2875
-8.2921875,-5.71875,2.5734375
-8.2921875,-5.71875,2.5734375
-9.15,-6.290625,2.859375
-10.865625,-7.434375,3.43125
-12.58125,-8.578125,4.003125
-14.5828125,-10.0078125,4.575
-16.2984375,-11.1515625,5.146875
-17.4421875,-12.009375,5.4328125
-18.5859375,-12.58125,6.0046875
-19.1578125,-12.8671875,6.290625
-19.44375,-13.153125,6.290625
-19.44375,-13.153125,6.290625
-19.7296875,-13.4390625,6.290625
-19.7296875,-13.725,6.0046875
-20.015625,-13.725,6.290625
-20.015625,-13.725,6.290625
-20.015625,-13.4390625,6.5765625
-19.44375,-12.2953125,7.1484375
-18.0140625,-10.865625,7.1484375
-16.2984375,-8.2921875,8.00625
-13.4390625,-5.4328125,8.00625
-10.29375,-1.715625,8.578125
-6.5765625,1.715625,8.2921875
-2.859375,5.146875,8.00625
0.2859375,8.00625,7.7203125
3.1453125,9.721875,6.5765625
4.575,10.29375,5.71875
4.8609375,9.15,4.2890625
3.7171875,6.5765625,2.859375
1.14375,3.1453125,2.0015625
-2.0015625,-1.14375,0.8578125
-6.5765625,-6.0046875,0.571875
-11.1515625,-10.865625,0.285937500000001
-15.440625,-14.5828125,0.8578125
-19.1578125,-17.4421875,1.715625
-21.73125,-18.5859375,3.1453125
-22.5890625,-18.3,4.2890625
-22.5890625,-16.8703125,5.71875
-20.8734375,-14.0109375,6.8625
-18.5859375,-10.5796875,8.00625
-15.440625,-6.8625,8.578125
-12.2953125,-3.43125,8.8640625
-9.4359375,-0.8578125,8.578125
-7.1484375,0.8578125,8.00625
-5.4328125,2.0015625,7.434375
-4.575,2.2875,6.8625
-4.2890625,1.715625,6.0046875
-4.2890625,1.14375,5.4328125
-4.8609375,0.2859375,5.146875
-5.4328125,-0.2859375,5.146875
-5.71875,-0.571875,5.146875
-6.290625,-0.8578125,5.4328125
-6.5765625,-0.8578125,5.71875
-6.8625,-1.14375,5.71875
-7.434375,-1.4296875,6.0046875
-8.2921875,-2.5734375,5.71875
-10.0078125,-4.2890625,5.71875
-12.009375,-6.8625,5.146875
-14.86875,-10.0078125,4.8609375
-17.728125,-13.725,4.003125
-20.8734375,-17.4421875,3.43125
-23.7328125,-20.8734375,2.859375
-26.0203125,-23.446875,2.5734375
-27.1640625,-25.1625,2.0015625
-27.7359375,-25.734375,2.0015625
-27.1640625,-25.1625,2.0015625
-25.734375,-23.446875,2.2875
