LEFT,RIGHT,DIFF
-5.71875,70.9125,76.63125
-4.003125,73.2,77.203125
-1.4296875,76.059375,77.4890625
1.715625,79.7765625,78.0609375
4.8609375,83.2078125,78.346875
7.7203125,85.78125,78.0609375
9.4359375,86.925,77.4890625
10.0078125,86.353125,76.3453125
8.8640625,84.065625,75.2015625
6.290625,80.0625,73.771875
2.0015625,74.34375,72.3421875
-3.1453125,67.7671875,70.9125
-9.15,60.9046875,70.0546875
-15.440625,54.6140625,70.0546875
-21.4453125,48.8953125,70.340625
-26.30625,44.60625,70.9125
-30.0234375,42.0328125,72.05625
-32.596875,40.8890625,73.4859375
-33.4546875,41.4609375,74.915625
-33.16875,42.6046875,75.7734375
-32.025,44.60625,76.63125
-30.309375,46.6078125,76.9171875
-28.3078125,48.3234375,76.63125
-26.878125,49.18125,76.059375
-26.0203125,49.18125,75.2015625
-25.734375,48.3234375,74.0578125
-26.30625,46.6078125,72.9140625
-27.45,44.60625,72.05625
-29.165625,42.6046875,71.7703125
-30.88125,40.8890625,71.7703125
-32.596875,39.7453125,72.3421875
-34.0265625,39.7453125,73.771875
-34.5984375,40.3171875,74.915625
-34.5984375,42.0328125,76.63125
-34.0265625,44.3203125,78.346875
-32.596875,46.89375,79.490625
-30.5953125,50.0390625,80.634375
-28.3078125,53.184375,81.4921875
-26.0203125,56.04375,82.0640625
-23.7328125,58.903125,82.6359375
-21.4453125,60.9046875,82.35
-19.44375,62.90625,82.35
-18.0140625,64.05,82.0640625
-16.8703125,64.9078125,81.778125
-16.2984375,65.19375,81.4921875
-16.2984375,64.9078125,81.20625
-16.584375,64.05,80.634375
-17.728125,62.6203125,80.3484375
-19.1578125,60.3328125,79.490625
-21.4453125,57.4734375,78.91875
-24.01875,53.75625,77.775
-26.878125,50.0390625,76.9171875
-30.0234375,45.75,75.7734375
-32.8828125,41.746875,74.6296875
-35.7421875,38.0296875,73.771875
-38.315625,34.884375,73.2
-40.03125,32.3109375,72.3421875
-41.4609375,30.88125,72.3421875
-41.746875,30.5953125,72.3421875
-41.746875,30.88125,72.628125
-41.175,32.025,73.2
-40.03125,34.0265625,74.0578125
-38.315625,36.028125,74.34375
-36.3140625,38.6015625,74.915625
-34.3125,41.4609375,75.7734375
-31.7390625,44.3203125,76.059375
-28.59375,47.465625,76.059375
-25.4484375,50.325,75.7734375
-22.0171875,53.75625,75.7734375
-18.5859375,56.9015625,75.4875
-14.86875,59.7609375,74.6296875
-11.7234375,62.6203125,74.34375
-8.8640625,64.621875,73.4859375
-7.1484375,66.0515625,73.2
-6.5765625,66.0515625,72.628125
-7.1484375,65.19375,72.3421875
-9.4359375,62.90625,72.3421875
-12.8671875,59.7609375,72.628125
-17.15625,55.7578125,72.9140625
-22.0171875,51.46875,73.4859375
-26.878125,47.465625,74.34375
-31.1671875,44.034375,75.2015625
-34.3125,41.4609375,75.7734375
-36.028125,40.603125,76.63125
-35.7421875,40.8890625,76.63125
-34.3125,42.6046875,76.9171875
-31.453125,45.4640625,76.9171875
-27.7359375,49.18125,76.9171875
-23.7328125,52.6125,76.3453125
-20.3015625,56.04375,76.3453125
-17.4421875,58.33125,75.7734375
-16.0125,59.7609375,75.7734375
-16.0125,60.046875,76.059375
-17.15625,59.475,76.63125
-19.44375,58.0453125,77.4890625
-21.73125,56.3296875,78.0609375
-24.3046875,54.6140625,78.91875
-25.734375,53.4703125,79.2046875
-26.5921875,53.184375,79.7765625
-26.0203125,53.4703125,79.490625
-24.01875,54.6140625,78.6328125
-21.4453125,56.04375,77.4890625
-18.3,57.759375,76.059375
-15.440625,58.903125,74.34375
-12.8671875,59.1890625,72.05625
-11.7234375,58.6171875,70.340625
-12.2953125,56.615625,68.9109375
-14.296875,53.184375,67.48125
-17.728125,48.8953125,66.6234375
-22.5890625,44.034375,66.6234375
-27.7359375,38.8875,66.6234375
-33.4546875,33.740625,67.1953125
-38.315625,29.165625,67.48125
-42.6046875,25.4484375,68.053125
-45.4640625,23.1609375,68.625
-47.1796875,21.73125,68.9109375
-47.465625,21.159375,68.625
-46.6078125,21.4453125,68.053125
-45.178125,22.303125,67.48125
-43.4625,23.446875,66.909375
-42.0328125,24.590625,66.6234375
-40.603125,25.4484375,66.0515625
-39.7453125,26.0203125,65.765625
-39.459375,26.5921875,66.0515625
-39.459375,26.878125,66.3375
-40.03125,26.878125,66.909375
-40.3171875,26.878125,67.1953125
-40.603125,27.1640625,67.7671875
-40.8890625,27.45,68.3390625
-40.603125,28.021875,68.625
-39.7453125,28.59375,68.3390625
-38.8875,29.165625,68.053125
-37.4578125,30.0234375,67.48125
-36.3140625,30.88125,67.1953125
-35.1703125,31.7390625,66.909375
-34.0265625,32.596875,66.6234375
-33.4546875,33.4546875,66.909375
-32.596875,34.0265625,66.6234375
-32.3109375,34.884375,67.1953125
-32.025,35.45625,67.48125
-31.7390625,36.028125,67.7671875
-31.453125,36.6,68.053125
-31.1671875,36.8859375,68.053125
-30.88125,37.171875,68.053125
-30.88125,36.8859375,67.7671875
-30.88125,36.028125,66.909375
-31.1671875,35.1703125,66.3375
-31.7390625,33.740625,65.4796875
-32.8828125,32.025,64.9078125
-34.3125,30.5953125,64.9078125
-35.7421875,29.165625,64.9078125
-37.4578125,28.3078125,65.765625
-38.8875,27.7359375,66.6234375
-39.7453125,28.3078125,68.053125
-40.3171875,29.4515625,69.76875
-39.7453125,31.453125,71.1984375
-38.6015625,34.0265625,72.628125
-36.6,36.8859375,73.4859375
-34.0265625,40.3171875,74.34375
-31.1671875,43.4625,74.6296875
-28.3078125,46.0359375,74.34375
-25.4484375,48.0375,73.4859375
-23.446875,49.4671875,72.9140625
-22.0171875,49.753125,71.7703125
-21.159375,49.18125,70.340625
-21.4453125,47.7515625,69.196875
-22.5890625,45.75,68.3390625
-24.01875,43.7484375,67.7671875
-25.734375,41.746875,67.48125
-27.45,40.3171875,67.7671875
-28.59375,39.459375,68.053125
-29.165625,39.7453125,68.9109375
-28.59375,40.8890625,69.4828125
-27.45,43.1765625,70.6265625
-25.1625,46.321875,71.484375
-22.0171875,50.325,72.3421875
-18.5859375,54.6140625,73.2
-14.5828125,58.903125,73.4859375
-11.1515625,62.90625,74.0578125
-8.00625,66.3375,74.34375
-5.4328125,68.9109375,74.34375
-4.003125,70.340625,74.34375
-3.43125,70.9125,74.34375
-3.7171875,70.6265625,74.34375
-4.575,69.4828125,74.0578125
-6.0046875,68.3390625,74.34375
-7.434375,67.1953125,74.6296875
-8.8640625,66.3375,75.2015625
-9.721875,66.0515625,75.7734375
-10.0078125,66.6234375,76.63125
-9.4359375,68.053125,77.4890625
-8.00625,70.340625,78.346875
-6.0046875,73.2,79.2046875
-3.43125,76.63125,80.0625
-0.8578125,80.0625,80.9203125
1.4296875,83.2078125,81.778125
3.7171875,85.4953125,81.778125
5.146875,87.2109375,82.0640625
6.0046875,87.7828125,81.778125
6.0046875,87.2109375,81.20625
5.146875,85.78125,80.634375
3.7171875,83.7796875,80.0625
1.715625,81.20625,79.490625
-0.2859375,78.6328125,78.91875
-2.2875,76.3453125,78.6328125
-4.003125,74.6296875,78.6328125
-5.4328125,73.771875,79.2046875
-6.0046875,73.771875,79.7765625
-6.0046875,74.6296875,80.634375
-5.146875,76.3453125,81.4921875
-3.43125,78.6328125,82.0640625
-1.4296875,81.778125,83.2078125
0.8578125,84.9234375,84.065625
4.003125,88.06875,84.065625
6.8625,90.6421875,83.7796875
10.0078125,93.215625,83.2078125
12.8671875,94.93125,82.0640625
15.1546875,96.075,80.9203125
17.15625,96.3609375,79.2046875
18.0140625,96.075,78.0609375
18.3,94.93125,76.63125
