LEFT,RIGHT,DIFF
9.721875,26.5921875,16.8703125
10.5796875,24.8765625,14.296875
12.8671875,23.7328125,10.865625
16.0125,22.875,6.8625
20.3015625,23.446875,3.1453125
24.590625,24.590625,0.0
28.8796875,26.878125,-2.0015625
32.3109375,29.4515625,-2.859375
34.5984375,32.596875,-2.0015625
35.45625,35.7421875,0.285937499999996
34.884375,38.6015625,3.7171875
32.8828125,40.8890625,8.00625
29.7375,42.6046875,12.8671875
25.734375,43.7484375,18.0140625
22.0171875,44.3203125,22.303125
18.5859375,44.60625,26.0203125
16.2984375,45.178125,28.8796875
14.86875,45.75,30.88125
14.86875,46.89375,32.025
15.440625,48.0375,32.596875
16.584375,49.4671875,32.8828125
18.0140625,50.6109375,32.596875
18.871875,51.1828125,32.3109375
18.871875,51.1828125,32.3109375
17.728125,50.325,32.596875
15.440625,48.609375,33.16875
12.58125,46.0359375,33.4546875
9.4359375,43.1765625,33.740625
6.5765625,40.3171875,33.740625
4.2890625,38.315625,34.0265625
3.43125,36.8859375,33.4546875
4.003125,36.8859375,32.8828125
6.290625,38.315625,32.025
10.0078125,40.8890625,30.88125
14.296875,44.3203125,30.0234375
18.5859375,47.7515625,29.165625
22.303125,50.896875,28.59375
24.8765625,53.184375,28.3078125
25.4484375,54.0421875,28.59375
24.590625,52.8984375,28.3078125
22.0171875,50.325,28.3078125
18.5859375,46.321875,27.7359375
14.5828125,41.746875,27.1640625
11.1515625,37.171875,26.0203125
8.8640625,33.16875,24.3046875
8.2921875,30.88125,22.5890625
9.721875,30.0234375,20.3015625
13.153125,31.453125,18.3
17.728125,34.5984375,16.8703125
23.1609375,39.1734375,16.0125
28.3078125,44.8921875,16.584375
32.596875,50.6109375,18.0140625
35.1703125,55.471875,20.3015625
35.7421875,59.1890625,23.446875
34.3125,60.9046875,26.5921875
30.88125,60.9046875,30.0234375
26.0203125,58.903125,32.8828125
20.8734375,55.471875,34.5984375
15.7265625,51.1828125,35.45625
11.4375,46.6078125,35.1703125
8.2921875,42.0328125,33.740625
7.1484375,38.315625,31.1671875
7.434375,35.7421875,28.3078125
8.8640625,34.3125,25.4484375
11.4375,34.3125,22.875
14.296875,35.1703125,20.8734375
16.8703125,36.8859375,20.015625
19.1578125,39.1734375,20.015625
20.5875,41.746875,21.159375
21.73125,44.3203125,22.5890625
22.5890625,46.6078125,24.01875
23.446875,48.8953125,25.4484375
24.8765625,50.6109375,25.734375
26.878125,52.3265625,25.4484375
29.4515625,54.0421875,24.590625
32.596875,55.471875,22.875
36.3140625,56.9015625,20.5875
39.7453125,58.33125,18.5859375
42.6046875,59.1890625,16.584375
44.3203125,59.7609375,15.440625
44.60625,60.046875,15.440625
43.4625,59.7609375,16.2984375
40.603125,58.6171875,18.0140625
36.8859375,57.4734375,20.5875
32.3109375,55.7578125,23.446875
28.021875,54.0421875,26.0203125
24.590625,52.3265625,27.7359375
22.0171875,50.896875,28.8796875
21.159375,49.753125,28.59375
21.73125,49.18125,27.45
23.446875,48.8953125,25.4484375
25.734375,48.8953125,23.1609375
28.3078125,48.8953125,20.5875
30.0234375,48.3234375,18.3
30.5953125,47.1796875,16.584375
29.165625,44.60625,15.440625
25.734375,40.8890625,15.1546875
20.015625,35.45625,15.440625
12.009375,28.59375,16.584375
2.5734375,20.015625,17.4421875
-8.00625,10.0078125,18.0140625
-19.1578125,-0.2859375,18.871875
-30.309375,-11.4375,18.871875
-40.603125,-22.0171875,18.5859375
-49.753125,-31.7390625,18.0140625
-57.1875,-39.7453125,17.4421875
-62.334375,-45.178125,17.15625
-65.4796875,-48.0375,17.4421875
-66.0515625,-47.465625,18.5859375
-64.3359375,-43.7484375,20.5875
-60.3328125,-36.8859375,23.446875
-54.328125,-27.1640625,27.1640625
-46.321875,-15.440625,30.88125
-36.8859375,-2.5734375,34.3125
-26.5921875,10.29375,36.8859375
-16.0125,23.1609375,39.1734375
-5.4328125,34.3125,39.7453125
4.2890625,43.7484375,39.459375
13.153125,50.6109375,37.4578125
20.5875,55.1859375,34.5984375
26.0203125,56.9015625,30.88125
30.0234375,56.9015625,26.878125
32.3109375,55.1859375,22.875
33.4546875,52.6125,19.1578125
33.740625,50.0390625,16.2984375
33.16875,47.7515625,14.5828125
32.8828125,46.0359375,13.153125
32.596875,45.4640625,12.8671875
32.596875,45.75,13.153125
32.8828125,46.89375,14.0109375
33.16875,48.609375,15.440625
33.4546875,50.0390625,16.584375
33.16875,51.46875,18.3
32.025,52.3265625,20.3015625
30.5953125,52.3265625,21.73125
28.3078125,51.7546875,23.446875
25.4484375,50.896875,25.4484375
22.875,50.0390625,27.1640625
20.8734375,49.18125,28.3078125
19.7296875,49.18125,29.4515625
20.015625,50.325,30.309375
22.0171875,52.3265625,30.309375
25.4484375,55.1859375,29.7375
30.5953125,59.1890625,28.59375
36.3140625,63.1921875,26.878125
42.31875,67.1953125,24.8765625
47.7515625,70.340625,22.5890625
51.7546875,72.628125,20.8734375
54.0421875,73.4859375,19.44375
53.75625,72.628125,18.871875
51.46875,70.340625,18.871875
47.1796875,66.909375,19.7296875
41.4609375,62.6203125,21.159375
34.884375,58.0453125,23.1609375
28.59375,53.4703125,24.8765625
23.1609375,49.4671875,26.30625
19.1578125,46.0359375,26.878125
16.8703125,43.4625,26.5921875
16.2984375,41.4609375,25.1625
17.4421875,39.7453125,22.303125
19.44375,38.0296875,18.5859375
21.4453125,36.3140625,14.86875
23.446875,34.3125,10.865625
24.8765625,31.7390625,6.8625
24.8765625,29.4515625,4.575
23.7328125,27.1640625,3.43125
21.73125,25.734375,4.003125
19.44375,24.8765625,5.4328125
17.15625,25.734375,8.578125
15.7265625,28.021875,12.2953125
15.440625,32.025,16.584375
16.8703125,37.171875,20.3015625
20.015625,43.4625,23.446875
24.3046875,49.753125,25.4484375
29.4515625,55.471875,26.0203125
35.1703125,60.046875,24.8765625
40.3171875,63.1921875,22.875
44.3203125,64.05,19.7296875
46.89375,62.90625,16.0125
47.465625,59.7609375,12.2953125
46.6078125,55.1859375,8.578125
44.034375,50.0390625,6.0046875
40.3171875,44.8921875,4.575
36.6,40.3171875,3.7171875
33.16875,37.171875,4.003125
30.88125,35.7421875,4.8609375
29.4515625,36.028125,6.5765625
30.0234375,38.0296875,8.00625
