LEFT,RIGHT,DIFF
-84.3515625,-60.3328125,24.01875
-84.3515625,-60.3328125,24.01875
-83.49375,-61.4765625,22.0171875
-81.778125,-63.1921875,18.5859375
-79.2046875,-64.9078125,14.296875
-76.059375,-66.3375,9.721875
-72.05625,-67.1953125,4.86093750000001
-68.053125,-67.48125,0.571875000000006
-64.621875,-66.909375,-2.28749999999999
-61.7625,-66.3375,-4.575
-60.046875,-66.0515625,-6.0046875
-60.046875,-66.3375,-6.29062500000001
-61.4765625,-67.48125,-6.0046875
-64.3359375,-69.76875,-5.4328125
-68.3390625,-73.4859375,-5.14687500000001
-72.9140625,-77.775,-4.86093750000001
-77.4890625,-82.6359375,-5.14687499999999
-81.4921875,-86.925,-5.4328125
-84.6375,-90.6421875,-6.0046875
-86.6390625,-93.215625,-6.57656249999999
-86.925,-94.0734375,-7.1484375
-86.353125,-93.5015625,-7.1484375
-84.9234375,-91.7859375,-6.8625
-82.921875,-89.4984375,-6.57656250000001
-81.20625,-86.925,-5.71875
-80.0625,-85.209375,-5.14687500000001
-79.7765625,-84.6375,-4.86093750000001
-80.9203125,-85.4953125,-4.57499999999999
-83.49375,-88.06875,-4.575
-86.6390625,-92.071875,-5.4328125
-90.6421875,-97.21875,-6.57656249999999
-94.6453125,-102.6515625,-8.00624999999999
-98.0765625,-107.2265625,-9.14999999999999
-100.65,-110.6578125,-10.0078125
-101.5078125,-112.0875,-10.5796875
-100.9359375,-110.94375,-10.0078125
-98.3625,-107.7984375,-9.43593750000001
-94.6453125,-102.365625,-7.72031250000001
-89.784375,-95.503125,-5.71875
-84.6375,-88.06875,-3.43125000000001
-79.7765625,-80.9203125,-1.14375000000001
-75.7734375,-74.6296875,1.14375
-73.4859375,-70.340625,3.1453125
-72.9140625,-67.7671875,5.14687499999999
-74.0578125,-67.48125,6.57656249999999
-76.9171875,-68.9109375,8.00624999999999
-80.9203125,-71.484375,9.43593750000001
-85.4953125,-74.34375,11.1515625
-90.0703125,-76.9171875,13.153125
-93.7875,-78.6328125,15.1546875
-95.7890625,-78.346875,17.4421875
-96.3609375,-76.63125,19.7296875
-94.6453125,-72.9140625,21.73125
-91.2140625,-67.7671875,23.446875
-86.0671875,-61.7625,24.3046875
-80.3484375,-55.7578125,24.590625
-74.6296875,-50.0390625,24.590625
-69.196875,-45.4640625,23.7328125
-65.19375,-42.0328125,23.1609375
-62.6203125,-40.3171875,22.303125
-62.0484375,-40.03125,22.0171875
-63.1921875,-40.603125,22.5890625
-65.765625,-42.0328125,23.7328125
-69.196875,-43.1765625,26.0203125
-72.9140625,-44.3203125,28.59375
-76.3453125,-44.3203125,32.025
-78.91875,-43.7484375,35.1703125
-80.634375,-42.0328125,38.6015625
-80.9203125,-40.03125,40.8890625
-80.3484375,-38.0296875,42.31875
-79.2046875,-36.3140625,42.890625
