LEFT,RIGHT,DIFF
-3.43125,-5.146875,-1.715625
-4.003125,-4.575,-0.571875
-4.8609375,-5.146875,-0.2859375
-6.290625,-6.5765625,-0.2859375
-7.7203125,-8.578125,-0.8578125
-9.4359375,-10.865625,-1.4296875
-11.4375,-13.725,-2.2875
-13.725,-16.2984375,-2.5734375
-16.2984375,-18.871875,-2.5734375
-19.1578125,-21.159375,-2.0015625
-22.5890625,-23.1609375,-0.571874999999999
-26.30625,-24.8765625,1.4296875
-30.309375,-26.0203125,4.2890625
-33.740625,-26.878125,6.8625
-36.8859375,-27.45,9.4359375
-39.1734375,-27.45,11.7234375
-40.03125,-26.878125,13.153125
-39.7453125,-26.0203125,13.725
-38.0296875,-24.590625,13.4390625
-35.1703125,-22.875,12.2953125
-31.1671875,-21.159375,10.0078125
-27.1640625,-19.1578125,8.00625
-23.1609375,-17.728125,5.4328125
-20.015625,-16.584375,3.43125
-18.3,-16.0125,2.2875
-18.0140625,-16.584375,1.4296875
-19.7296875,-18.0140625,1.715625
-22.875,-20.8734375,2.0015625
-27.45,-24.3046875,3.1453125
-32.8828125,-28.59375,4.2890625
-38.6015625,-33.4546875,5.146875
-43.4625,-38.315625,5.14687499999999
-47.1796875,-42.6046875,4.575
-49.18125,-46.321875,2.859375
-49.18125,-48.8953125,0.285937499999996
-47.1796875,-50.0390625,-2.859375
-43.4625,-50.0390625,-6.5765625
-38.6015625,-48.609375,-10.0078125
-33.16875,-46.0359375,-12.8671875
-27.7359375,-42.890625,-15.1546875
-22.875,-39.1734375,-16.2984375
-19.44375,-35.45625,-16.0125
-17.4421875,-32.025,-14.5828125
-17.15625,-29.165625,-12.009375
-18.0140625,-26.5921875,-8.578125
-20.015625,-24.590625,-4.575
-22.0171875,-23.1609375,-1.14375
-23.7328125,-21.73125,2.0015625
-24.8765625,-20.3015625,4.575
-24.590625,-19.1578125,5.4328125
-23.1609375,-17.4421875,5.71875
-20.3015625,-16.0125,4.2890625
-16.8703125,-14.5828125,2.2875
-12.8671875,-13.4390625,-0.571875
-9.15,-12.58125,-3.43125
-6.0046875,-12.2953125,-6.290625
-4.003125,-12.8671875,-8.8640625
-3.43125,-14.0109375,-10.5796875
-3.7171875,-15.7265625,-12.009375
-5.146875,-17.728125,-12.58125
-7.1484375,-19.7296875,-12.58125
-8.578125,-21.159375,-12.58125
-9.721875,-21.4453125,-11.7234375
-9.4359375,-20.8734375,-11.4375
-8.00625,-19.1578125,-11.1515625
-5.4328125,-16.0125,-10.5796875
-1.715625,-12.2953125,-10.5796875
2.0015625,-8.2921875,-10.29375
5.4328125,-4.575,-10.0078125
8.2921875,-1.4296875,-9.721875
9.15,0.0,-9.15
8.2921875,0.0,-8.2921875
5.4328125,-2.0015625,-7.434375
0.571875,-5.4328125,-6.0046875
-5.4328125,-10.5796875,-5.146875
-12.009375,-16.584375,-4.575
-18.5859375,-22.5890625,-4.003125
-24.3046875,-28.021875,-3.7171875
-28.3078125,-32.596875,-4.2890625
-30.309375,-35.45625,-5.146875
-30.0234375,-36.6,-6.5765625
-28.021875,-36.028125,-8.00625
-24.3046875,-33.740625,-9.4359375
-19.7296875,-30.309375,-10.5796875
-14.86875,-26.5921875,-11.7234375
-10.865625,-22.875,-12.009375
-7.434375,-20.015625,-12.58125
-5.71875,-18.871875,-13.153125
-5.4328125,-19.1578125,-13.725
-6.8625,-21.73125,-14.86875
-9.15,-25.734375,-16.584375
-12.58125,-31.7390625,-19.1578125
-16.2984375,-38.8875,-22.5890625
-19.7296875,-46.6078125,-26.878125
-22.875,-54.6140625,-31.7390625
-25.4484375,-62.334375,-36.8859375
-26.878125,-68.9109375,-42.0328125
-27.45,-74.6296875,-47.1796875
-26.878125,-78.6328125,-51.7546875
-25.4484375,-81.4921875,-56.04375
-22.875,-82.921875,-60.046875
-19.7296875,-83.49375,-63.7640625
-16.0125,-83.2078125,-67.1953125
-11.7234375,-82.6359375,-70.9125
-7.1484375,-82.6359375,-75.4875
-2.859375,-82.921875,-80.0625
0.571875,-84.065625,-84.6375
3.7171875,-86.6390625,-90.35625
5.71875,-90.0703125,-95.7890625
6.290625,-94.359375,-100.65
5.4328125,-99.50625,-104.9390625
3.43125,-105.225,-108.65625
0.0,-110.6578125,-110.6578125
-3.7171875,-115.8046875,-112.0875
-8.2921875,-119.8078125,-111.515625
-12.2953125,-122.953125,-110.6578125
-16.0125,-125.240625,-109.228125
-18.3,-126.0984375,-107.7984375
-19.7296875,-126.0984375,-106.36875
-19.44375,-125.5265625,-106.0828125
-18.3,-124.66875,-106.36875
-16.584375,-123.8109375,-107.2265625
-14.296875,-123.525,-109.228125
-12.2953125,-123.8109375,-111.515625
-10.865625,-124.66875,-113.803125
-10.5796875,-126.0984375,-115.51875
-10.865625,-127.8140625,-116.9484375
-12.2953125,-129.815625,-117.5203125
