LEFT,RIGHT,DIFF
-217.3125,-459.7875,-242.475
-218.45625,-462.075,-243.61875
-220.171875,-465.7921875,-245.6203125
-223.03125,-470.9390625,-247.9078125
-226.7484375,-476.94375,-250.1953125
-231.0375,-483.80625,-252.76875
-236.184375,-491.240625,-255.05625
-241.6171875,-498.3890625,-256.771875
-247.05,-505.2515625,-258.2015625
-252.196875,-511.25625,-259.059375
-257.0578125,-515.83125,-258.7734375
-260.4890625,-518.9765625,-258.4875
-262.7765625,-520.40625,-257.6296875
-263.3484375,-519.834375,-256.4859375
-262.490625,-517.546875,-255.05625
-259.63125,-513.8296875,-254.1984375
-255.9140625,-508.96875,-253.0546875
-251.053125,-503.821875,-252.76875
-246.478125,-498.9609375,-252.4828125
-242.475,-494.9578125,-252.4828125
-239.615625,-492.384375,-252.76875
-238.7578125,-492.0984375,-253.340625
-240.4734375,-494.1,-253.6265625
-244.190625,-498.103125,-253.9125
-250.1953125,-504.1078125,-253.9125
-257.6296875,-511.25625,-253.6265625
-265.6359375,-518.9765625,-253.340625
-273.35625,-526.125,-252.76875
-279.646875,-531.5578125,-251.9109375
-284.221875,-535.275,-251.053125
-285.9375,-536.41875,-250.48125
-285.0796875,-534.9890625,-249.909375
-281.6484375,-531.5578125,-249.909375
-276.5015625,-526.696875,-250.1953125
-270.7828125,-521.2640625,-250.48125
-264.778125,-516.1171875,-251.3390625
-260.4890625,-512.971875,-252.4828125
-258.2015625,-511.828125,-253.6265625
-258.7734375,-513.8296875,-255.05625
-262.490625,-518.690625,-256.2
-268.78125,-526.4109375,-257.6296875
-277.359375,-536.41875,-259.059375
-287.3671875,-547.284375,-259.9171875
-297.6609375,-558.4359375,-260.775
-307.096875,-568.44375,-261.346875
-314.8171875,-576.7359375,-261.91875
-320.25,-582.4546875,-262.2046875
-323.109375,-585.6,-262.490625
-323.68125,-585.8859375,-262.2046875
-322.2515625,-583.884375,-261.6328125
-319.3921875,-580.1671875,-260.775
-315.9609375,-575.5921875,-259.63125
-312.5296875,-571.0171875,-258.4875
-310.2421875,-567.3,-257.0578125
-309.0984375,-564.440625,-255.3421875
-309.0984375,-563.296875,-254.1984375
-310.8140625,-563.296875,-252.4828125
-313.3875,-565.0125,-251.625
-316.246875,-567.3,-251.053125
-319.10625,-569.8734375,-250.7671875
-321.39375,-572.7328125,-251.3390625
-322.8234375,-574.734375,-251.9109375
-323.109375,-576.1640625,-253.0546875
-322.2515625,-576.45,-254.1984375
-320.5359375,-575.5921875,-255.05625
-318.2484375,-574.1625,-255.9140625
-315.9609375,-572.1609375,-256.2
-313.959375,-570.159375,-256.2
-313.1015625,-568.1578125,-255.05625
-313.1015625,-567.0140625,-253.9125
-314.53125,-566.4421875,-251.9109375
-316.81875,-567.0140625,-250.1953125
-319.9640625,-568.1578125,-248.19375
-323.68125,-570.159375,-246.478125
-326.8265625,-572.1609375,-245.334375
-329.1140625,-574.4484375,-245.334375
-330.2578125,-575.878125,-245.6203125
-329.4,-576.1640625,-246.7640625
-326.2546875,-575.30625,-249.0515625
-321.39375,-572.7328125,-251.3390625
-314.53125,-568.7296875,-254.1984375
-306.525,-563.5828125,-257.0578125
-297.6609375,-557.578125,-259.9171875
-289.36875,-551.2875,-261.91875
-281.934375,-545.2828125,-263.3484375
-276.215625,-540.7078125,-264.4921875
-273.0703125,-538.134375,-265.0640625
-272.2125,-537.5625,-265.35
-274.2140625,-539.278125,-265.0640625
-278.503125,-543.28125,-264.778125
-284.221875,-549.0,-264.778125
-290.7984375,-555.5765625,-264.778125
-297.0890625,-562.153125,-265.0640625
-302.521875,-568.1578125,-265.6359375
-306.2390625,-572.446875,-266.2078125
-307.66875,-574.4484375,-266.7796875
-306.525,-573.8765625,-267.3515625
-303.3796875,-571.0171875,-267.6375
-298.51875,-565.8703125,-267.3515625
-292.228125,-559.5796875,-267.3515625
-286.2234375,-552.7171875,-266.49375
-280.5046875,-546.4265625,-265.921875
-276.215625,-541.2796875,-265.0640625
-273.928125,-538.134375,-264.20625
-273.35625,-536.990625,-263.634375
-274.7859375,-537.5625,-262.7765625
-277.6453125,-540.1359375,-262.490625
-280.790625,-543.28125,-262.490625
-283.9359375,-546.9984375,-263.0625
-286.509375,-549.8578125,-263.3484375
-287.3671875,-551.5734375,-264.20625
-286.7953125,-551.5734375,-264.778125
-284.221875,-549.8578125,-265.6359375
-280.5046875,-546.7125,-266.2078125
-275.64375,-542.4234375,-266.7796875
-270.496875,-537.5625,-267.065625
-266.2078125,-533.2734375,-267.065625
-262.7765625,-529.55625,-266.7796875
-261.0609375,-527.5546875,-266.49375
-261.0609375,-527.26875,-266.2078125
-263.0625,-528.4125,-265.35
-266.49375,-531.271875,-264.778125
-270.7828125,-534.703125,-263.9203125
-275.3578125,-538.70625,-263.3484375
-279.646875,-542.4234375,-262.7765625
-283.078125,-545.2828125,-262.2046875
-285.365625,-547.284375,-261.91875
-285.9375,-547.5703125,-261.6328125
-285.365625,-546.9984375,-261.6328125
-283.65,-545.56875,-261.91875
-281.3625,-543.5671875,-262.2046875
-279.075,-541.565625,-262.490625
-277.0734375,-540.1359375,-263.0625
-275.9296875,-539.278125,-263.3484375
-275.9296875,-538.9921875,-263.0625
-276.7875,-539.85,-263.0625
-278.503125,-541.2796875,-262.7765625
-280.5046875,-542.709375,-262.2046875
-282.7921875,-543.853125,-261.0609375
-284.221875,-544.425,-260.203125
-284.79375,-543.853125,-259.059375
-283.65,-541.8515625,-258.2015625
-281.0765625,-538.4203125,-257.34375
-276.7875,-533.8453125,-257.0578125
-270.7828125,-528.1265625,-257.34375
-263.9203125,-521.8359375,-257.915625
-256.4859375,-515.5453125,-259.059375
-249.3375,-509.8265625,-260.4890625
-243.046875,-505.2515625,-262.2046875
-238.7578125,-502.678125,-263.9203125
-236.184375,-502.3921875,-266.2078125
-236.4703125,-504.1078125,-267.6375
-239.04375,-508.396875,-269.353125
-244.190625,-514.4015625,-270.2109375
-251.3390625,-521.8359375,-270.496875
-259.63125,-530.128125,-270.496875
-268.209375,-538.134375,-269.925
-276.215625,-544.996875,-268.78125
-282.50625,-550.4296875,-267.9234375
-286.509375,-553.2890625,-266.7796875
-287.9390625,-553.575,-265.6359375
-286.2234375,-550.715625,-264.4921875
-281.3625,-545.56875,-264.20625
-274.5,-538.134375,-263.634375
-265.921875,-529.8421875,-263.9203125
-257.0578125,-521.2640625,-264.20625
-248.765625,-513.54375,-264.778125
-242.1890625,-507.5390625,-265.35
-237.9,-503.821875,-265.921875
-236.4703125,-503.25,-266.7796875
-238.1859375,-505.8234375,-267.6375
-242.475,-510.3984375,-267.9234375
-248.765625,-516.975,-268.209375
-256.2,-524.1234375,-267.9234375
-263.0625,-530.9859375,-267.9234375
-268.78125,-536.1328125,-267.3515625
-272.2125,-538.9921875,-266.7796875
-272.784375,-538.70625,-265.921875
-270.496875,-535.846875,-265.35
-265.35,-530.4140625,-265.0640625
-258.4875,-522.9796875,-264.4921875
-250.48125,-515.259375,-264.778125
-242.7609375,-508.1109375,-265.35
-236.75625,-502.3921875,-265.6359375
-233.0390625,-499.5328125,-266.49375
-232.4671875,-500.1046875,-267.6375
-235.040625,-503.821875,-268.78125
-240.759375,-510.1125,-269.353125
-248.4796875,-518.690625,-270.2109375
-257.6296875,-528.4125,-270.7828125
-266.7796875,-537.5625,-270.7828125
-274.7859375,-545.56875,-270.7828125
-281.0765625,-551.2875,-270.2109375
-285.0796875,-554.4328125,-269.353125
-286.2234375,-555.0046875,-268.78125
-284.79375,-553.2890625,-268.4953125
-281.6484375,-549.8578125,-268.209375
-277.6453125,-545.8546875,-268.209375
-273.0703125,-541.565625,-268.4953125
-268.78125,-538.134375,-269.353125
-276.215625,-556.7203125,-280.5046875
-275.64375,-554.71875,-279.075
-274.5,-552.43125,-277.93125
-273.928125,-550.4296875,-276.5015625
-274.5,-549.8578125,-275.3578125
-276.215625,-550.4296875,-274.2140625
-279.3609375,-553.003125,-273.6421875
-284.221875,-557.00625,-272.784375
-289.940625,-562.153125,-272.2125
-296.5171875,-568.1578125,-271.640625
-303.09375,-573.8765625,-270.7828125
-309.0984375,-579.0234375,-269.925
-314.2453125,-582.740625,-268.4953125
-317.9625,-585.028125,-267.065625
-319.9640625,-585.3140625,-265.35
-320.25,-583.884375,-263.634375
-318.534375,-581.025,-262.490625
-315.3890625,-576.45,-261.0609375
-311.1,-571.0171875,-259.9171875
-305.6671875,-565.2984375,-259.63125
-299.6625,-559.29375,-259.63125
-293.6578125,-553.575,-259.9171875
-288.225,-548.7140625,-260.4890625
-283.3640625,-544.996875,-261.6328125
-279.9328125,-542.4234375,-262.490625
-277.93125,-541.565625,-263.634375
-277.6453125,-542.1375,-264.4921875
-279.3609375,-544.1390625,-264.778125
-282.50625,-548.1421875,-265.6359375
-287.3671875,-553.2890625,-265.921875
-293.371875,-559.5796875,-266.2078125
-299.9484375,-566.4421875,-266.49375
-306.525,-573.3046875,-266.7796875
-312.5296875,-579.5953125,-267.065625
-317.390625,-584.45625,-267.065625
-320.25,-587.6015625,-267.3515625
-320.821875,-588.459375,-267.6375
-319.10625,-586.74375,-267.6375
-314.53125,-582.16875,-267.6375
-307.66875,-575.30625,-267.6375
-298.51875,-568.7296875,-270.2109375
-296.5171875,-567.5859375,-271.06875
-294.2296875,-566.15625,-271.9265625
-291.9421875,-565.0125,-273.0703125
-290.5125,-564.7265625,-274.2140625
-289.940625,-565.0125,-275.071875
-290.5125,-565.8703125,-275.3578125
-292.228125,-567.871875,-275.64375
-294.8015625,-570.159375,-275.3578125
-298.2328125,-573.01875,-274.7859375
-301.6640625,-575.5921875,-273.928125
-305.0953125,-578.165625,-273.0703125
-307.9546875,-579.88125,-271.9265625
-309.6703125,-580.7390625,-271.06875
-309.95625,-580.7390625,-270.7828125
-309.0984375,-579.5953125,-270.496875
-306.525,-577.3078125,-270.7828125
-302.8078125,-573.8765625,-271.06875
-298.2328125,-569.8734375,-271.640625
-293.371875,-565.584375,-272.2125
-353.1328125,-620.484375,-267.3515625
-353.41875,-618.4828125,-265.0640625
-353.7046875,-616.7671875,-263.0625
-353.41875,-615.3375,-261.91875
-352.846875,-613.9078125,-261.0609375
-350.8453125,-612.1921875,-261.346875
-347.7,-609.9046875,-262.2046875
-342.8390625,-606.759375,-263.9203125
-336.5484375,-602.4703125,-265.921875
-328.828125,-597.3234375,-268.4953125
-319.9640625,-591.0328125,-271.06875
-311.1,-583.884375,-272.784375
-302.2359375,-576.7359375,-274.5
-294.8015625,-570.159375,-275.3578125
-289.36875,-564.440625,-275.071875
-286.2234375,-560.7234375,-274.5
-285.6515625,-558.721875,-273.0703125
-287.9390625,-559.29375,-271.3546875
-292.5140625,-562.153125,-269.6390625
-299.3765625,-567.0140625,-267.6375
-339.4078125,-606.4734375,-267.065625
-340.265625,-607.33125,-267.065625
-340.8375,-607.6171875,-266.7796875
-341.1234375,-607.6171875,-266.49375
