LEFT,RIGHT,DIFF
-249.909375,-447.20625,-197.296875
-249.3375,-445.2046875,-195.8671875
-249.0515625,-443.203125,-194.1515625
-249.0515625,-441.4875,-192.4359375
-248.765625,-440.0578125,-191.2921875
-249.0515625,-439.2,-190.1484375
-249.3375,-438.9140625,-189.5765625
-250.1953125,-439.771875,-189.5765625
-251.625,-441.7734375,-190.1484375
-253.6265625,-444.91875,-191.2921875
-257.0578125,-448.921875,-191.8640625
-261.346875,-453.7828125,-192.4359375
-266.49375,-459.215625,-192.721875
-272.4984375,-464.3625,-191.8640625
-278.7890625,-469.509375,-190.7203125
-285.0796875,-473.2265625,-188.146875
-290.5125,-475.8,-185.2875
-294.515625,-476.6578125,-182.1421875
-296.803125,-475.5140625,-178.7109375
-297.0890625,-472.6546875,-175.565625
-295.0875,-468.0796875,-172.9921875
-291.3703125,-462.3609375,-170.990625
-285.9375,-456.35625,-170.41875
-279.646875,-450.065625,-170.41875
-272.784375,-444.0609375,-171.2765625
-266.2078125,-438.9140625,-172.70625
-260.4890625,-434.625,-174.1359375
-255.3421875,-431.19375,-175.8515625
-251.3390625,-428.6203125,-177.28125
-248.4796875,-426.61875,-178.1390625
-246.1921875,-424.903125,-178.7109375
-244.190625,-423.1875,-178.996875
-242.475,-421.471875,-178.996875
-240.759375,-419.75625,-178.996875
-239.04375,-418.3265625,-179.2828125
-237.328125,-417.1828125,-179.8546875
-235.8984375,-416.6109375,-180.7125
-235.040625,-417.1828125,-182.1421875
-235.040625,-418.8984375,-183.8578125
-236.184375,-421.7578125,-185.5734375
-238.1859375,-425.475,-187.2890625
-241.33125,-430.05,-188.71875
-245.334375,-435.196875,-189.8625
-249.909375,-439.771875,-189.8625
-254.484375,-444.0609375,-189.5765625
-258.2015625,-446.9203125,-188.71875
-261.0609375,-448.6359375,-187.575
-262.7765625,-448.921875,-186.1453125
-262.7765625,-447.778125,-185.0015625
-261.6328125,-445.7765625,-184.14375
-259.059375,-442.63125,-183.571875
-255.3421875,-439.4859375,-184.14375
-251.625,-436.0546875,-184.4296875
-247.3359375,-432.909375,-185.5734375
-243.61875,-430.3359375,-186.7171875
-240.759375,-428.6203125,-187.8609375
-238.7578125,-427.7625,-189.0046875
-237.9,-427.7625,-189.8625
-238.1859375,-428.334375,-190.1484375
-240.1875,-430.05,-189.8625
-256.771875,-440.6296875,-183.8578125
-255.05625,-437.1984375,-182.1421875
-254.7703125,-435.4828125,-180.7125
-255.3421875,-435.196875,-179.8546875
-257.0578125,-436.0546875,-178.996875
-258.7734375,-437.484375,-178.7109375
-260.4890625,-438.9140625,-178.425
-261.91875,-440.34375,-178.425
-262.2046875,-441.2015625,-178.996875
-262.2046875,-441.4875,-179.2828125
-261.0609375,-440.915625,-179.8546875
-259.63125,-439.4859375,-179.8546875
-257.6296875,-437.7703125,-180.140625
-255.628125,-436.0546875,-180.4265625
-253.6265625,-434.053125,-180.4265625
-251.625,-432.3375,-180.7125
-250.1953125,-430.9078125,-180.7125
-249.0515625,-429.7640625,-180.7125
-248.19375,-428.90625,-180.7125
-247.9078125,-428.6203125,-180.7125
