LEFT,RIGHT,DIFF
-223.03125,-243.3328125,-20.3015625
-224.746875,-245.6203125,-20.8734375
-228.4640625,-249.909375,-21.4453125
-233.325,-255.9140625,-22.5890625
-238.471875,-262.490625,-24.01875
-243.3328125,-268.78125,-25.4484375
-247.05,-273.6421875,-26.5921875
-248.4796875,-276.7875,-28.3078125
-247.621875,-277.0734375,-29.4515625
-244.190625,-275.071875,-30.88125
-238.7578125,-270.496875,-31.7390625
-231.609375,-264.20625,-32.596875
-223.603125,-256.771875,-33.16875
-215.8828125,-249.3375,-33.4546875
-208.734375,-242.475,-33.740625
-203.3015625,-236.4703125,-33.16875
-199.584375,-232.4671875,-32.8828125
-197.86875,-230.1796875,-32.3109375
-197.86875,-229.6078125,-31.7390625
-199.584375,-230.465625,-30.88125
-201.871875,-231.8953125,-30.0234375
-204.159375,-234.1828125,-30.0234375
-206.1609375,-235.8984375,-29.7375
-207.3046875,-237.0421875,-29.7375
-207.01875,-237.0421875,-30.0234375
-205.5890625,-235.8984375,-30.309375
-202.44375,-233.6109375,-31.1671875
-198.440625,-230.1796875,-31.7390625
-193.5796875,-226.1765625,-32.596875
-188.71875,-221.8875,-33.16875
-184.14375,-217.5984375,-33.4546875
-180.140625,-213.5953125,-33.4546875
-176.9953125,-210.45,-33.4546875
-175.2796875,-207.8765625,-32.596875
-174.421875,-206.446875,-32.025
-174.99375,-206.1609375,-31.1671875
-176.1375,-206.7328125,-30.5953125
-178.425,-208.1625,-29.7375
-180.9984375,-210.1640625,-29.165625
-183.8578125,-212.7375,-28.8796875
-186.7171875,-215.3109375,-28.59375
-189.5765625,-217.884375,-28.3078125
-191.8640625,-220.4578125,-28.59375
-193.865625,-222.1734375,-28.3078125
-195.009375,-223.3171875,-28.3078125
-195.58125,-223.603125,-28.021875
-195.2953125,-222.7453125,-27.45
-194.1515625,-221.0296875,-26.878125
-192.4359375,-218.45625,-26.0203125
-189.8625,-215.3109375,-25.4484375
-187.2890625,-211.8796875,-24.590625
-184.4296875,-208.734375,-24.3046875
-182.1421875,-205.5890625,-23.446875
-180.140625,-203.5875,-23.446875
-179.2828125,-202.44375,-23.1609375
-179.56875,-202.7296875,-23.1609375
-181.284375,-204.159375,-22.875
-184.14375,-207.01875,-22.875
-187.8609375,-210.7359375,-22.875
-192.721875,-215.3109375,-22.5890625
-197.86875,-219.8859375,-22.0171875
-202.7296875,-224.175,-21.4453125
-207.01875,-227.60625,-20.5875
-210.45,-230.465625,-20.015625
-212.165625,-231.8953125,-19.7296875
-212.4515625,-232.18125,-19.7296875
-211.3078125,-231.609375,-20.3015625
-209.0203125,-230.1796875,-21.159375
-205.5890625,-228.4640625,-22.875
-201.5859375,-226.4625,-24.8765625
-197.5828125,-224.746875,-27.1640625
-194.1515625,-223.3171875,-29.165625
-191.00625,-222.459375,-31.453125
-189.0046875,-222.1734375,-33.16875
-187.8609375,-222.7453125,-34.884375
-187.8609375,-223.3171875,-35.45625
-188.146875,-224.175,-36.028125
-189.290625,-225.0328125,-35.7421875
-190.1484375,-225.6046875,-35.45625
-190.7203125,-225.6046875,-34.884375
-191.00625,-225.0328125,-34.0265625
-190.1484375,-223.8890625,-33.740625
-188.4328125,-221.8875,-33.4546875
-185.5734375,-219.028125,-33.4546875
-181.85625,-215.596875,-33.740625
-177.5671875,-211.8796875,-34.3125
-172.4203125,-207.590625,-35.1703125
-167.2734375,-203.3015625,-36.028125
-162.4125,-199.0125,-36.6
-157.8375,-195.009375,-37.171875
-154.1203125,-191.8640625,-37.74375
-151.546875,-189.8625,-38.315625
-150.403125,-189.0046875,-38.6015625
-150.6890625,-189.5765625,-38.8875
-152.11875,-191.578125,-39.459375
-154.978125,-195.009375,-40.03125
-158.98125,-199.8703125,-40.8890625
-163.55625,-205.5890625,-42.0328125
-168.4171875,-211.8796875,-43.4625
-172.9921875,-218.1703125,-45.178125
-177.5671875,-224.175,-46.6078125
-180.9984375,-229.0359375,-48.0375
-183.8578125,-232.753125,-48.8953125
-185.859375,-235.3265625,-49.4671875
-187.003125,-236.4703125,-49.4671875
-187.575,-236.75625,-49.18125
-187.575,-236.184375,-48.609375
-188.146875,-235.3265625,-47.1796875
-188.71875,-234.46875,-45.75
-190.1484375,-234.46875,-44.3203125
-192.4359375,-235.3265625,-42.890625
-195.8671875,-237.328125,-41.4609375
-199.8703125,-240.4734375,-40.603125
-204.73125,-244.4765625,-39.7453125
-210.1640625,-249.0515625,-38.8875
-215.596875,-253.9125,-38.315625
-221.0296875,-258.4875,-37.4578125
-225.890625,-262.7765625,-36.8859375
-229.89375,-266.2078125,-36.3140625
-233.6109375,-268.78125,-35.1703125
-236.184375,-270.7828125,-34.5984375
-238.471875,-272.2125,-33.740625
-239.9015625,-273.6421875,-33.740625
-241.33125,-274.7859375,-33.4546875
-242.7609375,-276.215625,-33.4546875
-243.9046875,-277.93125,-34.0265625
-245.334375,-279.9328125,-34.5984375
-246.7640625,-282.50625,-35.7421875
-248.19375,-285.0796875,-36.8859375
-249.6234375,-287.3671875,-37.74375
-250.48125,-289.36875,-38.8875
-250.7671875,-290.2265625,-39.459375
-250.48125,-290.5125,-40.03125
-249.6234375,-289.6546875,-40.03125
-247.9078125,-287.653125,-39.7453125
-245.6203125,-285.365625,-39.7453125
-243.3328125,-282.50625,-39.1734375
-241.0453125,-279.9328125,-38.8875
-239.04375,-277.93125,-38.8875
-237.9,-276.7875,-38.8875
-237.328125,-276.7875,-39.459375
-237.9,-277.93125,-40.03125
-239.3296875,-280.5046875,-41.175
-241.6171875,-283.65,-42.0328125
-244.190625,-287.3671875,-43.1765625
-246.7640625,-291.3703125,-44.60625
-248.765625,-294.8015625,-46.0359375
-250.1953125,-297.6609375,-47.465625
-250.48125,-299.3765625,-48.8953125
-249.6234375,-300.234375,-50.6109375
-247.9078125,-299.6625,-51.7546875
