LEFT,RIGHT,DIFF
-14.0109375,-44.034375,-30.0234375
-11.7234375,-41.746875,-30.0234375
-10.865625,-40.3171875,-29.4515625
-11.7234375,-40.3171875,-28.59375
-14.296875,-41.746875,-27.45
-18.871875,-44.60625,-25.734375
-24.8765625,-48.609375,-23.7328125
-31.7390625,-54.0421875,-22.303125
-38.315625,-59.475,-21.159375
-44.60625,-64.621875,-20.015625
-49.18125,-68.9109375,-19.7296875
-52.040625,-71.7703125,-19.7296875
-52.3265625,-72.628125,-20.3015625
-50.0390625,-71.484375,-21.4453125
-46.0359375,-68.3390625,-22.303125
-40.03125,-64.05,-24.01875
-33.740625,-58.903125,-25.1625
-27.45,-53.75625,-26.30625
-22.303125,-49.4671875,-27.1640625
-19.1578125,-46.6078125,-27.45
-18.5859375,-46.0359375,-27.45
-20.8734375,-47.7515625,-26.878125
-25.4484375,-51.7546875,-26.30625
-32.3109375,-57.759375,-25.4484375
-40.3171875,-64.621875,-24.3046875
-48.8953125,-71.7703125,-22.875
-56.9015625,-78.0609375,-21.159375
-63.478125,-83.2078125,-19.7296875
-67.7671875,-86.0671875,-18.3
-69.76875,-86.353125,-16.584375
-69.196875,-84.3515625,-15.1546875
-66.3375,-80.3484375,-14.0109375
-61.7625,-74.6296875,-12.8671875
-56.3296875,-68.625,-12.2953125
-50.896875,-62.90625,-12.009375
-46.0359375,-58.0453125,-12.009375
-42.6046875,-55.1859375,-12.58125
-41.175,-54.6140625,-13.4390625
-41.746875,-56.3296875,-14.5828125
-44.3203125,-60.3328125,-16.0125
-48.609375,-66.0515625,-17.4421875
-54.0421875,-72.9140625,-18.871875
-60.046875,-79.7765625,-19.7296875
-65.765625,-86.353125,-20.5875
-70.9125,-91.7859375,-20.8734375
-74.6296875,-95.2171875,-20.5875
-76.63125,-96.646875,-20.015625
-76.63125,-95.7890625,-19.1578125
-74.6296875,-92.64375,-18.0140625
-70.9125,-87.7828125,-16.8703125
-65.4796875,-81.20625,-15.7265625
-58.903125,-73.771875,-14.86875
-51.46875,-65.765625,-14.296875
-43.7484375,-57.759375,-14.0109375
-36.6,-50.325,-13.725
-29.7375,-43.7484375,-14.0109375
-24.3046875,-38.315625,-14.0109375
-20.015625,-34.5984375,-14.5828125
-17.728125,-32.3109375,-14.5828125
-17.15625,-31.7390625,-14.5828125
-18.3,-32.8828125,-14.5828125
-21.4453125,-35.45625,-14.0109375
-25.734375,-39.459375,-13.725
-31.1671875,-44.3203125,-13.153125
-37.4578125,-49.753125,-12.2953125
-43.4625,-55.471875,-12.009375
-49.4671875,-60.61875,-11.1515625
-54.328125,-65.4796875,-11.1515625
-57.759375,-68.9109375,-11.1515625
-60.046875,-71.1984375,-11.1515625
-60.61875,-71.7703125,-11.1515625
-59.7609375,-71.1984375,-11.4375
-57.759375,-69.4828125,-11.7234375
-54.9,-67.1953125,-12.2953125
-52.040625,-64.621875,-12.58125
-49.4671875,-62.334375,-12.8671875
-47.7515625,-61.190625,-13.4390625
-47.1796875,-61.190625,-14.0109375
-48.3234375,-62.90625,-14.5828125
-50.896875,-66.3375,-15.440625
-62.6203125,-76.3453125,-13.725
-63.1921875,-76.63125,-13.4390625
-63.1921875,-76.63125,-13.4390625
-62.334375,-76.059375,-13.725
-60.9046875,-74.915625,-14.0109375
-59.1890625,-73.4859375,-14.296875
-57.759375,-72.3421875,-14.5828125
-56.9015625,-72.05625,-15.1546875
-57.1875,-72.628125,-15.440625
-58.903125,-74.6296875,-15.7265625
-62.334375,-78.0609375,-15.7265625
-67.7671875,-83.2078125,-15.440625
-74.915625,-89.2125,-14.296875
-82.921875,-96.3609375,-13.4390625
-91.7859375,-103.509375,-11.7234375
-100.3640625,-110.0859375,-9.721875
-108.084375,-115.51875,-7.434375
-114.0890625,-118.95,-4.86093749999999
-118.0921875,-120.665625,-2.5734375
-119.2359375,-120.09375,-0.857812499999994
-117.80625,-117.5203125,0.285937500000003
-114.0890625,-112.9453125,1.14375000000001
-108.3703125,-107.5125,0.857812499999994
-101.5078125,-101.79375,-0.285937500000003
-94.0734375,-96.075,-2.00156250000001
-86.925,-91.5,-4.575
-80.634375,-88.3546875,-7.72031249999999
-76.3453125,-87.2109375,-10.865625
-73.771875,-87.7828125,-14.0109375
-73.2,-90.35625,-17.15625
-74.6296875,-94.0734375,-19.44375
-77.4890625,-98.934375,-21.4453125
-81.20625,-103.7953125,-22.5890625
-85.209375,-108.65625,-23.446875
-89.2125,-112.9453125,-23.7328125
-92.071875,-115.8046875,-23.7328125
-94.0734375,-117.5203125,-23.446875
-94.93125,-117.80625,-22.875
-94.359375,-116.9484375,-22.5890625
-92.64375,-115.2328125,-22.5890625
-90.35625,-112.659375,-22.303125
-88.06875,-110.0859375,-22.0171875
-85.78125,-107.5125,-21.73125
-83.7796875,-105.5109375,-21.73125
-82.921875,-103.7953125,-20.8734375
-82.6359375,-102.9375,-20.3015625
-83.2078125,-102.6515625,-19.44375
-84.3515625,-102.9375,-18.5859375
-85.78125,-103.509375,-17.728125
-87.2109375,-104.08125,-16.8703125
-88.640625,-104.9390625,-16.2984375
-89.784375,-105.5109375,-15.7265625
-90.35625,-106.0828125,-15.7265625
-90.928125,-106.6546875,-15.7265625
-91.2140625,-107.7984375,-16.584375
-92.3578125,-109.228125,-16.8703125
-94.0734375,-111.515625,-17.4421875
-96.646875,-114.375,-17.728125
-100.3640625,-118.6640625,-18.3
-105.5109375,-123.525,-18.0140625
-114.6609375,-121.809375,-7.1484375
-113.5171875,-120.9515625,-7.434375
-110.94375,-118.95,-8.00624999999999
-107.5125,-116.090625,-8.578125
-103.509375,-112.659375,-9.15000000000001
-99.2203125,-108.9421875,-9.721875
-95.7890625,-105.5109375,-9.721875
-93.215625,-102.9375,-9.721875
-92.3578125,-101.79375,-9.43593749999999
-93.215625,-101.79375,-8.578125
-95.503125,-103.509375,-8.00625000000001
-99.50625,-106.6546875,-7.1484375
-104.653125,-110.6578125,-6.0046875
-110.0859375,-115.51875,-5.43281250000001
-115.2328125,-120.09375,-4.86093749999999
-120.09375,-124.66875,-4.575
-123.525,-128.3859375,-4.86093750000001
-126.0984375,-131.2453125,-5.14687500000001
-127.2421875,-133.246875,-6.00468750000002
-127.528125,-134.6765625,-7.14843750000001
-127.2421875,-135.8203125,-8.578125
-126.6703125,-136.3921875,-9.721875
-126.0984375,-137.25,-11.1515625
-125.8125,-138.1078125,-12.2953125
-126.0984375,-139.2515625,-13.153125
-126.6703125,-140.68125,-14.0109375
-127.2421875,-141.5390625,-14.296875
-127.8140625,-142.396875,-14.5828125
-127.8140625,-142.1109375,-14.296875
-127.2421875,-141.253125,-14.0109375
-125.8125,-139.2515625,-13.4390625
-123.2390625,-136.10625,-12.8671875
-119.8078125,-132.3890625,-12.58125
-116.090625,-127.8140625,-11.7234375
-111.8015625,-123.2390625,-11.4375
-107.2265625,-118.378125,-11.1515625
-102.9375,-113.803125,-10.865625
-99.2203125,-109.8,-10.5796875
-95.503125,-106.0828125,-10.5796875
-92.3578125,-102.6515625,-10.29375
-89.4984375,-99.7921875,-10.29375
-86.925,-97.21875,-10.29375
-84.6375,-94.93125,-10.29375
-82.921875,-93.215625,-10.29375
-82.0640625,-92.071875,-10.0078125
-82.35,-92.64375,-10.29375
-84.3515625,-94.6453125,-10.29375
-88.3546875,-98.934375,-10.5796875
-94.359375,-105.796875,-11.4375
-102.6515625,-114.946875,-12.2953125
-113.23125,-126.384375,-13.153125
-124.9546875,-139.5375,-14.5828125
-137.5359375,-153.5484375,-16.0125
-149.83125,-167.2734375,-17.4421875
-161.26875,-179.8546875,-18.5859375
-170.1328125,-190.1484375,-20.015625
-176.4234375,-197.5828125,-21.159375
-179.2828125,-201.3,-22.0171875
-178.996875,-201.3,-22.303125
-175.8515625,-198.1546875,-22.303125
-170.41875,-192.721875,-22.303125
-163.55625,-185.5734375,-22.0171875
-156.9796875,-178.1390625,-21.159375
-150.975,-171.2765625,-20.3015625
-146.6859375,-166.1296875,-19.44375
-144.3984375,-162.984375,-18.5859375
-144.684375,-162.1265625,-17.4421875
-146.6859375,-163.55625,-16.8703125
-150.403125,-166.415625,-16.0125
-154.978125,-170.41875,-15.440625
-159.553125,-174.421875,-14.86875
-163.2703125,-177.853125,-14.5828125
-165.5578125,-180.140625,-14.5828125
-166.415625,-180.7125,-14.296875
-165.5578125,-179.8546875,-14.296875
-163.2703125,-177.853125,-14.5828125
-160.125,-175.2796875,-15.1546875
-156.69375,-172.4203125,-15.7265625
-153.5484375,-169.846875,-16.2984375
-150.975,-167.8453125,-16.8703125
-149.259375,-167.2734375,-18.0140625
-148.6875,-167.2734375,-18.5859375
-149.259375,-168.4171875,-19.1578125
-150.1171875,-169.846875,-19.7296875
-151.546875,-171.2765625,-19.7296875
-152.9765625,-172.4203125,-19.44375
-154.1203125,-173.278125,-19.1578125
-155.2640625,-173.278125,-18.0140625
-156.121875,-172.9921875,-16.8703125
-156.9796875,-172.4203125,-15.440625
-158.409375,-172.4203125,-14.0109375
-160.4109375,-173.278125,-12.8671875
-163.55625,-174.99375,-11.4375
-167.559375,-177.853125,-10.29375
-172.4203125,-182.1421875,-9.72187500000001
-177.5671875,-187.2890625,-9.72187499999998
-183.0,-192.4359375,-9.43593749999999
-187.575,-197.5828125,-10.0078125
-191.00625,-201.5859375,-10.5796875
-192.721875,-203.8734375,-11.1515625
-192.4359375,-204.4453125,-12.009375
-190.1484375,-202.7296875,-12.58125
-186.43125,-199.584375,-13.153125
-181.284375,-195.009375,-13.725
-176.1375,-190.434375,-14.296875
-171.5625,-186.1453125,-14.5828125
-167.8453125,-183.0,-15.1546875
-166.415625,-182.1421875,-15.7265625
-166.9875,-183.571875,-16.584375
-169.846875,-187.2890625,-17.4421875
-174.421875,-193.0078125,-18.5859375
-180.4265625,-199.8703125,-19.44375
-186.7171875,-207.01875,-20.3015625
-192.721875,-213.309375,-20.5875
-197.0109375,-218.1703125,-21.159375
-199.584375,-220.74375,-21.159375
-199.8703125,-220.74375,-20.8734375
-197.5828125,-217.5984375,-20.015625
-193.29375,-212.165625,-18.871875
-187.2890625,-205.0171875,-17.728125
-180.140625,-196.725,-16.584375
-172.9921875,-188.4328125,-15.440625
-166.1296875,-180.7125,-14.5828125
-160.4109375,-174.7078125,-14.296875
-156.121875,-170.1328125,-14.0109375
-153.834375,-167.559375,-13.725
-152.690625,-166.9875,-14.296875
-153.2625,-167.559375,-14.296875
-154.6921875,-168.9890625,-14.296875
-156.9796875,-170.7046875,-13.725
-159.553125,-172.70625,-13.153125
-162.1265625,-174.1359375,-12.009375
-164.7,-174.99375,-10.29375
-166.9875,-175.2796875,-8.29218749999998
-169.275,-175.2796875,-6.00468749999999
-171.2765625,-174.99375,-3.71718749999999
-172.9921875,-174.99375,-2.00156250000001
-174.7078125,-174.99375,-0.285937499999989
-176.1375,-174.99375,1.14375000000001
-176.9953125,-175.565625,1.4296875
-177.5671875,-175.8515625,1.71562500000002
-177.5671875,-176.1375,1.4296875
-176.9953125,-176.4234375,0.571875000000006
-175.8515625,-176.1375,-0.285937500000017
-174.421875,-175.565625,-1.14375000000001
-172.70625,-174.99375,-2.28749999999999
-170.990625,-174.1359375,-3.14531250000002
-169.5609375,-173.5640625,-4.00312500000001
-168.9890625,-173.5640625,-4.57499999999999
-168.703125,-173.85,-5.14687499999999
-168.9890625,-174.7078125,-5.71875
-169.5609375,-175.8515625,-6.29062500000001
-170.41875,-177.5671875,-7.1484375
-170.7046875,-178.996875,-8.29218750000001
-170.7046875,-180.140625,-9.43593749999999
-170.1328125,-180.9984375,-10.865625
-168.9890625,-181.284375,-12.2953125
-167.559375,-181.284375,-13.725
-166.415625,-181.284375,-14.86875
-166.1296875,-181.85625,-15.7265625
-167.559375,-183.2859375,-15.7265625
-170.990625,-186.43125,-15.440625
-176.709375,-191.8640625,-15.1546875
-185.2875,-199.2984375,-14.0109375
-196.153125,-208.734375,-12.58125
-208.4484375,-219.8859375,-11.4375
-221.315625,-231.609375,-10.29375
-233.6109375,-243.046875,-9.43593749999999
-243.9046875,-252.76875,-8.86406249999999
-251.3390625,-259.9171875,-8.578125
-254.7703125,-263.3484375,-8.57812499999997
-254.1984375,-262.7765625,-8.578125
-249.3375,-258.2015625,-8.86406250000002
-241.0453125,-250.1953125,-9.14999999999998
-230.1796875,-239.615625,-9.43593750000002
-218.1703125,-227.60625,-9.43593750000002
-206.446875,-215.8828125,-9.43593749999999
-196.4390625,-205.303125,-8.86406249999999
-188.71875,-197.5828125,-8.86406250000002
-184.14375,-192.721875,-8.578125
-182.7140625,-191.578125,-8.86406249999999
-183.8578125,-193.29375,-9.43593750000002
-187.2890625,-197.296875,-10.0078125
-191.578125,-202.44375,-10.865625
-195.58125,-208.1625,-12.58125
-198.7265625,-213.0234375,-14.296875
-199.8703125,-215.8828125,-16.0125
-199.2984375,-217.0265625,-17.728125
