LEFT,RIGHT,DIFF
-165.5578125,-152.690625,12.8671875
-170.1328125,-156.9796875,13.153125
-173.5640625,-160.125,13.4390625
-176.1375,-162.1265625,14.0109375
-177.28125,-162.984375,14.296875
-177.28125,-162.6984375,14.5828125
-176.4234375,-161.26875,15.1546875
-174.99375,-159.2671875,15.7265625
-173.278125,-156.69375,16.584375
-171.5625,-154.40625,17.15625
-170.41875,-152.11875,18.3
-169.275,-150.403125,18.871875
-168.703125,-148.6875,20.015625
-168.13125,-147.2578125,20.8734375
-166.9875,-145.5421875,21.4453125
-165.5578125,-143.540625,22.0171875
-163.2703125,-140.9671875,22.303125
-160.4109375,-138.1078125,22.303125
-156.9796875,-134.6765625,22.303125
-152.9765625,-131.2453125,21.73125
-111.8015625,-96.075,15.7265625
-114.375,-98.3625,16.0125
-116.9484375,-100.65,16.2984375
-119.2359375,-103.2234375,16.0125
-120.3796875,-104.9390625,15.440625
-120.3796875,-105.796875,14.5828125
-119.2359375,-105.796875,13.4390625
-117.5203125,-105.225,12.2953125
-115.2328125,-103.7953125,11.4375
-112.9453125,-102.365625,10.5796875
-111.2296875,-101.221875,10.0078125
-110.371875,-100.078125,10.29375
-110.371875,-100.078125,10.29375
-111.8015625,-100.3640625,11.4375
-113.803125,-101.5078125,12.2953125
-116.6625,-102.6515625,14.0109375
-119.521875,-104.08125,15.440625
-122.0953125,-105.5109375,16.584375
-124.096875,-106.36875,17.728125
-125.5265625,-106.6546875,18.871875
-128.9578125,-116.9484375,12.009375
-127.8140625,-116.9484375,10.865625
-126.6703125,-116.9484375,9.721875
-125.5265625,-116.9484375,8.578125
-124.3828125,-116.6625,7.72031249999999
-123.8109375,-116.3765625,7.434375
-123.2390625,-116.090625,7.1484375
-122.953125,-115.8046875,7.1484375
-122.6671875,-115.51875,7.1484375
-122.6671875,-115.2328125,7.434375
-122.38125,-114.6609375,7.72031250000001
-121.5234375,-113.803125,7.72031249999999
-119.8078125,-112.3734375,7.434375
-117.5203125,-109.8,7.72031249999999
-113.803125,-106.6546875,7.1484375
-109.5140625,-102.6515625,6.86250000000001
-104.3671875,-97.790625,6.57656249999999
-98.934375,-92.9296875,6.0046875
-94.0734375,-88.06875,6.00468749999999
-90.0703125,-83.7796875,6.29062499999999
-87.496875,-80.9203125,6.57656249999999
-86.6390625,-79.490625,7.1484375
-87.7828125,-79.7765625,8.00625000000001
-90.928125,-81.4921875,9.43593750000001
-95.7890625,-84.6375,11.1515625
-101.221875,-88.640625,12.58125
-106.36875,-92.3578125,14.0109375
-110.6578125,-95.2171875,15.440625
-113.23125,-96.646875,16.584375
-113.5171875,-95.7890625,17.728125
-111.2296875,-92.9296875,18.3
-106.36875,-88.06875,18.3
-99.7921875,-81.778125,18.0140625
-92.071875,-74.6296875,17.4421875
-84.065625,-67.48125,16.584375
-76.9171875,-61.4765625,15.440625
-71.7703125,-57.759375,14.0109375
-69.196875,-56.3296875,12.8671875
-69.4828125,-58.0453125,11.4375
-72.628125,-62.334375,10.29375
-116.9484375,-92.071875,24.8765625
-105.796875,-79.2046875,26.5921875
-94.93125,-67.1953125,27.7359375
-85.4953125,-56.9015625,28.59375
-78.346875,-49.4671875,28.8796875
-73.771875,-44.8921875,28.8796875
-72.628125,-43.7484375,28.8796875
-74.0578125,-45.4640625,28.59375
-78.0609375,-50.0390625,28.021875
-83.7796875,-56.04375,27.7359375
-90.0703125,-62.6203125,27.45
-96.075,-68.9109375,27.1640625
-100.9359375,-74.0578125,26.878125
-104.3671875,-77.775,26.5921875
-106.0828125,-79.490625,26.5921875
-106.0828125,-79.7765625,26.30625
-104.9390625,-78.6328125,26.30625
-102.9375,-76.9171875,26.0203125
-100.9359375,-75.2015625,25.734375
-99.7921875,-73.771875,26.0203125
-75.4875,-70.0546875,5.4328125
-75.4875,-69.4828125,6.00468749999999
-76.059375,-68.9109375,7.1484375
-76.63125,-69.196875,7.434375
-77.775,-69.76875,8.00625000000001
-79.2046875,-71.1984375,8.00625000000001
-81.20625,-73.2,8.00624999999999
-83.49375,-76.3453125,7.1484375
-86.6390625,-79.7765625,6.86250000000001
